# _root_ - oi , ez naute ni geroko ifernuek izutzen , orain honelako paradisuak dastatu ahal_izanez gero hemen - erantzun ohi nizun halakoetan .
#goldHeads=0,9,2,9,9,9,8,9,19,9,15,13,14,15,9,15,15,17,0,19,19,19,22,
#predictedHeads=0,9,2,9,9,9,8,9,0,9,14,13,14,15,19,15,16,17,0,19,19,19,22,
(0,1),1.49142 # DEPENDENCYPART_ARC
(0,2),-0.769114 # DEPENDENCYPART_ARC
(0,3),-0.431672 # DEPENDENCYPART_ARC
(0,4),-0.419363 # DEPENDENCYPART_ARC
(0,5),-0.481202 # DEPENDENCYPART_ARC
(0,6),-0.1782 # DEPENDENCYPART_ARC
(0,7),-1.19562 # DEPENDENCYPART_ARC
(0,8),-1.52439 # DEPENDENCYPART_ARC
(0,9),-0.229002 # DEPENDENCYPART_ARC
(0,10),-0.08472 # DEPENDENCYPART_ARC
(0,11),-0.567776 # DEPENDENCYPART_ARC
(0,12),-1.22359 # DEPENDENCYPART_ARC
(0,13),-1.43321 # DEPENDENCYPART_ARC
(0,14),-0.379917 # DEPENDENCYPART_ARC
(0,15),-0.870647 # DEPENDENCYPART_ARC
(0,16),-0.718618 # DEPENDENCYPART_ARC
(0,17),-0.639039 # DEPENDENCYPART_ARC
(0,18),-0.786634 # DEPENDENCYPART_ARC
(0,19),1.34519 # DEPENDENCYPART_ARC
(0,20),-0.343179 # DEPENDENCYPART_ARC
(0,21),-0.264073 # DEPENDENCYPART_ARC
(0,22),-2.33404 # DEPENDENCYPART_ARC
(0,23),-1.49674 # DEPENDENCYPART_ARC
(1,3),-1.03833 # DEPENDENCYPART_ARC
(1,4),-2.31565 # DEPENDENCYPART_ARC
(1,5),-2.03229 # DEPENDENCYPART_ARC
(1,7),-2.40442 # DEPENDENCYPART_ARC
(1,8),-2.35446 # DEPENDENCYPART_ARC
(1,9),-2.25804 # DEPENDENCYPART_ARC
(1,10),-2.14886 # DEPENDENCYPART_ARC
(1,12),-2.44108 # DEPENDENCYPART_ARC
(1,13),-2.58989 # DEPENDENCYPART_ARC
(1,14),-2.38199 # DEPENDENCYPART_ARC
(1,15),-2.39144 # DEPENDENCYPART_ARC
(1,18),-2.45327 # DEPENDENCYPART_ARC
(1,19),-2.68159 # DEPENDENCYPART_ARC
(1,21),-2.26583 # DEPENDENCYPART_ARC
(1,22),-2.76517 # DEPENDENCYPART_ARC
(1,23),-3.10427 # DEPENDENCYPART_ARC
(2,1),-0.160283 # DEPENDENCYPART_ARC
(2,3),1.27662 # DEPENDENCYPART_ARC
(2,10),-0.218167 # DEPENDENCYPART_ARC
(2,18),-0.418511 # DEPENDENCYPART_ARC
(3,1),-0.900455 # DEPENDENCYPART_ARC
(3,2),-0.102018 # DEPENDENCYPART_ARC
(3,5),-0.53793 # DEPENDENCYPART_ARC
(3,7),-1.05707 # DEPENDENCYPART_ARC
(3,8),-0.934298 # DEPENDENCYPART_ARC
(3,9),-0.91424 # DEPENDENCYPART_ARC
(3,12),-1.3455 # DEPENDENCYPART_ARC
(3,13),-1.23125 # DEPENDENCYPART_ARC
(3,14),-1.10123 # DEPENDENCYPART_ARC
(3,15),-1.23014 # DEPENDENCYPART_ARC
(3,18),-0.914033 # DEPENDENCYPART_ARC
(3,19),-1.65541 # DEPENDENCYPART_ARC
(3,20),-1.19946 # DEPENDENCYPART_ARC
(3,21),-1.32895 # DEPENDENCYPART_ARC
(3,22),-1.53204 # DEPENDENCYPART_ARC
(4,1),-1.10855 # DEPENDENCYPART_ARC
(4,2),-0.586953 # DEPENDENCYPART_ARC
(4,3),-0.269675 # DEPENDENCYPART_ARC
(4,7),-0.655658 # DEPENDENCYPART_ARC
(4,8),-1.16496 # DEPENDENCYPART_ARC
(4,9),-0.948203 # DEPENDENCYPART_ARC
(4,10),-0.326419 # DEPENDENCYPART_ARC
(4,12),-1.12776 # DEPENDENCYPART_ARC
(4,13),-1.58286 # DEPENDENCYPART_ARC
(4,14),-1.02237 # DEPENDENCYPART_ARC
(4,18),-0.669113 # DEPENDENCYPART_ARC
(4,19),-1.1796 # DEPENDENCYPART_ARC
(4,22),-1.39886 # DEPENDENCYPART_ARC
(4,23),-0.73993 # DEPENDENCYPART_ARC
(5,1),-1.19841 # DEPENDENCYPART_ARC
(5,3),-0.966302 # DEPENDENCYPART_ARC
(5,4),-0.0955279 # DEPENDENCYPART_ARC
(5,6),-0.260462 # DEPENDENCYPART_ARC
(5,7),-0.839235 # DEPENDENCYPART_ARC
(5,8),-1.36762 # DEPENDENCYPART_ARC
(5,9),-1.71441 # DEPENDENCYPART_ARC
(5,10),-0.639538 # DEPENDENCYPART_ARC
(5,11),-0.930316 # DEPENDENCYPART_ARC
(5,12),-1.59981 # DEPENDENCYPART_ARC
(5,13),-3.09857 # DEPENDENCYPART_ARC
(5,14),-1.45933 # DEPENDENCYPART_ARC
(5,15),-1.40114 # DEPENDENCYPART_ARC
(5,16),-0.924398 # DEPENDENCYPART_ARC
(5,17),-1.00719 # DEPENDENCYPART_ARC
(5,18),-1.2632 # DEPENDENCYPART_ARC
(5,19),-1.62464 # DEPENDENCYPART_ARC
(5,21),-1.62991 # DEPENDENCYPART_ARC
(5,22),-2.13061 # DEPENDENCYPART_ARC
(5,23),-1.50309 # DEPENDENCYPART_ARC
(6,1),-1.19037 # DEPENDENCYPART_ARC
(6,2),-0.568622 # DEPENDENCYPART_ARC
(6,3),-0.824099 # DEPENDENCYPART_ARC
(6,7),1.07368 # DEPENDENCYPART_ARC
(6,8),-0.884532 # DEPENDENCYPART_ARC
(6,9),-1.09399 # DEPENDENCYPART_ARC
(6,10),-0.513998 # DEPENDENCYPART_ARC
(6,11),-0.95165 # DEPENDENCYPART_ARC
(6,12),-0.450738 # DEPENDENCYPART_ARC
(6,13),-2.25695 # DEPENDENCYPART_ARC
(6,14),-1.5866 # DEPENDENCYPART_ARC
(6,16),-1.04999 # DEPENDENCYPART_ARC
(6,17),-1.09032 # DEPENDENCYPART_ARC
(6,18),-0.75265 # DEPENDENCYPART_ARC
(6,19),-1.89808 # DEPENDENCYPART_ARC
(6,22),-1.29336 # DEPENDENCYPART_ARC
(6,23),-0.831492 # DEPENDENCYPART_ARC
(7,1),-1.65852 # DEPENDENCYPART_ARC
(7,3),-1.50449 # DEPENDENCYPART_ARC
(7,4),-0.874025 # DEPENDENCYPART_ARC
(7,5),-1.18159 # DEPENDENCYPART_ARC
(7,8),0.113561 # DEPENDENCYPART_ARC
(7,9),-0.474963 # DEPENDENCYPART_ARC
(7,10),-0.146572 # DEPENDENCYPART_ARC
(7,11),-0.724347 # DEPENDENCYPART_ARC
(7,12),-0.671631 # DEPENDENCYPART_ARC
(7,13),-1.30223 # DEPENDENCYPART_ARC
(7,14),-0.866359 # DEPENDENCYPART_ARC
(7,15),-0.8905 # DEPENDENCYPART_ARC
(7,16),-0.876057 # DEPENDENCYPART_ARC
(7,17),-0.871587 # DEPENDENCYPART_ARC
(7,18),-0.537322 # DEPENDENCYPART_ARC
(7,19),-1.09236 # DEPENDENCYPART_ARC
(7,20),-0.905352 # DEPENDENCYPART_ARC
(7,21),-1.02572 # DEPENDENCYPART_ARC
(7,22),-0.939516 # DEPENDENCYPART_ARC
(7,23),-0.769364 # DEPENDENCYPART_ARC
(8,1),-1.31687 # DEPENDENCYPART_ARC
(8,2),-0.860435 # DEPENDENCYPART_ARC
(8,3),-1.16674 # DEPENDENCYPART_ARC
(8,4),-0.455553 # DEPENDENCYPART_ARC
(8,5),-1.13796 # DEPENDENCYPART_ARC
(8,6),-0.584511 # DEPENDENCYPART_ARC
(8,7),1.91394 # DEPENDENCYPART_ARC
(8,9),-0.147195 # DEPENDENCYPART_ARC
(8,10),-0.458761 # DEPENDENCYPART_ARC
(8,11),-1.03588 # DEPENDENCYPART_ARC
(8,12),-1.92471 # DEPENDENCYPART_ARC
(8,13),-1.72234 # DEPENDENCYPART_ARC
(8,14),-1.39272 # DEPENDENCYPART_ARC
(8,15),-2.55386 # DEPENDENCYPART_ARC
(8,16),-1.12585 # DEPENDENCYPART_ARC
(8,17),-1.34965 # DEPENDENCYPART_ARC
(8,18),-1.30905 # DEPENDENCYPART_ARC
(8,19),-1.86746 # DEPENDENCYPART_ARC
(8,20),-1.35092 # DEPENDENCYPART_ARC
(8,21),-2.44242 # DEPENDENCYPART_ARC
(8,22),-3.56145 # DEPENDENCYPART_ARC
(8,23),-1.45301 # DEPENDENCYPART_ARC
(9,1),-0.737436 # DEPENDENCYPART_ARC
(9,2),-0.272792 # DEPENDENCYPART_ARC
(9,3),-0.810871 # DEPENDENCYPART_ARC
(9,4),1.7091 # DEPENDENCYPART_ARC
(9,5),1.64911 # DEPENDENCYPART_ARC
(9,6),0.673276 # DEPENDENCYPART_ARC
(9,7),0.982977 # DEPENDENCYPART_ARC
(9,8),2.68799 # DEPENDENCYPART_ARC
(9,10),1.70557 # DEPENDENCYPART_ARC
(9,11),-0.215472 # DEPENDENCYPART_ARC
(9,12),-0.783422 # DEPENDENCYPART_ARC
(9,13),-0.693356 # DEPENDENCYPART_ARC
(9,14),-0.189557 # DEPENDENCYPART_ARC
(9,15),0.0496839 # DEPENDENCYPART_ARC
(9,16),-0.806221 # DEPENDENCYPART_ARC
(9,17),-0.74355 # DEPENDENCYPART_ARC
(9,18),-0.676512 # DEPENDENCYPART_ARC
(9,19),-0.564948 # DEPENDENCYPART_ARC
(9,20),-0.468338 # DEPENDENCYPART_ARC
(9,21),-0.702167 # DEPENDENCYPART_ARC
(9,22),-1.49405 # DEPENDENCYPART_ARC
(9,23),-0.974169 # DEPENDENCYPART_ARC
(10,1),-1.48211 # DEPENDENCYPART_ARC
(10,2),-1.39494 # DEPENDENCYPART_ARC
(10,5),-1.23435 # DEPENDENCYPART_ARC
(10,7),-0.970306 # DEPENDENCYPART_ARC
(10,8),-0.694782 # DEPENDENCYPART_ARC
(10,9),-0.117336 # DEPENDENCYPART_ARC
(10,12),-0.791144 # DEPENDENCYPART_ARC
(10,13),-0.791308 # DEPENDENCYPART_ARC
(10,14),-0.62992 # DEPENDENCYPART_ARC
(10,15),-0.803546 # DEPENDENCYPART_ARC
(10,18),-0.450952 # DEPENDENCYPART_ARC
(10,19),-1.28198 # DEPENDENCYPART_ARC
(10,20),-1.10288 # DEPENDENCYPART_ARC
(10,21),-1.09651 # DEPENDENCYPART_ARC
(10,22),-1.44551 # DEPENDENCYPART_ARC
(11,1),-1.42624 # DEPENDENCYPART_ARC
(11,3),-1.27273 # DEPENDENCYPART_ARC
(11,4),-1.35295 # DEPENDENCYPART_ARC
(11,5),-1.38179 # DEPENDENCYPART_ARC
(11,6),-1.24079 # DEPENDENCYPART_ARC
(11,7),-1.46956 # DEPENDENCYPART_ARC
(11,8),-0.913378 # DEPENDENCYPART_ARC
(11,9),-0.670022 # DEPENDENCYPART_ARC
(11,10),0.0315181 # DEPENDENCYPART_ARC
(11,12),-0.0268862 # DEPENDENCYPART_ARC
(11,13),-0.493926 # DEPENDENCYPART_ARC
(11,14),-0.883066 # DEPENDENCYPART_ARC
(11,15),-1.02168 # DEPENDENCYPART_ARC
(11,16),-0.805274 # DEPENDENCYPART_ARC
(11,17),-0.754383 # DEPENDENCYPART_ARC
(11,18),-0.294328 # DEPENDENCYPART_ARC
(11,19),-1.24617 # DEPENDENCYPART_ARC
(11,20),-0.799318 # DEPENDENCYPART_ARC
(11,21),-1.05972 # DEPENDENCYPART_ARC
(11,22),-1.72041 # DEPENDENCYPART_ARC
(11,23),-0.774044 # DEPENDENCYPART_ARC
(12,1),-1.95475 # DEPENDENCYPART_ARC
(12,3),-1.92125 # DEPENDENCYPART_ARC
(12,4),-1.39734 # DEPENDENCYPART_ARC
(12,5),-1.83185 # DEPENDENCYPART_ARC
(12,7),-1.3543 # DEPENDENCYPART_ARC
(12,8),-1.6204 # DEPENDENCYPART_ARC
(12,9),-1.12554 # DEPENDENCYPART_ARC
(12,10),-1.25593 # DEPENDENCYPART_ARC
(12,11),0.396801 # DEPENDENCYPART_ARC
(12,13),-0.2738 # DEPENDENCYPART_ARC
(12,14),-0.838178 # DEPENDENCYPART_ARC
(12,15),-0.796656 # DEPENDENCYPART_ARC
(12,16),-1.00348 # DEPENDENCYPART_ARC
(12,17),-1.09518 # DEPENDENCYPART_ARC
(12,18),-0.57929 # DEPENDENCYPART_ARC
(12,19),-1.19383 # DEPENDENCYPART_ARC
(12,20),-0.960337 # DEPENDENCYPART_ARC
(12,21),-1.26363 # DEPENDENCYPART_ARC
(12,22),-1.15196 # DEPENDENCYPART_ARC
(12,23),-0.69063 # DEPENDENCYPART_ARC
(13,1),-1.43763 # DEPENDENCYPART_ARC
(13,2),-1.01494 # DEPENDENCYPART_ARC
(13,3),-1.27105 # DEPENDENCYPART_ARC
(13,4),-0.871264 # DEPENDENCYPART_ARC
(13,5),-1.99402 # DEPENDENCYPART_ARC
(13,6),-1.95248 # DEPENDENCYPART_ARC
(13,7),0.0539995 # DEPENDENCYPART_ARC
(13,8),-2.39358 # DEPENDENCYPART_ARC
(13,9),-0.421476 # DEPENDENCYPART_ARC
(13,10),-0.736922 # DEPENDENCYPART_ARC
(13,11),-0.080585 # DEPENDENCYPART_ARC
(13,12),2.24313 # DEPENDENCYPART_ARC
(13,14),0.351367 # DEPENDENCYPART_ARC
(13,15),-1.48777 # DEPENDENCYPART_ARC
(13,16),-0.726528 # DEPENDENCYPART_ARC
(13,17),-1.05612 # DEPENDENCYPART_ARC
(13,18),-0.928144 # DEPENDENCYPART_ARC
(13,19),-1.4014 # DEPENDENCYPART_ARC
(13,20),-1.01529 # DEPENDENCYPART_ARC
(13,21),-1.39843 # DEPENDENCYPART_ARC
(13,22),-3.51801 # DEPENDENCYPART_ARC
(13,23),-1.17706 # DEPENDENCYPART_ARC
(14,1),-1.40096 # DEPENDENCYPART_ARC
(14,2),-1.15822 # DEPENDENCYPART_ARC
(14,3),-1.72279 # DEPENDENCYPART_ARC
(14,4),0.0845459 # DEPENDENCYPART_ARC
(14,5),-0.541329 # DEPENDENCYPART_ARC
(14,6),-0.59924 # DEPENDENCYPART_ARC
(14,7),-0.586269 # DEPENDENCYPART_ARC
(14,8),-0.21271 # DEPENDENCYPART_ARC
(14,9),-0.444022 # DEPENDENCYPART_ARC
(14,10),-1.35971 # DEPENDENCYPART_ARC
(14,11),0.397133 # DEPENDENCYPART_ARC
(14,12),0.437523 # DEPENDENCYPART_ARC
(14,13),1.74976 # DEPENDENCYPART_ARC
(14,15),1.64695 # DEPENDENCYPART_ARC
(14,16),0.0917666 # DEPENDENCYPART_ARC
(14,17),-0.277459 # DEPENDENCYPART_ARC
(14,18),-0.769086 # DEPENDENCYPART_ARC
(14,19),-0.488241 # DEPENDENCYPART_ARC
(14,20),-0.581298 # DEPENDENCYPART_ARC
(14,21),-0.412244 # DEPENDENCYPART_ARC
(14,22),-0.836152 # DEPENDENCYPART_ARC
(14,23),-1.07345 # DEPENDENCYPART_ARC
(15,1),-1.28539 # DEPENDENCYPART_ARC
(15,3),-1.55781 # DEPENDENCYPART_ARC
(15,4),-0.483555 # DEPENDENCYPART_ARC
(15,5),-0.372074 # DEPENDENCYPART_ARC
(15,6),-1.40376 # DEPENDENCYPART_ARC
(15,7),-0.544718 # DEPENDENCYPART_ARC
