# _root_ eh abstenitu egin zen , eta beste idazki bat aurkeztu zuen , " politikoa den arazoak behingoz irtenbide politikoa " behar_duela argudiatuz .
#goldHeads=2,6,2,2,4,0,8,10,8,6,10,10,11,15,16,21,21,21,18,18,22,10,22,
#predictedHeads=2,6,2,2,4,0,8,10,8,6,10,11,12,15,21,21,21,21,18,19,10,21,22,
(0,1),0.00519593 # DEPENDENCYPART_ARC
(0,2),-0.41198 # DEPENDENCYPART_ARC
(0,3),0.0777605 # DEPENDENCYPART_ARC
(0,4),-0.476051 # DEPENDENCYPART_ARC
(0,5),-0.835411 # DEPENDENCYPART_ARC
(0,6),1.62555 # DEPENDENCYPART_ARC
(0,7),-1.27272 # DEPENDENCYPART_ARC
(0,8),-1.52477 # DEPENDENCYPART_ARC
(0,9),-1.31369 # DEPENDENCYPART_ARC
(0,10),0.355334 # DEPENDENCYPART_ARC
(0,11),-0.713696 # DEPENDENCYPART_ARC
(0,12),-0.573101 # DEPENDENCYPART_ARC
(0,13),-1.13669 # DEPENDENCYPART_ARC
(0,14),-1.5263 # DEPENDENCYPART_ARC
(0,15),-0.482039 # DEPENDENCYPART_ARC
(0,16),-2.39122 # DEPENDENCYPART_ARC
(0,17),-0.218075 # DEPENDENCYPART_ARC
(0,18),-2.24686 # DEPENDENCYPART_ARC
(0,19),-1.52294 # DEPENDENCYPART_ARC
(0,20),-1.94634 # DEPENDENCYPART_ARC
(0,21),-1.41071 # DEPENDENCYPART_ARC
(0,22),-1.67105 # DEPENDENCYPART_ARC
(0,23),-2.51463 # DEPENDENCYPART_ARC
(1,2),-0.272032 # DEPENDENCYPART_ARC
(1,3),-2.9388 # DEPENDENCYPART_ARC
(1,4),-1.76928 # DEPENDENCYPART_ARC
(1,5),-1.635 # DEPENDENCYPART_ARC
(1,6),-1.43481 # DEPENDENCYPART_ARC
(1,7),-1.61792 # DEPENDENCYPART_ARC
(1,8),-2.02116 # DEPENDENCYPART_ARC
(1,9),-2.32628 # DEPENDENCYPART_ARC
(1,10),-3.66706 # DEPENDENCYPART_ARC
(1,11),-2.07887 # DEPENDENCYPART_ARC
(1,12),-1.94173 # DEPENDENCYPART_ARC
(1,13),-2.07218 # DEPENDENCYPART_ARC
(1,14),-5.01496 # DEPENDENCYPART_ARC
(1,15),-2.83432 # DEPENDENCYPART_ARC
(1,16),-2.26681 # DEPENDENCYPART_ARC
(1,17),-1.49131 # DEPENDENCYPART_ARC
(1,18),-2.54644 # DEPENDENCYPART_ARC
(1,19),-5.26983 # DEPENDENCYPART_ARC
(1,20),-2.47802 # DEPENDENCYPART_ARC
(1,21),-3.35182 # DEPENDENCYPART_ARC
(1,22),-3.73451 # DEPENDENCYPART_ARC
(1,23),-2.51068 # DEPENDENCYPART_ARC
(2,1),2.80736 # DEPENDENCYPART_ARC
(2,3),2.59186 # DEPENDENCYPART_ARC
(2,4),1.96981 # DEPENDENCYPART_ARC
(2,5),0.0700764 # DEPENDENCYPART_ARC
(2,6),0.439909 # DEPENDENCYPART_ARC
(2,7),-0.143126 # DEPENDENCYPART_ARC
(2,8),-0.208444 # DEPENDENCYPART_ARC
(2,9),-0.404908 # DEPENDENCYPART_ARC
(2,10),0.0797724 # DEPENDENCYPART_ARC
(2,11),0.3795 # DEPENDENCYPART_ARC
(2,12),-0.174311 # DEPENDENCYPART_ARC
(2,13),-0.278143 # DEPENDENCYPART_ARC
(2,14),-0.425823 # DEPENDENCYPART_ARC
(2,15),0.476092 # DEPENDENCYPART_ARC
(2,16),-0.745029 # DEPENDENCYPART_ARC
(2,17),-0.520535 # DEPENDENCYPART_ARC
(2,18),-1.29056 # DEPENDENCYPART_ARC
(2,19),-0.549117 # DEPENDENCYPART_ARC
(2,20),-0.746811 # DEPENDENCYPART_ARC
(2,21),-0.301936 # DEPENDENCYPART_ARC
(2,22),0.401223 # DEPENDENCYPART_ARC
(2,23),-0.85708 # DEPENDENCYPART_ARC
(3,1),2.0805 # DEPENDENCYPART_ARC
(3,2),1.07954 # DEPENDENCYPART_ARC
(3,4),1.17678 # DEPENDENCYPART_ARC
(3,5),-0.459957 # DEPENDENCYPART_ARC
(3,6),-0.35441 # DEPENDENCYPART_ARC
(3,7),-0.913328 # DEPENDENCYPART_ARC
(3,8),-0.861268 # DEPENDENCYPART_ARC
(3,9),-1.29552 # DEPENDENCYPART_ARC
(3,10),-1.07978 # DEPENDENCYPART_ARC
(3,11),-1.31318 # DEPENDENCYPART_ARC
(3,12),-1.19188 # DEPENDENCYPART_ARC
(3,13),-1.09811 # DEPENDENCYPART_ARC
(3,14),-1.22333 # DEPENDENCYPART_ARC
(3,15),-0.638264 # DEPENDENCYPART_ARC
(3,16),-1.29784 # DEPENDENCYPART_ARC
(3,17),-1.44689 # DEPENDENCYPART_ARC
(3,18),-2.06262 # DEPENDENCYPART_ARC
(3,19),-1.54726 # DEPENDENCYPART_ARC
(3,20),-1.53623 # DEPENDENCYPART_ARC
(3,21),-1.54198 # DEPENDENCYPART_ARC
(3,22),-0.618812 # DEPENDENCYPART_ARC
(3,23),-1.495 # DEPENDENCYPART_ARC
(4,1),-0.862359 # DEPENDENCYPART_ARC
(4,2),-1.14464 # DEPENDENCYPART_ARC
(4,3),-0.995446 # DEPENDENCYPART_ARC
(4,5),1.86422 # DEPENDENCYPART_ARC
(4,6),-1.17968 # DEPENDENCYPART_ARC
(4,7),-1.01249 # DEPENDENCYPART_ARC
(4,8),-1.2118 # DEPENDENCYPART_ARC
(4,9),-1.73352 # DEPENDENCYPART_ARC
(4,10),-1.85245 # DEPENDENCYPART_ARC
(4,11),-0.875966 # DEPENDENCYPART_ARC
(4,12),-0.246807 # DEPENDENCYPART_ARC
(4,13),-0.779365 # DEPENDENCYPART_ARC
(4,14),-2.252 # DEPENDENCYPART_ARC
(4,15),-0.912163 # DEPENDENCYPART_ARC
(4,16),-1.80916 # DEPENDENCYPART_ARC
(4,17),-1.16045 # DEPENDENCYPART_ARC
(4,18),-2.24783 # DEPENDENCYPART_ARC
(4,19),-2.35443 # DEPENDENCYPART_ARC
(4,20),-1.19517 # DEPENDENCYPART_ARC
(4,21),-1.50472 # DEPENDENCYPART_ARC
(4,22),-1.88494 # DEPENDENCYPART_ARC
(4,23),-1.55408 # DEPENDENCYPART_ARC
(5,1),-0.723243 # DEPENDENCYPART_ARC
(5,2),-0.409398 # DEPENDENCYPART_ARC
(5,3),-0.211749 # DEPENDENCYPART_ARC
(5,4),-0.0186965 # DEPENDENCYPART_ARC
(5,6),-0.338858 # DEPENDENCYPART_ARC
(5,7),-1.40913 # DEPENDENCYPART_ARC
(5,8),-1.12145 # DEPENDENCYPART_ARC
(5,9),-1.53392 # DEPENDENCYPART_ARC
(5,10),-0.779684 # DEPENDENCYPART_ARC
(5,11),-0.972982 # DEPENDENCYPART_ARC
(5,12),-0.93791 # DEPENDENCYPART_ARC
(5,13),-0.507186 # DEPENDENCYPART_ARC
(5,14),-1.59854 # DEPENDENCYPART_ARC
(5,15),-1.22909 # DEPENDENCYPART_ARC
(5,16),-1.89092 # DEPENDENCYPART_ARC
(5,17),-1.8168 # DEPENDENCYPART_ARC
(5,18),-2.16232 # DEPENDENCYPART_ARC
(5,19),-1.56868 # DEPENDENCYPART_ARC
(5,20),-1.23646 # DEPENDENCYPART_ARC
(5,21),-1.60855 # DEPENDENCYPART_ARC
(5,22),-1.46602 # DEPENDENCYPART_ARC
(5,23),-1.88675 # DEPENDENCYPART_ARC
(6,1),-0.145174 # DEPENDENCYPART_ARC
(6,2),0.920546 # DEPENDENCYPART_ARC
(6,3),1.5946 # DEPENDENCYPART_ARC
(6,4),-0.411598 # DEPENDENCYPART_ARC
(6,5),-0.0817269 # DEPENDENCYPART_ARC
(6,7),0.0304353 # DEPENDENCYPART_ARC
(6,8),0.0597525 # DEPENDENCYPART_ARC
(6,9),-0.389834 # DEPENDENCYPART_ARC
(6,10),1.24106 # DEPENDENCYPART_ARC
(6,11),-0.416619 # DEPENDENCYPART_ARC
(6,12),-0.271654 # DEPENDENCYPART_ARC
(6,13),-0.687738 # DEPENDENCYPART_ARC
(6,14),-0.839611 # DEPENDENCYPART_ARC
(6,15),-0.727862 # DEPENDENCYPART_ARC
(6,16),-0.621449 # DEPENDENCYPART_ARC
(6,17),-0.79181 # DEPENDENCYPART_ARC
(6,18),-1.7943 # DEPENDENCYPART_ARC
(6,19),-1.28206 # DEPENDENCYPART_ARC
(6,20),-1.35562 # DEPENDENCYPART_ARC
(6,21),-0.506528 # DEPENDENCYPART_ARC
(6,22),-0.580716 # DEPENDENCYPART_ARC
(6,23),-1.47482 # DEPENDENCYPART_ARC
(7,1),-2.737 # DEPENDENCYPART_ARC
(7,2),-2.53085 # DEPENDENCYPART_ARC
(7,3),-2.24097 # DEPENDENCYPART_ARC
(7,4),-1.91548 # DEPENDENCYPART_ARC
(7,5),-1.87087 # DEPENDENCYPART_ARC
(7,6),-0.893469 # DEPENDENCYPART_ARC
(7,8),-0.443077 # DEPENDENCYPART_ARC
(7,9),-0.71879 # DEPENDENCYPART_ARC
(7,10),-1.07101 # DEPENDENCYPART_ARC
(7,11),-1.24022 # DEPENDENCYPART_ARC
(7,12),-0.759042 # DEPENDENCYPART_ARC
(7,13),-0.652225 # DEPENDENCYPART_ARC
(7,14),-1.51056 # DEPENDENCYPART_ARC
(7,15),-1.51623 # DEPENDENCYPART_ARC
(7,16),-1.72575 # DEPENDENCYPART_ARC
(7,17),-1.16047 # DEPENDENCYPART_ARC
(7,18),-1.83672 # DEPENDENCYPART_ARC
(7,19),-1.69103 # DEPENDENCYPART_ARC
(7,20),-1.18479 # DEPENDENCYPART_ARC
(7,21),-1.38404 # DEPENDENCYPART_ARC
(7,22),-1.26938 # DEPENDENCYPART_ARC
(7,23),-1.51813 # DEPENDENCYPART_ARC
(8,1),-1.08664 # DEPENDENCYPART_ARC
(8,2),-0.708235 # DEPENDENCYPART_ARC
(8,3),-0.708957 # DEPENDENCYPART_ARC
(8,4),-0.774737 # DEPENDENCYPART_ARC
(8,5),-0.909769 # DEPENDENCYPART_ARC
(8,6),-0.110647 # DEPENDENCYPART_ARC
(8,7),1.99572 # DEPENDENCYPART_ARC
(8,9),3.064 # DEPENDENCYPART_ARC
(8,10),-0.617221 # DEPENDENCYPART_ARC
(8,11),-0.594584 # DEPENDENCYPART_ARC
(8,12),-0.527154 # DEPENDENCYPART_ARC
(8,13),-0.527839 # DEPENDENCYPART_ARC
(8,14),-0.408835 # DEPENDENCYPART_ARC
(8,15),-0.91078 # DEPENDENCYPART_ARC
(8,16),-0.721503 # DEPENDENCYPART_ARC
(8,17),-0.758769 # DEPENDENCYPART_ARC
(8,18),-0.917523 # DEPENDENCYPART_ARC
(8,19),-0.979062 # DEPENDENCYPART_ARC
(8,20),-1.02238 # DEPENDENCYPART_ARC
(8,21),-1.02022 # DEPENDENCYPART_ARC
(8,22),-0.875142 # DEPENDENCYPART_ARC
(8,23),-0.936485 # DEPENDENCYPART_ARC
(9,1),-1.45141 # DEPENDENCYPART_ARC
(9,2),-1.56473 # DEPENDENCYPART_ARC
(9,3),-1.41698 # DEPENDENCYPART_ARC
(9,4),-1.59269 # DEPENDENCYPART_ARC
(9,5),-1.26834 # DEPENDENCYPART_ARC
(9,6),-0.614142 # DEPENDENCYPART_ARC
(9,7),-0.256986 # DEPENDENCYPART_ARC
(9,8),-0.188255 # DEPENDENCYPART_ARC
(9,10),-1.24844 # DEPENDENCYPART_ARC
(9,11),-1.07934 # DEPENDENCYPART_ARC
(9,12),-0.317806 # DEPENDENCYPART_ARC
(9,13),-0.402631 # DEPENDENCYPART_ARC
(9,14),-1.70523 # DEPENDENCYPART_ARC
(9,15),-1.74222 # DEPENDENCYPART_ARC
(9,16),-1.87118 # DEPENDENCYPART_ARC
(9,17),-0.891903 # DEPENDENCYPART_ARC
(9,18),-1.67267 # DEPENDENCYPART_ARC
(9,19),-1.96113 # DEPENDENCYPART_ARC
(9,20),-0.68195 # DEPENDENCYPART_ARC
(9,21),-2.34504 # DEPENDENCYPART_ARC
(9,22),-1.90954 # DEPENDENCYPART_ARC
(9,23),-1.22826 # DEPENDENCYPART_ARC
(10,1),0.641287 # DEPENDENCYPART_ARC
(10,2),-0.168032 # DEPENDENCYPART_ARC
(10,3),0.253985 # DEPENDENCYPART_ARC
(10,4),0.162192 # DEPENDENCYPART_ARC
(10,5),-0.71958 # DEPENDENCYPART_ARC
(10,6),0.284981 # DEPENDENCYPART_ARC
(10,7),0.412761 # DEPENDENCYPART_ARC
(10,8),1.77403 # DEPENDENCYPART_ARC
(10,9),0.636686 # DEPENDENCYPART_ARC
(10,11),2.20333 # DEPENDENCYPART_ARC
(10,12),0.00476064 # DEPENDENCYPART_ARC
(10,13),-0.154606 # DEPENDENCYPART_ARC
(10,14),-0.116754 # DEPENDENCYPART_ARC
(10,15),0.86591 # DEPENDENCYPART_ARC
(10,16),0.222281 # DEPENDENCYPART_ARC
(10,17),-0.221245 # DEPENDENCYPART_ARC
(10,18),-0.815241 # DEPENDENCYPART_ARC
(10,19),-0.537675 # DEPENDENCYPART_ARC
(10,20),-0.639832 # DEPENDENCYPART_ARC
(10,21),-0.196473 # DEPENDENCYPART_ARC
(10,22),0.82637 # DEPENDENCYPART_ARC
(10,23),-0.879831 # DEPENDENCYPART_ARC
(11,1),-1.73755 # DEPENDENCYPART_ARC
(11,2),-2.41649 # DEPENDENCYPART_ARC
(11,3),-2.99678 # DEPENDENCYPART_ARC
(11,4),-1.29778 # DEPENDENCYPART_ARC
(11,5),-1.61729 # DEPENDENCYPART_ARC
(11,6),-1.56191 # DEPENDENCYPART_ARC
(11,7),-1.22203 # DEPENDENCYPART_ARC
(11,8),-0.499183 # DEPENDENCYPART_ARC
(11,9),-1.14986 # DEPENDENCYPART_ARC
(11,10),-1.70806 # DEPENDENCYPART_ARC
(11,12),1.45965 # DEPENDENCYPART_ARC
(11,13),-0.159103 # DEPENDENCYPART_ARC
