# _root_ lehen gauean , geroztik gaurdaino errepikatu bezala , barmanekin afaldu nuen sukaldean .
#goldHeads=2,10,2,6,6,10,6,7,10,0,10,10,12,
#predictedHeads=2,6,2,6,6,10,6,7,10,0,10,10,12,
(0,1),-0.670007 # DEPENDENCYPART_ARC
(0,2),-1.13007 # DEPENDENCYPART_ARC
(0,3),-0.95108 # DEPENDENCYPART_ARC
(0,4),-0.827646 # DEPENDENCYPART_ARC
(0,5),-0.749234 # DEPENDENCYPART_ARC
(0,6),-0.652762 # DEPENDENCYPART_ARC
(0,7),-0.762822 # DEPENDENCYPART_ARC
(0,8),-1.39355 # DEPENDENCYPART_ARC
(0,9),-1.16004 # DEPENDENCYPART_ARC
(0,10),-0.0553535 # DEPENDENCYPART_ARC
(0,11),-0.450713 # DEPENDENCYPART_ARC
(0,12),-1.79378 # DEPENDENCYPART_ARC
(0,13),-2.21788 # DEPENDENCYPART_ARC
(1,2),-0.902328 # DEPENDENCYPART_ARC
(1,3),-0.987576 # DEPENDENCYPART_ARC
(1,4),-1.43129 # DEPENDENCYPART_ARC
(1,5),-1.55077 # DEPENDENCYPART_ARC
(1,6),-1.57113 # DEPENDENCYPART_ARC
(1,7),-1.51369 # DEPENDENCYPART_ARC
(1,8),-1.70896 # DEPENDENCYPART_ARC
(1,9),-1.96368 # DEPENDENCYPART_ARC
(1,10),-1.77748 # DEPENDENCYPART_ARC
(1,11),-2.08451 # DEPENDENCYPART_ARC
(1,12),-2.31349 # DEPENDENCYPART_ARC
(1,13),-2.01112 # DEPENDENCYPART_ARC
(2,1),2.08457 # DEPENDENCYPART_ARC
(2,3),1.29957 # DEPENDENCYPART_ARC
(2,4),-0.507905 # DEPENDENCYPART_ARC
(2,5),-0.816033 # DEPENDENCYPART_ARC
(2,6),-1.05754 # DEPENDENCYPART_ARC
(2,7),-0.974218 # DEPENDENCYPART_ARC
(2,8),-0.865208 # DEPENDENCYPART_ARC
(2,9),-1.75009 # DEPENDENCYPART_ARC
(2,10),-2.38731 # DEPENDENCYPART_ARC
(2,11),-2.7084 # DEPENDENCYPART_ARC
(2,12),-2.44153 # DEPENDENCYPART_ARC
(2,13),-0.417703 # DEPENDENCYPART_ARC
(3,1),-1.11696 # DEPENDENCYPART_ARC
(3,2),-0.110485 # DEPENDENCYPART_ARC
(3,4),-0.547632 # DEPENDENCYPART_ARC
(3,5),-1.27976 # DEPENDENCYPART_ARC
(3,6),-0.720004 # DEPENDENCYPART_ARC
(3,7),-1.47061 # DEPENDENCYPART_ARC
(3,8),-0.584724 # DEPENDENCYPART_ARC
(3,9),-0.955124 # DEPENDENCYPART_ARC
(3,10),-0.984403 # DEPENDENCYPART_ARC
(3,11),-0.974379 # DEPENDENCYPART_ARC
(3,12),-1.13793 # DEPENDENCYPART_ARC
(3,13),-0.876035 # DEPENDENCYPART_ARC
(4,1),-0.862458 # DEPENDENCYPART_ARC
(4,2),-0.663885 # DEPENDENCYPART_ARC
(4,3),0.172745 # DEPENDENCYPART_ARC
(4,5),0.431979 # DEPENDENCYPART_ARC
(4,6),-1.09778 # DEPENDENCYPART_ARC
(4,7),-0.739379 # DEPENDENCYPART_ARC
(4,8),-0.307726 # DEPENDENCYPART_ARC
(4,9),-1.13442 # DEPENDENCYPART_ARC
(4,10),-1.44983 # DEPENDENCYPART_ARC
(4,11),-1.20271 # DEPENDENCYPART_ARC
(4,12),-1.31549 # DEPENDENCYPART_ARC
(4,13),-0.821527 # DEPENDENCYPART_ARC
(5,1),-0.975717 # DEPENDENCYPART_ARC
(5,2),-0.655799 # DEPENDENCYPART_ARC
(5,3),-0.767667 # DEPENDENCYPART_ARC
(5,4),0.412896 # DEPENDENCYPART_ARC
(5,6),-0.245148 # DEPENDENCYPART_ARC
(5,7),-0.482662 # DEPENDENCYPART_ARC
(5,8),-0.207682 # DEPENDENCYPART_ARC
(5,9),-1.00947 # DEPENDENCYPART_ARC
(5,10),-1.43932 # DEPENDENCYPART_ARC
(5,11),-1.09018 # DEPENDENCYPART_ARC
(5,12),-1.00908 # DEPENDENCYPART_ARC
(5,13),-0.749262 # DEPENDENCYPART_ARC
(6,1),-0.428579 # DEPENDENCYPART_ARC
(6,2),0.728835 # DEPENDENCYPART_ARC
(6,3),-0.698845 # DEPENDENCYPART_ARC
(6,4),0.808788 # DEPENDENCYPART_ARC
(6,5),1.15827 # DEPENDENCYPART_ARC
(6,7),2.09378 # DEPENDENCYPART_ARC
(6,8),0.455259 # DEPENDENCYPART_ARC
(6,9),0.236859 # DEPENDENCYPART_ARC
(6,10),0.304281 # DEPENDENCYPART_ARC
(6,11),0.690957 # DEPENDENCYPART_ARC
(6,12),0.733148 # DEPENDENCYPART_ARC
(6,13),-0.191883 # DEPENDENCYPART_ARC
(7,1),-1.30618 # DEPENDENCYPART_ARC
(7,2),-1.19245 # DEPENDENCYPART_ARC
(7,3),-1.05513 # DEPENDENCYPART_ARC
(7,4),-0.654088 # DEPENDENCYPART_ARC
(7,5),-0.599774 # DEPENDENCYPART_ARC
(7,6),-0.340963 # DEPENDENCYPART_ARC
(7,8),1.94322 # DEPENDENCYPART_ARC
(7,9),-0.644821 # DEPENDENCYPART_ARC
(7,10),-1.00624 # DEPENDENCYPART_ARC
(7,11),-0.77003 # DEPENDENCYPART_ARC
(7,12),-0.992452 # DEPENDENCYPART_ARC
(7,13),-0.219703 # DEPENDENCYPART_ARC
(8,1),-1.83246 # DEPENDENCYPART_ARC
(8,2),-1.33783 # DEPENDENCYPART_ARC
(8,3),-1.30479 # DEPENDENCYPART_ARC
(8,4),-1.3095 # DEPENDENCYPART_ARC
(8,5),-1.10349 # DEPENDENCYPART_ARC
(8,6),-0.527542 # DEPENDENCYPART_ARC
(8,7),-0.641701 # DEPENDENCYPART_ARC
(8,9),-0.413159 # DEPENDENCYPART_ARC
(8,10),-0.735531 # DEPENDENCYPART_ARC
(8,11),-0.472678 # DEPENDENCYPART_ARC
(8,12),-1.12507 # DEPENDENCYPART_ARC
(8,13),-0.475098 # DEPENDENCYPART_ARC
(9,1),-0.987847 # DEPENDENCYPART_ARC
(9,2),-3.00934 # DEPENDENCYPART_ARC
(9,3),-1.52743 # DEPENDENCYPART_ARC
(9,4),-1.29316 # DEPENDENCYPART_ARC
(9,5),-1.06357 # DEPENDENCYPART_ARC
(9,6),-0.93415 # DEPENDENCYPART_ARC
(9,7),-0.513028 # DEPENDENCYPART_ARC
(9,8),0.349687 # DEPENDENCYPART_ARC
(9,10),-0.968934 # DEPENDENCYPART_ARC
(9,11),-0.29176 # DEPENDENCYPART_ARC
(9,12),-0.974608 # DEPENDENCYPART_ARC
(9,13),-0.294541 # DEPENDENCYPART_ARC
(10,1),-0.780951 # DEPENDENCYPART_ARC
(10,2),-0.0873662 # DEPENDENCYPART_ARC
(10,3),-1.44961 # DEPENDENCYPART_ARC
(10,4),-0.271327 # DEPENDENCYPART_ARC
(10,5),-0.729426 # DEPENDENCYPART_ARC
(10,6),0.444438 # DEPENDENCYPART_ARC
(10,7),-0.369576 # DEPENDENCYPART_ARC
(10,8),-0.853636 # DEPENDENCYPART_ARC
(10,9),1.91148 # DEPENDENCYPART_ARC
(10,11),2.15351 # DEPENDENCYPART_ARC
(10,12),1.68533 # DEPENDENCYPART_ARC
(10,13),-0.0932747 # DEPENDENCYPART_ARC
(11,1),-1.72856 # DEPENDENCYPART_ARC
(11,2),-2.27812 # DEPENDENCYPART_ARC
(11,3),-1.83882 # DEPENDENCYPART_ARC
(11,4),-1.35584 # DEPENDENCYPART_ARC
(11,5),-1.32565 # DEPENDENCYPART_ARC
(11,6),-2.25758 # DEPENDENCYPART_ARC
(11,7),-1.16391 # DEPENDENCYPART_ARC
(11,8),-1.41016 # DEPENDENCYPART_ARC
(11,9),-0.927123 # DEPENDENCYPART_ARC
(11,10),-1.6995 # DEPENDENCYPART_ARC
(11,12),0.31344 # DEPENDENCYPART_ARC
(11,13),-0.484019 # DEPENDENCYPART_ARC
(12,1),-1.1169 # DEPENDENCYPART_ARC
(12,2),-4.12291 # DEPENDENCYPART_ARC
(12,3),-1.55675 # DEPENDENCYPART_ARC
(12,4),-1.17541 # DEPENDENCYPART_ARC
(12,5),-1.12316 # DEPENDENCYPART_ARC
(12,6),-1.21131 # DEPENDENCYPART_ARC
(12,7),-1.13688 # DEPENDENCYPART_ARC
(12,8),-1.20555 # DEPENDENCYPART_ARC
(12,9),-2.4134 # DEPENDENCYPART_ARC
(12,10),0.728061 # DEPENDENCYPART_ARC
(12,11),0.493127 # DEPENDENCYPART_ARC
(12,13),2.00731 # DEPENDENCYPART_ARC
(13,1),-2.04998 # DEPENDENCYPART_ARC
(13,2),-1.85311 # DEPENDENCYPART_ARC
(13,3),-1.28726 # DEPENDENCYPART_ARC
(13,4),-1.43082 # DEPENDENCYPART_ARC
(13,5),-1.37906 # DEPENDENCYPART_ARC
