# _root_ " sakabanaketa_bezalako legez kanpoko tresna presoen_kontra erabiltzeaz gain , orain espetxe_barruko errepresioa gogortzen ari_dira " , salatu dute aabek .
#goldHeads=0,5,5,3,7,7,13,7,8,13,12,13,0,0,14,15,0,17,17,19,
#predictedHeads=0,3,14,5,7,7,14,7,8,14,12,13,14,0,14,15,0,17,17,19,
(0,1),1.38705 # DEPENDENCYPART_ARC
(0,2),-0.414942 # DEPENDENCYPART_ARC
(0,3),-0.170013 # DEPENDENCYPART_ARC
(0,4),-0.684982 # DEPENDENCYPART_ARC
(0,5),-0.145812 # DEPENDENCYPART_ARC
(0,6),-1.36928 # DEPENDENCYPART_ARC
(0,7),-1.44836 # DEPENDENCYPART_ARC
(0,8),-0.806881 # DEPENDENCYPART_ARC
(0,9),-1.24286 # DEPENDENCYPART_ARC
(0,10),-1.75131 # DEPENDENCYPART_ARC
(0,11),-1.10853 # DEPENDENCYPART_ARC
(0,12),-1.39533 # DEPENDENCYPART_ARC
(0,13),-1.46482 # DEPENDENCYPART_ARC
(0,14),-0.229854 # DEPENDENCYPART_ARC
(0,15),-3.27502 # DEPENDENCYPART_ARC
(0,16),-1.4797 # DEPENDENCYPART_ARC
(0,17),1.42445 # DEPENDENCYPART_ARC
(0,18),-0.553017 # DEPENDENCYPART_ARC
(0,19),-1.91918 # DEPENDENCYPART_ARC
(0,20),-3.17301 # DEPENDENCYPART_ARC
(1,2),-1.882 # DEPENDENCYPART_ARC
(1,3),-2.46049 # DEPENDENCYPART_ARC
(1,4),-2.27413 # DEPENDENCYPART_ARC
(1,5),-2.39359 # DEPENDENCYPART_ARC
(1,6),-2.44739 # DEPENDENCYPART_ARC
(1,7),-2.30908 # DEPENDENCYPART_ARC
(1,8),-2.61028 # DEPENDENCYPART_ARC
(1,9),-1.77957 # DEPENDENCYPART_ARC
(1,10),-2.72235 # DEPENDENCYPART_ARC
(1,11),-2.6831 # DEPENDENCYPART_ARC
(1,12),-2.77726 # DEPENDENCYPART_ARC
(1,13),-2.62786 # DEPENDENCYPART_ARC
(1,14),-2.85812 # DEPENDENCYPART_ARC
(1,15),-2.34406 # DEPENDENCYPART_ARC
(1,16),-2.39278 # DEPENDENCYPART_ARC
(1,17),-3.19556 # DEPENDENCYPART_ARC
(1,18),-1.93326 # DEPENDENCYPART_ARC
(1,19),-3.11708 # DEPENDENCYPART_ARC
(1,20),-3.04257 # DEPENDENCYPART_ARC
(2,1),-0.370288 # DEPENDENCYPART_ARC
(2,3),0.0477958 # DEPENDENCYPART_ARC
(2,4),-0.832438 # DEPENDENCYPART_ARC
(2,5),-1.65952 # DEPENDENCYPART_ARC
(2,6),-2.11742 # DEPENDENCYPART_ARC
(2,7),-3.67602 # DEPENDENCYPART_ARC
(2,8),-1.41261 # DEPENDENCYPART_ARC
(2,9),-1.00155 # DEPENDENCYPART_ARC
(2,10),-1.22119 # DEPENDENCYPART_ARC
(2,11),-2.78165 # DEPENDENCYPART_ARC
(2,12),-2.85688 # DEPENDENCYPART_ARC
(2,13),-2.6833 # DEPENDENCYPART_ARC
(2,14),-2.64484 # DEPENDENCYPART_ARC
(2,15),-1.8267 # DEPENDENCYPART_ARC
(2,16),-1.94557 # DEPENDENCYPART_ARC
(2,17),-3.50902 # DEPENDENCYPART_ARC
(2,18),-3.59022 # DEPENDENCYPART_ARC
(2,19),-3.19049 # DEPENDENCYPART_ARC
(2,20),-1.00913 # DEPENDENCYPART_ARC
(3,1),-1.49232 # DEPENDENCYPART_ARC
(3,2),1.14428 # DEPENDENCYPART_ARC
(3,4),0.986064 # DEPENDENCYPART_ARC
(3,5),-0.134131 # DEPENDENCYPART_ARC
(3,6),-0.619672 # DEPENDENCYPART_ARC
(3,7),-1.03292 # DEPENDENCYPART_ARC
(3,8),-0.982558 # DEPENDENCYPART_ARC
(3,9),-0.690117 # DEPENDENCYPART_ARC
(3,10),-0.959101 # DEPENDENCYPART_ARC
(3,11),-1.52837 # DEPENDENCYPART_ARC
(3,12),-0.841444 # DEPENDENCYPART_ARC
(3,13),-1.16409 # DEPENDENCYPART_ARC
(3,14),-1.34506 # DEPENDENCYPART_ARC
(3,15),-1.43574 # DEPENDENCYPART_ARC
(3,16),-1.80244 # DEPENDENCYPART_ARC
(3,17),-2.10012 # DEPENDENCYPART_ARC
(3,18),-1.53941 # DEPENDENCYPART_ARC
(3,19),-1.9469 # DEPENDENCYPART_ARC
(3,20),-0.77622 # DEPENDENCYPART_ARC
(4,1),-2.07209 # DEPENDENCYPART_ARC
(4,2),-1.27463 # DEPENDENCYPART_ARC
(4,3),-0.346338 # DEPENDENCYPART_ARC
(4,5),-1.19841 # DEPENDENCYPART_ARC
(4,6),-2.22079 # DEPENDENCYPART_ARC
(4,7),-3.71789 # DEPENDENCYPART_ARC
(4,8),-2.09474 # DEPENDENCYPART_ARC
(4,9),-1.62896 # DEPENDENCYPART_ARC
(4,10),-1.87058 # DEPENDENCYPART_ARC
(4,11),-3.20665 # DEPENDENCYPART_ARC
(4,12),-2.99976 # DEPENDENCYPART_ARC
(4,13),-3.2471 # DEPENDENCYPART_ARC
(4,14),-3.50257 # DEPENDENCYPART_ARC
(4,15),-2.24968 # DEPENDENCYPART_ARC
(4,16),-2.53906 # DEPENDENCYPART_ARC
(4,17),-4.1873 # DEPENDENCYPART_ARC
(4,18),-4.05629 # DEPENDENCYPART_ARC
