# _root_ zergatik oroitu behar_zuen nitaz , bere bizitzan_zehar , gainean eta azpian izandako ehundaka haietariko beste bat gehiago ez banintz bezala ? .
#goldHeads=3,3,0,2,4,7,3,7,10,12,10,16,14,16,16,19,16,19,3,19,20,21,
#predictedHeads=2,3,0,2,4,7,10,7,10,12,10,0,12,13,16,17,19,19,10,19,20,21,
(0,1),0.390414 # DEPENDENCYPART_ARC
(0,2),-0.133579 # DEPENDENCYPART_ARC
(0,3),1.37489 # DEPENDENCYPART_ARC
(0,4),-0.490797 # DEPENDENCYPART_ARC
(0,5),-0.307411 # DEPENDENCYPART_ARC
(0,7),-1.00874 # DEPENDENCYPART_ARC
(0,8),-0.402684 # DEPENDENCYPART_ARC
(0,9),-0.707125 # DEPENDENCYPART_ARC
(0,10),-0.764404 # DEPENDENCYPART_ARC
(0,11),-0.843739 # DEPENDENCYPART_ARC
(0,12),-0.629522 # DEPENDENCYPART_ARC
(0,13),-1.43583 # DEPENDENCYPART_ARC
(0,14),-1.54791 # DEPENDENCYPART_ARC
(0,15),-1.1863 # DEPENDENCYPART_ARC
(0,16),-1.36767 # DEPENDENCYPART_ARC
(0,17),-1.51636 # DEPENDENCYPART_ARC
(0,18),-0.322768 # DEPENDENCYPART_ARC
(0,19),-0.58538 # DEPENDENCYPART_ARC
(0,20),-0.469006 # DEPENDENCYPART_ARC
(0,21),-1.84949 # DEPENDENCYPART_ARC
(0,22),-1.68638 # DEPENDENCYPART_ARC
(1,5),-1.51508 # DEPENDENCYPART_ARC
(1,7),-1.64601 # DEPENDENCYPART_ARC
(1,8),-1.79294 # DEPENDENCYPART_ARC
(1,9),-1.8303 # DEPENDENCYPART_ARC
(1,10),-1.7509 # DEPENDENCYPART_ARC
(1,11),-1.78963 # DEPENDENCYPART_ARC
(1,18),-2.26177 # DEPENDENCYPART_ARC
(1,20),-1.70956 # DEPENDENCYPART_ARC
(1,22),-2.27816 # DEPENDENCYPART_ARC
(2,1),1.12729 # DEPENDENCYPART_ARC
(2,3),0.0979982 # DEPENDENCYPART_ARC
(2,4),0.142887 # DEPENDENCYPART_ARC
(2,5),-0.220525 # DEPENDENCYPART_ARC
(2,6),-0.968689 # DEPENDENCYPART_ARC
(2,7),0.520655 # DEPENDENCYPART_ARC
(2,8),-0.468266 # DEPENDENCYPART_ARC
(2,9),-0.438665 # DEPENDENCYPART_ARC
(2,10),-0.167139 # DEPENDENCYPART_ARC
(2,11),-0.990631 # DEPENDENCYPART_ARC
(2,12),-0.877331 # DEPENDENCYPART_ARC
(2,13),-1.33262 # DEPENDENCYPART_ARC
(2,14),-1.5592 # DEPENDENCYPART_ARC
(2,15),-1.47391 # DEPENDENCYPART_ARC
(2,16),-1.6007 # DEPENDENCYPART_ARC
(2,17),-1.16495 # DEPENDENCYPART_ARC
(2,18),-0.591245 # DEPENDENCYPART_ARC
(2,19),-1.35019 # DEPENDENCYPART_ARC
(2,20),-1.42838 # DEPENDENCYPART_ARC
(2,21),-0.860755 # DEPENDENCYPART_ARC
(2,22),-0.998844 # DEPENDENCYPART_ARC
(3,1),0.604529 # DEPENDENCYPART_ARC
(3,2),1.86959 # DEPENDENCYPART_ARC
(3,4),-0.310129 # DEPENDENCYPART_ARC
(3,5),0.0899706 # DEPENDENCYPART_ARC
(3,6),-1.75883 # DEPENDENCYPART_ARC
(3,7),0.418633 # DEPENDENCYPART_ARC
(3,8),-0.600026 # DEPENDENCYPART_ARC
(3,9),0.109937 # DEPENDENCYPART_ARC
(3,10),-0.399124 # DEPENDENCYPART_ARC
(3,11),-0.548993 # DEPENDENCYPART_ARC
(3,12),-1.49863 # DEPENDENCYPART_ARC
(3,13),-1.85816 # DEPENDENCYPART_ARC
(3,14),-3.19561 # DEPENDENCYPART_ARC
(3,15),-1.6248 # DEPENDENCYPART_ARC
(3,16),-1.81403 # DEPENDENCYPART_ARC
(3,17),-2.05253 # DEPENDENCYPART_ARC
(3,18),-1.38527 # DEPENDENCYPART_ARC
(3,19),-1.34454 # DEPENDENCYPART_ARC
(3,20),-1.44681 # DEPENDENCYPART_ARC
(3,21),-0.915684 # DEPENDENCYPART_ARC
(3,22),-1.11794 # DEPENDENCYPART_ARC
(4,2),-0.808343 # DEPENDENCYPART_ARC
(4,5),1.08778 # DEPENDENCYPART_ARC
(4,7),-1.69442 # DEPENDENCYPART_ARC
(4,8),-0.207737 # DEPENDENCYPART_ARC
(4,9),-1.76997 # DEPENDENCYPART_ARC
(4,11),-2.00917 # DEPENDENCYPART_ARC
(4,12),-1.45559 # DEPENDENCYPART_ARC
(4,14),-1.22333 # DEPENDENCYPART_ARC
(4,16),-1.08449 # DEPENDENCYPART_ARC
(4,20),-1.05527 # DEPENDENCYPART_ARC
(4,21),-0.521785 # DEPENDENCYPART_ARC
(4,22),-0.625005 # DEPENDENCYPART_ARC
(5,2),-0.427376 # DEPENDENCYPART_ARC
(5,3),-0.428688 # DEPENDENCYPART_ARC
(5,7),-0.646001 # DEPENDENCYPART_ARC
(5,9),-0.762047 # DEPENDENCYPART_ARC
(5,10),-1.14879 # DEPENDENCYPART_ARC
(5,11),-0.905614 # DEPENDENCYPART_ARC
(5,12),-0.973861 # DEPENDENCYPART_ARC
(5,13),-1.31795 # DEPENDENCYPART_ARC
(5,15),-1.31431 # DEPENDENCYPART_ARC
(5,16),-1.43777 # DEPENDENCYPART_ARC
(5,17),-1.42966 # DEPENDENCYPART_ARC
(5,19),-0.686176 # DEPENDENCYPART_ARC
(6,2),-1.71711 # DEPENDENCYPART_ARC
(6,5),-0.186191 # DEPENDENCYPART_ARC
(6,8),-0.100786 # DEPENDENCYPART_ARC
(6,12),-1.01778 # DEPENDENCYPART_ARC
(6,20),-1.02432 # DEPENDENCYPART_ARC
(6,21),-1.17242 # DEPENDENCYPART_ARC
(6,22),-1.30169 # DEPENDENCYPART_ARC
(7,2),-1.50424 # DEPENDENCYPART_ARC
(7,3),-1.81193 # DEPENDENCYPART_ARC
(7,4),-1.33863 # DEPENDENCYPART_ARC
(7,5),-0.913525 # DEPENDENCYPART_ARC
(7,6),1.18542 # DEPENDENCYPART_ARC
(7,8),1.42975 # DEPENDENCYPART_ARC
(7,9),-1.32302 # DEPENDENCYPART_ARC
(7,10),-1.09783 # DEPENDENCYPART_ARC
(7,11),-2.00044 # DEPENDENCYPART_ARC
(7,12),-1.9497 # DEPENDENCYPART_ARC
(7,13),-2.62433 # DEPENDENCYPART_ARC
(7,14),-3.29932 # DEPENDENCYPART_ARC
(7,15),-1.65373 # DEPENDENCYPART_ARC
(7,16),-2.12654 # DEPENDENCYPART_ARC
(7,17),-4.64409 # DEPENDENCYPART_ARC
(7,18),-2.38287 # DEPENDENCYPART_ARC
(7,19),-1.89533 # DEPENDENCYPART_ARC
(7,20),-1.29209 # DEPENDENCYPART_ARC
(7,21),-1.19197 # DEPENDENCYPART_ARC
(7,22),-1.11995 # DEPENDENCYPART_ARC
(8,2),-0.946824 # DEPENDENCYPART_ARC
(8,3),-1.09762 # DEPENDENCYPART_ARC
(8,7),-0.154933 # DEPENDENCYPART_ARC
(8,9),-0.296607 # DEPENDENCYPART_ARC
(8,10),-1.02115 # DEPENDENCYPART_ARC
(8,11),-0.714552 # DEPENDENCYPART_ARC
(8,12),-0.574228 # DEPENDENCYPART_ARC
(8,13),-1.07705 # DEPENDENCYPART_ARC
(8,15),-1.25372 # DEPENDENCYPART_ARC
(8,16),-1.42124 # DEPENDENCYPART_ARC
(8,17),-1.3625 # DEPENDENCYPART_ARC
(8,19),-0.499808 # DEPENDENCYPART_ARC
(9,2),-2.42734 # DEPENDENCYPART_ARC
(9,3),-2.79866 # DEPENDENCYPART_ARC
(9,4),-2.61612 # DEPENDENCYPART_ARC
(9,5),-1.84866 # DEPENDENCYPART_ARC
(9,6),-0.385762 # DEPENDENCYPART_ARC
(9,7),-1.44889 # DEPENDENCYPART_ARC
(9,8),0.0200678 # DEPENDENCYPART_ARC
(9,10),-0.774061 # DEPENDENCYPART_ARC
(9,11),-1.87237 # DEPENDENCYPART_ARC
(9,12),-1.93086 # DEPENDENCYPART_ARC
(9,13),-2.47201 # DEPENDENCYPART_ARC
(9,14),-3.3434 # DEPENDENCYPART_ARC
(9,15),-2.07493 # DEPENDENCYPART_ARC
(9,16),-2.32867 # DEPENDENCYPART_ARC
(9,17),-3.80157 # DEPENDENCYPART_ARC
(9,18),-3.0004 # DEPENDENCYPART_ARC
(9,19),-2.46766 # DEPENDENCYPART_ARC
(9,20),-1.61845 # DEPENDENCYPART_ARC
(9,21),-1.90853 # DEPENDENCYPART_ARC
(9,22),-2.05564 # DEPENDENCYPART_ARC
(10,1),-1.09255 # DEPENDENCYPART_ARC
(10,2),-1.06844 # DEPENDENCYPART_ARC
(10,3),-0.922853 # DEPENDENCYPART_ARC
(10,4),-0.733242 # DEPENDENCYPART_ARC
(10,5),-1.59278 # DEPENDENCYPART_ARC
(10,6),-0.443702 # DEPENDENCYPART_ARC
(10,7),0.595283 # DEPENDENCYPART_ARC
(10,8),-1.10743 # DEPENDENCYPART_ARC
(10,9),1.88424 # DEPENDENCYPART_ARC
(10,11),2.97788 # DEPENDENCYPART_ARC
(10,12),-0.553472 # DEPENDENCYPART_ARC
(10,13),-0.364599 # DEPENDENCYPART_ARC
(10,14),-0.992206 # DEPENDENCYPART_ARC
(10,15),-0.723476 # DEPENDENCYPART_ARC
(10,16),-0.551743 # DEPENDENCYPART_ARC
(10,17),-0.966478 # DEPENDENCYPART_ARC
(10,18),-1.1998 # DEPENDENCYPART_ARC
(10,19),0.163302 # DEPENDENCYPART_ARC
(10,20),-0.75843 # DEPENDENCYPART_ARC
(10,21),-1.05265 # DEPENDENCYPART_ARC
(10,22),-1.40238 # DEPENDENCYPART_ARC
(11,2),-2.92407 # DEPENDENCYPART_ARC
(11,3),-3.23722 # DEPENDENCYPART_ARC
(11,4),-3.51378 # DEPENDENCYPART_ARC
(11,5),-2.75164 # DEPENDENCYPART_ARC
(11,6),-1.51404 # DEPENDENCYPART_ARC
(11,7),-2.72427 # DEPENDENCYPART_ARC
(11,8),-2.14434 # DEPENDENCYPART_ARC
(11,9),-3.23261 # DEPENDENCYPART_ARC
(11,10),-0.667205 # DEPENDENCYPART_ARC
(11,12),-0.761334 # DEPENDENCYPART_ARC
(11,13),-1.32598 # DEPENDENCYPART_ARC
(11,14),-2.81876 # DEPENDENCYPART_ARC
(11,15),-1.46496 # DEPENDENCYPART_ARC
(11,16),-1.78464 # DEPENDENCYPART_ARC
(11,17),-3.35096 # DEPENDENCYPART_ARC
(11,18),-2.62832 # DEPENDENCYPART_ARC
(11,19),-2.05925 # DEPENDENCYPART_ARC
(11,20),-1.24018 # DEPENDENCYPART_ARC
(11,21),-1.44024 # DEPENDENCYPART_ARC
(11,22),-1.53123 # DEPENDENCYPART_ARC
(12,1),-1.40269 # DEPENDENCYPART_ARC
(12,2),-1.43393 # DEPENDENCYPART_ARC
(12,3),-1.94666 # DEPENDENCYPART_ARC
(12,4),-0.843043 # DEPENDENCYPART_ARC
(12,5),-1.65959 # DEPENDENCYPART_ARC
(12,6),-1.46901 # DEPENDENCYPART_ARC
(12,7),0.396737 # DEPENDENCYPART_ARC
(12,8),-1.55859 # DEPENDENCYPART_ARC
(12,9),0.328014 # DEPENDENCYPART_ARC
(12,10),0.611006 # DEPENDENCYPART_ARC
(12,11),2.10089 # DEPENDENCYPART_ARC
(12,13),0.317066 # DEPENDENCYPART_ARC
(12,14),-1.48373 # DEPENDENCYPART_ARC
(12,15),-0.724908 # DEPENDENCYPART_ARC
