# _root_ bestalde , donostiako manifestaldian izan zen " batasuna " azpimarratu zuen elortzak , eta " demokraten batasun hori berriz eskuratu " behar dela uste_du .
#goldHeads=0,3,4,5,8,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,24,22,14,24,
#predictedHeads=0,3,4,5,0,5,6,10,8,14,10,10,12,0,14,17,20,17,20,22,20,23,24,14,24,
(0,1),1.56601 # DEPENDENCYPART_ARC
(0,2),-1.15927 # DEPENDENCYPART_ARC
(0,3),-0.841179 # DEPENDENCYPART_ARC
(0,4),-1.08973 # DEPENDENCYPART_ARC
(0,5),0.453369 # DEPENDENCYPART_ARC
(0,6),-1.12283 # DEPENDENCYPART_ARC
(0,7),-0.78792 # DEPENDENCYPART_ARC
(0,8),-0.714865 # DEPENDENCYPART_ARC
(0,9),-1.21957 # DEPENDENCYPART_ARC
(0,10),1.40428 # DEPENDENCYPART_ARC
(0,11),-0.585674 # DEPENDENCYPART_ARC
(0,12),-1.94666 # DEPENDENCYPART_ARC
(0,13),-1.26703 # DEPENDENCYPART_ARC
(0,14),0.604726 # DEPENDENCYPART_ARC
(0,15),-2.14571 # DEPENDENCYPART_ARC
(0,16),-1.33992 # DEPENDENCYPART_ARC
(0,17),-1.26766 # DEPENDENCYPART_ARC
(0,18),-1.64036 # DEPENDENCYPART_ARC
(0,19),-0.20226 # DEPENDENCYPART_ARC
(0,20),-1.16598 # DEPENDENCYPART_ARC
(0,21),-3.24564 # DEPENDENCYPART_ARC
(0,22),0.165485 # DEPENDENCYPART_ARC
(0,23),-2.88744 # DEPENDENCYPART_ARC
(0,24),-0.304228 # DEPENDENCYPART_ARC
(0,25),-2.61851 # DEPENDENCYPART_ARC
(1,2),-0.922794 # DEPENDENCYPART_ARC
(1,4),-2.3647 # DEPENDENCYPART_ARC
(1,5),-3.00832 # DEPENDENCYPART_ARC
(1,7),-2.67745 # DEPENDENCYPART_ARC
(1,8),-3.34075 # DEPENDENCYPART_ARC
(1,9),-3.17873 # DEPENDENCYPART_ARC
(1,10),-4.00243 # DEPENDENCYPART_ARC
(1,13),-3.7646 # DEPENDENCYPART_ARC
(1,14),-3.32746 # DEPENDENCYPART_ARC
(1,15),-3.15867 # DEPENDENCYPART_ARC
(1,16),-3.89545 # DEPENDENCYPART_ARC
