# _root_ sabelean kolpeak eman zizkiotela , eta barrabiletatik hartu zutela aurrekoan , deitoratu zuen .
#goldHeads=3,3,6,3,4,12,8,6,8,8,10,0,12,13,
#predictedHeads=3,3,6,3,4,0,8,6,8,12,10,6,12,13,
(0,1),-0.201699 # DEPENDENCYPART_ARC
(0,2),-0.572229 # DEPENDENCYPART_ARC
(0,3),0.743786 # DEPENDENCYPART_ARC
(0,4),-0.538653 # DEPENDENCYPART_ARC
(0,5),-0.936547 # DEPENDENCYPART_ARC
(0,6),1.195 # DEPENDENCYPART_ARC
(0,7),-1.22907 # DEPENDENCYPART_ARC
(0,8),-0.111319 # DEPENDENCYPART_ARC
(0,9),-0.688891 # DEPENDENCYPART_ARC
(0,10),-0.72537 # DEPENDENCYPART_ARC
(0,11),-0.604409 # DEPENDENCYPART_ARC
(0,12),-0.0497902 # DEPENDENCYPART_ARC
(0,13),-0.526533 # DEPENDENCYPART_ARC
(0,14),-1.7599 # DEPENDENCYPART_ARC
(1,2),-0.291776 # DEPENDENCYPART_ARC
(1,3),-2.57196 # DEPENDENCYPART_ARC
(1,4),-2.90656 # DEPENDENCYPART_ARC
(1,5),-1.91119 # DEPENDENCYPART_ARC
(1,6),-1.68255 # DEPENDENCYPART_ARC
(1,7),-2.68257 # DEPENDENCYPART_ARC
(1,8),-3.00003 # DEPENDENCYPART_ARC
(1,9),-2.58993 # DEPENDENCYPART_ARC
(1,10),-2.16659 # DEPENDENCYPART_ARC
(1,11),-2.09066 # DEPENDENCYPART_ARC
(1,12),-3.23548 # DEPENDENCYPART_ARC
(1,13),-2.95561 # DEPENDENCYPART_ARC
(1,14),-2.15297 # DEPENDENCYPART_ARC
(2,1),0.142596 # DEPENDENCYPART_ARC
(2,3),-1.31623 # DEPENDENCYPART_ARC
(2,4),-0.353234 # DEPENDENCYPART_ARC
(2,5),-0.765259 # DEPENDENCYPART_ARC
(2,6),-0.698071 # DEPENDENCYPART_ARC
(2,7),-1.72519 # DEPENDENCYPART_ARC
(2,8),-2.4353 # DEPENDENCYPART_ARC
(2,9),-0.586934 # DEPENDENCYPART_ARC
(2,10),-1.60011 # DEPENDENCYPART_ARC
(2,11),-1.21332 # DEPENDENCYPART_ARC
(2,12),-2.75197 # DEPENDENCYPART_ARC
(2,13),-1.46496 # DEPENDENCYPART_ARC
(2,14),-1.28171 # DEPENDENCYPART_ARC
(3,1),2.27925 # DEPENDENCYPART_ARC
(3,2),2.43407 # DEPENDENCYPART_ARC
(3,4),1.91299 # DEPENDENCYPART_ARC
(3,5),-0.502216 # DEPENDENCYPART_ARC
(3,6),-0.0894207 # DEPENDENCYPART_ARC
(3,7),-0.757087 # DEPENDENCYPART_ARC
(3,8),-0.698107 # DEPENDENCYPART_ARC
(3,9),-0.684463 # DEPENDENCYPART_ARC
(3,10),0.210839 # DEPENDENCYPART_ARC
(3,11),-1.25014 # DEPENDENCYPART_ARC
(3,12),-1.04975 # DEPENDENCYPART_ARC
(3,13),-1.24149 # DEPENDENCYPART_ARC
(3,14),-1.39996 # DEPENDENCYPART_ARC
(4,1),-1.68797 # DEPENDENCYPART_ARC
(4,2),-0.844578 # DEPENDENCYPART_ARC
(4,3),-1.09959 # DEPENDENCYPART_ARC
(4,5),1.90433 # DEPENDENCYPART_ARC
(4,6),-0.661068 # DEPENDENCYPART_ARC
(4,7),-0.328953 # DEPENDENCYPART_ARC
(4,8),-2.62518 # DEPENDENCYPART_ARC
(4,9),-0.606737 # DEPENDENCYPART_ARC
(4,10),-0.153361 # DEPENDENCYPART_ARC
(4,11),-0.503028 # DEPENDENCYPART_ARC
(4,12),-2.87635 # DEPENDENCYPART_ARC
(4,13),-0.86362 # DEPENDENCYPART_ARC
(4,14),-0.224055 # DEPENDENCYPART_ARC
(5,1),-0.536802 # DEPENDENCYPART_ARC
(5,2),-0.184084 # DEPENDENCYPART_ARC
(5,3),-0.102484 # DEPENDENCYPART_ARC
(5,4),0.192373 # DEPENDENCYPART_ARC
(5,6),-0.610546 # DEPENDENCYPART_ARC
(5,7),-1.42784 # DEPENDENCYPART_ARC
(5,8),-0.784806 # DEPENDENCYPART_ARC
(5,9),-1.07511 # DEPENDENCYPART_ARC
(5,10),-1.28683 # DEPENDENCYPART_ARC
(5,11),-0.872283 # DEPENDENCYPART_ARC
(5,12),-1.23019 # DEPENDENCYPART_ARC
(5,13),-1.20085 # DEPENDENCYPART_ARC
(5,14),-1.19296 # DEPENDENCYPART_ARC
(6,1),-0.98445 # DEPENDENCYPART_ARC
(6,2),-0.0384785 # DEPENDENCYPART_ARC
(6,3),1.74961 # DEPENDENCYPART_ARC
(6,4),-0.309158 # DEPENDENCYPART_ARC
(6,5),-0.243803 # DEPENDENCYPART_ARC
(6,7),0.503578 # DEPENDENCYPART_ARC
(6,8),1.21515 # DEPENDENCYPART_ARC
(6,9),0.508302 # DEPENDENCYPART_ARC
(6,10),0.274979 # DEPENDENCYPART_ARC
(6,11),-0.221867 # DEPENDENCYPART_ARC
(6,12),0.583034 # DEPENDENCYPART_ARC
(6,13),-0.400219 # DEPENDENCYPART_ARC
(6,14),-0.346382 # DEPENDENCYPART_ARC
(7,1),-3.35482 # DEPENDENCYPART_ARC
(7,2),-2.86922 # DEPENDENCYPART_ARC
(7,3),-0.882444 # DEPENDENCYPART_ARC
(7,4),-1.85251 # DEPENDENCYPART_ARC
(7,5),-1.56525 # DEPENDENCYPART_ARC
(7,6),-0.279481 # DEPENDENCYPART_ARC
(7,8),-1.07562 # DEPENDENCYPART_ARC
(7,9),-0.0620586 # DEPENDENCYPART_ARC
(7,10),-0.289131 # DEPENDENCYPART_ARC
(7,11),-0.540864 # DEPENDENCYPART_ARC
(7,12),-2.15491 # DEPENDENCYPART_ARC
(7,13),-1.21039 # DEPENDENCYPART_ARC
(7,14),-0.648282 # DEPENDENCYPART_ARC
(8,1),0.231802 # DEPENDENCYPART_ARC
(8,2),-0.418982 # DEPENDENCYPART_ARC
(8,3),0.125261 # DEPENDENCYPART_ARC
(8,4),-0.58712 # DEPENDENCYPART_ARC
(8,5),-0.914244 # DEPENDENCYPART_ARC
(8,6),-0.227305 # DEPENDENCYPART_ARC
(8,7),1.94549 # DEPENDENCYPART_ARC
(8,9),1.57418 # DEPENDENCYPART_ARC
(8,10),0.970834 # DEPENDENCYPART_ARC
