# _root_ gogoan_dut beste batzuetan nola barneratzen ninduzun itsasoan txalupa koskor - niretzat , intxaur azal txikitxo - batean , atsegin bait zenuen nire izu-ikara zentzugabearen_aurrean zure segurtasun babeslea agertzea .
#goldHeads=0,3,5,5,1,5,5,5,8,9,14,11,14,8,14,15,8,17,0,21,19,23,28,23,26,28,26,21,28,
#predictedHeads=0,3,5,5,8,5,5,28,8,9,5,11,14,28,14,15,14,17,0,19,20,23,28,23,26,28,26,21,28,
(0,1),0.72223 # DEPENDENCYPART_ARC
(0,2),-1.02472 # DEPENDENCYPART_ARC
(0,3),-1.5391 # DEPENDENCYPART_ARC
(0,4),-0.340247 # DEPENDENCYPART_ARC
(0,5),-0.00717548 # DEPENDENCYPART_ARC
(0,6),-0.181532 # DEPENDENCYPART_ARC
(0,7),-1.40766 # DEPENDENCYPART_ARC
(0,8),-1.56916 # DEPENDENCYPART_ARC
(0,9),-0.965154 # DEPENDENCYPART_ARC
(0,10),-0.28597 # DEPENDENCYPART_ARC
(0,11),-0.626503 # DEPENDENCYPART_ARC
(0,12),-0.20403 # DEPENDENCYPART_ARC
(0,13),-1.66171 # DEPENDENCYPART_ARC
(0,14),-2.16973 # DEPENDENCYPART_ARC
(0,15),-0.771916 # DEPENDENCYPART_ARC
(0,16),-0.450835 # DEPENDENCYPART_ARC
(0,17),-1.41893 # DEPENDENCYPART_ARC
(0,18),-0.423296 # DEPENDENCYPART_ARC
(0,19),1.07063 # DEPENDENCYPART_ARC
(0,20),-0.737485 # DEPENDENCYPART_ARC
(0,21),-1.21999 # DEPENDENCYPART_ARC
(0,22),-1.06821 # DEPENDENCYPART_ARC
(0,23),-2.69634 # DEPENDENCYPART_ARC
(0,24),-1.95136 # DEPENDENCYPART_ARC
(0,25),-1.27866 # DEPENDENCYPART_ARC
(0,26),-3.18438 # DEPENDENCYPART_ARC
(0,27),-1.57293 # DEPENDENCYPART_ARC
(0,28),-1.61689 # DEPENDENCYPART_ARC
(0,29),-2.232 # DEPENDENCYPART_ARC
(1,2),0.833068 # DEPENDENCYPART_ARC
(1,3),-0.110607 # DEPENDENCYPART_ARC
(1,4),-0.328317 # DEPENDENCYPART_ARC
(1,5),-0.175083 # DEPENDENCYPART_ARC
(1,6),0.6407 # DEPENDENCYPART_ARC
(1,7),-0.265367 # DEPENDENCYPART_ARC
(1,8),-1.3722 # DEPENDENCYPART_ARC
(1,9),-0.94651 # DEPENDENCYPART_ARC
(1,10),-0.773999 # DEPENDENCYPART_ARC
(1,11),-0.713337 # DEPENDENCYPART_ARC
