# _root_ haren ustez , euskal_gizarteak aldaketa edo alternatiba bat eskatzen du gobernuan , eta hori ppk bete behar_du .
#goldHeads=2,9,2,9,6,9,6,7,13,17,9,11,0,16,17,17,13,17,
#predictedHeads=2,9,2,17,6,9,6,7,13,9,9,11,0,17,17,17,13,17,
(0,1),-0.616392 # DEPENDENCYPART_ARC
(0,2),-0.638334 # DEPENDENCYPART_ARC
(0,3),-0.902746 # DEPENDENCYPART_ARC
(0,4),-0.521883 # DEPENDENCYPART_ARC
(0,5),-0.61254 # DEPENDENCYPART_ARC
(0,6),-0.868871 # DEPENDENCYPART_ARC
(0,7),-1.02716 # DEPENDENCYPART_ARC
(0,8),-1.35738 # DEPENDENCYPART_ARC
(0,9),-0.519934 # DEPENDENCYPART_ARC
(0,10),-0.764473 # DEPENDENCYPART_ARC
(0,11),-1.93788 # DEPENDENCYPART_ARC
(0,12),-1.11748 # DEPENDENCYPART_ARC
(0,13),0.697198 # DEPENDENCYPART_ARC
(0,14),-1.41343 # DEPENDENCYPART_ARC
(0,15),-1.4875 # DEPENDENCYPART_ARC
(0,16),-2.01913 # DEPENDENCYPART_ARC
(0,17),1.34732 # DEPENDENCYPART_ARC
(0,18),-2.28585 # DEPENDENCYPART_ARC
(1,2),-0.544173 # DEPENDENCYPART_ARC
(1,3),-1.09689 # DEPENDENCYPART_ARC
(1,4),-1.27737 # DEPENDENCYPART_ARC
(1,5),-1.89979 # DEPENDENCYPART_ARC
(1,6),-1.6651 # DEPENDENCYPART_ARC
(1,7),-2.07452 # DEPENDENCYPART_ARC
(1,8),-2.05904 # DEPENDENCYPART_ARC
(1,9),-2.30141 # DEPENDENCYPART_ARC
(1,10),-2.58807 # DEPENDENCYPART_ARC
(1,11),-1.72742 # DEPENDENCYPART_ARC
(1,12),-1.94868 # DEPENDENCYPART_ARC
(1,13),-2.34908 # DEPENDENCYPART_ARC
(1,14),-1.98406 # DEPENDENCYPART_ARC
(1,15),-1.91097 # DEPENDENCYPART_ARC
(1,16),-1.95898 # DEPENDENCYPART_ARC
(1,17),-2.6987 # DEPENDENCYPART_ARC
(1,18),-2.37672 # DEPENDENCYPART_ARC
(2,1),0.803331 # DEPENDENCYPART_ARC
(2,3),1.5565 # DEPENDENCYPART_ARC
(2,4),-0.824058 # DEPENDENCYPART_ARC
(2,5),-0.90989 # DEPENDENCYPART_ARC
(2,6),-0.791017 # DEPENDENCYPART_ARC
(2,7),-1.12257 # DEPENDENCYPART_ARC
(2,8),-1.17524 # DEPENDENCYPART_ARC
(2,9),-1.4208 # DEPENDENCYPART_ARC
(2,10),-1.09615 # DEPENDENCYPART_ARC
(2,11),-1.3185 # DEPENDENCYPART_ARC
(2,12),-0.55659 # DEPENDENCYPART_ARC
(2,13),-1.00964 # DEPENDENCYPART_ARC
(2,14),-1.36835 # DEPENDENCYPART_ARC
(2,15),-1.65801 # DEPENDENCYPART_ARC
(2,16),-1.64118 # DEPENDENCYPART_ARC
(2,17),-1.56126 # DEPENDENCYPART_ARC
(2,18),-0.941249 # DEPENDENCYPART_ARC
(3,1),-1.42167 # DEPENDENCYPART_ARC
(3,2),-0.70845 # DEPENDENCYPART_ARC
(3,4),-0.777223 # DEPENDENCYPART_ARC
(3,5),-1.32118 # DEPENDENCYPART_ARC
(3,6),-1.12217 # DEPENDENCYPART_ARC
(3,7),-1.42737 # DEPENDENCYPART_ARC
(3,8),-1.43789 # DEPENDENCYPART_ARC
(3,9),-1.52779 # DEPENDENCYPART_ARC
(3,10),-1.17149 # DEPENDENCYPART_ARC
(3,11),-1.84821 # DEPENDENCYPART_ARC
(3,12),-1.2781 # DEPENDENCYPART_ARC
(3,13),-1.71139 # DEPENDENCYPART_ARC
(3,14),-1.60901 # DEPENDENCYPART_ARC
(3,15),-2.01371 # DEPENDENCYPART_ARC
(3,16),-1.62138 # DEPENDENCYPART_ARC
(3,17),-1.80753 # DEPENDENCYPART_ARC
(3,18),-1.56429 # DEPENDENCYPART_ARC
(4,1),-0.810835 # DEPENDENCYPART_ARC
(4,2),-0.710703 # DEPENDENCYPART_ARC
(4,3),0.517227 # DEPENDENCYPART_ARC
(4,5),0.784148 # DEPENDENCYPART_ARC
(4,6),-1.15668 # DEPENDENCYPART_ARC
(4,7),-1.23086 # DEPENDENCYPART_ARC
(4,8),-2.29223 # DEPENDENCYPART_ARC
(4,9),-1.93796 # DEPENDENCYPART_ARC
(4,10),-2.1136 # DEPENDENCYPART_ARC
(4,11),-1.73457 # DEPENDENCYPART_ARC
(4,12),-1.05556 # DEPENDENCYPART_ARC
(4,13),-2.06438 # DEPENDENCYPART_ARC
(4,14),-4.50367 # DEPENDENCYPART_ARC
(4,15),-2.35088 # DEPENDENCYPART_ARC
(4,16),-2.10696 # DEPENDENCYPART_ARC
(4,17),-3.80605 # DEPENDENCYPART_ARC
(4,18),-1.37583 # DEPENDENCYPART_ARC
(5,1),-0.696879 # DEPENDENCYPART_ARC
(5,2),-1.2199 # DEPENDENCYPART_ARC
(5,3),-1.05927 # DEPENDENCYPART_ARC
