# _root_ elkartasun taldeak ugaritu arren zeregin asko dagoela ere argi dute , eta beraz , jarraitu beharra dagoela .
#goldHeads=2,3,7,3,7,5,10,0,10,12,10,0,0,13,16,17,12,17,
#predictedHeads=2,3,5,3,7,5,10,0,10,12,10,0,0,13,16,17,10,17,
(0,1),-0.23222 # DEPENDENCYPART_ARC
(0,2),-0.899366 # DEPENDENCYPART_ARC
(0,3),-0.633021 # DEPENDENCYPART_ARC
(0,4),0.358058 # DEPENDENCYPART_ARC
(0,5),-1.10159 # DEPENDENCYPART_ARC
(0,6),-1.24861 # DEPENDENCYPART_ARC
(0,7),-1.42642 # DEPENDENCYPART_ARC
(0,8),2.14071 # DEPENDENCYPART_ARC
(0,9),-0.0531362 # DEPENDENCYPART_ARC
(0,10),0.483687 # DEPENDENCYPART_ARC
(0,11),-0.594704 # DEPENDENCYPART_ARC
(0,12),0.794336 # DEPENDENCYPART_ARC
(0,13),0.899237 # DEPENDENCYPART_ARC
(0,14),-0.613808 # DEPENDENCYPART_ARC
(0,15),-0.67219 # DEPENDENCYPART_ARC
(0,16),-0.88383 # DEPENDENCYPART_ARC
(0,17),-1.31704 # DEPENDENCYPART_ARC
(0,18),-1.589 # DEPENDENCYPART_ARC
(1,2),0.908945 # DEPENDENCYPART_ARC
(1,3),-0.447875 # DEPENDENCYPART_ARC
(1,4),-0.890575 # DEPENDENCYPART_ARC
(1,5),-0.982921 # DEPENDENCYPART_ARC
(1,6),-0.341605 # DEPENDENCYPART_ARC
(1,7),-1.63098 # DEPENDENCYPART_ARC
(1,8),-0.872289 # DEPENDENCYPART_ARC
(1,9),-1.07848 # DEPENDENCYPART_ARC
(1,10),-1.97209 # DEPENDENCYPART_ARC
(1,11),-1.92648 # DEPENDENCYPART_ARC
(1,12),-1.16099 # DEPENDENCYPART_ARC
(1,13),-1.39856 # DEPENDENCYPART_ARC
(1,14),-2.07363 # DEPENDENCYPART_ARC
(1,15),-1.01051 # DEPENDENCYPART_ARC
(1,16),-0.938437 # DEPENDENCYPART_ARC
(1,17),-2.06633 # DEPENDENCYPART_ARC
(1,18),-1.78659 # DEPENDENCYPART_ARC
(2,1),2.34153 # DEPENDENCYPART_ARC
(2,3),-0.185774 # DEPENDENCYPART_ARC
(2,4),-1.14916 # DEPENDENCYPART_ARC
(2,5),-1.33242 # DEPENDENCYPART_ARC
(2,6),-2.66077 # DEPENDENCYPART_ARC
(2,7),-2.51842 # DEPENDENCYPART_ARC
(2,8),-1.30017 # DEPENDENCYPART_ARC
(2,9),-1.04573 # DEPENDENCYPART_ARC
(2,10),-2.71522 # DEPENDENCYPART_ARC
(2,11),-1.39625 # DEPENDENCYPART_ARC
(2,12),-1.53213 # DEPENDENCYPART_ARC
(2,13),-1.53802 # DEPENDENCYPART_ARC
(2,14),-1.4895 # DEPENDENCYPART_ARC
(2,15),-1.74334 # DEPENDENCYPART_ARC
(2,16),-2.18528 # DEPENDENCYPART_ARC
(2,17),-2.91806 # DEPENDENCYPART_ARC
(2,18),-1.63627 # DEPENDENCYPART_ARC
(3,1),1.38411 # DEPENDENCYPART_ARC
(3,2),2.81085 # DEPENDENCYPART_ARC
(3,4),0.441323 # DEPENDENCYPART_ARC
(3,5),-0.457305 # DEPENDENCYPART_ARC
(3,6),-0.66612 # DEPENDENCYPART_ARC
(3,7),-0.116454 # DEPENDENCYPART_ARC
(3,8),-0.537897 # DEPENDENCYPART_ARC
(3,9),-1.05957 # DEPENDENCYPART_ARC
(3,10),-0.988019 # DEPENDENCYPART_ARC
(3,11),-0.853844 # DEPENDENCYPART_ARC
(3,12),-1.10518 # DEPENDENCYPART_ARC
(3,13),-0.579485 # DEPENDENCYPART_ARC
(3,14),-1.25314 # DEPENDENCYPART_ARC
(3,15),-1.79454 # DEPENDENCYPART_ARC
(3,16),-2.16699 # DEPENDENCYPART_ARC
(3,17),-0.956774 # DEPENDENCYPART_ARC
(3,18),-1.20239 # DEPENDENCYPART_ARC
(4,1),-0.453334 # DEPENDENCYPART_ARC
(4,2),-0.437158 # DEPENDENCYPART_ARC
(4,3),0.174994 # DEPENDENCYPART_ARC
