# _root_ jose_antonio_alvarez_kaperotxipik , afera daraman epaileak , castejonek " ez duela zerikusirik eta gaizki aholkatua " zegoela argudiatu du .
#goldHeads=17,1,4,5,1,5,10,7,10,12,10,17,14,16,14,12,0,17,18,
#predictedHeads=12,3,4,5,10,5,10,7,10,17,10,16,14,16,14,17,0,17,18,
(0,1),-1.12854 # DEPENDENCYPART_ARC
(0,2),-0.994057 # DEPENDENCYPART_ARC
(0,3),-0.131132 # DEPENDENCYPART_ARC
(0,4),-1.37092 # DEPENDENCYPART_ARC
(0,5),-1.40088 # DEPENDENCYPART_ARC
(0,6),-0.902767 # DEPENDENCYPART_ARC
(0,7),-1.53829 # DEPENDENCYPART_ARC
(0,8),-1.39037 # DEPENDENCYPART_ARC
(0,9),-1.51842 # DEPENDENCYPART_ARC
(0,10),-1.72692 # DEPENDENCYPART_ARC
(0,11),-1.13434 # DEPENDENCYPART_ARC
(0,12),-0.983055 # DEPENDENCYPART_ARC
(0,13),-1.19283 # DEPENDENCYPART_ARC
(0,14),-1.04855 # DEPENDENCYPART_ARC
(0,15),-1.57998 # DEPENDENCYPART_ARC
(0,16),-1.73041 # DEPENDENCYPART_ARC
(0,17),-0.0875116 # DEPENDENCYPART_ARC
(0,18),-1.0099 # DEPENDENCYPART_ARC
(0,19),-1.70829 # DEPENDENCYPART_ARC
(1,2),0.0574113 # DEPENDENCYPART_ARC
(1,3),-1.43811 # DEPENDENCYPART_ARC
(1,4),-2.19619 # DEPENDENCYPART_ARC
(1,5),-0.600587 # DEPENDENCYPART_ARC
(1,6),-1.2087 # DEPENDENCYPART_ARC
(1,7),-1.74593 # DEPENDENCYPART_ARC
(1,8),-0.817159 # DEPENDENCYPART_ARC
(1,10),-1.64973 # DEPENDENCYPART_ARC
(1,11),-1.87044 # DEPENDENCYPART_ARC
(1,13),-0.825858 # DEPENDENCYPART_ARC
(1,14),-1.39979 # DEPENDENCYPART_ARC
(1,15),-1.4242 # DEPENDENCYPART_ARC
(1,16),-1.19498 # DEPENDENCYPART_ARC
(1,17),-2.41777 # DEPENDENCYPART_ARC
(1,19),-1.16437 # DEPENDENCYPART_ARC
(2,1),-0.570175 # DEPENDENCYPART_ARC
(2,3),-0.421068 # DEPENDENCYPART_ARC
(2,4),-0.770914 # DEPENDENCYPART_ARC
(2,5),-0.722074 # DEPENDENCYPART_ARC
(2,7),-1.07359 # DEPENDENCYPART_ARC
(2,8),-0.690116 # DEPENDENCYPART_ARC
(2,10),-1.38139 # DEPENDENCYPART_ARC
(2,11),-1.07843 # DEPENDENCYPART_ARC
(2,12),-2.0164 # DEPENDENCYPART_ARC
(2,14),-1.59967 # DEPENDENCYPART_ARC
(2,15),-1.57921 # DEPENDENCYPART_ARC
(2,16),-1.78782 # DEPENDENCYPART_ARC
(2,17),-1.50234 # DEPENDENCYPART_ARC
(2,18),-1.41608 # DEPENDENCYPART_ARC
(3,1),-1.65342 # DEPENDENCYPART_ARC
(3,2),0.311984 # DEPENDENCYPART_ARC
(3,4),-1.59705 # DEPENDENCYPART_ARC
(3,5),-1.11024 # DEPENDENCYPART_ARC
(3,6),-0.894443 # DEPENDENCYPART_ARC
(3,7),-2.55353 # DEPENDENCYPART_ARC
(3,8),-1.07374 # DEPENDENCYPART_ARC
(3,9),-2.6141 # DEPENDENCYPART_ARC
(3,10),-2.09905 # DEPENDENCYPART_ARC
(3,11),-2.37087 # DEPENDENCYPART_ARC
(3,12),-1.56083 # DEPENDENCYPART_ARC
(3,13),-1.58024 # DEPENDENCYPART_ARC
(3,14),-1.09646 # DEPENDENCYPART_ARC
(3,15),-1.86593 # DEPENDENCYPART_ARC
(3,16),-1.96682 # DEPENDENCYPART_ARC
(3,17),-3.13616 # DEPENDENCYPART_ARC
(3,18),-2.18595 # DEPENDENCYPART_ARC
(3,19),-1.81813 # DEPENDENCYPART_ARC
(4,1),-0.609659 # DEPENDENCYPART_ARC
(4,2),-0.586667 # DEPENDENCYPART_ARC
(4,3),2.36006 # DEPENDENCYPART_ARC
(4,5),-0.61678 # DEPENDENCYPART_ARC
(4,6),-0.267063 # DEPENDENCYPART_ARC
(4,7),-2.36293 # DEPENDENCYPART_ARC
(4,8),-0.712039 # DEPENDENCYPART_ARC
(4,9),-0.530624 # DEPENDENCYPART_ARC
(4,10),-1.05031 # DEPENDENCYPART_ARC
(4,11),-0.587229 # DEPENDENCYPART_ARC
(4,12),-0.677283 # DEPENDENCYPART_ARC
(4,13),-1.20962 # DEPENDENCYPART_ARC
(4,14),-1.84342 # DEPENDENCYPART_ARC
(4,15),-1.16863 # DEPENDENCYPART_ARC
(4,16),-1.62161 # DEPENDENCYPART_ARC
(4,17),-2.8557 # DEPENDENCYPART_ARC
(4,18),-1.89519 # DEPENDENCYPART_ARC
(4,19),-1.28206 # DEPENDENCYPART_ARC
(5,1),-0.928513 # DEPENDENCYPART_ARC
(5,2),-0.902657 # DEPENDENCYPART_ARC
(5,3),-0.766135 # DEPENDENCYPART_ARC
(5,4),1.29223 # DEPENDENCYPART_ARC
(5,6),1.31451 # DEPENDENCYPART_ARC
(5,7),-0.698515 # DEPENDENCYPART_ARC
(5,8),-0.122142 # DEPENDENCYPART_ARC
(5,9),-1.94064 # DEPENDENCYPART_ARC
(5,10),-2.42094 # DEPENDENCYPART_ARC
(5,11),-1.59037 # DEPENDENCYPART_ARC
(5,12),-1.26872 # DEPENDENCYPART_ARC
(5,13),-1.15355 # DEPENDENCYPART_ARC
(5,14),-1.16149 # DEPENDENCYPART_ARC
(5,15),-1.08556 # DEPENDENCYPART_ARC
(5,16),-1.95425 # DEPENDENCYPART_ARC
(5,17),-2.36129 # DEPENDENCYPART_ARC
(5,18),-2.19662 # DEPENDENCYPART_ARC
(5,19),-1.13991 # DEPENDENCYPART_ARC
(6,1),-1.38045 # DEPENDENCYPART_ARC
(6,3),-0.58536 # DEPENDENCYPART_ARC
(6,4),-0.0201178 # DEPENDENCYPART_ARC
