# _root_ ildo horretan , ppk eta pse-eek ere " joko bikoitza " egiten dutela esan du , eta euren testua ehren babesa lortzeko aldatzea leporatu die .
#goldHeads=14,1,2,5,12,5,0,7,12,9,10,14,12,17,14,15,0,19,23,21,22,23,24,17,24,25,
#predictedHeads=14,1,2,5,22,5,0,7,12,9,10,14,12,17,14,15,0,19,22,21,22,23,24,17,24,25,
(0,1),-0.782928 # DEPENDENCYPART_ARC
(0,2),-1.29239 # DEPENDENCYPART_ARC
(0,3),-0.783241 # DEPENDENCYPART_ARC
(0,4),-0.880448 # DEPENDENCYPART_ARC
(0,5),-0.979694 # DEPENDENCYPART_ARC
(0,6),-1.1481 # DEPENDENCYPART_ARC
(0,7),1.67345 # DEPENDENCYPART_ARC
(0,8),-1.30686 # DEPENDENCYPART_ARC
(0,9),-1.13052 # DEPENDENCYPART_ARC
(0,10),-1.48574 # DEPENDENCYPART_ARC
(0,11),-1.2696 # DEPENDENCYPART_ARC
(0,12),-1.1209 # DEPENDENCYPART_ARC
(0,13),-1.1479 # DEPENDENCYPART_ARC
(0,14),1.02207 # DEPENDENCYPART_ARC
(0,15),-0.693527 # DEPENDENCYPART_ARC
(0,16),-1.17371 # DEPENDENCYPART_ARC
(0,17),0.93955 # DEPENDENCYPART_ARC
(0,18),-1.35386 # DEPENDENCYPART_ARC
(0,19),-1.34922 # DEPENDENCYPART_ARC
(0,20),-1.56666 # DEPENDENCYPART_ARC
(0,21),-1.88997 # DEPENDENCYPART_ARC
(0,22),-2.07492 # DEPENDENCYPART_ARC
(0,23),-2.03728 # DEPENDENCYPART_ARC
(0,24),-0.961857 # DEPENDENCYPART_ARC
(0,25),-1.33075 # DEPENDENCYPART_ARC
(0,26),-3.32827 # DEPENDENCYPART_ARC
(1,2),2.35038 # DEPENDENCYPART_ARC
(1,3),-1.00351 # DEPENDENCYPART_ARC
(1,4),-0.90421 # DEPENDENCYPART_ARC
(1,5),-0.638219 # DEPENDENCYPART_ARC
(1,6),-1.19958 # DEPENDENCYPART_ARC
(1,7),-0.814308 # DEPENDENCYPART_ARC
(1,8),-1.766 # DEPENDENCYPART_ARC
(1,9),-1.42214 # DEPENDENCYPART_ARC
(1,10),-1.21281 # DEPENDENCYPART_ARC
(1,11),-1.77228 # DEPENDENCYPART_ARC
(1,12),-0.90358 # DEPENDENCYPART_ARC
(1,13),-1.72235 # DEPENDENCYPART_ARC
(1,14),-1.64921 # DEPENDENCYPART_ARC
(1,15),-1.74094 # DEPENDENCYPART_ARC
(1,16),-2.26338 # DEPENDENCYPART_ARC
(1,17),-0.697302 # DEPENDENCYPART_ARC
(1,18),-1.22809 # DEPENDENCYPART_ARC
(1,19),-1.57522 # DEPENDENCYPART_ARC
(1,20),-1.13287 # DEPENDENCYPART_ARC
(1,21),-1.43715 # DEPENDENCYPART_ARC
(1,22),-1.4446 # DEPENDENCYPART_ARC
(1,23),-1.6194 # DEPENDENCYPART_ARC
(1,24),-2.0983 # DEPENDENCYPART_ARC
(1,25),-2.27467 # DEPENDENCYPART_ARC
(1,26),-2.25427 # DEPENDENCYPART_ARC
(2,1),-0.375852 # DEPENDENCYPART_ARC
(2,3),1.6878 # DEPENDENCYPART_ARC
(2,4),-1.27246 # DEPENDENCYPART_ARC
(2,5),-0.562878 # DEPENDENCYPART_ARC
(2,6),-1.6333 # DEPENDENCYPART_ARC
(2,7),-0.834036 # DEPENDENCYPART_ARC
(2,8),-0.26622 # DEPENDENCYPART_ARC
(2,9),-1.23852 # DEPENDENCYPART_ARC
(2,10),-2.04586 # DEPENDENCYPART_ARC
(2,11),-0.497557 # DEPENDENCYPART_ARC
(2,12),-1.21367 # DEPENDENCYPART_ARC
(2,13),-1.87314 # DEPENDENCYPART_ARC
(2,14),-1.59461 # DEPENDENCYPART_ARC
(2,15),-1.83124 # DEPENDENCYPART_ARC
(2,16),-0.93743 # DEPENDENCYPART_ARC
(2,17),-1.41013 # DEPENDENCYPART_ARC
(2,18),-1.79776 # DEPENDENCYPART_ARC
(2,19),-2.04816 # DEPENDENCYPART_ARC
(2,20),-2.51419 # DEPENDENCYPART_ARC
(2,21),-2.12218 # DEPENDENCYPART_ARC
(2,22),-1.6617 # DEPENDENCYPART_ARC
(2,23),-1.78616 # DEPENDENCYPART_ARC
(2,24),-1.81673 # DEPENDENCYPART_ARC
(2,25),-1.99833 # DEPENDENCYPART_ARC
(2,26),-1.75387 # DEPENDENCYPART_ARC
(3,1),-0.869477 # DEPENDENCYPART_ARC
(3,2),-0.891518 # DEPENDENCYPART_ARC
(3,4),-0.629528 # DEPENDENCYPART_ARC
(3,5),-1.2251 # DEPENDENCYPART_ARC
(3,6),-1.11539 # DEPENDENCYPART_ARC
(3,7),-1.05865 # DEPENDENCYPART_ARC
(3,8),-0.474428 # DEPENDENCYPART_ARC
(3,9),-1.8521 # DEPENDENCYPART_ARC
(3,10),-1.19944 # DEPENDENCYPART_ARC
(3,11),-0.808739 # DEPENDENCYPART_ARC
(3,12),-1.54286 # DEPENDENCYPART_ARC
(3,13),-1.08514 # DEPENDENCYPART_ARC
(3,14),-0.825263 # DEPENDENCYPART_ARC
(3,15),-0.902905 # DEPENDENCYPART_ARC
(3,16),-1.92536 # DEPENDENCYPART_ARC
(3,17),-1.60404 # DEPENDENCYPART_ARC
(3,18),-1.57197 # DEPENDENCYPART_ARC
(3,19),-2.26258 # DEPENDENCYPART_ARC
(3,20),-2.19911 # DEPENDENCYPART_ARC
(3,21),-2.26236 # DEPENDENCYPART_ARC
(3,22),-1.70843 # DEPENDENCYPART_ARC
(3,23),-1.61933 # DEPENDENCYPART_ARC
(3,24),-1.94806 # DEPENDENCYPART_ARC
(3,25),-1.21527 # DEPENDENCYPART_ARC
(3,26),-2.40574 # DEPENDENCYPART_ARC
(4,1),-1.47607 # DEPENDENCYPART_ARC
(4,2),-3.21967 # DEPENDENCYPART_ARC
(4,3),-0.0382229 # DEPENDENCYPART_ARC
(4,5),-1.09837 # DEPENDENCYPART_ARC
(4,6),-1.31455 # DEPENDENCYPART_ARC
(4,7),-2.27936 # DEPENDENCYPART_ARC
(4,8),-1.34568 # DEPENDENCYPART_ARC
(4,9),-2.4468 # DEPENDENCYPART_ARC
(4,10),-3.67718 # DEPENDENCYPART_ARC
(4,11),-1.51193 # DEPENDENCYPART_ARC
(4,12),-2.10728 # DEPENDENCYPART_ARC
(4,13),-3.66326 # DEPENDENCYPART_ARC
(4,14),-3.43041 # DEPENDENCYPART_ARC
(4,15),-2.96868 # DEPENDENCYPART_ARC
(4,16),-1.99658 # DEPENDENCYPART_ARC
(4,17),-2.5535 # DEPENDENCYPART_ARC
(4,18),-2.29947 # DEPENDENCYPART_ARC
(4,19),-2.65647 # DEPENDENCYPART_ARC
(4,20),-2.4764 # DEPENDENCYPART_ARC
(4,21),-2.60514 # DEPENDENCYPART_ARC
(4,22),-3.36325 # DEPENDENCYPART_ARC
(4,23),-2.90763 # DEPENDENCYPART_ARC
(4,24),-4.00729 # DEPENDENCYPART_ARC
(4,25),-3.80533 # DEPENDENCYPART_ARC
(4,26),-2.16987 # DEPENDENCYPART_ARC
(5,1),0.471118 # DEPENDENCYPART_ARC
(5,2),-0.873511 # DEPENDENCYPART_ARC
(5,3),-1.13206 # DEPENDENCYPART_ARC
(5,4),2.58017 # DEPENDENCYPART_ARC
(5,6),2.61998 # DEPENDENCYPART_ARC
(5,7),0.157584 # DEPENDENCYPART_ARC
(5,8),-0.030157 # DEPENDENCYPART_ARC
(5,9),-0.275352 # DEPENDENCYPART_ARC
(5,10),-0.0568373 # DEPENDENCYPART_ARC
(5,11),-0.787176 # DEPENDENCYPART_ARC
(5,12),-0.775134 # DEPENDENCYPART_ARC
(5,13),-0.549459 # DEPENDENCYPART_ARC
(5,14),-0.490727 # DEPENDENCYPART_ARC
(5,15),-1.00701 # DEPENDENCYPART_ARC
(5,16),-1.18174 # DEPENDENCYPART_ARC
(5,17),-0.588084 # DEPENDENCYPART_ARC
(5,18),-1.91556 # DEPENDENCYPART_ARC
(5,19),-1.57692 # DEPENDENCYPART_ARC
(5,20),-1.71487 # DEPENDENCYPART_ARC
(5,21),-1.24885 # DEPENDENCYPART_ARC
(5,22),-1.41867 # DEPENDENCYPART_ARC
(5,23),-1.22902 # DEPENDENCYPART_ARC
(5,24),-1.87481 # DEPENDENCYPART_ARC
(5,25),-0.87788 # DEPENDENCYPART_ARC
(5,26),-1.90779 # DEPENDENCYPART_ARC
(6,1),-2.39626 # DEPENDENCYPART_ARC
(6,2),-4.64195 # DEPENDENCYPART_ARC
(6,3),-1.90882 # DEPENDENCYPART_ARC
(6,4),-3.46111 # DEPENDENCYPART_ARC
(6,5),-0.724416 # DEPENDENCYPART_ARC
(6,7),-0.817109 # DEPENDENCYPART_ARC
