# _root_ ez zuen denbora asko behar_izan , ez zuen senitarteko askorekin hitzegin behar_izan , guztien arretaren iturria non zegoen zehazki asmatzeko .
#goldHeads=5,5,5,3,0,5,5,5,11,9,12,0,12,15,16,18,18,20,20,12,20,
#predictedHeads=5,5,5,3,12,5,12,12,11,9,12,0,12,15,16,18,18,20,20,12,20,
(0,1),-0.359424 # DEPENDENCYPART_ARC
(0,2),-0.430273 # DEPENDENCYPART_ARC
(0,3),-0.939575 # DEPENDENCYPART_ARC
(0,4),-1.50487 # DEPENDENCYPART_ARC
(0,5),-0.343718 # DEPENDENCYPART_ARC
(0,6),-0.405204 # DEPENDENCYPART_ARC
(0,7),-1.13283 # DEPENDENCYPART_ARC
(0,8),-0.880756 # DEPENDENCYPART_ARC
(0,9),-1.56579 # DEPENDENCYPART_ARC
(0,10),-1.74623 # DEPENDENCYPART_ARC
(0,11),-0.880328 # DEPENDENCYPART_ARC
(0,12),-0.323021 # DEPENDENCYPART_ARC
(0,13),-0.390777 # DEPENDENCYPART_ARC
(0,14),-1.69891 # DEPENDENCYPART_ARC
(0,15),-1.6352 # DEPENDENCYPART_ARC
(0,16),-1.66056 # DEPENDENCYPART_ARC
(0,17),-0.914081 # DEPENDENCYPART_ARC
(0,18),-0.941807 # DEPENDENCYPART_ARC
(0,19),-1.0978 # DEPENDENCYPART_ARC
(0,20),-1.48752 # DEPENDENCYPART_ARC
(0,21),-2.51602 # DEPENDENCYPART_ARC
(1,3),-1.33381 # DEPENDENCYPART_ARC
(1,6),-0.970484 # DEPENDENCYPART_ARC
(1,7),-1.14189 # DEPENDENCYPART_ARC
(1,9),-1.78532 # DEPENDENCYPART_ARC
(1,13),-1.28972 # DEPENDENCYPART_ARC
(1,15),-2.215 # DEPENDENCYPART_ARC
(1,16),-2.288 # DEPENDENCYPART_ARC
(1,18),-2.53984 # DEPENDENCYPART_ARC
(1,20),-2.26053 # DEPENDENCYPART_ARC
(1,21),-1.39548 # DEPENDENCYPART_ARC
(2,1),-0.458328 # DEPENDENCYPART_ARC
(2,3),-0.489512 # DEPENDENCYPART_ARC
(2,5),-1.48585 # DEPENDENCYPART_ARC
(2,6),-0.615615 # DEPENDENCYPART_ARC
(2,7),-0.992988 # DEPENDENCYPART_ARC
(2,8),-0.902323 # DEPENDENCYPART_ARC
(2,9),-1.61989 # DEPENDENCYPART_ARC
(2,11),-1.55201 # DEPENDENCYPART_ARC
(2,12),-1.92783 # DEPENDENCYPART_ARC
(2,13),-1.0353 # DEPENDENCYPART_ARC
(2,15),-2.30942 # DEPENDENCYPART_ARC
(2,16),-2.3174 # DEPENDENCYPART_ARC
(2,18),-1.82923 # DEPENDENCYPART_ARC
(2,19),-1.08544 # DEPENDENCYPART_ARC
(2,20),-1.64195 # DEPENDENCYPART_ARC
(2,21),-1.60152 # DEPENDENCYPART_ARC
(3,1),0.0129198 # DEPENDENCYPART_ARC
(3,2),-0.120465 # DEPENDENCYPART_ARC
(3,4),2.78699 # DEPENDENCYPART_ARC
(3,5),-0.126913 # DEPENDENCYPART_ARC
(3,6),-0.483498 # DEPENDENCYPART_ARC
(3,7),-0.891051 # DEPENDENCYPART_ARC
(3,8),-0.972399 # DEPENDENCYPART_ARC
(3,9),-0.778785 # DEPENDENCYPART_ARC
(3,10),0.345713 # DEPENDENCYPART_ARC
(3,11),-0.745893 # DEPENDENCYPART_ARC
(3,12),-0.933015 # DEPENDENCYPART_ARC
(3,13),-1.14056 # DEPENDENCYPART_ARC
(3,14),-0.586398 # DEPENDENCYPART_ARC
(3,15),-0.959766 # DEPENDENCYPART_ARC
(3,16),-1.17536 # DEPENDENCYPART_ARC
(3,18),-1.2186 # DEPENDENCYPART_ARC
(3,19),-0.89261 # DEPENDENCYPART_ARC
(3,20),-1.17818 # DEPENDENCYPART_ARC
(3,21),-1.23922 # DEPENDENCYPART_ARC
(4,1),-0.0392233 # DEPENDENCYPART_ARC
(4,3),-0.193753 # DEPENDENCYPART_ARC
(4,6),-0.678765 # DEPENDENCYPART_ARC
(4,7),-1.08694 # DEPENDENCYPART_ARC
(4,9),-1.82538 # DEPENDENCYPART_ARC
(4,10),-2.18297 # DEPENDENCYPART_ARC
(4,13),-1.62731 # DEPENDENCYPART_ARC
(4,15),-2.22524 # DEPENDENCYPART_ARC
(4,16),-2.62325 # DEPENDENCYPART_ARC
(4,17),-1.94804 # DEPENDENCYPART_ARC
(4,18),-1.93936 # DEPENDENCYPART_ARC
(4,19),-1.72914 # DEPENDENCYPART_ARC
(4,20),-1.92842 # DEPENDENCYPART_ARC
(4,21),-1.92522 # DEPENDENCYPART_ARC
(5,1),1.51317 # DEPENDENCYPART_ARC
(5,2),1.54881 # DEPENDENCYPART_ARC
(5,3),1.70485 # DEPENDENCYPART_ARC
(5,4),0.959013 # DEPENDENCYPART_ARC
(5,6),1.64765 # DEPENDENCYPART_ARC
(5,7),0.415328 # DEPENDENCYPART_ARC
(5,8),0.210498 # DEPENDENCYPART_ARC
(5,9),-0.613509 # DEPENDENCYPART_ARC
(5,10),-0.83243 # DEPENDENCYPART_ARC
(5,11),-0.119603 # DEPENDENCYPART_ARC
(5,12),-0.397795 # DEPENDENCYPART_ARC
(5,13),0.177007 # DEPENDENCYPART_ARC
(5,14),-2.53397 # DEPENDENCYPART_ARC
(5,15),-1.80056 # DEPENDENCYPART_ARC
(5,16),-0.998915 # DEPENDENCYPART_ARC
(5,17),-1.19531 # DEPENDENCYPART_ARC
(5,18),-0.825344 # DEPENDENCYPART_ARC
(5,19),-1.33425 # DEPENDENCYPART_ARC
(5,20),-0.00750125 # DEPENDENCYPART_ARC
(5,21),-0.267616 # DEPENDENCYPART_ARC
(6,2),-0.843545 # DEPENDENCYPART_ARC
(6,3),-0.571633 # DEPENDENCYPART_ARC
(6,4),-1.0377 # DEPENDENCYPART_ARC
(6,5),0.187356 # DEPENDENCYPART_ARC
(6,8),-0.532778 # DEPENDENCYPART_ARC
(6,9),-0.87972 # DEPENDENCYPART_ARC
(6,10),-1.18833 # DEPENDENCYPART_ARC
