# _root_ psnk uste du hori ez dela bidezkoa eta upn kritikatu du , enpresa pribatuetan hori bultzatzen ari_den bitartean , publikoetan ez duelako oraindik ezarri .
#goldHeads=2,8,2,6,6,2,6,0,10,8,10,11,16,13,16,17,24,17,18,24,24,24,24,10,24,
#predictedHeads=2,6,2,6,6,8,6,10,10,0,10,11,16,13,13,17,18,24,18,24,24,24,24,10,24,
(0,1),-0.0388702 # DEPENDENCYPART_ARC
(0,2),0.119744 # DEPENDENCYPART_ARC
(0,3),-0.185934 # DEPENDENCYPART_ARC
(0,4),-1.02026 # DEPENDENCYPART_ARC
(0,5),-0.645626 # DEPENDENCYPART_ARC
(0,6),-1.24022 # DEPENDENCYPART_ARC
(0,7),-1.5549 # DEPENDENCYPART_ARC
(0,8),-0.215742 # DEPENDENCYPART_ARC
(0,9),-0.946468 # DEPENDENCYPART_ARC
(0,10),0.733385 # DEPENDENCYPART_ARC
(0,11),-0.907219 # DEPENDENCYPART_ARC
(0,12),-0.338507 # DEPENDENCYPART_ARC
(0,13),-1.51605 # DEPENDENCYPART_ARC
(0,14),-1.85752 # DEPENDENCYPART_ARC
(0,15),-1.13518 # DEPENDENCYPART_ARC
(0,16),-0.83847 # DEPENDENCYPART_ARC
(0,17),-0.0894279 # DEPENDENCYPART_ARC
(0,18),-3.49341 # DEPENDENCYPART_ARC
(0,19),-0.359809 # DEPENDENCYPART_ARC
(0,20),-1.77748 # DEPENDENCYPART_ARC
(0,21),-1.08879 # DEPENDENCYPART_ARC
(0,22),-0.581308 # DEPENDENCYPART_ARC
(0,23),-0.930816 # DEPENDENCYPART_ARC
(0,24),-1.19737 # DEPENDENCYPART_ARC
(0,25),-2.29907 # DEPENDENCYPART_ARC
(1,2),-0.973899 # DEPENDENCYPART_ARC
(1,3),-1.13911 # DEPENDENCYPART_ARC
(1,4),-2.0919 # DEPENDENCYPART_ARC
(1,5),-1.45263 # DEPENDENCYPART_ARC
(1,6),-1.73296 # DEPENDENCYPART_ARC
(1,7),-1.95925 # DEPENDENCYPART_ARC
(1,8),-1.89157 # DEPENDENCYPART_ARC
(1,9),-2.6366 # DEPENDENCYPART_ARC
(1,10),-1.98904 # DEPENDENCYPART_ARC
(1,11),-1.9217 # DEPENDENCYPART_ARC
(1,12),-0.998008 # DEPENDENCYPART_ARC
(1,13),-2.48005 # DEPENDENCYPART_ARC
(1,14),-2.23632 # DEPENDENCYPART_ARC
(1,15),-2.64008 # DEPENDENCYPART_ARC
(1,16),-2.15264 # DEPENDENCYPART_ARC
(1,17),-2.76621 # DEPENDENCYPART_ARC
(1,18),-3.13067 # DEPENDENCYPART_ARC
(1,19),-1.2401 # DEPENDENCYPART_ARC
(1,20),-2.21332 # DEPENDENCYPART_ARC
(1,21),-1.88 # DEPENDENCYPART_ARC
(1,22),-2.16685 # DEPENDENCYPART_ARC
(1,23),-2.00368 # DEPENDENCYPART_ARC
(1,24),-2.24115 # DEPENDENCYPART_ARC
(1,25),-1.49314 # DEPENDENCYPART_ARC
(2,1),0.825234 # DEPENDENCYPART_ARC
(2,3),1.6262 # DEPENDENCYPART_ARC
(2,4),-0.414938 # DEPENDENCYPART_ARC
(2,5),-1.17153 # DEPENDENCYPART_ARC
(2,6),-0.913323 # DEPENDENCYPART_ARC
(2,7),-1.23501 # DEPENDENCYPART_ARC
(2,8),-0.526423 # DEPENDENCYPART_ARC
(2,9),-1.66222 # DEPENDENCYPART_ARC
(2,10),-1.7715 # DEPENDENCYPART_ARC
(2,11),-0.445264 # DEPENDENCYPART_ARC
(2,12),-0.996824 # DEPENDENCYPART_ARC
(2,13),-1.68063 # DEPENDENCYPART_ARC
(2,14),-2.36619 # DEPENDENCYPART_ARC
(2,15),-2.15255 # DEPENDENCYPART_ARC
(2,16),-1.70135 # DEPENDENCYPART_ARC
(2,17),-2.52486 # DEPENDENCYPART_ARC
(2,18),-2.221 # DEPENDENCYPART_ARC
(2,19),-1.25976 # DEPENDENCYPART_ARC
(2,20),-3.31805 # DEPENDENCYPART_ARC
(2,21),-1.79147 # DEPENDENCYPART_ARC
(2,22),-1.3002 # DEPENDENCYPART_ARC
(2,23),-1.20292 # DEPENDENCYPART_ARC
(2,24),-1.7119 # DEPENDENCYPART_ARC
(2,25),-1.57338 # DEPENDENCYPART_ARC
(3,1),-0.806724 # DEPENDENCYPART_ARC
(3,2),0.418387 # DEPENDENCYPART_ARC
(3,4),-0.485707 # DEPENDENCYPART_ARC
(3,5),-0.118891 # DEPENDENCYPART_ARC
(3,6),-0.339523 # DEPENDENCYPART_ARC
(3,7),-1.74114 # DEPENDENCYPART_ARC
(3,8),-1.11203 # DEPENDENCYPART_ARC
(3,9),-1.88598 # DEPENDENCYPART_ARC
(3,10),-1.96683 # DEPENDENCYPART_ARC
(3,11),-0.948967 # DEPENDENCYPART_ARC
(3,12),-0.306889 # DEPENDENCYPART_ARC
(3,13),-1.78617 # DEPENDENCYPART_ARC
(3,14),-1.67457 # DEPENDENCYPART_ARC
(3,15),-2.03714 # DEPENDENCYPART_ARC
(3,16),-1.69948 # DEPENDENCYPART_ARC
(3,17),-1.38574 # DEPENDENCYPART_ARC
(3,18),-1.47555 # DEPENDENCYPART_ARC
(3,19),-1.04332 # DEPENDENCYPART_ARC
(3,20),-1.82079 # DEPENDENCYPART_ARC
(3,21),-0.633982 # DEPENDENCYPART_ARC
(3,22),-0.522265 # DEPENDENCYPART_ARC
(3,23),-0.90403 # DEPENDENCYPART_ARC
(3,24),-1.70371 # DEPENDENCYPART_ARC
(3,25),-1.3559 # DEPENDENCYPART_ARC
(4,1),-0.456792 # DEPENDENCYPART_ARC
(4,2),-1.1592 # DEPENDENCYPART_ARC
(4,3),-0.486214 # DEPENDENCYPART_ARC
(4,5),0.24025 # DEPENDENCYPART_ARC
(4,6),-0.795771 # DEPENDENCYPART_ARC
(4,7),-2.20859 # DEPENDENCYPART_ARC
(4,8),-0.975646 # DEPENDENCYPART_ARC
(4,9),-1.58389 # DEPENDENCYPART_ARC
(4,10),-1.62958 # DEPENDENCYPART_ARC
(4,11),-1.80076 # DEPENDENCYPART_ARC
(4,12),-0.880864 # DEPENDENCYPART_ARC
(4,13),-1.66304 # DEPENDENCYPART_ARC
(4,14),-2.60593 # DEPENDENCYPART_ARC
(4,15),-0.172626 # DEPENDENCYPART_ARC
(4,16),-1.7103 # DEPENDENCYPART_ARC
(4,17),-1.77369 # DEPENDENCYPART_ARC
(4,18),-2.12074 # DEPENDENCYPART_ARC
(4,19),-1.24648 # DEPENDENCYPART_ARC
(4,20),-2.8282 # DEPENDENCYPART_ARC
(4,21),-1.50932 # DEPENDENCYPART_ARC
(4,22),-2.39906 # DEPENDENCYPART_ARC
(4,23),-1.4716 # DEPENDENCYPART_ARC
(4,24),-1.45559 # DEPENDENCYPART_ARC
(4,25),-1.79069 # DEPENDENCYPART_ARC
(5,1),-1.18515 # DEPENDENCYPART_ARC
(5,2),-1.2078 # DEPENDENCYPART_ARC
(5,3),-1.03406 # DEPENDENCYPART_ARC
(5,4),-0.727834 # DEPENDENCYPART_ARC
(5,6),-0.623669 # DEPENDENCYPART_ARC
(5,7),-0.573166 # DEPENDENCYPART_ARC
(5,8),-0.479119 # DEPENDENCYPART_ARC
(5,9),-0.837775 # DEPENDENCYPART_ARC
(5,10),-0.944085 # DEPENDENCYPART_ARC
(5,11),-1.95401 # DEPENDENCYPART_ARC
(5,12),-0.438634 # DEPENDENCYPART_ARC
(5,13),-1.11274 # DEPENDENCYPART_ARC
(5,14),-1.29697 # DEPENDENCYPART_ARC
(5,15),-1.33927 # DEPENDENCYPART_ARC
(5,16),-1.214 # DEPENDENCYPART_ARC
(5,17),-1.50271 # DEPENDENCYPART_ARC
(5,18),-1.49555 # DEPENDENCYPART_ARC
(5,19),-0.830461 # DEPENDENCYPART_ARC
(5,20),-1.37488 # DEPENDENCYPART_ARC
(5,21),-0.449103 # DEPENDENCYPART_ARC
(5,22),-2.19825 # DEPENDENCYPART_ARC
(5,23),-1.46564 # DEPENDENCYPART_ARC
(5,24),-1.35186 # DEPENDENCYPART_ARC
(5,25),-0.854957 # DEPENDENCYPART_ARC
(6,1),0.678689 # DEPENDENCYPART_ARC
(6,2),0.976586 # DEPENDENCYPART_ARC
(6,3),0.12206 # DEPENDENCYPART_ARC
(6,4),1.41273 # DEPENDENCYPART_ARC
(6,5),1.44864 # DEPENDENCYPART_ARC
(6,7),2.48793 # DEPENDENCYPART_ARC
(6,8),0.845408 # DEPENDENCYPART_ARC
(6,9),-0.575847 # DEPENDENCYPART_ARC
(6,10),-0.748962 # DEPENDENCYPART_ARC
(6,11),-0.546012 # DEPENDENCYPART_ARC
(6,12),-0.204553 # DEPENDENCYPART_ARC
(6,13),-0.692599 # DEPENDENCYPART_ARC
(6,14),-1.2889 # DEPENDENCYPART_ARC
(6,15),-1.37244 # DEPENDENCYPART_ARC
(6,16),-0.992993 # DEPENDENCYPART_ARC
(6,17),-1.66532 # DEPENDENCYPART_ARC
(6,18),-1.06756 # DEPENDENCYPART_ARC
(6,19),-0.865156 # DEPENDENCYPART_ARC
(6,20),-1.74758 # DEPENDENCYPART_ARC
(6,21),-0.143246 # DEPENDENCYPART_ARC
(6,22),-0.980263 # DEPENDENCYPART_ARC
(6,23),-0.442514 # DEPENDENCYPART_ARC
(6,24),-1.25341 # DEPENDENCYPART_ARC
(6,25),-0.919621 # DEPENDENCYPART_ARC
(7,1),-1.50789 # DEPENDENCYPART_ARC
(7,2),-1.48525 # DEPENDENCYPART_ARC
