# _root_ alfonso_osorio_garcia , diputatu espainiarra , ucdren garaian gobernu espainiarreko lehendakariordea eta lehendakaritzaren ministro ere .
#goldHeads=0,1,11,3,4,7,10,10,8,11,1,13,11,0,14,
#predictedHeads=11,3,0,3,4,7,8,10,8,11,13,11,3,0,14,
(0,1),-0.825369 # DEPENDENCYPART_ARC
(0,2),-0.994229 # DEPENDENCYPART_ARC
(0,3),-0.694329 # DEPENDENCYPART_ARC
(0,4),-1.46173 # DEPENDENCYPART_ARC
(0,5),-0.95549 # DEPENDENCYPART_ARC
(0,6),-1.12211 # DEPENDENCYPART_ARC
(0,7),-1.04693 # DEPENDENCYPART_ARC
(0,8),-1.42033 # DEPENDENCYPART_ARC
(0,9),-1.96333 # DEPENDENCYPART_ARC
(0,10),-1.50381 # DEPENDENCYPART_ARC
(0,11),-1.40813 # DEPENDENCYPART_ARC
(0,12),-1.68331 # DEPENDENCYPART_ARC
(0,13),-1.20071 # DEPENDENCYPART_ARC
(0,14),2.8022 # DEPENDENCYPART_ARC
(0,15),-2.0635 # DEPENDENCYPART_ARC
(1,2),-0.53127 # DEPENDENCYPART_ARC
(1,3),-0.702278 # DEPENDENCYPART_ARC
(1,4),-4.97554 # DEPENDENCYPART_ARC
(1,5),-1.54353 # DEPENDENCYPART_ARC
(1,6),-2.84976 # DEPENDENCYPART_ARC
(1,7),-3.36824 # DEPENDENCYPART_ARC
(1,8),-1.3129 # DEPENDENCYPART_ARC
(1,9),-5.28214 # DEPENDENCYPART_ARC
(1,10),-2.14942 # DEPENDENCYPART_ARC
(1,11),-1.90913 # DEPENDENCYPART_ARC
(1,12),-3.88621 # DEPENDENCYPART_ARC
(1,13),-0.915972 # DEPENDENCYPART_ARC
(1,14),-2.53948 # DEPENDENCYPART_ARC
(1,15),-1.31216 # DEPENDENCYPART_ARC
(2,1),-0.536592 # DEPENDENCYPART_ARC
(2,3),-0.932877 # DEPENDENCYPART_ARC
(2,4),-0.890381 # DEPENDENCYPART_ARC
(2,5),-0.58923 # DEPENDENCYPART_ARC
(2,6),-1.10175 # DEPENDENCYPART_ARC
(2,7),-0.904229 # DEPENDENCYPART_ARC
(2,8),-1.30067 # DEPENDENCYPART_ARC
(2,9),-1.24552 # DEPENDENCYPART_ARC
(2,10),-1.21535 # DEPENDENCYPART_ARC
(2,11),-1.87367 # DEPENDENCYPART_ARC
(2,12),-1.30057 # DEPENDENCYPART_ARC
(2,13),-1.53402 # DEPENDENCYPART_ARC
(2,14),-1.72163 # DEPENDENCYPART_ARC
(2,15),-1.62917 # DEPENDENCYPART_ARC
(3,1),0.108657 # DEPENDENCYPART_ARC
(3,2),0.238472 # DEPENDENCYPART_ARC
(3,4),1.48409 # DEPENDENCYPART_ARC
(3,5),0.0492336 # DEPENDENCYPART_ARC
(3,6),-0.0961823 # DEPENDENCYPART_ARC
(3,7),-0.463697 # DEPENDENCYPART_ARC
(3,8),-0.639555 # DEPENDENCYPART_ARC
(3,9),-0.665498 # DEPENDENCYPART_ARC
(3,10),-0.450053 # DEPENDENCYPART_ARC
(3,11),-0.891874 # DEPENDENCYPART_ARC
(3,12),-1.1518 # DEPENDENCYPART_ARC
(3,13),0.0952433 # DEPENDENCYPART_ARC
(3,14),-1.04843 # DEPENDENCYPART_ARC
(3,15),-0.629871 # DEPENDENCYPART_ARC
(4,1),-1.65993 # DEPENDENCYPART_ARC
(4,2),-0.860109 # DEPENDENCYPART_ARC
(4,3),0.0625697 # DEPENDENCYPART_ARC
(4,5),1.53104 # DEPENDENCYPART_ARC
(4,6),-1.64148 # DEPENDENCYPART_ARC
(4,7),-2.51425 # DEPENDENCYPART_ARC
(4,8),-1.40254 # DEPENDENCYPART_ARC
(4,9),-0.887535 # DEPENDENCYPART_ARC
(4,10),-1.1199 # DEPENDENCYPART_ARC
(4,11),-0.907287 # DEPENDENCYPART_ARC
(4,12),-2.62305 # DEPENDENCYPART_ARC
(4,13),-0.958158 # DEPENDENCYPART_ARC
(4,14),-0.9659 # DEPENDENCYPART_ARC
(4,15),-0.558104 # DEPENDENCYPART_ARC
(5,1),-0.842569 # DEPENDENCYPART_ARC
(5,2),-0.838066 # DEPENDENCYPART_ARC
(5,3),-0.363856 # DEPENDENCYPART_ARC
(5,4),0.311702 # DEPENDENCYPART_ARC
(5,6),-0.254209 # DEPENDENCYPART_ARC
(5,7),-0.838387 # DEPENDENCYPART_ARC
(5,8),-0.829712 # DEPENDENCYPART_ARC
(5,9),-0.559501 # DEPENDENCYPART_ARC
(5,10),-0.809322 # DEPENDENCYPART_ARC
(5,11),-1.27793 # DEPENDENCYPART_ARC
(5,12),-1.11159 # DEPENDENCYPART_ARC
(5,13),-1.30828 # DEPENDENCYPART_ARC
(5,14),-1.20178 # DEPENDENCYPART_ARC
(5,15),-0.816756 # DEPENDENCYPART_ARC
(6,1),-3.25935 # DEPENDENCYPART_ARC
(6,2),-1.84588 # DEPENDENCYPART_ARC
(6,3),-1.45329 # DEPENDENCYPART_ARC
(6,4),-0.269985 # DEPENDENCYPART_ARC
(6,5),-0.470837 # DEPENDENCYPART_ARC
(6,7),-0.165167 # DEPENDENCYPART_ARC
(6,8),-0.779497 # DEPENDENCYPART_ARC
(6,9),-2.94362 # DEPENDENCYPART_ARC
(6,10),-1.35428 # DEPENDENCYPART_ARC
(6,11),-2.00633 # DEPENDENCYPART_ARC
(6,12),-2.21511 # DEPENDENCYPART_ARC
(6,13),-0.520222 # DEPENDENCYPART_ARC
(6,14),-2.18046 # DEPENDENCYPART_ARC
(6,15),-0.897843 # DEPENDENCYPART_ARC
(7,1),-1.5682 # DEPENDENCYPART_ARC
(7,2),-1.59903 # DEPENDENCYPART_ARC
(7,3),-0.577703 # DEPENDENCYPART_ARC
(7,4),-1.2512 # DEPENDENCYPART_ARC
(7,5),-0.855536 # DEPENDENCYPART_ARC
(7,6),1.46985 # DEPENDENCYPART_ARC
(7,8),-0.189735 # DEPENDENCYPART_ARC
(7,9),-1.28005 # DEPENDENCYPART_ARC
(7,10),-1.76398 # DEPENDENCYPART_ARC
(7,11),-1.48389 # DEPENDENCYPART_ARC
(7,12),-2.29061 # DEPENDENCYPART_ARC
(7,13),-1.23694 # DEPENDENCYPART_ARC
(7,14),-1.67113 # DEPENDENCYPART_ARC
(7,15),-1.09092 # DEPENDENCYPART_ARC
(8,1),-1.25444 # DEPENDENCYPART_ARC
(8,2),-1.90506 # DEPENDENCYPART_ARC
(8,3),-1.06646 # DEPENDENCYPART_ARC
(8,4),-1.08917 # DEPENDENCYPART_ARC
(8,5),-1.45283 # DEPENDENCYPART_ARC
(8,6),0.515089 # DEPENDENCYPART_ARC
(8,7),0.938446 # DEPENDENCYPART_ARC
(8,9),2.19018 # DEPENDENCYPART_ARC
(8,10),0.00467971 # DEPENDENCYPART_ARC
(8,11),-0.402948 # DEPENDENCYPART_ARC
(8,12),-0.742744 # DEPENDENCYPART_ARC
(8,13),-0.439861 # DEPENDENCYPART_ARC
(8,14),-0.592752 # DEPENDENCYPART_ARC
(8,15),-0.403646 # DEPENDENCYPART_ARC
(9,1),-3.6483 # DEPENDENCYPART_ARC
(9,2),-1.75162 # DEPENDENCYPART_ARC
(9,3),-1.71535 # DEPENDENCYPART_ARC
(9,4),-1.51139 # DEPENDENCYPART_ARC
(9,5),-1.54097 # DEPENDENCYPART_ARC
(9,6),-1.48359 # DEPENDENCYPART_ARC
(9,7),-1.80062 # DEPENDENCYPART_ARC
(9,8),0.105338 # DEPENDENCYPART_ARC
