# _root_ errealitatea , fotografikoki , jadanik agortu eta erreportajea ` hil delako ` sentimenduak flotatzen du " .
#goldHeads=6,3,6,3,6,7,14,10,8,7,10,11,14,0,14,15,16,
#predictedHeads=6,3,6,3,6,7,10,10,8,0,10,11,14,7,14,15,16,
(0,1),-0.221473 # DEPENDENCYPART_ARC
(0,2),-1.14864 # DEPENDENCYPART_ARC
(0,3),-0.812169 # DEPENDENCYPART_ARC
(0,4),-1.36573 # DEPENDENCYPART_ARC
(0,5),-0.934619 # DEPENDENCYPART_ARC
(0,6),-0.668273 # DEPENDENCYPART_ARC
(0,7),-0.306091 # DEPENDENCYPART_ARC
(0,8),-1.24479 # DEPENDENCYPART_ARC
(0,9),-0.43141 # DEPENDENCYPART_ARC
(0,10),0.295275 # DEPENDENCYPART_ARC
(0,11),-0.72832 # DEPENDENCYPART_ARC
(0,12),-0.270917 # DEPENDENCYPART_ARC
(0,13),-1.26707 # DEPENDENCYPART_ARC
(0,14),-0.462629 # DEPENDENCYPART_ARC
(0,15),0.139633 # DEPENDENCYPART_ARC
(0,16),-1.90634 # DEPENDENCYPART_ARC
(0,17),-1.52755 # DEPENDENCYPART_ARC
(1,2),-0.309167 # DEPENDENCYPART_ARC
(1,3),-1.64883 # DEPENDENCYPART_ARC
(1,4),-1.3542 # DEPENDENCYPART_ARC
(1,5),-1.57804 # DEPENDENCYPART_ARC
(1,6),-1.10062 # DEPENDENCYPART_ARC
(1,7),-1.35275 # DEPENDENCYPART_ARC
(1,8),-2.42067 # DEPENDENCYPART_ARC
(1,9),-1.51066 # DEPENDENCYPART_ARC
(1,10),-1.84819 # DEPENDENCYPART_ARC
(1,11),-2.16762 # DEPENDENCYPART_ARC
(1,12),-1.87168 # DEPENDENCYPART_ARC
(1,13),-1.88434 # DEPENDENCYPART_ARC
(1,14),-1.74063 # DEPENDENCYPART_ARC
(1,15),-2.22542 # DEPENDENCYPART_ARC
(1,16),-1.88535 # DEPENDENCYPART_ARC
(1,17),-1.97093 # DEPENDENCYPART_ARC
(2,1),-0.653594 # DEPENDENCYPART_ARC
(2,6),-1.01637 # DEPENDENCYPART_ARC
(2,7),-1.0604 # DEPENDENCYPART_ARC
(2,8),-0.9253 # DEPENDENCYPART_ARC
(2,9),-0.58387 # DEPENDENCYPART_ARC
(2,10),-1.14841 # DEPENDENCYPART_ARC
(2,11),-1.00864 # DEPENDENCYPART_ARC
(2,12),-0.817223 # DEPENDENCYPART_ARC
(2,13),-1.24661 # DEPENDENCYPART_ARC
(2,14),-1.17652 # DEPENDENCYPART_ARC
(2,15),-1.31114 # DEPENDENCYPART_ARC
(2,16),-1.40054 # DEPENDENCYPART_ARC
(3,1),-0.56463 # DEPENDENCYPART_ARC
(3,2),0.186779 # DEPENDENCYPART_ARC
(3,4),1.49257 # DEPENDENCYPART_ARC
(3,5),-0.56369 # DEPENDENCYPART_ARC
(3,6),-1.10296 # DEPENDENCYPART_ARC
(3,7),-0.895555 # DEPENDENCYPART_ARC
(3,8),-1.07158 # DEPENDENCYPART_ARC
(3,10),-1.26115 # DEPENDENCYPART_ARC
(3,11),-1.22435 # DEPENDENCYPART_ARC
(3,13),-0.9773 # DEPENDENCYPART_ARC
(3,14),-1.52661 # DEPENDENCYPART_ARC
(3,15),-1.33221 # DEPENDENCYPART_ARC
(3,16),-0.824634 # DEPENDENCYPART_ARC
(3,17),-0.996282 # DEPENDENCYPART_ARC
(4,1),-1.1065 # DEPENDENCYPART_ARC
(4,6),-0.982957 # DEPENDENCYPART_ARC
(4,7),-0.829666 # DEPENDENCYPART_ARC
(4,8),-1.26865 # DEPENDENCYPART_ARC
(4,9),-0.436624 # DEPENDENCYPART_ARC
(4,10),-1.09226 # DEPENDENCYPART_ARC
(4,11),-0.98601 # DEPENDENCYPART_ARC
(4,12),-0.742952 # DEPENDENCYPART_ARC
(4,13),-1.64874 # DEPENDENCYPART_ARC
(4,14),-1.268 # DEPENDENCYPART_ARC
(4,15),-1.1922 # DEPENDENCYPART_ARC
(4,16),-1.18573 # DEPENDENCYPART_ARC
(5,1),-1.07803 # DEPENDENCYPART_ARC
(5,2),-0.765683 # DEPENDENCYPART_ARC
(5,3),-0.637607 # DEPENDENCYPART_ARC
(5,4),0.142073 # DEPENDENCYPART_ARC
(5,6),-0.366076 # DEPENDENCYPART_ARC
(5,7),-0.799856 # DEPENDENCYPART_ARC
(5,8),-0.991725 # DEPENDENCYPART_ARC
(5,10),-1.2581 # DEPENDENCYPART_ARC
(5,11),-1.06353 # DEPENDENCYPART_ARC
(5,13),-1.29943 # DEPENDENCYPART_ARC
(5,14),-1.5408 # DEPENDENCYPART_ARC
(5,15),-1.24278 # DEPENDENCYPART_ARC
(5,16),-0.78714 # DEPENDENCYPART_ARC
(5,17),-1.04716 # DEPENDENCYPART_ARC
(6,1),0.00951438 # DEPENDENCYPART_ARC
(6,2),-1.13205 # DEPENDENCYPART_ARC
(6,3),-0.0887074 # DEPENDENCYPART_ARC
(6,4),-0.903067 # DEPENDENCYPART_ARC
(6,5),1.29571 # DEPENDENCYPART_ARC
(6,7),0.0959683 # DEPENDENCYPART_ARC
(6,8),0.161344 # DEPENDENCYPART_ARC
(6,9),-0.771557 # DEPENDENCYPART_ARC
(6,10),-0.586433 # DEPENDENCYPART_ARC
(6,11),-0.0868239 # DEPENDENCYPART_ARC
(6,12),-0.999784 # DEPENDENCYPART_ARC
(6,13),-1.6509 # DEPENDENCYPART_ARC
(6,14),-1.37703 # DEPENDENCYPART_ARC
(6,15),-0.989486 # DEPENDENCYPART_ARC
(6,16),-1.36859 # DEPENDENCYPART_ARC
(6,17),-1.52209 # DEPENDENCYPART_ARC
(7,1),-0.388214 # DEPENDENCYPART_ARC
(7,2),-1.51699 # DEPENDENCYPART_ARC
(7,3),-0.677654 # DEPENDENCYPART_ARC
(7,4),-1.09765 # DEPENDENCYPART_ARC
(7,5),-0.258209 # DEPENDENCYPART_ARC
(7,6),2.04641 # DEPENDENCYPART_ARC
(7,8),0.63672 # DEPENDENCYPART_ARC
(7,9),-0.0905308 # DEPENDENCYPART_ARC
(7,10),0.95291 # DEPENDENCYPART_ARC
(7,11),-0.107772 # DEPENDENCYPART_ARC
(7,12),-0.325567 # DEPENDENCYPART_ARC
(7,13),-0.693753 # DEPENDENCYPART_ARC
(7,14),-0.148837 # DEPENDENCYPART_ARC
(7,15),-1.2075 # DEPENDENCYPART_ARC
(7,16),-0.795237 # DEPENDENCYPART_ARC
(7,17),-1.04384 # DEPENDENCYPART_ARC
