# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,21,24,9,24,25,26,
(0,1),-0.340601 # DEPENDENCYPART_ARC
(0,2),-0.552783 # DEPENDENCYPART_ARC
(0,3),-0.980244 # DEPENDENCYPART_ARC
(0,4),-0.825592 # DEPENDENCYPART_ARC
(0,5),-0.388445 # DEPENDENCYPART_ARC
(0,6),-1.02787 # DEPENDENCYPART_ARC
(0,7),-0.56432 # DEPENDENCYPART_ARC
(0,8),-0.588579 # DEPENDENCYPART_ARC
(0,9),0.112694 # DEPENDENCYPART_ARC
(0,10),-0.724568 # DEPENDENCYPART_ARC
(0,11),-0.871789 # DEPENDENCYPART_ARC
(0,12),-1.65329 # DEPENDENCYPART_ARC
(0,13),-1.95004 # DEPENDENCYPART_ARC
(0,14),-1.22002 # DEPENDENCYPART_ARC
(0,15),-1.85354 # DEPENDENCYPART_ARC
(0,16),-1.46023 # DEPENDENCYPART_ARC
(0,17),-1.09083 # DEPENDENCYPART_ARC
(0,18),-2.45372 # DEPENDENCYPART_ARC
(0,19),-1.74174 # DEPENDENCYPART_ARC
(0,20),-2.04718 # DEPENDENCYPART_ARC
(0,21),-1.07483 # DEPENDENCYPART_ARC
(0,22),-0.816878 # DEPENDENCYPART_ARC
(0,23),-2.25017 # DEPENDENCYPART_ARC
(0,24),-2.49721 # DEPENDENCYPART_ARC
(0,25),-1.62119 # DEPENDENCYPART_ARC
(0,26),-4.18114 # DEPENDENCYPART_ARC
(0,27),-3.11413 # DEPENDENCYPART_ARC
(1,2),0.287605 # DEPENDENCYPART_ARC
(1,3),0.136174 # DEPENDENCYPART_ARC
(1,4),-1.68733 # DEPENDENCYPART_ARC
(1,5),0.200891 # DEPENDENCYPART_ARC
(1,6),-1.1154 # DEPENDENCYPART_ARC
(1,7),-1.9283 # DEPENDENCYPART_ARC
(1,8),-0.926546 # DEPENDENCYPART_ARC
(1,9),-1.19317 # DEPENDENCYPART_ARC
(1,10),-1.63148 # DEPENDENCYPART_ARC
(1,11),-1.01274 # DEPENDENCYPART_ARC
(1,12),-1.95449 # DEPENDENCYPART_ARC
(1,13),-1.88784 # DEPENDENCYPART_ARC
(1,14),-1.72412 # DEPENDENCYPART_ARC
(1,15),-1.87743 # DEPENDENCYPART_ARC
(1,16),-1.71312 # DEPENDENCYPART_ARC
(1,17),-2.37176 # DEPENDENCYPART_ARC
(1,18),-2.53895 # DEPENDENCYPART_ARC
(1,19),-1.02955 # DEPENDENCYPART_ARC
(1,20),-1.37767 # DEPENDENCYPART_ARC
(1,21),-1.43953 # DEPENDENCYPART_ARC
(1,22),-1.41952 # DEPENDENCYPART_ARC
(1,23),-2.12898 # DEPENDENCYPART_ARC
(1,24),-2.46825 # DEPENDENCYPART_ARC
(1,25),-3.83659 # DEPENDENCYPART_ARC
(1,26),-2.91954 # DEPENDENCYPART_ARC
(1,27),-2.12877 # DEPENDENCYPART_ARC
(2,1),2.26297 # DEPENDENCYPART_ARC
(2,3),1.98651 # DEPENDENCYPART_ARC
(2,4),0.0228205 # DEPENDENCYPART_ARC
(2,5),0.277459 # DEPENDENCYPART_ARC
(2,6),-0.130839 # DEPENDENCYPART_ARC
(2,7),-0.236872 # DEPENDENCYPART_ARC
(2,8),-0.464055 # DEPENDENCYPART_ARC
(2,9),-0.825279 # DEPENDENCYPART_ARC
(2,10),-0.908316 # DEPENDENCYPART_ARC
(2,11),-0.821539 # DEPENDENCYPART_ARC
(2,12),-0.861748 # DEPENDENCYPART_ARC
(2,13),-1.27865 # DEPENDENCYPART_ARC
(2,14),-1.07206 # DEPENDENCYPART_ARC
(2,15),-1.15448 # DEPENDENCYPART_ARC
(2,16),-0.961431 # DEPENDENCYPART_ARC
(2,17),-1.81456 # DEPENDENCYPART_ARC
(2,18),-1.75609 # DEPENDENCYPART_ARC
(2,19),-1.6507 # DEPENDENCYPART_ARC
(2,20),-1.31801 # DEPENDENCYPART_ARC
(2,21),-0.879203 # DEPENDENCYPART_ARC
(2,22),-0.297239 # DEPENDENCYPART_ARC
(2,23),-2.28949 # DEPENDENCYPART_ARC
(2,24),-2.24428 # DEPENDENCYPART_ARC
(2,25),-1.85369 # DEPENDENCYPART_ARC
(2,26),-2.5265 # DEPENDENCYPART_ARC
(2,27),-2.85817 # DEPENDENCYPART_ARC
(3,1),-2.38219 # DEPENDENCYPART_ARC
(3,2),-0.897024 # DEPENDENCYPART_ARC
(3,4),2.22349 # DEPENDENCYPART_ARC
(3,5),-0.870265 # DEPENDENCYPART_ARC
(3,6),-1.44141 # DEPENDENCYPART_ARC
(3,7),-2.94327 # DEPENDENCYPART_ARC
(3,8),-0.149698 # DEPENDENCYPART_ARC
(3,9),-1.3521 # DEPENDENCYPART_ARC
(3,10),-1.61485 # DEPENDENCYPART_ARC
(3,11),-1.73999 # DEPENDENCYPART_ARC
(3,12),-2.09783 # DEPENDENCYPART_ARC
(3,13),-2.04463 # DEPENDENCYPART_ARC
(3,14),-1.60168 # DEPENDENCYPART_ARC
(3,15),-2.30657 # DEPENDENCYPART_ARC
(3,16),-1.45118 # DEPENDENCYPART_ARC
(3,17),-0.977528 # DEPENDENCYPART_ARC
(3,18),-0.89266 # DEPENDENCYPART_ARC
(3,19),-2.66236 # DEPENDENCYPART_ARC
(3,20),-1.25972 # DEPENDENCYPART_ARC
(3,21),-0.816373 # DEPENDENCYPART_ARC
(3,22),-0.0219817 # DEPENDENCYPART_ARC
(3,23),-2.49759 # DEPENDENCYPART_ARC
(3,24),-2.95242 # DEPENDENCYPART_ARC
(3,25),-4.93261 # DEPENDENCYPART_ARC
(3,26),-1.53859 # DEPENDENCYPART_ARC
(3,27),-0.919066 # DEPENDENCYPART_ARC
(4,1),-0.833295 # DEPENDENCYPART_ARC
(4,2),-0.718625 # DEPENDENCYPART_ARC
(4,3),-0.24055 # DEPENDENCYPART_ARC
(4,5),-0.368497 # DEPENDENCYPART_ARC
(4,6),-1.17443 # DEPENDENCYPART_ARC
(4,7),-0.852509 # DEPENDENCYPART_ARC
(4,8),-1.44605 # DEPENDENCYPART_ARC
(4,9),-0.918789 # DEPENDENCYPART_ARC
(4,10),-0.860417 # DEPENDENCYPART_ARC
(4,11),-1.64668 # DEPENDENCYPART_ARC
(4,12),-1.66474 # DEPENDENCYPART_ARC
(4,13),-1.44011 # DEPENDENCYPART_ARC
(4,14),-1.5386 # DEPENDENCYPART_ARC
(4,15),-1.78866 # DEPENDENCYPART_ARC
(4,16),-1.24386 # DEPENDENCYPART_ARC
(4,17),-1.54548 # DEPENDENCYPART_ARC
(4,18),-1.00558 # DEPENDENCYPART_ARC
(4,19),-1.62267 # DEPENDENCYPART_ARC
(4,20),-1.63277 # DEPENDENCYPART_ARC
(4,21),-1.70908 # DEPENDENCYPART_ARC
(4,22),-1.31219 # DEPENDENCYPART_ARC
(4,23),-1.54596 # DEPENDENCYPART_ARC
(4,24),-1.72012 # DEPENDENCYPART_ARC
(4,25),-1.54003 # DEPENDENCYPART_ARC
(4,26),-1.99207 # DEPENDENCYPART_ARC
(4,27),-2.00195 # DEPENDENCYPART_ARC
(5,1),-1.74696 # DEPENDENCYPART_ARC
(5,2),-0.592469 # DEPENDENCYPART_ARC
(5,3),-1.61659 # DEPENDENCYPART_ARC
(5,4),-0.146089 # DEPENDENCYPART_ARC
(5,6),-0.972222 # DEPENDENCYPART_ARC
(5,7),-2.96506 # DEPENDENCYPART_ARC
(5,8),-1.17676 # DEPENDENCYPART_ARC
(5,9),-2.45023 # DEPENDENCYPART_ARC
(5,10),-2.53626 # DEPENDENCYPART_ARC
(5,11),-2.15444 # DEPENDENCYPART_ARC
(5,12),-3.62687 # DEPENDENCYPART_ARC
(5,13),-2.70044 # DEPENDENCYPART_ARC
(5,14),-2.60684 # DEPENDENCYPART_ARC
(5,15),-2.89536 # DEPENDENCYPART_ARC
(5,16),-3.3179 # DEPENDENCYPART_ARC
(5,17),-2.09771 # DEPENDENCYPART_ARC
(5,18),-2.22751 # DEPENDENCYPART_ARC
(5,19),-2.81212 # DEPENDENCYPART_ARC
(5,20),-1.94966 # DEPENDENCYPART_ARC
(5,21),-1.90564 # DEPENDENCYPART_ARC
(5,22),-1.46902 # DEPENDENCYPART_ARC
(5,23),-3.13227 # DEPENDENCYPART_ARC
