# _root_ hura ikustean arkitektoa izan behar_nuen burutazioa sartu zitzaion aitari , etxetxoak ganbarara bazterreratu eta traste_artean zapuztu , potortu eta hautsatu ziren arte .
#goldHeads=2,7,4,5,6,7,0,7,7,9,13,13,14,7,16,14,16,14,7,14,20,21,22,
#predictedHeads=2,3,4,5,6,7,14,7,7,9,13,13,14,18,16,14,16,19,0,19,20,20,22,
(0,1),-0.813698 # DEPENDENCYPART_ARC
(0,2),-1.40606 # DEPENDENCYPART_ARC
(0,3),-0.435378 # DEPENDENCYPART_ARC
(0,4),-1.14009 # DEPENDENCYPART_ARC
(0,5),-1.12024 # DEPENDENCYPART_ARC
(0,6),-0.854515 # DEPENDENCYPART_ARC
(0,7),-0.315062 # DEPENDENCYPART_ARC
(0,8),-0.862953 # DEPENDENCYPART_ARC
(0,9),-1.9845 # DEPENDENCYPART_ARC
(0,10),-0.896105 # DEPENDENCYPART_ARC
(0,11),-1.01227 # DEPENDENCYPART_ARC
(0,12),-1.4787 # DEPENDENCYPART_ARC
(0,13),-1.83047 # DEPENDENCYPART_ARC
(0,14),-0.602594 # DEPENDENCYPART_ARC
(0,15),-1.87381 # DEPENDENCYPART_ARC
(0,16),-1.82055 # DEPENDENCYPART_ARC
(0,17),-1.00449 # DEPENDENCYPART_ARC
(0,18),-1.61284 # DEPENDENCYPART_ARC
(0,19),-0.598221 # DEPENDENCYPART_ARC
(0,20),-0.880701 # DEPENDENCYPART_ARC
(0,21),-1.19285 # DEPENDENCYPART_ARC
(0,22),-2.65915 # DEPENDENCYPART_ARC
(0,23),-3.7341 # DEPENDENCYPART_ARC
(1,2),-1.34041 # DEPENDENCYPART_ARC
(1,3),-2.34356 # DEPENDENCYPART_ARC
(1,4),-2.16105 # DEPENDENCYPART_ARC
(1,6),-2.69446 # DEPENDENCYPART_ARC
(1,7),-2.64024 # DEPENDENCYPART_ARC
(1,9),-2.67362 # DEPENDENCYPART_ARC
(1,10),-2.48412 # DEPENDENCYPART_ARC
(1,11),-3.06099 # DEPENDENCYPART_ARC
(1,12),-3.09817 # DEPENDENCYPART_ARC
(1,13),-2.35384 # DEPENDENCYPART_ARC
(1,14),-2.82707 # DEPENDENCYPART_ARC
(1,15),-3.04385 # DEPENDENCYPART_ARC
(1,16),-2.24644 # DEPENDENCYPART_ARC
(1,17),-2.95136 # DEPENDENCYPART_ARC
