# _root_ kasu honetan gutuna posta arruntaren_bidez etorri da , eta etako presoek bizi duten egoeraren erantzule egiten gaituzte " , azaldu zuen .
#goldHeads=6,1,6,6,4,9,6,7,20,11,12,14,12,15,16,9,16,17,18,0,0,21,
#predictedHeads=6,1,6,6,4,9,6,7,0,11,12,9,12,15,16,9,16,17,18,0,20,21,
(0,1),-0.855644 # DEPENDENCYPART_ARC
(0,2),-1.39006 # DEPENDENCYPART_ARC
(0,3),-0.278084 # DEPENDENCYPART_ARC
(0,4),-1.25758 # DEPENDENCYPART_ARC
(0,5),-2.11423 # DEPENDENCYPART_ARC
(0,6),0.0579481 # DEPENDENCYPART_ARC
(0,7),-1.0994 # DEPENDENCYPART_ARC
(0,8),-0.879555 # DEPENDENCYPART_ARC
(0,9),0.681572 # DEPENDENCYPART_ARC
(0,10),-1.7129 # DEPENDENCYPART_ARC
(0,11),-1.83102 # DEPENDENCYPART_ARC
(0,12),-1.00707 # DEPENDENCYPART_ARC
(0,13),-1.35403 # DEPENDENCYPART_ARC
(0,14),-2.45171 # DEPENDENCYPART_ARC
(0,15),-1.63173 # DEPENDENCYPART_ARC
(0,16),-2.80253 # DEPENDENCYPART_ARC
(0,17),-1.56048 # DEPENDENCYPART_ARC
(0,18),-3.21907 # DEPENDENCYPART_ARC
(0,19),-1.00244 # DEPENDENCYPART_ARC
(0,20),0.0915647 # DEPENDENCYPART_ARC
(0,21),-1.39396 # DEPENDENCYPART_ARC
(0,22),-3.25018 # DEPENDENCYPART_ARC
(1,2),2.35399 # DEPENDENCYPART_ARC
(1,3),-0.501561 # DEPENDENCYPART_ARC
(1,4),-0.922211 # DEPENDENCYPART_ARC
(1,5),-0.751751 # DEPENDENCYPART_ARC
(1,6),-1.55663 # DEPENDENCYPART_ARC
(1,7),-1.65293 # DEPENDENCYPART_ARC
(1,8),-1.91807 # DEPENDENCYPART_ARC
(1,9),-1.18903 # DEPENDENCYPART_ARC
(1,10),-1.53365 # DEPENDENCYPART_ARC
(1,11),-1.23726 # DEPENDENCYPART_ARC
(1,12),-1.08975 # DEPENDENCYPART_ARC
(1,13),-1.67605 # DEPENDENCYPART_ARC
(1,14),-1.87355 # DEPENDENCYPART_ARC
(1,15),-1.45901 # DEPENDENCYPART_ARC
(1,16),-1.23449 # DEPENDENCYPART_ARC
(1,17),-2.24357 # DEPENDENCYPART_ARC
(1,18),-2.27915 # DEPENDENCYPART_ARC
(1,19),-2.63299 # DEPENDENCYPART_ARC
(1,20),-1.63343 # DEPENDENCYPART_ARC
(1,21),-2.26164 # DEPENDENCYPART_ARC
(1,22),-2.23999 # DEPENDENCYPART_ARC
(2,1),-0.454324 # DEPENDENCYPART_ARC
(2,3),-0.723403 # DEPENDENCYPART_ARC
(2,4),-1.51455 # DEPENDENCYPART_ARC
(2,6),-1.89833 # DEPENDENCYPART_ARC
(2,8),-1.07047 # DEPENDENCYPART_ARC
(2,9),-1.44372 # DEPENDENCYPART_ARC
(2,11),-2.4899 # DEPENDENCYPART_ARC
(2,12),-2.27423 # DEPENDENCYPART_ARC
(2,14),-2.69909 # DEPENDENCYPART_ARC
(2,15),-2.64385 # DEPENDENCYPART_ARC
(2,16),-1.86482 # DEPENDENCYPART_ARC
(2,18),-1.68853 # DEPENDENCYPART_ARC
(2,19),-2.00812 # DEPENDENCYPART_ARC
(2,20),-2.11613 # DEPENDENCYPART_ARC
(2,22),-1.9742 # DEPENDENCYPART_ARC
(3,1),0.673842 # DEPENDENCYPART_ARC
(3,2),-1.67407 # DEPENDENCYPART_ARC
(3,4),-0.776539 # DEPENDENCYPART_ARC
(3,5),-2.27438 # DEPENDENCYPART_ARC
(3,6),-3.00048 # DEPENDENCYPART_ARC
(3,7),-2.31862 # DEPENDENCYPART_ARC
(3,8),-1.64919 # DEPENDENCYPART_ARC
(3,9),-1.55469 # DEPENDENCYPART_ARC
(3,10),-3.10479 # DEPENDENCYPART_ARC
(3,11),-2.63943 # DEPENDENCYPART_ARC
(3,12),-1.7564 # DEPENDENCYPART_ARC
(3,13),-2.05094 # DEPENDENCYPART_ARC
(3,14),-3.18629 # DEPENDENCYPART_ARC
(3,15),-1.78715 # DEPENDENCYPART_ARC
(3,16),-2.2528 # DEPENDENCYPART_ARC
(3,17),-3.29866 # DEPENDENCYPART_ARC
(3,18),-2.14355 # DEPENDENCYPART_ARC
(3,19),-2.55326 # DEPENDENCYPART_ARC
(3,20),-3.20534 # DEPENDENCYPART_ARC
(3,21),-2.95801 # DEPENDENCYPART_ARC
(3,22),-1.97524 # DEPENDENCYPART_ARC
(4,1),-0.0849937 # DEPENDENCYPART_ARC
(4,2),-1.10849 # DEPENDENCYPART_ARC
(4,3),-0.122679 # DEPENDENCYPART_ARC
(4,5),2.18905 # DEPENDENCYPART_ARC
(4,6),-1.12984 # DEPENDENCYPART_ARC
(4,7),-1.21723 # DEPENDENCYPART_ARC
(4,8),-0.950433 # DEPENDENCYPART_ARC
(4,9),-0.883891 # DEPENDENCYPART_ARC
(4,10),-1.09113 # DEPENDENCYPART_ARC
(4,11),-1.03246 # DEPENDENCYPART_ARC
(4,12),-0.855475 # DEPENDENCYPART_ARC
(4,13),-1.494 # DEPENDENCYPART_ARC
(4,14),-1.21506 # DEPENDENCYPART_ARC
(4,15),-1.08386 # DEPENDENCYPART_ARC
(4,16),-1.29607 # DEPENDENCYPART_ARC
(4,17),-2.05743 # DEPENDENCYPART_ARC
(4,18),-1.67279 # DEPENDENCYPART_ARC
(4,19),-1.72285 # DEPENDENCYPART_ARC
(4,20),-1.69388 # DEPENDENCYPART_ARC
(4,21),-2.00586 # DEPENDENCYPART_ARC
(4,22),-1.48183 # DEPENDENCYPART_ARC
(5,1),-0.971345 # DEPENDENCYPART_ARC
(5,3),-0.472769 # DEPENDENCYPART_ARC
(5,4),0.566659 # DEPENDENCYPART_ARC
(5,6),-1.2458 # DEPENDENCYPART_ARC
(5,7),-0.384206 # DEPENDENCYPART_ARC
(5,8),-0.399416 # DEPENDENCYPART_ARC
(5,9),-1.25923 # DEPENDENCYPART_ARC
(5,10),-1.72817 # DEPENDENCYPART_ARC
(5,11),-1.77856 # DEPENDENCYPART_ARC
(5,12),-1.37808 # DEPENDENCYPART_ARC
(5,13),-1.69842 # DEPENDENCYPART_ARC
(5,14),-2.71858 # DEPENDENCYPART_ARC
(5,15),-0.662309 # DEPENDENCYPART_ARC
(5,16),-1.77026 # DEPENDENCYPART_ARC
(5,17),-1.27625 # DEPENDENCYPART_ARC
(5,18),-1.26497 # DEPENDENCYPART_ARC
(5,19),-1.28572 # DEPENDENCYPART_ARC
(5,20),-2.55664 # DEPENDENCYPART_ARC
(5,21),-2.00409 # DEPENDENCYPART_ARC
(5,22),-1.21836 # DEPENDENCYPART_ARC
(6,1),1.05917 # DEPENDENCYPART_ARC
(6,2),0.193867 # DEPENDENCYPART_ARC
(6,3),1.61929 # DEPENDENCYPART_ARC
(6,4),1.34589 # DEPENDENCYPART_ARC
(6,5),0.639759 # DEPENDENCYPART_ARC
(6,7),1.47799 # DEPENDENCYPART_ARC
(6,8),-0.104148 # DEPENDENCYPART_ARC
(6,9),0.0150973 # DEPENDENCYPART_ARC
(6,10),-1.77242 # DEPENDENCYPART_ARC
(6,11),-0.197045 # DEPENDENCYPART_ARC
(6,12),-0.399331 # DEPENDENCYPART_ARC
(6,13),-0.777956 # DEPENDENCYPART_ARC
(6,14),-1.10731 # DEPENDENCYPART_ARC
(6,15),-0.508381 # DEPENDENCYPART_ARC
(6,16),-0.871776 # DEPENDENCYPART_ARC
(6,17),-0.744555 # DEPENDENCYPART_ARC
(6,18),-1.06718 # DEPENDENCYPART_ARC
(6,19),-1.18839 # DEPENDENCYPART_ARC
(6,20),-1.45943 # DEPENDENCYPART_ARC
(6,21),-1.64897 # DEPENDENCYPART_ARC
(6,22),-1.56969 # DEPENDENCYPART_ARC
(7,1),-0.554713 # DEPENDENCYPART_ARC
(7,2),-0.379915 # DEPENDENCYPART_ARC
(7,3),-0.288203 # DEPENDENCYPART_ARC
(7,4),-0.000538829 # DEPENDENCYPART_ARC
(7,6),-0.346336 # DEPENDENCYPART_ARC
(7,8),1.71343 # DEPENDENCYPART_ARC
(7,9),-1.08821 # DEPENDENCYPART_ARC
(7,10),-1.21437 # DEPENDENCYPART_ARC
(7,11),-1.18903 # DEPENDENCYPART_ARC
(7,12),-1.36479 # DEPENDENCYPART_ARC
(7,13),-1.22088 # DEPENDENCYPART_ARC
