# _root_ bere iritziz , egungo egoera gainditzeko , sindikatu abertzaleak " gakoetako bat " izan daitezke .
#goldHeads=2,14,2,5,6,14,6,14,8,9,12,14,12,0,14,15,
#predictedHeads=2,14,2,5,6,14,6,14,8,9,14,8,12,0,14,15,
(0,2),-0.712076 # DEPENDENCYPART_ARC
(0,3),-0.634875 # DEPENDENCYPART_ARC
(0,4),-1.24074 # DEPENDENCYPART_ARC
(0,5),-0.91028 # DEPENDENCYPART_ARC
(0,6),-0.684247 # DEPENDENCYPART_ARC
(0,7),-0.503702 # DEPENDENCYPART_ARC
(0,8),-1.1834 # DEPENDENCYPART_ARC
(0,9),-1.3174 # DEPENDENCYPART_ARC
(0,10),-1.02033 # DEPENDENCYPART_ARC
(0,11),-1.5355 # DEPENDENCYPART_ARC
(0,12),-1.46114 # DEPENDENCYPART_ARC
(0,13),-1.55619 # DEPENDENCYPART_ARC
(0,14),-0.192189 # DEPENDENCYPART_ARC
(0,15),-0.830004 # DEPENDENCYPART_ARC
(0,16),-1.40215 # DEPENDENCYPART_ARC
(1,3),-0.92412 # DEPENDENCYPART_ARC
(1,6),-2.083 # DEPENDENCYPART_ARC
(1,7),-1.72962 # DEPENDENCYPART_ARC
(1,10),-1.81339 # DEPENDENCYPART_ARC
(1,13),-1.83893 # DEPENDENCYPART_ARC
(1,14),-2.24729 # DEPENDENCYPART_ARC
(1,16),-2.03932 # DEPENDENCYPART_ARC
(2,1),1.56995 # DEPENDENCYPART_ARC
(2,3),1.61439 # DEPENDENCYPART_ARC
(2,4),-0.687967 # DEPENDENCYPART_ARC
(2,5),-0.579419 # DEPENDENCYPART_ARC
(2,6),-1.32947 # DEPENDENCYPART_ARC
(2,7),-0.763579 # DEPENDENCYPART_ARC
(2,8),-0.961583 # DEPENDENCYPART_ARC
(2,9),-2.65543 # DEPENDENCYPART_ARC
(2,10),-0.939758 # DEPENDENCYPART_ARC
(2,11),-0.570577 # DEPENDENCYPART_ARC
(2,12),-0.848766 # DEPENDENCYPART_ARC
(2,13),-0.987366 # DEPENDENCYPART_ARC
(2,14),-1.60859 # DEPENDENCYPART_ARC
(2,15),-2.07357 # DEPENDENCYPART_ARC
(2,16),-0.996879 # DEPENDENCYPART_ARC
(3,2),0.0100096 # DEPENDENCYPART_ARC
(3,4),-0.259949 # DEPENDENCYPART_ARC
(3,5),-0.650564 # DEPENDENCYPART_ARC
(3,6),-0.622101 # DEPENDENCYPART_ARC
(3,8),-1.01324 # DEPENDENCYPART_ARC
(3,9),-1.26624 # DEPENDENCYPART_ARC
(3,10),-0.567778 # DEPENDENCYPART_ARC
(3,11),-1.12972 # DEPENDENCYPART_ARC
(3,12),-1.34205 # DEPENDENCYPART_ARC
(3,13),-0.869084 # DEPENDENCYPART_ARC
(3,14),-1.30989 # DEPENDENCYPART_ARC
(3,15),-1.00684 # DEPENDENCYPART_ARC
(4,1),-1.00517 # DEPENDENCYPART_ARC
(4,2),-0.976348 # DEPENDENCYPART_ARC
(4,3),-0.365722 # DEPENDENCYPART_ARC
(4,5),-0.0936254 # DEPENDENCYPART_ARC
(4,6),-0.645948 # DEPENDENCYPART_ARC
(4,7),-0.224172 # DEPENDENCYPART_ARC
(4,8),-1.39504 # DEPENDENCYPART_ARC
(4,9),-0.577571 # DEPENDENCYPART_ARC
(4,10),-0.209608 # DEPENDENCYPART_ARC
(4,11),-1.69801 # DEPENDENCYPART_ARC
(4,12),-0.956925 # DEPENDENCYPART_ARC
(4,13),-0.662735 # DEPENDENCYPART_ARC
(4,14),-1.05651 # DEPENDENCYPART_ARC
(4,15),-0.978424 # DEPENDENCYPART_ARC
(4,16),-0.816986 # DEPENDENCYPART_ARC
(5,1),-0.125729 # DEPENDENCYPART_ARC
(5,2),-1.68221 # DEPENDENCYPART_ARC
(5,3),-0.189692 # DEPENDENCYPART_ARC
(5,4),2.78857 # DEPENDENCYPART_ARC
(5,6),-0.336601 # DEPENDENCYPART_ARC
(5,7),-0.565682 # DEPENDENCYPART_ARC
(5,8),-1.63001 # DEPENDENCYPART_ARC
(5,9),-3.26635 # DEPENDENCYPART_ARC
(5,10),-1.29942 # DEPENDENCYPART_ARC
(5,11),-1.68379 # DEPENDENCYPART_ARC
(5,12),-1.71968 # DEPENDENCYPART_ARC
(5,13),-1.53432 # DEPENDENCYPART_ARC
(5,14),-1.9913 # DEPENDENCYPART_ARC
(5,15),-2.32131 # DEPENDENCYPART_ARC
(5,16),-1.45697 # DEPENDENCYPART_ARC
(6,1),-0.621638 # DEPENDENCYPART_ARC
(6,2),0.313729 # DEPENDENCYPART_ARC
(6,3),-0.718691 # DEPENDENCYPART_ARC
(6,4),0.424855 # DEPENDENCYPART_ARC
(6,5),2.52707 # DEPENDENCYPART_ARC
(6,7),1.21499 # DEPENDENCYPART_ARC
(6,8),-1.09411 # DEPENDENCYPART_ARC
(6,9),-1.52708 # DEPENDENCYPART_ARC
(6,10),-0.643391 # DEPENDENCYPART_ARC
(6,11),-3.30791 # DEPENDENCYPART_ARC
(6,12),-2.15009 # DEPENDENCYPART_ARC
(6,13),-0.862123 # DEPENDENCYPART_ARC
(6,14),-1.68851 # DEPENDENCYPART_ARC
(6,15),-2.37914 # DEPENDENCYPART_ARC
(6,16),-1.23792 # DEPENDENCYPART_ARC
(7,2),-1.15677 # DEPENDENCYPART_ARC
(7,4),-0.926317 # DEPENDENCYPART_ARC
(7,5),-0.590844 # DEPENDENCYPART_ARC
(7,6),-0.0124254 # DEPENDENCYPART_ARC
(7,8),-0.93944 # DEPENDENCYPART_ARC
(7,9),-0.752086 # DEPENDENCYPART_ARC
(7,10),0.0085055 # DEPENDENCYPART_ARC
(7,11),-1.47448 # DEPENDENCYPART_ARC
(7,12),-1.20731 # DEPENDENCYPART_ARC
(7,13),-0.390098 # DEPENDENCYPART_ARC
(7,14),-1.20956 # DEPENDENCYPART_ARC
(7,15),-1.14057 # DEPENDENCYPART_ARC
(8,1),-1.3664 # DEPENDENCYPART_ARC
(8,2),-2.4699 # DEPENDENCYPART_ARC
(8,3),-1.44473 # DEPENDENCYPART_ARC
(8,4),-0.371328 # DEPENDENCYPART_ARC
(8,5),-1.99512 # DEPENDENCYPART_ARC
(8,6),-1.17293 # DEPENDENCYPART_ARC
(8,7),-0.0813232 # DEPENDENCYPART_ARC
(8,9),1.7171 # DEPENDENCYPART_ARC
(8,10),-0.000896285 # DEPENDENCYPART_ARC
(8,11),-0.442537 # DEPENDENCYPART_ARC
(8,12),0.796552 # DEPENDENCYPART_ARC
(8,13),-0.759742 # DEPENDENCYPART_ARC
(8,14),-1.19048 # DEPENDENCYPART_ARC
(8,15),-1.40821 # DEPENDENCYPART_ARC
(8,16),-0.926934 # DEPENDENCYPART_ARC
(9,1),-1.34505 # DEPENDENCYPART_ARC
(9,2),-2.176 # DEPENDENCYPART_ARC
(9,3),-1.58944 # DEPENDENCYPART_ARC
(9,4),-0.782264 # DEPENDENCYPART_ARC
(9,5),-1.84522 # DEPENDENCYPART_ARC
(9,6),-1.62331 # DEPENDENCYPART_ARC
(9,7),-1.02712 # DEPENDENCYPART_ARC
(9,8),-0.197272 # DEPENDENCYPART_ARC
(9,10),1.89091 # DEPENDENCYPART_ARC
(9,11),-0.821567 # DEPENDENCYPART_ARC
(9,12),-1.04268 # DEPENDENCYPART_ARC
(9,13),-0.131226 # DEPENDENCYPART_ARC
(9,14),-1.3509 # DEPENDENCYPART_ARC
(9,15),-1.16087 # DEPENDENCYPART_ARC
(9,16),-0.355597 # DEPENDENCYPART_ARC
(10,2),-1.42721 # DEPENDENCYPART_ARC
(10,3),-1.59558 # DEPENDENCYPART_ARC
(10,4),-1.68494 # DEPENDENCYPART_ARC
(10,5),-1.24216 # DEPENDENCYPART_ARC
(10,6),-1.40866 # DEPENDENCYPART_ARC
(10,7),-1.16686 # DEPENDENCYPART_ARC
(10,8),-0.968202 # DEPENDENCYPART_ARC
(10,9),-0.222428 # DEPENDENCYPART_ARC
(10,11),-0.976591 # DEPENDENCYPART_ARC
(10,12),-1.05957 # DEPENDENCYPART_ARC
(10,13),0.0126443 # DEPENDENCYPART_ARC
(10,14),-1.34115 # DEPENDENCYPART_ARC
(10,15),-0.975591 # DEPENDENCYPART_ARC
(10,16),-0.523564 # DEPENDENCYPART_ARC
(11,1),-1.48658 # DEPENDENCYPART_ARC
(11,2),-3.73681 # DEPENDENCYPART_ARC
(11,3),-1.40558 # DEPENDENCYPART_ARC
(11,4),-0.401302 # DEPENDENCYPART_ARC
(11,5),-3.96919 # DEPENDENCYPART_ARC
(11,6),-3.13515 # DEPENDENCYPART_ARC
(11,7),-1.17222 # DEPENDENCYPART_ARC
(11,8),0.120622 # DEPENDENCYPART_ARC
(11,9),-1.13115 # DEPENDENCYPART_ARC
(11,10),-0.0825901 # DEPENDENCYPART_ARC
(11,12),0.538732 # DEPENDENCYPART_ARC
(11,13),-0.613586 # DEPENDENCYPART_ARC
(11,14),-2.18398 # DEPENDENCYPART_ARC
(11,15),-2.35946 # DEPENDENCYPART_ARC
(11,16),-1.51024 # DEPENDENCYPART_ARC
(12,1),-1.95976 # DEPENDENCYPART_ARC
(12,2),-1.72965 # DEPENDENCYPART_ARC
(12,3),-1.79024 # DEPENDENCYPART_ARC
(12,5),-1.50464 # DEPENDENCYPART_ARC
(12,6),-1.42711 # DEPENDENCYPART_ARC
(12,7),-1.54096 # DEPENDENCYPART_ARC
(12,8),-1.69079 # DEPENDENCYPART_ARC
(12,10),-1.07729 # DEPENDENCYPART_ARC
(12,11),0.543638 # DEPENDENCYPART_ARC
(12,13),1.70211 # DEPENDENCYPART_ARC
(12,14),-1.21234 # DEPENDENCYPART_ARC
(12,16),-0.236231 # DEPENDENCYPART_ARC
(13,2),-1.4964 # DEPENDENCYPART_ARC
(13,3),-1.74568 # DEPENDENCYPART_ARC
(13,4),-1.80286 # DEPENDENCYPART_ARC
(13,5),-1.25388 # DEPENDENCYPART_ARC
(13,6),-1.49339 # DEPENDENCYPART_ARC
(13,7),-1.53148 # DEPENDENCYPART_ARC
(13,8),-1.28447 # DEPENDENCYPART_ARC
(13,9),-1.35426 # DEPENDENCYPART_ARC
(13,10),-1.18212 # DEPENDENCYPART_ARC
(13,11),-0.962795 # DEPENDENCYPART_ARC
(13,12),-0.653581 # DEPENDENCYPART_ARC
(13,14),-0.438352 # DEPENDENCYPART_ARC
(13,15),-0.196492 # DEPENDENCYPART_ARC
(13,16),0.13009 # DEPENDENCYPART_ARC
(14,1),-0.997121 # DEPENDENCYPART_ARC
(14,2),1.13171 # DEPENDENCYPART_ARC
(14,3),-0.921306 # DEPENDENCYPART_ARC
(14,4),0.0172975 # DEPENDENCYPART_ARC
(14,5),-0.366687 # DEPENDENCYPART_ARC
(14,6),-0.0134307 # DEPENDENCYPART_ARC
(14,7),-0.580276 # DEPENDENCYPART_ARC
(14,8),0.448439 # DEPENDENCYPART_ARC
(14,9),0.259868 # DEPENDENCYPART_ARC
(14,10),-0.694055 # DEPENDENCYPART_ARC
(14,11),1.22416 # DEPENDENCYPART_ARC
(14,12),0.30832 # DEPENDENCYPART_ARC
(14,13),0.087403 # DEPENDENCYPART_ARC
(14,15),1.58636 # DEPENDENCYPART_ARC
(14,16),-0.274897 # DEPENDENCYPART_ARC
(15,2),-1.23515 # DEPENDENCYPART_ARC
(15,3),-1.83167 # DEPENDENCYPART_ARC
(15,4),-1.48136 # DEPENDENCYPART_ARC
(15,5),-1.39001 # DEPENDENCYPART_ARC
(15,6),-1.05031 # DEPENDENCYPART_ARC
(15,7),-1.58623 # DEPENDENCYPART_ARC
(15,8),-1.06352 # DEPENDENCYPART_ARC
(15,9),-1.0261 # DEPENDENCYPART_ARC
(15,10),-1.51149 # DEPENDENCYPART_ARC
(15,11),-0.959151 # DEPENDENCYPART_ARC
(15,12),-0.949466 # DEPENDENCYPART_ARC
(15,13),-1.09578 # DEPENDENCYPART_ARC
(15,14),-0.093303 # DEPENDENCYPART_ARC
(15,16),1.59509 # DEPENDENCYPART_ARC
(16,2),-2.06004 # DEPENDENCYPART_ARC
(16,3),-1.61907 # DEPENDENCYPART_ARC
(16,5),-1.57709 # DEPENDENCYPART_ARC
(16,6),-1.93185 # DEPENDENCYPART_ARC
(16,7),-1.56679 # DEPENDENCYPART_ARC
(16,8),-1.43524 # DEPENDENCYPART_ARC
(16,10),-1.4372 # DEPENDENCYPART_ARC
(16,11),-1.18268 # DEPENDENCYPART_ARC
(16,13),-1.08707 # DEPENDENCYPART_ARC
(16,14),-0.920748 # DEPENDENCYPART_ARC
