# _root_ haren iritziz , irtenbide onena " hemengo jendea lortzea da " ; eta hori erdietsi ezean , kanpotik ekartzeko aukera ez du baztertzen .
#goldHeads=10,1,2,10,4,5,8,9,10,13,10,11,0,15,23,15,16,19,20,23,23,23,13,23,
#predictedHeads=2,10,2,10,4,5,8,9,10,13,10,11,0,15,0,15,16,19,20,23,23,23,13,23,
(0,1),-0.517621 # DEPENDENCYPART_ARC
(0,2),-0.668053 # DEPENDENCYPART_ARC
(0,3),-0.600913 # DEPENDENCYPART_ARC
(0,4),-0.710807 # DEPENDENCYPART_ARC
(0,5),-0.960106 # DEPENDENCYPART_ARC
(0,6),-0.490455 # DEPENDENCYPART_ARC
(0,7),-0.6888 # DEPENDENCYPART_ARC
(0,8),-1.08298 # DEPENDENCYPART_ARC
(0,9),-0.717546 # DEPENDENCYPART_ARC
(0,10),0.529441 # DEPENDENCYPART_ARC
(0,11),-1.03168 # DEPENDENCYPART_ARC
(0,12),0.661728 # DEPENDENCYPART_ARC
(0,13),0.715482 # DEPENDENCYPART_ARC
(0,14),-1.41839 # DEPENDENCYPART_ARC
(0,15),0.228384 # DEPENDENCYPART_ARC
(0,16),-1.44442 # DEPENDENCYPART_ARC
(0,17),-0.759344 # DEPENDENCYPART_ARC
(0,18),-1.22204 # DEPENDENCYPART_ARC
(0,19),-1.17516 # DEPENDENCYPART_ARC
(0,20),-0.990687 # DEPENDENCYPART_ARC
(0,21),-1.56718 # DEPENDENCYPART_ARC
(0,22),-0.904499 # DEPENDENCYPART_ARC
(0,23),-0.768794 # DEPENDENCYPART_ARC
(0,24),-2.43973 # DEPENDENCYPART_ARC
(1,2),-0.438638 # DEPENDENCYPART_ARC
(1,3),-1.48686 # DEPENDENCYPART_ARC
(1,4),-1.97373 # DEPENDENCYPART_ARC
(1,6),-1.93641 # DEPENDENCYPART_ARC
(1,8),-1.95708 # DEPENDENCYPART_ARC
(1,9),-2.83355 # DEPENDENCYPART_ARC
(1,10),-2.74864 # DEPENDENCYPART_ARC
(1,11),-2.09423 # DEPENDENCYPART_ARC
(1,12),-2.19378 # DEPENDENCYPART_ARC
(1,13),-2.44844 # DEPENDENCYPART_ARC
(1,15),-2.52841 # DEPENDENCYPART_ARC
(1,16),-2.3429 # DEPENDENCYPART_ARC
(1,17),-2.9994 # DEPENDENCYPART_ARC
(1,18),-1.76521 # DEPENDENCYPART_ARC
(1,19),-2.10163 # DEPENDENCYPART_ARC
(1,20),-2.55953 # DEPENDENCYPART_ARC
(1,23),-2.79999 # DEPENDENCYPART_ARC
(1,24),-3.15413 # DEPENDENCYPART_ARC
(2,1),1.50678 # DEPENDENCYPART_ARC
