# _root_ bestalde , benegasek eajko buruzagiei aurkeztu zien proposamena duela bi aste , iñaki_anasagastik atzo jakitera_eman zuenez .
#goldHeads=0,3,6,5,6,0,6,6,6,11,9,11,15,15,6,15,16,
#predictedHeads=0,3,6,5,6,0,6,9,6,11,9,11,15,15,6,15,16,
(0,1),1.56601 # DEPENDENCYPART_ARC
(0,2),-1.15927 # DEPENDENCYPART_ARC
(0,3),-0.668642 # DEPENDENCYPART_ARC
(0,4),-0.589384 # DEPENDENCYPART_ARC
(0,5),-0.986936 # DEPENDENCYPART_ARC
(0,6),0.697581 # DEPENDENCYPART_ARC
(0,7),-0.50442 # DEPENDENCYPART_ARC
(0,8),-1.2204 # DEPENDENCYPART_ARC
(0,9),-1.75913 # DEPENDENCYPART_ARC
(0,10),-1.57555 # DEPENDENCYPART_ARC
(0,11),-1.12507 # DEPENDENCYPART_ARC
(0,12),-0.970326 # DEPENDENCYPART_ARC
(0,13),-2.2361 # DEPENDENCYPART_ARC
(0,14),-1.59267 # DEPENDENCYPART_ARC
(0,15),-1.26386 # DEPENDENCYPART_ARC
(0,16),-1.23649 # DEPENDENCYPART_ARC
(0,17),-2.15746 # DEPENDENCYPART_ARC
(1,2),-0.922794 # DEPENDENCYPART_ARC
(1,5),-1.89397 # DEPENDENCYPART_ARC
(1,6),-3.13521 # DEPENDENCYPART_ARC
(1,8),-3.00663 # DEPENDENCYPART_ARC
(1,9),-3.04833 # DEPENDENCYPART_ARC
(1,11),-3.25253 # DEPENDENCYPART_ARC
(1,12),-3.46046 # DEPENDENCYPART_ARC
(1,15),-3.95391 # DEPENDENCYPART_ARC
(1,17),-3.59303 # DEPENDENCYPART_ARC
(2,3),-1.01307 # DEPENDENCYPART_ARC
(2,4),-1.54851 # DEPENDENCYPART_ARC
(2,5),-1.37134 # DEPENDENCYPART_ARC
(2,6),-1.61674 # DEPENDENCYPART_ARC
(2,7),-1.30804 # DEPENDENCYPART_ARC
(2,8),-1.88217 # DEPENDENCYPART_ARC
(2,9),-1.77577 # DEPENDENCYPART_ARC
(2,10),-1.64098 # DEPENDENCYPART_ARC
(2,11),-1.9896 # DEPENDENCYPART_ARC
(2,13),-2.35746 # DEPENDENCYPART_ARC
(2,15),-2.59007 # DEPENDENCYPART_ARC
(2,16),-1.6456 # DEPENDENCYPART_ARC
