# _root_ frantziako langabeziaren jaitsierak erakusten du europaren motorra , dieselen_antzera , pixkanaka berotzen ari_dela .
#goldHeads=2,3,4,0,4,7,13,7,13,9,13,13,4,13,
#predictedHeads=2,3,4,0,4,7,4,7,4,9,12,13,4,13,
(0,1),-0.429719 # DEPENDENCYPART_ARC
(0,2),-0.804424 # DEPENDENCYPART_ARC
(0,3),-1.06392 # DEPENDENCYPART_ARC
(0,4),0.479133 # DEPENDENCYPART_ARC
(0,5),-0.602429 # DEPENDENCYPART_ARC
(0,6),-1.61114 # DEPENDENCYPART_ARC
(0,7),-0.928693 # DEPENDENCYPART_ARC
(0,8),-1.02741 # DEPENDENCYPART_ARC
(0,9),-1.61369 # DEPENDENCYPART_ARC
(0,10),-1.18119 # DEPENDENCYPART_ARC
(0,11),-0.906114 # DEPENDENCYPART_ARC
(0,12),-1.16853 # DEPENDENCYPART_ARC
(0,13),-1.25945 # DEPENDENCYPART_ARC
(0,14),-2.16167 # DEPENDENCYPART_ARC
(1,2),-0.0377966 # DEPENDENCYPART_ARC
(1,3),-0.990364 # DEPENDENCYPART_ARC
(1,4),-2.56997 # DEPENDENCYPART_ARC
(1,5),-2.82828 # DEPENDENCYPART_ARC
(1,6),-2.91654 # DEPENDENCYPART_ARC
(1,7),-2.55104 # DEPENDENCYPART_ARC
(1,8),-2.87201 # DEPENDENCYPART_ARC
(1,9),-3.26446 # DEPENDENCYPART_ARC
(1,10),-2.97967 # DEPENDENCYPART_ARC
(1,11),-2.06087 # DEPENDENCYPART_ARC
(1,12),-3.23818 # DEPENDENCYPART_ARC
(1,13),-3.81153 # DEPENDENCYPART_ARC
(1,14),-2.59687 # DEPENDENCYPART_ARC
(2,1),2.98514 # DEPENDENCYPART_ARC
(2,3),0.949493 # DEPENDENCYPART_ARC
(2,4),-1.63878 # DEPENDENCYPART_ARC
(2,5),-1.58443 # DEPENDENCYPART_ARC
(2,6),-1.27659 # DEPENDENCYPART_ARC
(2,7),-1.48164 # DEPENDENCYPART_ARC
(2,8),-1.08971 # DEPENDENCYPART_ARC
(2,9),-1.86202 # DEPENDENCYPART_ARC
(2,10),-1.40023 # DEPENDENCYPART_ARC
(2,11),-1.55117 # DEPENDENCYPART_ARC
(2,12),-2.37367 # DEPENDENCYPART_ARC
(2,13),-3.11846 # DEPENDENCYPART_ARC
(2,14),-1.52216 # DEPENDENCYPART_ARC
(3,1),1.605 # DEPENDENCYPART_ARC
(3,2),2.15055 # DEPENDENCYPART_ARC
(3,4),-0.707237 # DEPENDENCYPART_ARC
(3,5),-0.789193 # DEPENDENCYPART_ARC
(3,6),-2.15679 # DEPENDENCYPART_ARC
(3,7),-1.95184 # DEPENDENCYPART_ARC
(3,8),-0.775517 # DEPENDENCYPART_ARC
(3,9),-2.49945 # DEPENDENCYPART_ARC
(3,10),-0.967826 # DEPENDENCYPART_ARC
(3,11),-1.19775 # DEPENDENCYPART_ARC
(3,12),-2.03498 # DEPENDENCYPART_ARC
(3,13),-2.89204 # DEPENDENCYPART_ARC
(3,14),-1.24482 # DEPENDENCYPART_ARC
(4,1),-0.202416 # DEPENDENCYPART_ARC
(4,2),0.15162 # DEPENDENCYPART_ARC
(4,3),2.42578 # DEPENDENCYPART_ARC
(4,5),2.37214 # DEPENDENCYPART_ARC
(4,6),0.223728 # DEPENDENCYPART_ARC
(4,7),1.15201 # DEPENDENCYPART_ARC
(4,8),-0.241421 # DEPENDENCYPART_ARC
(4,9),0.728993 # DEPENDENCYPART_ARC
(4,10),-0.272073 # DEPENDENCYPART_ARC
(4,11),-0.774374 # DEPENDENCYPART_ARC
(4,12),0.163208 # DEPENDENCYPART_ARC
(4,13),1.02941 # DEPENDENCYPART_ARC
(4,14),-0.332647 # DEPENDENCYPART_ARC
(5,1),-1.74803 # DEPENDENCYPART_ARC
(5,2),-1.10094 # DEPENDENCYPART_ARC
(5,3),-1.07173 # DEPENDENCYPART_ARC
(5,4),-1.72194 # DEPENDENCYPART_ARC
(5,6),-1.53623 # DEPENDENCYPART_ARC
(5,7),-1.87013 # DEPENDENCYPART_ARC
(5,8),-0.666693 # DEPENDENCYPART_ARC
(5,9),-2.1155 # DEPENDENCYPART_ARC
(5,10),-0.966434 # DEPENDENCYPART_ARC
(5,11),-0.945564 # DEPENDENCYPART_ARC
(5,12),-1.48665 # DEPENDENCYPART_ARC
(5,13),-1.76209 # DEPENDENCYPART_ARC
(5,14),-1.1808 # DEPENDENCYPART_ARC
(6,1),-1.73607 # DEPENDENCYPART_ARC
(6,2),-1.91381 # DEPENDENCYPART_ARC
(6,3),-4.41229 # DEPENDENCYPART_ARC
(6,4),-0.863337 # DEPENDENCYPART_ARC
(6,5),-1.98313 # DEPENDENCYPART_ARC
(6,7),0.869899 # DEPENDENCYPART_ARC
(6,8),-0.300251 # DEPENDENCYPART_ARC
(6,9),-1.49634 # DEPENDENCYPART_ARC
(6,10),-1.09774 # DEPENDENCYPART_ARC
(6,11),-1.29707 # DEPENDENCYPART_ARC
(6,12),-1.96928 # DEPENDENCYPART_ARC
(6,13),-2.40841 # DEPENDENCYPART_ARC
(6,14),-1.34358 # DEPENDENCYPART_ARC
(7,1),-0.183338 # DEPENDENCYPART_ARC
(7,2),-0.415523 # DEPENDENCYPART_ARC
(7,3),-2.78999 # DEPENDENCYPART_ARC
(7,4),-0.0847424 # DEPENDENCYPART_ARC
(7,5),-1.97684 # DEPENDENCYPART_ARC
(7,6),2.20351 # DEPENDENCYPART_ARC
(7,8),1.49365 # DEPENDENCYPART_ARC
(7,9),-1.85787 # DEPENDENCYPART_ARC
(7,10),-0.331015 # DEPENDENCYPART_ARC
(7,11),-1.22947 # DEPENDENCYPART_ARC
(7,12),-1.42189 # DEPENDENCYPART_ARC
(7,13),-2.09203 # DEPENDENCYPART_ARC
(7,14),-1.01882 # DEPENDENCYPART_ARC
(8,1),-0.996366 # DEPENDENCYPART_ARC
(8,2),-0.886247 # DEPENDENCYPART_ARC
(8,3),-0.912902 # DEPENDENCYPART_ARC
(8,4),-0.546262 # DEPENDENCYPART_ARC
(8,5),-0.489505 # DEPENDENCYPART_ARC
(8,6),-0.42332 # DEPENDENCYPART_ARC
(8,7),-0.351035 # DEPENDENCYPART_ARC
(8,9),-0.0848564 # DEPENDENCYPART_ARC
(8,10),-0.0981152 # DEPENDENCYPART_ARC
(8,11),-1.25395 # DEPENDENCYPART_ARC
(8,12),-0.704435 # DEPENDENCYPART_ARC
(8,13),-0.704182 # DEPENDENCYPART_ARC
(8,14),-0.611359 # DEPENDENCYPART_ARC
(9,1),-1.47203 # DEPENDENCYPART_ARC
(9,2),-1.27646 # DEPENDENCYPART_ARC
(9,3),-3.9283 # DEPENDENCYPART_ARC
(9,4),-0.792507 # DEPENDENCYPART_ARC
(9,5),-2.23247 # DEPENDENCYPART_ARC
(9,6),-0.655304 # DEPENDENCYPART_ARC
(9,7),-1.85339 # DEPENDENCYPART_ARC
(9,8),0.293236 # DEPENDENCYPART_ARC
(9,10),1.68449 # DEPENDENCYPART_ARC
(9,11),-0.233625 # DEPENDENCYPART_ARC
(9,12),-1.837 # DEPENDENCYPART_ARC
(9,13),-2.78279 # DEPENDENCYPART_ARC
(9,14),-0.57309 # DEPENDENCYPART_ARC
(10,1),-1.14896 # DEPENDENCYPART_ARC
(10,2),-0.952815 # DEPENDENCYPART_ARC
(10,3),-0.993514 # DEPENDENCYPART_ARC
(10,4),-0.798671 # DEPENDENCYPART_ARC
(10,5),-0.736328 # DEPENDENCYPART_ARC
(10,6),-0.708287 # DEPENDENCYPART_ARC
(10,7),-0.92037 # DEPENDENCYPART_ARC
(10,8),-1.0835 # DEPENDENCYPART_ARC
(10,9),-0.157615 # DEPENDENCYPART_ARC
(10,11),-0.614056 # DEPENDENCYPART_ARC
(10,12),-0.691134 # DEPENDENCYPART_ARC
(10,13),-0.613281 # DEPENDENCYPART_ARC
(10,14),-0.503362 # DEPENDENCYPART_ARC
(11,1),-1.09818 # DEPENDENCYPART_ARC
(11,2),-1.10193 # DEPENDENCYPART_ARC
(11,3),-1.03264 # DEPENDENCYPART_ARC
(11,4),-1.00479 # DEPENDENCYPART_ARC
(11,5),-1.08233 # DEPENDENCYPART_ARC
(11,6),-0.915725 # DEPENDENCYPART_ARC
(11,7),-0.897394 # DEPENDENCYPART_ARC
(11,8),-0.744862 # DEPENDENCYPART_ARC
(11,9),-0.418813 # DEPENDENCYPART_ARC
(11,10),0.151293 # DEPENDENCYPART_ARC
(11,12),-0.192628 # DEPENDENCYPART_ARC
(11,13),-1.03017 # DEPENDENCYPART_ARC
(11,14),-0.34577 # DEPENDENCYPART_ARC
(12,1),-2.47802 # DEPENDENCYPART_ARC
(12,2),-2.86797 # DEPENDENCYPART_ARC
(12,3),-1.42904 # DEPENDENCYPART_ARC
(12,4),-1.46622 # DEPENDENCYPART_ARC
(12,5),-0.902741 # DEPENDENCYPART_ARC
(12,6),-1.65882 # DEPENDENCYPART_ARC
(12,7),0.269601 # DEPENDENCYPART_ARC
(12,8),-1.02468 # DEPENDENCYPART_ARC
(12,9),0.0791249 # DEPENDENCYPART_ARC
(12,10),-0.732058 # DEPENDENCYPART_ARC
(12,11),1.35916 # DEPENDENCYPART_ARC
(12,13),0.896625 # DEPENDENCYPART_ARC
(12,14),-0.0977976 # DEPENDENCYPART_ARC
(13,1),-2.70845 # DEPENDENCYPART_ARC
(13,2),-3.25072 # DEPENDENCYPART_ARC
(13,3),-0.172898 # DEPENDENCYPART_ARC
(13,4),-0.87148 # DEPENDENCYPART_ARC
(13,5),0.00374181 # DEPENDENCYPART_ARC
(13,6),-2.05445 # DEPENDENCYPART_ARC
(13,7),-0.515497 # DEPENDENCYPART_ARC
(13,8),-0.939548 # DEPENDENCYPART_ARC
(13,9),-0.396322 # DEPENDENCYPART_ARC
(13,10),-0.549111 # DEPENDENCYPART_ARC
(13,11),0.960929 # DEPENDENCYPART_ARC
(13,12),3.62724 # DEPENDENCYPART_ARC
(13,14),2.29308 # DEPENDENCYPART_ARC
(14,1),-1.60851 # DEPENDENCYPART_ARC
(14,2),-1.50331 # DEPENDENCYPART_ARC
(14,3),-1.4291 # DEPENDENCYPART_ARC
(14,4),-1.81392 # DEPENDENCYPART_ARC
(14,5),-1.26672 # DEPENDENCYPART_ARC
(14,6),-1.41513 # DEPENDENCYPART_ARC
(14,7),-1.58334 # DEPENDENCYPART_ARC
(14,8),-1.50965 # DEPENDENCYPART_ARC
(14,9),-1.4413 # DEPENDENCYPART_ARC
(14,10),-1.38211 # DEPENDENCYPART_ARC
(14,11),-1.17606 # DEPENDENCYPART_ARC
(14,12),-0.961165 # DEPENDENCYPART_ARC
(14,13),-0.571431 # DEPENDENCYPART_ARC
