# _root_ orduan alexander potzu izoztuaren erdialdera joan zen , besoak zabalduta , otsoaren ihesa gordeaz adiunez .
#goldHeads=6,6,5,3,6,0,6,7,10,11,6,13,14,11,14,15,
#predictedHeads=6,3,4,6,6,0,6,7,10,6,10,13,14,6,14,15,
(0,1),-0.442314 # DEPENDENCYPART_ARC
(0,2),-0.45863 # DEPENDENCYPART_ARC
(0,3),-1.09433 # DEPENDENCYPART_ARC
(0,4),-1.4092 # DEPENDENCYPART_ARC
(0,5),-1.0364 # DEPENDENCYPART_ARC
(0,6),-0.472561 # DEPENDENCYPART_ARC
(0,7),-1.0922 # DEPENDENCYPART_ARC
(0,8),-1.31557 # DEPENDENCYPART_ARC
(0,9),-1.27512 # DEPENDENCYPART_ARC
(0,10),-1.40641 # DEPENDENCYPART_ARC
(0,11),-1.27029 # DEPENDENCYPART_ARC
(0,12),-1.45838 # DEPENDENCYPART_ARC
(0,13),-1.8798 # DEPENDENCYPART_ARC
(0,14),-1.95797 # DEPENDENCYPART_ARC
(0,15),-1.76354 # DEPENDENCYPART_ARC
(0,16),-3.04872 # DEPENDENCYPART_ARC
(1,2),-0.37121 # DEPENDENCYPART_ARC
(1,3),-1.39837 # DEPENDENCYPART_ARC
(1,4),-1.80456 # DEPENDENCYPART_ARC
(1,5),-1.63866 # DEPENDENCYPART_ARC
(1,6),-2.11507 # DEPENDENCYPART_ARC
(1,7),-1.84271 # DEPENDENCYPART_ARC
(1,8),-1.97792 # DEPENDENCYPART_ARC
(1,9),-1.88756 # DEPENDENCYPART_ARC
(1,10),-2.27973 # DEPENDENCYPART_ARC
(1,11),-2.27907 # DEPENDENCYPART_ARC
(1,12),-1.95689 # DEPENDENCYPART_ARC
(1,13),-2.00537 # DEPENDENCYPART_ARC
(1,14),-2.55902 # DEPENDENCYPART_ARC
(1,15),-2.06229 # DEPENDENCYPART_ARC
(1,16),-2.23818 # DEPENDENCYPART_ARC
(2,1),-0.514156 # DEPENDENCYPART_ARC
(2,3),0.799904 # DEPENDENCYPART_ARC
(2,4),-1.21355 # DEPENDENCYPART_ARC
(2,5),-1.36813 # DEPENDENCYPART_ARC
(2,6),-2.64564 # DEPENDENCYPART_ARC
(2,7),-1.78591 # DEPENDENCYPART_ARC
(2,8),-1.19329 # DEPENDENCYPART_ARC
(2,9),-2.54624 # DEPENDENCYPART_ARC
(2,10),-1.72775 # DEPENDENCYPART_ARC
(2,11),-1.5769 # DEPENDENCYPART_ARC
(2,12),-2.39295 # DEPENDENCYPART_ARC
(2,13),-2.44209 # DEPENDENCYPART_ARC
(2,14),-2.67553 # DEPENDENCYPART_ARC
(2,15),-2.87536 # DEPENDENCYPART_ARC
(2,16),-1.09877 # DEPENDENCYPART_ARC
(3,1),-0.364433 # DEPENDENCYPART_ARC
(3,2),1.43745 # DEPENDENCYPART_ARC
(3,4),1.02236 # DEPENDENCYPART_ARC
(3,5),0.1557 # DEPENDENCYPART_ARC
(3,6),-0.758992 # DEPENDENCYPART_ARC
(3,7),-0.671373 # DEPENDENCYPART_ARC
(3,8),-0.71112 # DEPENDENCYPART_ARC
(3,9),-0.494682 # DEPENDENCYPART_ARC
(3,10),-0.76257 # DEPENDENCYPART_ARC
(3,11),-1.09533 # DEPENDENCYPART_ARC
(3,12),-0.67728 # DEPENDENCYPART_ARC
(3,13),-0.654235 # DEPENDENCYPART_ARC
(3,14),-0.78432 # DEPENDENCYPART_ARC
(3,15),-1.20136 # DEPENDENCYPART_ARC
(3,16),-0.786649 # DEPENDENCYPART_ARC
(4,1),0.743952 # DEPENDENCYPART_ARC
(4,2),0.305123 # DEPENDENCYPART_ARC
(4,3),1.96721 # DEPENDENCYPART_ARC
(4,5),1.16006 # DEPENDENCYPART_ARC
(4,6),-1.49553 # DEPENDENCYPART_ARC
(4,7),-1.15569 # DEPENDENCYPART_ARC
(4,8),-1.05523 # DEPENDENCYPART_ARC
(4,9),-1.45054 # DEPENDENCYPART_ARC
(4,10),-0.868154 # DEPENDENCYPART_ARC
(4,11),-0.782518 # DEPENDENCYPART_ARC
(4,12),-2.60022 # DEPENDENCYPART_ARC
(4,13),-1.80092 # DEPENDENCYPART_ARC
(4,14),-1.62954 # DEPENDENCYPART_ARC
(4,15),-1.58612 # DEPENDENCYPART_ARC
(4,16),-1.47205 # DEPENDENCYPART_ARC
(5,1),-0.738278 # DEPENDENCYPART_ARC
(5,2),-2.64885 # DEPENDENCYPART_ARC
(5,3),0.434824 # DEPENDENCYPART_ARC
(5,4),0.604163 # DEPENDENCYPART_ARC
(5,6),-1.33839 # DEPENDENCYPART_ARC
(5,7),-1.01786 # DEPENDENCYPART_ARC
(5,8),-0.736687 # DEPENDENCYPART_ARC
(5,9),-1.62122 # DEPENDENCYPART_ARC
(5,10),-1.27583 # DEPENDENCYPART_ARC
(5,11),-1.15824 # DEPENDENCYPART_ARC
(5,12),-2.10702 # DEPENDENCYPART_ARC
(5,13),-2.35868 # DEPENDENCYPART_ARC
(5,14),-2.17234 # DEPENDENCYPART_ARC
(5,15),-1.89452 # DEPENDENCYPART_ARC
(5,16),-0.724089 # DEPENDENCYPART_ARC
(6,1),1.49232 # DEPENDENCYPART_ARC
(6,2),0.752859 # DEPENDENCYPART_ARC
(6,3),0.30264 # DEPENDENCYPART_ARC
(6,4),0.678754 # DEPENDENCYPART_ARC
(6,5),2.25883 # DEPENDENCYPART_ARC
(6,7),1.83586 # DEPENDENCYPART_ARC
(6,8),-0.309743 # DEPENDENCYPART_ARC
(6,9),-0.653844 # DEPENDENCYPART_ARC
(6,10),0.50452 # DEPENDENCYPART_ARC
(6,11),-0.560763 # DEPENDENCYPART_ARC
(6,12),-1.34532 # DEPENDENCYPART_ARC
(6,13),-0.944764 # DEPENDENCYPART_ARC
(6,14),0.460087 # DEPENDENCYPART_ARC
(6,15),-0.761951 # DEPENDENCYPART_ARC
(6,16),-0.838212 # DEPENDENCYPART_ARC
(7,1),-1.06096 # DEPENDENCYPART_ARC
(7,2),-1.49238 # DEPENDENCYPART_ARC
(7,3),-0.90865 # DEPENDENCYPART_ARC
(7,4),-2.23411 # DEPENDENCYPART_ARC
(7,5),-0.623797 # DEPENDENCYPART_ARC
(7,6),-1.26275 # DEPENDENCYPART_ARC
(7,8),1.73825 # DEPENDENCYPART_ARC
(7,9),-1.05084 # DEPENDENCYPART_ARC
(7,10),-1.03436 # DEPENDENCYPART_ARC
(7,11),-0.330893 # DEPENDENCYPART_ARC
(7,12),-1.17448 # DEPENDENCYPART_ARC
(7,13),-1.50232 # DEPENDENCYPART_ARC
(7,14),-1.13215 # DEPENDENCYPART_ARC
(7,15),-1.47955 # DEPENDENCYPART_ARC
(7,16),-1.02799 # DEPENDENCYPART_ARC
(8,1),-0.935095 # DEPENDENCYPART_ARC
(8,2),-0.535601 # DEPENDENCYPART_ARC
(8,3),-0.470249 # DEPENDENCYPART_ARC
(8,4),-0.374171 # DEPENDENCYPART_ARC
(8,5),-0.112552 # DEPENDENCYPART_ARC
