# _root_ g. ganbelu baten hezur bat eclipta prastata landarearen uretan sartzen da , gero erre , eta hortik ateratzen den margogaia ganbelu hezurrez egindako kutxa batean gordetzen da .
#goldHeads=0,22,2,10,4,9,6,6,10,16,10,11,14,16,14,0,18,20,18,26,22,23,24,26,24,16,26,27,
#predictedHeads=2,10,2,10,4,7,8,9,10,16,10,11,14,16,14,0,18,20,18,21,22,23,24,26,24,16,26,27,
(0,1),0.251783 # DEPENDENCYPART_ARC
(0,2),-1.0106 # DEPENDENCYPART_ARC
(0,3),-1.3448 # DEPENDENCYPART_ARC
(0,4),-1.29265 # DEPENDENCYPART_ARC
(0,5),-1.43732 # DEPENDENCYPART_ARC
(0,6),-1.39872 # DEPENDENCYPART_ARC
(0,7),-1.32006 # DEPENDENCYPART_ARC
(0,8),-1.37502 # DEPENDENCYPART_ARC
(0,9),-1.63347 # DEPENDENCYPART_ARC
(0,10),-0.366922 # DEPENDENCYPART_ARC
(0,11),-1.50826 # DEPENDENCYPART_ARC
(0,12),-1.15885 # DEPENDENCYPART_ARC
(0,13),-1.3393 # DEPENDENCYPART_ARC
(0,14),-1.15318 # DEPENDENCYPART_ARC
(0,15),-1.12691 # DEPENDENCYPART_ARC
(0,16),0.536015 # DEPENDENCYPART_ARC
(0,17),-1.18418 # DEPENDENCYPART_ARC
(0,18),-1.6803 # DEPENDENCYPART_ARC
(0,19),-1.81779 # DEPENDENCYPART_ARC
(0,20),-2.04593 # DEPENDENCYPART_ARC
(0,21),-2.38769 # DEPENDENCYPART_ARC
(0,22),-2.42009 # DEPENDENCYPART_ARC
(0,23),-3.4456 # DEPENDENCYPART_ARC
(0,24),-2.85352 # DEPENDENCYPART_ARC
(0,25),-2.96002 # DEPENDENCYPART_ARC
(0,26),-1.95415 # DEPENDENCYPART_ARC
(0,27),-2.56681 # DEPENDENCYPART_ARC
(0,28),-4.25804 # DEPENDENCYPART_ARC
(1,2),-0.190867 # DEPENDENCYPART_ARC
(1,3),-1.42526 # DEPENDENCYPART_ARC
(1,4),-2.1441 # DEPENDENCYPART_ARC
(1,5),-2.22433 # DEPENDENCYPART_ARC
(1,6),-1.86612 # DEPENDENCYPART_ARC
(1,7),-1.701 # DEPENDENCYPART_ARC
(1,8),-2.75336 # DEPENDENCYPART_ARC
(1,9),-2.27345 # DEPENDENCYPART_ARC
(1,10),-2.45465 # DEPENDENCYPART_ARC
(1,11),-2.44007 # DEPENDENCYPART_ARC
(1,12),-2.73402 # DEPENDENCYPART_ARC
(1,13),-1.89629 # DEPENDENCYPART_ARC
(1,14),-2.48813 # DEPENDENCYPART_ARC
(1,15),-3.09082 # DEPENDENCYPART_ARC
(1,16),-2.27946 # DEPENDENCYPART_ARC
(1,17),-2.29052 # DEPENDENCYPART_ARC
(1,18),-2.47963 # DEPENDENCYPART_ARC
(1,19),-2.83845 # DEPENDENCYPART_ARC
(1,20),-3.71995 # DEPENDENCYPART_ARC
(1,21),-2.37882 # DEPENDENCYPART_ARC
(1,22),-3.4583 # DEPENDENCYPART_ARC
(1,23),-3.05999 # DEPENDENCYPART_ARC
(1,24),-3.53313 # DEPENDENCYPART_ARC
(1,25),-3.71124 # DEPENDENCYPART_ARC
(1,26),-3.19692 # DEPENDENCYPART_ARC
(1,27),-2.7405 # DEPENDENCYPART_ARC
(1,28),-2.82413 # DEPENDENCYPART_ARC
(2,1),1.23095 # DEPENDENCYPART_ARC
(2,3),1.82721 # DEPENDENCYPART_ARC
(2,4),-0.286148 # DEPENDENCYPART_ARC
(2,5),0.0987639 # DEPENDENCYPART_ARC
(2,6),-0.696579 # DEPENDENCYPART_ARC
(2,7),-0.629576 # DEPENDENCYPART_ARC
(2,8),-1.1553 # DEPENDENCYPART_ARC
(2,9),-0.960466 # DEPENDENCYPART_ARC
(2,10),-0.914138 # DEPENDENCYPART_ARC
(2,11),-1.01385 # DEPENDENCYPART_ARC
(2,12),-1.08482 # DEPENDENCYPART_ARC
(2,13),-0.79031 # DEPENDENCYPART_ARC
(2,14),-0.841378 # DEPENDENCYPART_ARC
(2,15),-1.51282 # DEPENDENCYPART_ARC
(2,16),-1.12109 # DEPENDENCYPART_ARC
(2,17),-0.877654 # DEPENDENCYPART_ARC
(2,18),-1.06898 # DEPENDENCYPART_ARC
(2,19),-1.73848 # DEPENDENCYPART_ARC
(2,20),-1.57924 # DEPENDENCYPART_ARC
(2,21),-1.46526 # DEPENDENCYPART_ARC
(2,22),-1.60133 # DEPENDENCYPART_ARC
(2,23),-1.28279 # DEPENDENCYPART_ARC
(2,24),-2.10844 # DEPENDENCYPART_ARC
(2,25),-1.86074 # DEPENDENCYPART_ARC
(2,26),-1.74007 # DEPENDENCYPART_ARC
(2,27),-1.31446 # DEPENDENCYPART_ARC
(2,28),-1.3573 # DEPENDENCYPART_ARC
(3,1),-0.848647 # DEPENDENCYPART_ARC
(3,2),-0.537409 # DEPENDENCYPART_ARC
(3,4),0.276167 # DEPENDENCYPART_ARC
(3,5),-0.446121 # DEPENDENCYPART_ARC
(3,6),-0.809004 # DEPENDENCYPART_ARC
(3,7),-1.02011 # DEPENDENCYPART_ARC
(3,8),-0.784636 # DEPENDENCYPART_ARC
(3,9),-0.293553 # DEPENDENCYPART_ARC
(3,10),-1.32358 # DEPENDENCYPART_ARC
(3,12),-1.1022 # DEPENDENCYPART_ARC
(3,13),-0.943223 # DEPENDENCYPART_ARC
(3,14),-1.17876 # DEPENDENCYPART_ARC
(3,15),-1.25263 # DEPENDENCYPART_ARC
(3,16),-1.70706 # DEPENDENCYPART_ARC
(3,17),-1.10566 # DEPENDENCYPART_ARC
(3,18),-1.25359 # DEPENDENCYPART_ARC
(3,20),-1.49897 # DEPENDENCYPART_ARC
(3,21),-2.02583 # DEPENDENCYPART_ARC
(3,22),-0.908142 # DEPENDENCYPART_ARC
(3,23),-1.1184 # DEPENDENCYPART_ARC
(3,24),-2.3695 # DEPENDENCYPART_ARC
(3,25),-1.24699 # DEPENDENCYPART_ARC
(3,26),-1.62021 # DEPENDENCYPART_ARC
(3,28),-2.02848 # DEPENDENCYPART_ARC
(4,1),-1.54507 # DEPENDENCYPART_ARC
(4,2),0.470938 # DEPENDENCYPART_ARC
(4,3),0.528905 # DEPENDENCYPART_ARC
(4,5),2.31817 # DEPENDENCYPART_ARC
(4,6),-0.458016 # DEPENDENCYPART_ARC
(4,7),-0.691652 # DEPENDENCYPART_ARC
(4,8),-0.734263 # DEPENDENCYPART_ARC
(4,9),-0.434891 # DEPENDENCYPART_ARC
(4,10),-1.17061 # DEPENDENCYPART_ARC
(4,11),-1.33278 # DEPENDENCYPART_ARC
(4,12),-1.26689 # DEPENDENCYPART_ARC
(4,13),-1.00143 # DEPENDENCYPART_ARC
(4,14),-0.800009 # DEPENDENCYPART_ARC
(4,15),-1.44457 # DEPENDENCYPART_ARC
(4,16),-0.926893 # DEPENDENCYPART_ARC
(4,17),-1.1721 # DEPENDENCYPART_ARC
(4,18),-1.42107 # DEPENDENCYPART_ARC
(4,19),-1.71973 # DEPENDENCYPART_ARC
(4,20),-1.6165 # DEPENDENCYPART_ARC
(4,21),-1.62954 # DEPENDENCYPART_ARC
(4,22),-1.40377 # DEPENDENCYPART_ARC
(4,23),-1.23525 # DEPENDENCYPART_ARC
(4,24),-1.80711 # DEPENDENCYPART_ARC
(4,25),-1.15888 # DEPENDENCYPART_ARC
(4,26),-2.11179 # DEPENDENCYPART_ARC
(4,27),-1.70418 # DEPENDENCYPART_ARC
(4,28),-1.56678 # DEPENDENCYPART_ARC
(5,1),-1.28133 # DEPENDENCYPART_ARC
(5,2),-1.58747 # DEPENDENCYPART_ARC
(5,3),-0.888659 # DEPENDENCYPART_ARC
(5,4),-0.410487 # DEPENDENCYPART_ARC
(5,6),0.0335788 # DEPENDENCYPART_ARC
(5,7),-0.979871 # DEPENDENCYPART_ARC
(5,8),-1.90298 # DEPENDENCYPART_ARC
(5,9),-1.54589 # DEPENDENCYPART_ARC
(5,10),-1.97823 # DEPENDENCYPART_ARC
(5,12),-1.1219 # DEPENDENCYPART_ARC
(5,13),-1.18253 # DEPENDENCYPART_ARC
(5,14),-1.66969 # DEPENDENCYPART_ARC
(5,15),-1.32167 # DEPENDENCYPART_ARC
(5,16),-1.43353 # DEPENDENCYPART_ARC
(5,17),-1.37338 # DEPENDENCYPART_ARC
(5,18),-2.1964 # DEPENDENCYPART_ARC
(5,20),-2.33847 # DEPENDENCYPART_ARC
(5,21),-2.11558 # DEPENDENCYPART_ARC
(5,22),-1.93268 # DEPENDENCYPART_ARC
(5,23),-1.70369 # DEPENDENCYPART_ARC
(5,24),-2.61184 # DEPENDENCYPART_ARC
(5,25),-2.0255 # DEPENDENCYPART_ARC
(5,26),-2.36917 # DEPENDENCYPART_ARC
(5,28),-2.17165 # DEPENDENCYPART_ARC
(6,1),-1.04429 # DEPENDENCYPART_ARC
(6,2),-0.897884 # DEPENDENCYPART_ARC
(6,3),-0.831764 # DEPENDENCYPART_ARC
(6,4),0.167396 # DEPENDENCYPART_ARC
(6,5),0.72474 # DEPENDENCYPART_ARC
(6,7),0.743757 # DEPENDENCYPART_ARC
(6,8),-0.208455 # DEPENDENCYPART_ARC
(6,9),-0.522677 # DEPENDENCYPART_ARC
(6,10),-0.889704 # DEPENDENCYPART_ARC
(6,11),-0.992748 # DEPENDENCYPART_ARC
(6,12),-1.00203 # DEPENDENCYPART_ARC
(6,13),-0.953965 # DEPENDENCYPART_ARC
(6,14),-0.82739 # DEPENDENCYPART_ARC
(6,15),-1.30026 # DEPENDENCYPART_ARC
(6,16),-0.762554 # DEPENDENCYPART_ARC
(6,17),-1.09471 # DEPENDENCYPART_ARC
(6,18),-1.17863 # DEPENDENCYPART_ARC
(6,19),-1.94167 # DEPENDENCYPART_ARC
(6,20),-1.58174 # DEPENDENCYPART_ARC
(6,21),-1.38705 # DEPENDENCYPART_ARC
(6,22),-1.48213 # DEPENDENCYPART_ARC
(6,23),-1.21691 # DEPENDENCYPART_ARC
(6,24),-1.83695 # DEPENDENCYPART_ARC
(6,25),-2.124 # DEPENDENCYPART_ARC
(6,26),-1.62551 # DEPENDENCYPART_ARC
(6,27),-1.53137 # DEPENDENCYPART_ARC
(6,28),-1.4553 # DEPENDENCYPART_ARC
(7,1),-1.04542 # DEPENDENCYPART_ARC
(7,2),-1.13968 # DEPENDENCYPART_ARC
(7,3),-1.29544 # DEPENDENCYPART_ARC
(7,4),-0.81165 # DEPENDENCYPART_ARC
(7,5),-0.161124 # DEPENDENCYPART_ARC
(7,6),0.7491 # DEPENDENCYPART_ARC
(7,8),0.807688 # DEPENDENCYPART_ARC
(7,9),-0.0754434 # DEPENDENCYPART_ARC
(7,10),-0.939135 # DEPENDENCYPART_ARC
(7,11),-1.00769 # DEPENDENCYPART_ARC
(7,12),-1.05323 # DEPENDENCYPART_ARC
(7,13),-1.12479 # DEPENDENCYPART_ARC
(7,14),-0.92931 # DEPENDENCYPART_ARC
(7,15),-1.3435 # DEPENDENCYPART_ARC
(7,16),-0.956111 # DEPENDENCYPART_ARC
(7,17),-1.2364 # DEPENDENCYPART_ARC
(7,18),-1.24397 # DEPENDENCYPART_ARC
(7,19),-1.77605 # DEPENDENCYPART_ARC
(7,20),-1.59623 # DEPENDENCYPART_ARC
(7,21),-1.43913 # DEPENDENCYPART_ARC
(7,22),-1.25865 # DEPENDENCYPART_ARC
(7,23),-1.4594 # DEPENDENCYPART_ARC
(7,24),-1.78553 # DEPENDENCYPART_ARC
(7,25),-2.08339 # DEPENDENCYPART_ARC
(7,26),-1.82947 # DEPENDENCYPART_ARC
(7,27),-1.42148 # DEPENDENCYPART_ARC
(7,28),-1.61706 # DEPENDENCYPART_ARC
(8,1),-3.24303 # DEPENDENCYPART_ARC
(8,2),-0.904839 # DEPENDENCYPART_ARC
(8,3),-1.13546 # DEPENDENCYPART_ARC
(8,4),-0.816053 # DEPENDENCYPART_ARC
(8,5),-2.44033 # DEPENDENCYPART_ARC
(8,6),0.119391 # DEPENDENCYPART_ARC
(8,7),1.3126 # DEPENDENCYPART_ARC
(8,9),1.10208 # DEPENDENCYPART_ARC
(8,10),-1.4765 # DEPENDENCYPART_ARC
(8,11),-1.84766 # DEPENDENCYPART_ARC
(8,12),-1.2668 # DEPENDENCYPART_ARC
(8,13),-1.45898 # DEPENDENCYPART_ARC
(8,14),-1.83515 # DEPENDENCYPART_ARC
(8,15),-1.52541 # DEPENDENCYPART_ARC
(8,16),-1.54611 # DEPENDENCYPART_ARC
(8,17),-1.73087 # DEPENDENCYPART_ARC
(8,18),-1.93101 # DEPENDENCYPART_ARC
(8,19),-2.43941 # DEPENDENCYPART_ARC
(8,20),-2.50545 # DEPENDENCYPART_ARC
(8,21),-1.77288 # DEPENDENCYPART_ARC
(8,22),-1.60831 # DEPENDENCYPART_ARC
(8,23),-2.16013 # DEPENDENCYPART_ARC
(8,24),-2.32773 # DEPENDENCYPART_ARC
(8,25),-2.83116 # DEPENDENCYPART_ARC
(8,26),-2.6141 # DEPENDENCYPART_ARC
(8,27),-2.42279 # DEPENDENCYPART_ARC
(8,28),-1.72043 # DEPENDENCYPART_ARC
(9,1),-3.4194 # DEPENDENCYPART_ARC
(9,2),-1.26641 # DEPENDENCYPART_ARC
(9,3),-1.8526 # DEPENDENCYPART_ARC
(9,4),-1.24047 # DEPENDENCYPART_ARC
(9,5),-2.64604 # DEPENDENCYPART_ARC
(9,6),-0.716363 # DEPENDENCYPART_ARC
(9,7),0.00979574 # DEPENDENCYPART_ARC
(9,8),1.25251 # DEPENDENCYPART_ARC
(9,10),-0.646656 # DEPENDENCYPART_ARC
(9,11),-0.599215 # DEPENDENCYPART_ARC
(9,12),-0.758314 # DEPENDENCYPART_ARC
(9,13),-1.07071 # DEPENDENCYPART_ARC
(9,14),-1.11666 # DEPENDENCYPART_ARC
(9,15),-1.15277 # DEPENDENCYPART_ARC
(9,16),-0.950625 # DEPENDENCYPART_ARC
(9,17),-1.30739 # DEPENDENCYPART_ARC
(9,18),-1.92268 # DEPENDENCYPART_ARC
(9,19),-1.43145 # DEPENDENCYPART_ARC
(9,20),-2.1477 # DEPENDENCYPART_ARC
(9,21),-1.30773 # DEPENDENCYPART_ARC
(9,22),-1.77136 # DEPENDENCYPART_ARC
(9,23),-1.69357 # DEPENDENCYPART_ARC
(9,24),-1.85236 # DEPENDENCYPART_ARC
(9,25),-2.37965 # DEPENDENCYPART_ARC
(9,26),-2.46513 # DEPENDENCYPART_ARC
(9,27),-1.86817 # DEPENDENCYPART_ARC
(9,28),-1.50974 # DEPENDENCYPART_ARC
(10,1),1.14511 # DEPENDENCYPART_ARC
(10,2),0.624633 # DEPENDENCYPART_ARC
(10,3),-0.993515 # DEPENDENCYPART_ARC
(10,4),0.690995 # DEPENDENCYPART_ARC
(10,5),-0.116898 # DEPENDENCYPART_ARC
(10,6),0.590574 # DEPENDENCYPART_ARC
(10,7),0.594661 # DEPENDENCYPART_ARC
(10,8),0.194591 # DEPENDENCYPART_ARC
(10,9),2.07589 # DEPENDENCYPART_ARC
(10,11),2.0204 # DEPENDENCYPART_ARC
(10,12),-0.0471806 # DEPENDENCYPART_ARC
(10,13),-0.210968 # DEPENDENCYPART_ARC
(10,14),0.527892 # DEPENDENCYPART_ARC
(10,15),-0.457653 # DEPENDENCYPART_ARC
(10,16),-0.419546 # DEPENDENCYPART_ARC
(10,17),-0.663006 # DEPENDENCYPART_ARC
(10,18),-0.712299 # DEPENDENCYPART_ARC
(10,19),0.43454 # DEPENDENCYPART_ARC
(10,20),-0.913398 # DEPENDENCYPART_ARC
(10,21),-1.21423 # DEPENDENCYPART_ARC
(10,22),-1.28188 # DEPENDENCYPART_ARC
(10,23),-1.3182 # DEPENDENCYPART_ARC
(10,24),-1.30028 # DEPENDENCYPART_ARC
(10,25),-0.967515 # DEPENDENCYPART_ARC
(10,26),-1.37835 # DEPENDENCYPART_ARC
(10,27),-1.06697 # DEPENDENCYPART_ARC
(10,28),-1.42665 # DEPENDENCYPART_ARC
(11,1),-0.684176 # DEPENDENCYPART_ARC
(11,2),-0.882106 # DEPENDENCYPART_ARC
(11,3),-0.974405 # DEPENDENCYPART_ARC
(11,4),-0.649276 # DEPENDENCYPART_ARC
(11,5),-0.793179 # DEPENDENCYPART_ARC
(11,6),-0.737716 # DEPENDENCYPART_ARC
(11,7),-0.685353 # DEPENDENCYPART_ARC
(11,8),-0.556986 # DEPENDENCYPART_ARC
(11,9),-0.592554 # DEPENDENCYPART_ARC
(11,10),-0.937335 # DEPENDENCYPART_ARC
(11,12),1.4159 # DEPENDENCYPART_ARC
(11,13),-0.974934 # DEPENDENCYPART_ARC
(11,14),-1.64661 # DEPENDENCYPART_ARC
(11,15),-0.701693 # DEPENDENCYPART_ARC
(11,16),-1.28096 # DEPENDENCYPART_ARC
(11,17),-1.25133 # DEPENDENCYPART_ARC
(11,18),-2.60244 # DEPENDENCYPART_ARC
(11,19),-1.58384 # DEPENDENCYPART_ARC
(11,20),-2.49031 # DEPENDENCYPART_ARC
(11,21),-1.79736 # DEPENDENCYPART_ARC
(11,22),-1.93873 # DEPENDENCYPART_ARC
(11,23),-2.3542 # DEPENDENCYPART_ARC
(11,24),-2.35338 # DEPENDENCYPART_ARC
(11,25),-1.92234 # DEPENDENCYPART_ARC
(11,26),-2.52297 # DEPENDENCYPART_ARC
(11,27),-1.56943 # DEPENDENCYPART_ARC
(11,28),-1.49711 # DEPENDENCYPART_ARC
(12,1),-0.988691 # DEPENDENCYPART_ARC
(12,2),-0.933912 # DEPENDENCYPART_ARC
(12,3),-1.73423 # DEPENDENCYPART_ARC
(12,4),-0.932663 # DEPENDENCYPART_ARC
(12,5),-1.62158 # DEPENDENCYPART_ARC
(12,6),-0.835461 # DEPENDENCYPART_ARC
(12,7),-0.761747 # DEPENDENCYPART_ARC
(12,8),-0.662209 # DEPENDENCYPART_ARC
(12,9),-0.489807 # DEPENDENCYPART_ARC
(12,10),-0.422393 # DEPENDENCYPART_ARC
(12,11),-0.207445 # DEPENDENCYPART_ARC
(12,14),-0.704524 # DEPENDENCYPART_ARC
(12,16),-0.857 # DEPENDENCYPART_ARC
(12,18),-0.694297 # DEPENDENCYPART_ARC
(12,19),-1.0715 # DEPENDENCYPART_ARC
(12,20),-1.69308 # DEPENDENCYPART_ARC
(12,21),-1.71025 # DEPENDENCYPART_ARC
(12,22),-1.65114 # DEPENDENCYPART_ARC
(12,23),-1.28176 # DEPENDENCYPART_ARC
(12,24),-2.05965 # DEPENDENCYPART_ARC
(12,25),-1.57457 # DEPENDENCYPART_ARC
(12,26),-1.4498 # DEPENDENCYPART_ARC
(12,27),-1.21668 # DEPENDENCYPART_ARC
(13,1),-1.3397 # DEPENDENCYPART_ARC
(13,2),-1.32996 # DEPENDENCYPART_ARC
(13,3),-1.4742 # DEPENDENCYPART_ARC
(13,4),-1.30339 # DEPENDENCYPART_ARC
(13,5),-1.39642 # DEPENDENCYPART_ARC
(13,6),-1.23259 # DEPENDENCYPART_ARC
(13,7),-1.24054 # DEPENDENCYPART_ARC
(13,8),-1.18093 # DEPENDENCYPART_ARC
(13,9),-1.06238 # DEPENDENCYPART_ARC
(13,10),-0.78062 # DEPENDENCYPART_ARC
(13,11),-0.95904 # DEPENDENCYPART_ARC
(13,12),-0.129347 # DEPENDENCYPART_ARC
(13,14),-0.407666 # DEPENDENCYPART_ARC
(13,15),-0.240545 # DEPENDENCYPART_ARC
(13,16),-0.812327 # DEPENDENCYPART_ARC
(13,17),-0.973286 # DEPENDENCYPART_ARC
(13,18),-1.57934 # DEPENDENCYPART_ARC
(13,19),-1.22696 # DEPENDENCYPART_ARC
(13,20),-1.39193 # DEPENDENCYPART_ARC
(13,21),-1.40072 # DEPENDENCYPART_ARC
(13,22),-1.35096 # DEPENDENCYPART_ARC
(13,23),-1.44889 # DEPENDENCYPART_ARC
(13,24),-1.49961 # DEPENDENCYPART_ARC
(13,25),-1.60449 # DEPENDENCYPART_ARC
(13,26),-1.96041 # DEPENDENCYPART_ARC
