# _root_ beraz , koazerbatuek materiaren antolamenduaren nolabaiteko hastapen-forma eskaintzen digutela ikusten dugu , nahiz_eta antolamendu hau oraindik oso primitiboa eta erabat ezegonkorra izan .
#goldHeads=10,3,8,5,7,7,8,10,8,0,10,11,10,22,14,22,0,19,22,21,19,10,22,
#predictedHeads=0,3,8,5,7,7,8,10,8,0,10,11,0,22,14,18,18,19,22,21,22,10,22,
(0,1),1.7547 # DEPENDENCYPART_ARC
(0,2),-0.903221 # DEPENDENCYPART_ARC
(0,3),-0.269686 # DEPENDENCYPART_ARC
(0,4),-0.280847 # DEPENDENCYPART_ARC
(0,5),-0.638824 # DEPENDENCYPART_ARC
(0,6),-0.542077 # DEPENDENCYPART_ARC
(0,7),-0.212392 # DEPENDENCYPART_ARC
(0,8),-0.584593 # DEPENDENCYPART_ARC
(0,9),-0.687993 # DEPENDENCYPART_ARC
(0,10),0.237854 # DEPENDENCYPART_ARC
(0,11),-0.854593 # DEPENDENCYPART_ARC
(0,12),-1.02817 # DEPENDENCYPART_ARC
(0,13),0.8274 # DEPENDENCYPART_ARC
(0,14),-1.27386 # DEPENDENCYPART_ARC
(0,15),-1.22398 # DEPENDENCYPART_ARC
(0,16),-0.708008 # DEPENDENCYPART_ARC
(0,17),-0.835063 # DEPENDENCYPART_ARC
(0,18),-1.31311 # DEPENDENCYPART_ARC
(0,19),-0.563857 # DEPENDENCYPART_ARC
(0,20),-0.723564 # DEPENDENCYPART_ARC
(0,21),-1.62527 # DEPENDENCYPART_ARC
(0,22),-2.1009 # DEPENDENCYPART_ARC
(0,23),-2.58863 # DEPENDENCYPART_ARC
(1,2),-0.106247 # DEPENDENCYPART_ARC
(1,3),-2.44653 # DEPENDENCYPART_ARC
(1,4),-2.76376 # DEPENDENCYPART_ARC
(1,5),-2.57821 # DEPENDENCYPART_ARC
(1,6),-2.4599 # DEPENDENCYPART_ARC
(1,7),-2.56491 # DEPENDENCYPART_ARC
(1,8),-3.25342 # DEPENDENCYPART_ARC
(1,9),-2.57502 # DEPENDENCYPART_ARC
(1,10),-3.71046 # DEPENDENCYPART_ARC
(1,11),-2.52225 # DEPENDENCYPART_ARC
(1,12),-2.44757 # DEPENDENCYPART_ARC
(1,13),-2.38439 # DEPENDENCYPART_ARC
(1,14),-3.88727 # DEPENDENCYPART_ARC
(1,15),-3.18288 # DEPENDENCYPART_ARC
(1,16),-2.6387 # DEPENDENCYPART_ARC
(1,17),-2.81154 # DEPENDENCYPART_ARC
(1,18),-3.1536 # DEPENDENCYPART_ARC
(1,19),-2.5731 # DEPENDENCYPART_ARC
(1,20),-2.77848 # DEPENDENCYPART_ARC
(1,21),-3.10755 # DEPENDENCYPART_ARC
(1,22),-3.93215 # DEPENDENCYPART_ARC
(1,23),-3.30403 # DEPENDENCYPART_ARC
(2,1),-0.334134 # DEPENDENCYPART_ARC
(2,3),-0.949087 # DEPENDENCYPART_ARC
(2,4),-1.46926 # DEPENDENCYPART_ARC
(2,5),-1.31381 # DEPENDENCYPART_ARC
(2,6),-1.77428 # DEPENDENCYPART_ARC
(2,7),-1.38975 # DEPENDENCYPART_ARC
(2,8),-2.04612 # DEPENDENCYPART_ARC
(2,9),-1.29775 # DEPENDENCYPART_ARC
(2,10),-2.0586 # DEPENDENCYPART_ARC
(2,11),-1.31672 # DEPENDENCYPART_ARC
(2,12),-1.38564 # DEPENDENCYPART_ARC
(2,13),-1.55728 # DEPENDENCYPART_ARC
(2,14),-2.48451 # DEPENDENCYPART_ARC
(2,15),-1.92453 # DEPENDENCYPART_ARC
(2,16),-2.06355 # DEPENDENCYPART_ARC
(2,17),-1.95906 # DEPENDENCYPART_ARC
(2,18),-1.7604 # DEPENDENCYPART_ARC
(2,19),-2.00012 # DEPENDENCYPART_ARC
(2,20),-2.11144 # DEPENDENCYPART_ARC
(2,21),-1.63468 # DEPENDENCYPART_ARC
(2,22),-2.78069 # DEPENDENCYPART_ARC
(2,23),-2.15638 # DEPENDENCYPART_ARC
(3,1),-0.500224 # DEPENDENCYPART_ARC
(3,2),0.0448381 # DEPENDENCYPART_ARC
(3,4),-0.528377 # DEPENDENCYPART_ARC
(3,5),-1.58144 # DEPENDENCYPART_ARC
(3,6),-1.25381 # DEPENDENCYPART_ARC
(3,7),-2.64334 # DEPENDENCYPART_ARC
(3,8),-1.81402 # DEPENDENCYPART_ARC
(3,9),-2.10066 # DEPENDENCYPART_ARC
(3,10),-1.94007 # DEPENDENCYPART_ARC
(3,11),-2.12033 # DEPENDENCYPART_ARC
(3,12),-1.48576 # DEPENDENCYPART_ARC
(3,13),-1.59193 # DEPENDENCYPART_ARC
(3,14),-2.39844 # DEPENDENCYPART_ARC
(3,15),-2.90563 # DEPENDENCYPART_ARC
(3,16),-1.60479 # DEPENDENCYPART_ARC
(3,17),-1.54722 # DEPENDENCYPART_ARC
(3,18),-3.00071 # DEPENDENCYPART_ARC
(3,19),-1.94171 # DEPENDENCYPART_ARC
(3,20),-1.5459 # DEPENDENCYPART_ARC
(3,21),-3.02018 # DEPENDENCYPART_ARC
(3,22),-2.17429 # DEPENDENCYPART_ARC
(3,23),-1.49221 # DEPENDENCYPART_ARC
(4,1),-0.858772 # DEPENDENCYPART_ARC
(4,2),-1.00819 # DEPENDENCYPART_ARC
(4,3),-0.419096 # DEPENDENCYPART_ARC
(4,5),0.00905684 # DEPENDENCYPART_ARC
(4,6),-0.607826 # DEPENDENCYPART_ARC
(4,7),-1.37734 # DEPENDENCYPART_ARC
(4,8),-1.79045 # DEPENDENCYPART_ARC
(4,9),-2.34736 # DEPENDENCYPART_ARC
(4,10),-1.92247 # DEPENDENCYPART_ARC
(4,11),-2.11077 # DEPENDENCYPART_ARC
(4,12),-1.42621 # DEPENDENCYPART_ARC
(4,13),-1.21938 # DEPENDENCYPART_ARC
(4,14),-1.80832 # DEPENDENCYPART_ARC
(4,15),-3.47954 # DEPENDENCYPART_ARC
(4,16),-1.48768 # DEPENDENCYPART_ARC
(4,17),-1.64612 # DEPENDENCYPART_ARC
(4,18),-4.34279 # DEPENDENCYPART_ARC
(4,19),-1.56248 # DEPENDENCYPART_ARC
(4,20),-1.66237 # DEPENDENCYPART_ARC
(4,21),-4.19209 # DEPENDENCYPART_ARC
(4,22),-2.23919 # DEPENDENCYPART_ARC
(4,23),-1.59371 # DEPENDENCYPART_ARC
(5,1),-1.02652 # DEPENDENCYPART_ARC
(5,2),-1.38894 # DEPENDENCYPART_ARC
(5,3),-1.56083 # DEPENDENCYPART_ARC
(5,4),1.82272 # DEPENDENCYPART_ARC
(5,6),0.132025 # DEPENDENCYPART_ARC
(5,7),-0.921531 # DEPENDENCYPART_ARC
(5,8),-1.49471 # DEPENDENCYPART_ARC
(5,9),-2.26529 # DEPENDENCYPART_ARC
(5,10),-1.75701 # DEPENDENCYPART_ARC
(5,11),-2.02757 # DEPENDENCYPART_ARC
(5,12),-1.24561 # DEPENDENCYPART_ARC
(5,13),-1.08219 # DEPENDENCYPART_ARC
(5,14),-1.65945 # DEPENDENCYPART_ARC
(5,15),-3.27206 # DEPENDENCYPART_ARC
(5,16),-1.35748 # DEPENDENCYPART_ARC
(5,17),-1.47304 # DEPENDENCYPART_ARC
(5,18),-4.16945 # DEPENDENCYPART_ARC
(5,19),-1.49885 # DEPENDENCYPART_ARC
(5,20),-1.49894 # DEPENDENCYPART_ARC
(5,21),-3.97132 # DEPENDENCYPART_ARC
(5,22),-1.96709 # DEPENDENCYPART_ARC
(5,23),-1.5931 # DEPENDENCYPART_ARC
(6,1),-0.886037 # DEPENDENCYPART_ARC
(6,2),-1.4171 # DEPENDENCYPART_ARC
(6,3),-0.903519 # DEPENDENCYPART_ARC
(6,4),-0.934146 # DEPENDENCYPART_ARC
(6,5),-0.385368 # DEPENDENCYPART_ARC
(6,7),-0.334789 # DEPENDENCYPART_ARC
(6,8),-1.14845 # DEPENDENCYPART_ARC
(6,9),-0.784826 # DEPENDENCYPART_ARC
(6,10),-1.3423 # DEPENDENCYPART_ARC
(6,11),-1.00457 # DEPENDENCYPART_ARC
(6,12),-0.625314 # DEPENDENCYPART_ARC
(6,13),-1.00542 # DEPENDENCYPART_ARC
(6,14),-1.56474 # DEPENDENCYPART_ARC
(6,15),-1.39641 # DEPENDENCYPART_ARC
(6,16),-0.913516 # DEPENDENCYPART_ARC
(6,17),-0.91789 # DEPENDENCYPART_ARC
(6,18),-1.90257 # DEPENDENCYPART_ARC
(6,19),-1.27073 # DEPENDENCYPART_ARC
(6,20),-1.03672 # DEPENDENCYPART_ARC
(6,21),-1.86651 # DEPENDENCYPART_ARC
(6,22),-1.80571 # DEPENDENCYPART_ARC
(6,23),-1.04533 # DEPENDENCYPART_ARC
(7,1),-1.27508 # DEPENDENCYPART_ARC
(7,2),-1.3716 # DEPENDENCYPART_ARC
(7,3),-2.99302 # DEPENDENCYPART_ARC
(7,4),-0.2396 # DEPENDENCYPART_ARC
(7,5),0.599427 # DEPENDENCYPART_ARC
(7,6),1.6351 # DEPENDENCYPART_ARC
(7,8),-0.434843 # DEPENDENCYPART_ARC
(7,9),-0.810283 # DEPENDENCYPART_ARC
(7,10),-1.63497 # DEPENDENCYPART_ARC
(7,11),-1.62065 # DEPENDENCYPART_ARC
(7,12),-0.982909 # DEPENDENCYPART_ARC
(7,13),-0.45809 # DEPENDENCYPART_ARC
(7,14),-1.72811 # DEPENDENCYPART_ARC
(7,15),-3.22843 # DEPENDENCYPART_ARC
(7,16),-0.964398 # DEPENDENCYPART_ARC
(7,17),-0.91656 # DEPENDENCYPART_ARC
(7,18),-3.11729 # DEPENDENCYPART_ARC
(7,19),-1.18102 # DEPENDENCYPART_ARC
(7,20),-1.22787 # DEPENDENCYPART_ARC
(7,21),-3.16699 # DEPENDENCYPART_ARC
(7,22),-1.7014 # DEPENDENCYPART_ARC
(7,23),-1.43129 # DEPENDENCYPART_ARC
(8,1),0.321189 # DEPENDENCYPART_ARC
(8,2),-1.6661 # DEPENDENCYPART_ARC
(8,3),1.22319 # DEPENDENCYPART_ARC
(8,4),-0.572946 # DEPENDENCYPART_ARC
(8,5),-0.373928 # DEPENDENCYPART_ARC
(8,6),0.240534 # DEPENDENCYPART_ARC
(8,7),2.37179 # DEPENDENCYPART_ARC
(8,9),2.74953 # DEPENDENCYPART_ARC
(8,10),-0.169708 # DEPENDENCYPART_ARC
(8,11),0.20093 # DEPENDENCYPART_ARC
(8,12),-0.998553 # DEPENDENCYPART_ARC
