# _root_ orduan , gai ezberdinei_buruzko elkarrizketa atsegin bati ekingo dio , nahiz_eta gizartean oso gaizki ikusiko liratekeen gaietaz hitzerdika hitzegingo duten .
#goldHeads=0,3,5,3,8,5,5,0,8,9,0,15,14,15,17,15,19,19,8,19,20,
#predictedHeads=8,3,8,3,8,5,5,15,8,9,15,15,14,15,0,15,19,19,15,19,20,
(0,1),-0.478227 # DEPENDENCYPART_ARC
(0,2),-1.59851 # DEPENDENCYPART_ARC
(0,3),-0.964272 # DEPENDENCYPART_ARC
(0,4),-2.22013 # DEPENDENCYPART_ARC
(0,5),-1.41871 # DEPENDENCYPART_ARC
(0,6),-1.06334 # DEPENDENCYPART_ARC
(0,7),-1.766 # DEPENDENCYPART_ARC
(0,8),-0.290408 # DEPENDENCYPART_ARC
(0,9),-0.408012 # DEPENDENCYPART_ARC
(0,10),-0.996598 # DEPENDENCYPART_ARC
(0,11),0.356171 # DEPENDENCYPART_ARC
(0,12),-2.15447 # DEPENDENCYPART_ARC
(0,13),-1.06915 # DEPENDENCYPART_ARC
(0,14),-0.991011 # DEPENDENCYPART_ARC
(0,15),-0.0193023 # DEPENDENCYPART_ARC
(0,16),-1.00545 # DEPENDENCYPART_ARC
(0,17),-2.69814 # DEPENDENCYPART_ARC
(0,18),-1.12986 # DEPENDENCYPART_ARC
(0,19),-0.901753 # DEPENDENCYPART_ARC
(0,20),-0.837395 # DEPENDENCYPART_ARC
(0,21),-2.81687 # DEPENDENCYPART_ARC
(1,2),-0.735002 # DEPENDENCYPART_ARC
(1,3),-1.58794 # DEPENDENCYPART_ARC
(1,4),-1.97532 # DEPENDENCYPART_ARC
(1,5),-1.81676 # DEPENDENCYPART_ARC
(1,6),-2.17419 # DEPENDENCYPART_ARC
(1,7),-2.09699 # DEPENDENCYPART_ARC
(1,8),-2.15128 # DEPENDENCYPART_ARC
(1,9),-1.98281 # DEPENDENCYPART_ARC
(1,10),-1.88835 # DEPENDENCYPART_ARC
(1,11),-1.77254 # DEPENDENCYPART_ARC
(1,12),-2.06202 # DEPENDENCYPART_ARC
(1,13),-1.85991 # DEPENDENCYPART_ARC
(1,14),-2.01505 # DEPENDENCYPART_ARC
(1,15),-2.48435 # DEPENDENCYPART_ARC
(1,16),-1.97182 # DEPENDENCYPART_ARC
(1,17),-2.29094 # DEPENDENCYPART_ARC
(1,18),-1.90769 # DEPENDENCYPART_ARC
(1,19),-2.55543 # DEPENDENCYPART_ARC
(1,20),-2.1655 # DEPENDENCYPART_ARC
(1,21),-2.22677 # DEPENDENCYPART_ARC
(2,3),-1.09012 # DEPENDENCYPART_ARC
(2,5),-1.41017 # DEPENDENCYPART_ARC
(2,6),-1.11036 # DEPENDENCYPART_ARC
(2,7),-1.41892 # DEPENDENCYPART_ARC
(2,8),-1.35423 # DEPENDENCYPART_ARC
(2,9),-1.04643 # DEPENDENCYPART_ARC
(2,12),-2.00115 # DEPENDENCYPART_ARC
(2,15),-1.9616 # DEPENDENCYPART_ARC
(2,16),-1.49661 # DEPENDENCYPART_ARC
(2,17),-2.38509 # DEPENDENCYPART_ARC
(2,19),-2.19257 # DEPENDENCYPART_ARC
(2,20),-1.55437 # DEPENDENCYPART_ARC
(3,1),-0.577847 # DEPENDENCYPART_ARC
(3,2),0.250331 # DEPENDENCYPART_ARC
(3,4),2.07951 # DEPENDENCYPART_ARC
(3,5),-0.506752 # DEPENDENCYPART_ARC
(3,6),-0.024979 # DEPENDENCYPART_ARC
(3,7),1.30611 # DEPENDENCYPART_ARC
(3,8),-1.15937 # DEPENDENCYPART_ARC
(3,9),-1.41619 # DEPENDENCYPART_ARC
(3,10),-0.967821 # DEPENDENCYPART_ARC
(3,11),-1.18721 # DEPENDENCYPART_ARC
(3,12),-1.03314 # DEPENDENCYPART_ARC
(3,13),-0.929286 # DEPENDENCYPART_ARC
(3,14),-0.979847 # DEPENDENCYPART_ARC
(3,15),-1.29939 # DEPENDENCYPART_ARC
(3,16),-1.60777 # DEPENDENCYPART_ARC
(3,17),-1.45855 # DEPENDENCYPART_ARC
(3,18),-1.01778 # DEPENDENCYPART_ARC
(3,19),-1.50624 # DEPENDENCYPART_ARC
(3,20),-1.66482 # DEPENDENCYPART_ARC
(3,21),-1.20538 # DEPENDENCYPART_ARC
(4,2),-1.04569 # DEPENDENCYPART_ARC
(4,3),0.565976 # DEPENDENCYPART_ARC
(4,5),-1.00418 # DEPENDENCYPART_ARC
(4,7),-1.54838 # DEPENDENCYPART_ARC
(4,8),-2.26392 # DEPENDENCYPART_ARC
(4,9),-1.1408 # DEPENDENCYPART_ARC
(4,10),-0.911238 # DEPENDENCYPART_ARC
(4,12),-3.50826 # DEPENDENCYPART_ARC
(4,15),-2.56767 # DEPENDENCYPART_ARC
(4,16),-1.44862 # DEPENDENCYPART_ARC
(4,17),-2.82848 # DEPENDENCYPART_ARC
(4,20),-1.64986 # DEPENDENCYPART_ARC
(4,21),-1.38633 # DEPENDENCYPART_ARC
(5,1),-1.08646 # DEPENDENCYPART_ARC
(5,2),-1.18832 # DEPENDENCYPART_ARC
(5,3),0.594322 # DEPENDENCYPART_ARC
(5,4),0.694639 # DEPENDENCYPART_ARC
(5,6),1.86356 # DEPENDENCYPART_ARC
(5,7),2.32062 # DEPENDENCYPART_ARC
(5,8),-0.623851 # DEPENDENCYPART_ARC
(5,9),-0.980909 # DEPENDENCYPART_ARC
(5,10),-0.570336 # DEPENDENCYPART_ARC
(5,11),-0.587855 # DEPENDENCYPART_ARC
(5,12),-0.721614 # DEPENDENCYPART_ARC
(5,13),-0.661369 # DEPENDENCYPART_ARC
(5,14),-0.634994 # DEPENDENCYPART_ARC
(5,15),-0.765335 # DEPENDENCYPART_ARC
(5,16),-1.18535 # DEPENDENCYPART_ARC
(5,17),-1.20306 # DEPENDENCYPART_ARC
(5,18),-0.865609 # DEPENDENCYPART_ARC
(5,19),-1.08722 # DEPENDENCYPART_ARC
(5,20),-1.31172 # DEPENDENCYPART_ARC
(5,21),-0.937572 # DEPENDENCYPART_ARC
(6,1),-0.743573 # DEPENDENCYPART_ARC
(6,2),-1.19513 # DEPENDENCYPART_ARC
(6,3),-0.835747 # DEPENDENCYPART_ARC
(6,5),0.225245 # DEPENDENCYPART_ARC
(6,7),0.27852 # DEPENDENCYPART_ARC
(6,8),-0.838311 # DEPENDENCYPART_ARC
(6,9),-1.11937 # DEPENDENCYPART_ARC
(6,10),-0.405902 # DEPENDENCYPART_ARC
(6,11),-0.835837 # DEPENDENCYPART_ARC
(6,12),-1.2513 # DEPENDENCYPART_ARC
(6,13),-0.860659 # DEPENDENCYPART_ARC
(6,14),-0.948216 # DEPENDENCYPART_ARC
(6,15),-1.28764 # DEPENDENCYPART_ARC
(6,16),-1.42568 # DEPENDENCYPART_ARC
(6,17),-1.00221 # DEPENDENCYPART_ARC
(6,18),-1.01924 # DEPENDENCYPART_ARC
(6,19),-1.55973 # DEPENDENCYPART_ARC
(6,20),-1.57196 # DEPENDENCYPART_ARC
(6,21),-0.809903 # DEPENDENCYPART_ARC
(7,1),-0.936802 # DEPENDENCYPART_ARC
(7,2),-1.34907 # DEPENDENCYPART_ARC
(7,3),-1.55866 # DEPENDENCYPART_ARC
(7,4),-0.944043 # DEPENDENCYPART_ARC
(7,5),-0.877273 # DEPENDENCYPART_ARC
(7,8),-0.840334 # DEPENDENCYPART_ARC
(7,10),-0.515886 # DEPENDENCYPART_ARC
(7,11),-0.912977 # DEPENDENCYPART_ARC
(7,12),-2.07582 # DEPENDENCYPART_ARC
(7,13),-1.04224 # DEPENDENCYPART_ARC
(7,14),-1.07627 # DEPENDENCYPART_ARC
(7,15),-1.85042 # DEPENDENCYPART_ARC
(7,17),-2.02125 # DEPENDENCYPART_ARC
(7,18),-1.15543 # DEPENDENCYPART_ARC
(7,21),-1.33491 # DEPENDENCYPART_ARC
(8,1),0.81351 # DEPENDENCYPART_ARC
(8,2),-1.06883 # DEPENDENCYPART_ARC
(8,3),1.16769 # DEPENDENCYPART_ARC
(8,4),-0.174648 # DEPENDENCYPART_ARC
(8,5),1.15461 # DEPENDENCYPART_ARC
(8,6),0.173318 # DEPENDENCYPART_ARC
(8,7),-0.00120712 # DEPENDENCYPART_ARC
(8,9),2.46181 # DEPENDENCYPART_ARC
(8,10),-0.0520177 # DEPENDENCYPART_ARC
(8,11),0.411534 # DEPENDENCYPART_ARC
(8,12),0.290911 # DEPENDENCYPART_ARC
(8,13),-0.56095 # DEPENDENCYPART_ARC
(8,14),-0.603455 # DEPENDENCYPART_ARC
(8,15),-0.497272 # DEPENDENCYPART_ARC
(8,16),0.211841 # DEPENDENCYPART_ARC
(8,17),-0.235319 # DEPENDENCYPART_ARC
(8,18),-1.0092 # DEPENDENCYPART_ARC
(8,19),-0.743272 # DEPENDENCYPART_ARC
(8,20),0.0715382 # DEPENDENCYPART_ARC
(8,21),-1.2611 # DEPENDENCYPART_ARC
(9,1),-1.00384 # DEPENDENCYPART_ARC
(9,2),-1.28671 # DEPENDENCYPART_ARC
(9,3),-0.195765 # DEPENDENCYPART_ARC
(9,5),0.0708326 # DEPENDENCYPART_ARC
(9,6),-1.08305 # DEPENDENCYPART_ARC
(9,7),-0.315628 # DEPENDENCYPART_ARC
(9,8),-1.40845 # DEPENDENCYPART_ARC
(9,10),1.6377 # DEPENDENCYPART_ARC
(9,11),-1.11957 # DEPENDENCYPART_ARC
(9,12),-1.57509 # DEPENDENCYPART_ARC
(9,13),-0.91361 # DEPENDENCYPART_ARC
(9,14),-1.09094 # DEPENDENCYPART_ARC
(9,15),-2.15004 # DEPENDENCYPART_ARC
(9,16),-1.14826 # DEPENDENCYPART_ARC
(9,17),-3.60901 # DEPENDENCYPART_ARC
(9,18),-1.09651 # DEPENDENCYPART_ARC
(9,19),-2.28791 # DEPENDENCYPART_ARC
(9,20),-1.43499 # DEPENDENCYPART_ARC
(9,21),-0.807578 # DEPENDENCYPART_ARC
(10,3),-1.07025 # DEPENDENCYPART_ARC
(10,5),-1.02944 # DEPENDENCYPART_ARC
(10,6),-0.979551 # DEPENDENCYPART_ARC
(10,7),-1.16171 # DEPENDENCYPART_ARC
(10,8),-0.270103 # DEPENDENCYPART_ARC
(10,9),-0.12018 # DEPENDENCYPART_ARC
(10,12),-1.51437 # DEPENDENCYPART_ARC
(10,15),-1.29476 # DEPENDENCYPART_ARC
(10,16),-1.40566 # DEPENDENCYPART_ARC
(10,17),-1.95638 # DEPENDENCYPART_ARC
(10,19),-1.81472 # DEPENDENCYPART_ARC
(10,20),-1.48761 # DEPENDENCYPART_ARC
(11,2),-2.16758 # DEPENDENCYPART_ARC
(11,3),-1.12183 # DEPENDENCYPART_ARC
(11,5),-1.41217 # DEPENDENCYPART_ARC
(11,8),-0.630749 # DEPENDENCYPART_ARC
(11,10),-0.91566 # DEPENDENCYPART_ARC
(11,12),-0.98782 # DEPENDENCYPART_ARC
(11,15),-0.148795 # DEPENDENCYPART_ARC
(11,17),-1.92647 # DEPENDENCYPART_ARC
(11,19),-0.894767 # DEPENDENCYPART_ARC
(11,21),-0.496793 # DEPENDENCYPART_ARC
(12,1),-1.67435 # DEPENDENCYPART_ARC
(12,2),-2.00591 # DEPENDENCYPART_ARC
(12,3),-1.64159 # DEPENDENCYPART_ARC
(12,4),-2.28568 # DEPENDENCYPART_ARC
(12,5),-1.31847 # DEPENDENCYPART_ARC
(12,6),-1.54507 # DEPENDENCYPART_ARC
(12,7),-2.64564 # DEPENDENCYPART_ARC
(12,8),-1.04263 # DEPENDENCYPART_ARC
(12,9),-2.48584 # DEPENDENCYPART_ARC
(12,10),-1.0875 # DEPENDENCYPART_ARC
(12,11),-0.639613 # DEPENDENCYPART_ARC
(12,13),-0.0852878 # DEPENDENCYPART_ARC
(12,14),-0.778456 # DEPENDENCYPART_ARC
(12,15),-1.97418 # DEPENDENCYPART_ARC
(12,16),-2.51719 # DEPENDENCYPART_ARC
(12,17),-2.96711 # DEPENDENCYPART_ARC
(12,18),-1.53329 # DEPENDENCYPART_ARC
(12,19),-2.33153 # DEPENDENCYPART_ARC
