# _root_ gainera , finantza entitateekin hitzarmena negoziatzen ari_da , baldintza onenak emateko .
#goldHeads=0,3,4,6,6,7,0,7,11,9,7,11,
#predictedHeads=0,3,4,7,6,7,0,7,11,9,7,11,
(0,1),1.54716 # DEPENDENCYPART_ARC
(0,2),-1.14162 # DEPENDENCYPART_ARC
(0,3),-0.419029 # DEPENDENCYPART_ARC
(0,4),-0.557721 # DEPENDENCYPART_ARC
(0,5),-0.377946 # DEPENDENCYPART_ARC
(0,6),-0.780381 # DEPENDENCYPART_ARC
(0,7),-0.0479634 # DEPENDENCYPART_ARC
(0,8),-0.848329 # DEPENDENCYPART_ARC
(0,9),-1.1949 # DEPENDENCYPART_ARC
(0,10),-1.37197 # DEPENDENCYPART_ARC
(0,11),-1.17883 # DEPENDENCYPART_ARC
(0,12),-1.41051 # DEPENDENCYPART_ARC
(1,2),-0.813114 # DEPENDENCYPART_ARC
(1,3),-3.01965 # DEPENDENCYPART_ARC
(1,4),-2.6227 # DEPENDENCYPART_ARC
(1,5),-2.30225 # DEPENDENCYPART_ARC
(1,6),-3.2476 # DEPENDENCYPART_ARC
(1,7),-2.8627 # DEPENDENCYPART_ARC
(1,8),-3.00183 # DEPENDENCYPART_ARC
(1,9),-3.7186 # DEPENDENCYPART_ARC
(1,11),-3.76819 # DEPENDENCYPART_ARC
(1,12),-3.22223 # DEPENDENCYPART_ARC
(2,3),-1.09498 # DEPENDENCYPART_ARC
(2,4),-1.63043 # DEPENDENCYPART_ARC
(2,5),-1.45325 # DEPENDENCYPART_ARC
(2,6),-1.48616 # DEPENDENCYPART_ARC
(2,7),-1.42019 # DEPENDENCYPART_ARC
(2,9),-2.49441 # DEPENDENCYPART_ARC
(2,10),-1.63661 # DEPENDENCYPART_ARC
(2,11),-1.76993 # DEPENDENCYPART_ARC
(3,1),-0.887043 # DEPENDENCYPART_ARC
(3,2),0.0193079 # DEPENDENCYPART_ARC
(3,4),0.86486 # DEPENDENCYPART_ARC
(3,5),-0.0436446 # DEPENDENCYPART_ARC
(3,6),-0.901803 # DEPENDENCYPART_ARC
(3,7),-1.1174 # DEPENDENCYPART_ARC
(3,8),-1.17754 # DEPENDENCYPART_ARC
(3,9),-1.55592 # DEPENDENCYPART_ARC
(3,10),-0.618051 # DEPENDENCYPART_ARC
(3,11),-1.32793 # DEPENDENCYPART_ARC
(3,12),-1.08326 # DEPENDENCYPART_ARC
(4,1),-0.404847 # DEPENDENCYPART_ARC
(4,2),-1.17063 # DEPENDENCYPART_ARC
(4,3),1.76912 # DEPENDENCYPART_ARC
(4,5),0.335693 # DEPENDENCYPART_ARC
(4,6),-1.64707 # DEPENDENCYPART_ARC
(4,7),-1.80555 # DEPENDENCYPART_ARC
(4,8),-1.20032 # DEPENDENCYPART_ARC
(4,9),-1.642 # DEPENDENCYPART_ARC
(4,10),-1.10483 # DEPENDENCYPART_ARC
(4,11),-2.81224 # DEPENDENCYPART_ARC
(4,12),-1.2929 # DEPENDENCYPART_ARC
(5,1),-1.02725 # DEPENDENCYPART_ARC
(5,2),-1.22244 # DEPENDENCYPART_ARC
(5,3),0.796823 # DEPENDENCYPART_ARC
(5,4),0.00322227 # DEPENDENCYPART_ARC
(5,6),-0.153637 # DEPENDENCYPART_ARC
(5,7),-1.2915 # DEPENDENCYPART_ARC
(5,8),-0.992454 # DEPENDENCYPART_ARC
(5,9),-1.42903 # DEPENDENCYPART_ARC
(5,10),-1.32425 # DEPENDENCYPART_ARC
(5,11),-1.76982 # DEPENDENCYPART_ARC
(5,12),-1.26987 # DEPENDENCYPART_ARC
(6,1),-0.428682 # DEPENDENCYPART_ARC
(6,2),-1.78601 # DEPENDENCYPART_ARC
(6,3),0.439697 # DEPENDENCYPART_ARC
(6,4),0.0925079 # DEPENDENCYPART_ARC
(6,5),2.09928 # DEPENDENCYPART_ARC
(6,7),0.250036 # DEPENDENCYPART_ARC
(6,8),-0.368863 # DEPENDENCYPART_ARC
(6,9),-0.987848 # DEPENDENCYPART_ARC
(6,10),-0.48825 # DEPENDENCYPART_ARC
(6,11),-0.268399 # DEPENDENCYPART_ARC
