# _root_ " azken_finean , bez zerga da denetarik bidegabeena , denek berdin pagatzen baitugu irabazi ezberdinak ukanik ere " .
#goldHeads=0,0,2,5,6,0,6,6,8,12,12,6,12,16,14,12,16,17,18,
#predictedHeads=0,0,2,5,6,0,6,12,8,12,12,14,12,16,14,6,0,17,18,
(0,1),1.54442 # DEPENDENCYPART_ARC
(0,2),0.969266 # DEPENDENCYPART_ARC
(0,3),-0.502645 # DEPENDENCYPART_ARC
(0,4),-0.078343 # DEPENDENCYPART_ARC
(0,5),-0.281588 # DEPENDENCYPART_ARC
(0,6),1.11439 # DEPENDENCYPART_ARC
(0,7),-0.726975 # DEPENDENCYPART_ARC
(0,8),-0.299928 # DEPENDENCYPART_ARC
(0,9),-0.43528 # DEPENDENCYPART_ARC
(0,10),-1.03916 # DEPENDENCYPART_ARC
(0,11),0.155859 # DEPENDENCYPART_ARC
(0,12),0.0651833 # DEPENDENCYPART_ARC
(0,13),-0.478912 # DEPENDENCYPART_ARC
(0,14),-1.5197 # DEPENDENCYPART_ARC
(0,15),-1.10067 # DEPENDENCYPART_ARC
(0,16),-1.30513 # DEPENDENCYPART_ARC
(0,17),2.20031 # DEPENDENCYPART_ARC
(0,18),-2.00515 # DEPENDENCYPART_ARC
(0,19),-1.4154 # DEPENDENCYPART_ARC
(1,2),-1.48793 # DEPENDENCYPART_ARC
(1,3),-1.11366 # DEPENDENCYPART_ARC
(1,4),-2.4016 # DEPENDENCYPART_ARC
(1,5),-2.34747 # DEPENDENCYPART_ARC
(1,6),-2.20155 # DEPENDENCYPART_ARC
(1,7),-2.7295 # DEPENDENCYPART_ARC
(1,8),-2.53669 # DEPENDENCYPART_ARC
(1,9),-1.96971 # DEPENDENCYPART_ARC
(1,10),-2.8684 # DEPENDENCYPART_ARC
(1,11),-2.83185 # DEPENDENCYPART_ARC
(1,12),-2.69487 # DEPENDENCYPART_ARC
(1,13),-2.27053 # DEPENDENCYPART_ARC
(1,14),-3.25341 # DEPENDENCYPART_ARC
(1,15),-2.70093 # DEPENDENCYPART_ARC
(1,16),-2.82606 # DEPENDENCYPART_ARC
(1,17),-2.66331 # DEPENDENCYPART_ARC
(1,18),-2.46013 # DEPENDENCYPART_ARC
(1,19),-2.71815 # DEPENDENCYPART_ARC
(2,1),-0.142071 # DEPENDENCYPART_ARC
(2,3),2.4364 # DEPENDENCYPART_ARC
(2,4),-1.33192 # DEPENDENCYPART_ARC
(2,5),-1.09271 # DEPENDENCYPART_ARC
(2,6),-0.466515 # DEPENDENCYPART_ARC
(2,7),-1.49587 # DEPENDENCYPART_ARC
(2,8),-1.66895 # DEPENDENCYPART_ARC
(2,9),-0.550005 # DEPENDENCYPART_ARC
(2,10),-1.67005 # DEPENDENCYPART_ARC
(2,11),-1.06295 # DEPENDENCYPART_ARC
(2,12),-1.13345 # DEPENDENCYPART_ARC
(2,13),-1.20745 # DEPENDENCYPART_ARC
