# _root_ - abuztuaren 9an , berriozarren espainiako ejerzitoaren_aurka armaz burututako ekintza , zeinaren ondorioz francisco_casanova vicente tenienteordea hilik gertatu zen .
#goldHeads=0,3,9,3,9,7,9,9,10,0,10,13,18,16,14,18,18,10,18,19,
#predictedHeads=0,0,2,3,9,7,9,9,10,18,10,13,18,16,16,18,18,0,18,19,
(0,1),1.39885 # DEPENDENCYPART_ARC
(0,2),-0.663874 # DEPENDENCYPART_ARC
(0,3),-0.961761 # DEPENDENCYPART_ARC
(0,4),-0.760133 # DEPENDENCYPART_ARC
(0,5),-0.858856 # DEPENDENCYPART_ARC
(0,6),-1.0508 # DEPENDENCYPART_ARC
(0,7),-0.735521 # DEPENDENCYPART_ARC
(0,8),-0.908601 # DEPENDENCYPART_ARC
(0,9),-1.19223 # DEPENDENCYPART_ARC
(0,10),-1.10898 # DEPENDENCYPART_ARC
(0,11),-0.970091 # DEPENDENCYPART_ARC
(0,12),-1.97215 # DEPENDENCYPART_ARC
(0,13),-0.57833 # DEPENDENCYPART_ARC
(0,14),-1.36681 # DEPENDENCYPART_ARC
(0,15),-1.28979 # DEPENDENCYPART_ARC
(0,16),-1.57823 # DEPENDENCYPART_ARC
(0,17),-1.68472 # DEPENDENCYPART_ARC
(0,18),-1.49845 # DEPENDENCYPART_ARC
(0,19),-1.724 # DEPENDENCYPART_ARC
(0,20),-2.81757 # DEPENDENCYPART_ARC
(1,2),-1.83046 # DEPENDENCYPART_ARC
(1,3),-2.33877 # DEPENDENCYPART_ARC
(1,4),-1.33037 # DEPENDENCYPART_ARC
(1,5),-2.56555 # DEPENDENCYPART_ARC
(1,6),-2.34425 # DEPENDENCYPART_ARC
(1,7),-2.4843 # DEPENDENCYPART_ARC
(1,8),-2.52879 # DEPENDENCYPART_ARC
(1,9),-1.90712 # DEPENDENCYPART_ARC
(1,10),-2.66257 # DEPENDENCYPART_ARC
(1,11),-2.22076 # DEPENDENCYPART_ARC
(1,13),-2.71232 # DEPENDENCYPART_ARC
(1,14),-2.92619 # DEPENDENCYPART_ARC
(1,15),-2.87048 # DEPENDENCYPART_ARC
(1,16),-2.8061 # DEPENDENCYPART_ARC
(1,18),-1.93587 # DEPENDENCYPART_ARC
(1,19),-2.05025 # DEPENDENCYPART_ARC
(1,20),-2.97686 # DEPENDENCYPART_ARC
(2,1),-0.204399 # DEPENDENCYPART_ARC
(2,3),1.93842 # DEPENDENCYPART_ARC
(2,4),0.266142 # DEPENDENCYPART_ARC
(2,5),-0.683843 # DEPENDENCYPART_ARC
(2,6),-0.0852815 # DEPENDENCYPART_ARC
(2,7),-0.944075 # DEPENDENCYPART_ARC
(2,8),-0.662593 # DEPENDENCYPART_ARC
(2,9),-1.39967 # DEPENDENCYPART_ARC
(2,10),-1.35828 # DEPENDENCYPART_ARC
(2,11),-1.10567 # DEPENDENCYPART_ARC
(2,12),-2.90962 # DEPENDENCYPART_ARC
(2,13),-1.34938 # DEPENDENCYPART_ARC
(2,14),-0.39127 # DEPENDENCYPART_ARC
(2,15),-1.18635 # DEPENDENCYPART_ARC
(2,16),-1.35106 # DEPENDENCYPART_ARC
(2,17),-0.965298 # DEPENDENCYPART_ARC
(2,18),-2.72295 # DEPENDENCYPART_ARC
(2,19),-1.40912 # DEPENDENCYPART_ARC
(2,20),-0.95803 # DEPENDENCYPART_ARC
(3,2),1.00107 # DEPENDENCYPART_ARC
(3,4),1.71663 # DEPENDENCYPART_ARC
(3,5),-1.84266 # DEPENDENCYPART_ARC
(3,6),-1.982 # DEPENDENCYPART_ARC
(3,7),-2.73256 # DEPENDENCYPART_ARC
(3,8),-1.67904 # DEPENDENCYPART_ARC
(3,10),-2.58936 # DEPENDENCYPART_ARC
(3,11),-0.742787 # DEPENDENCYPART_ARC
(3,13),-2.22598 # DEPENDENCYPART_ARC
(3,14),-2.88488 # DEPENDENCYPART_ARC
(3,16),-2.83441 # DEPENDENCYPART_ARC
(3,20),-0.89928 # DEPENDENCYPART_ARC
(4,1),-0.910942 # DEPENDENCYPART_ARC
(4,2),-0.59103 # DEPENDENCYPART_ARC
(4,7),-0.700774 # DEPENDENCYPART_ARC
(4,8),-0.847326 # DEPENDENCYPART_ARC
(4,9),-1.12817 # DEPENDENCYPART_ARC
(4,10),-1.09483 # DEPENDENCYPART_ARC
(4,13),-1.11705 # DEPENDENCYPART_ARC
(4,15),-1.22304 # DEPENDENCYPART_ARC
(4,16),-1.41405 # DEPENDENCYPART_ARC
(4,18),-2.23972 # DEPENDENCYPART_ARC
(4,19),-1.13853 # DEPENDENCYPART_ARC
(5,1),-2.00002 # DEPENDENCYPART_ARC
(5,2),-2.05939 # DEPENDENCYPART_ARC
(5,3),-4.24082 # DEPENDENCYPART_ARC
(5,4),-0.464303 # DEPENDENCYPART_ARC
(5,6),0.185002 # DEPENDENCYPART_ARC
(5,7),-2.09756 # DEPENDENCYPART_ARC
(5,8),-1.70086 # DEPENDENCYPART_ARC
(5,9),-2.42715 # DEPENDENCYPART_ARC
(5,10),-2.25416 # DEPENDENCYPART_ARC
(5,11),-1.57479 # DEPENDENCYPART_ARC
(5,13),-2.57092 # DEPENDENCYPART_ARC
(5,14),-1.8067 # DEPENDENCYPART_ARC
(5,15),-1.34656 # DEPENDENCYPART_ARC
(5,16),-3.01436 # DEPENDENCYPART_ARC
(5,17),-1.7953 # DEPENDENCYPART_ARC
(5,18),-4.0904 # DEPENDENCYPART_ARC
(5,20),-1.54994 # DEPENDENCYPART_ARC
(6,1),-2.38337 # DEPENDENCYPART_ARC
(6,2),-2.02147 # DEPENDENCYPART_ARC
(6,3),-4.64585 # DEPENDENCYPART_ARC
(6,4),-1.6338 # DEPENDENCYPART_ARC
(6,5),-3.38208 # DEPENDENCYPART_ARC
(6,7),-1.32675 # DEPENDENCYPART_ARC
(6,8),-1.43513 # DEPENDENCYPART_ARC
(6,9),-2.6029 # DEPENDENCYPART_ARC
(6,10),-2.70101 # DEPENDENCYPART_ARC
(6,11),-1.64957 # DEPENDENCYPART_ARC
(6,13),-2.59983 # DEPENDENCYPART_ARC
(6,14),-2.21544 # DEPENDENCYPART_ARC
(6,15),-1.38904 # DEPENDENCYPART_ARC
(6,16),-2.88927 # DEPENDENCYPART_ARC
(6,17),-1.88987 # DEPENDENCYPART_ARC
(6,18),-4.24512 # DEPENDENCYPART_ARC
(6,20),-1.86418 # DEPENDENCYPART_ARC
(7,1),-2.00389 # DEPENDENCYPART_ARC
(7,2),-0.699939 # DEPENDENCYPART_ARC
