# _root_ gai ekonomikoetarako komisario pedro_solbes , hala_ere , pozik azaldu zen ebko ekonomiaren hazkunde tasarekin .
#goldHeads=3,1,4,9,4,0,6,9,0,9,12,13,14,9,14,
#predictedHeads=3,1,4,9,4,0,6,9,0,9,12,13,14,9,14,
(0,1),-0.509905 # DEPENDENCYPART_ARC
(0,2),-1.68326 # DEPENDENCYPART_ARC
(0,3),-1.34498 # DEPENDENCYPART_ARC
(0,4),-1.32608 # DEPENDENCYPART_ARC
(0,5),-0.984716 # DEPENDENCYPART_ARC
(0,6),1.91494 # DEPENDENCYPART_ARC
(0,7),-0.925865 # DEPENDENCYPART_ARC
(0,8),-0.807442 # DEPENDENCYPART_ARC
(0,9),0.605271 # DEPENDENCYPART_ARC
(0,10),-1.03491 # DEPENDENCYPART_ARC
(0,11),-1.55178 # DEPENDENCYPART_ARC
(0,12),-1.37847 # DEPENDENCYPART_ARC
(0,13),-1.65768 # DEPENDENCYPART_ARC
(0,14),-1.93123 # DEPENDENCYPART_ARC
(0,15),-2.15045 # DEPENDENCYPART_ARC
(1,2),2.68081 # DEPENDENCYPART_ARC
(1,3),-0.0440603 # DEPENDENCYPART_ARC
(1,4),-0.445704 # DEPENDENCYPART_ARC
(1,5),-1.50393 # DEPENDENCYPART_ARC
(1,6),-0.697654 # DEPENDENCYPART_ARC
(1,7),-1.43249 # DEPENDENCYPART_ARC
(1,8),-0.913237 # DEPENDENCYPART_ARC
(1,9),-0.932278 # DEPENDENCYPART_ARC
(1,10),-1.36467 # DEPENDENCYPART_ARC
(1,11),-0.96698 # DEPENDENCYPART_ARC
(1,12),-0.911136 # DEPENDENCYPART_ARC
(1,13),-1.17148 # DEPENDENCYPART_ARC
(1,14),-1.16939 # DEPENDENCYPART_ARC
(1,15),-1.50593 # DEPENDENCYPART_ARC
(2,1),0.0635624 # DEPENDENCYPART_ARC
(2,3),-0.345775 # DEPENDENCYPART_ARC
(2,4),-3.48267 # DEPENDENCYPART_ARC
(2,5),-0.828655 # DEPENDENCYPART_ARC
(2,6),-1.46944 # DEPENDENCYPART_ARC
(2,7),-1.20699 # DEPENDENCYPART_ARC
(2,8),-1.37557 # DEPENDENCYPART_ARC
(2,9),-3.06151 # DEPENDENCYPART_ARC
(2,10),-2.27294 # DEPENDENCYPART_ARC
(2,11),-3.32284 # DEPENDENCYPART_ARC
(2,12),-3.86331 # DEPENDENCYPART_ARC
(2,13),-2.14387 # DEPENDENCYPART_ARC
(2,14),-3.11063 # DEPENDENCYPART_ARC
(2,15),-1.53831 # DEPENDENCYPART_ARC
(3,1),0.656957 # DEPENDENCYPART_ARC
(3,2),0.98388 # DEPENDENCYPART_ARC
(3,4),0.800816 # DEPENDENCYPART_ARC
(3,5),0.31943 # DEPENDENCYPART_ARC
(3,6),-0.429551 # DEPENDENCYPART_ARC
(3,7),-0.67384 # DEPENDENCYPART_ARC
(3,8),-0.751219 # DEPENDENCYPART_ARC
(3,9),-0.502061 # DEPENDENCYPART_ARC
(3,10),-0.938111 # DEPENDENCYPART_ARC
(3,11),-1.02438 # DEPENDENCYPART_ARC
(3,12),-0.86551 # DEPENDENCYPART_ARC
(3,13),-0.913144 # DEPENDENCYPART_ARC
(3,14),-1.16823 # DEPENDENCYPART_ARC
(3,15),-0.456935 # DEPENDENCYPART_ARC
(4,1),-0.160369 # DEPENDENCYPART_ARC
(4,2),0.0146486 # DEPENDENCYPART_ARC
(4,3),1.37863 # DEPENDENCYPART_ARC
(4,5),2.18455 # DEPENDENCYPART_ARC
(4,6),0.409284 # DEPENDENCYPART_ARC
(4,7),-0.100572 # DEPENDENCYPART_ARC
(4,8),-0.615637 # DEPENDENCYPART_ARC
(4,9),-1.55748 # DEPENDENCYPART_ARC
(4,10),-1.48903 # DEPENDENCYPART_ARC
(4,11),-1.48897 # DEPENDENCYPART_ARC
(4,12),-2.48185 # DEPENDENCYPART_ARC
