# _root_ ehiztariek oihu_egin ziguten , otsoarengandik apartatzeko esanaz , eta eztarriek ez zieten bere belarriei gure lasaitzeko eta ez tiratzeko hitzik entzuten utzi .
#goldHeads=2,9,2,3,6,7,2,7,0,22,22,22,14,22,20,17,20,19,17,21,22,9,22,
#predictedHeads=2,9,2,3,6,7,9,7,0,9,22,22,14,16,16,17,22,19,20,21,22,4,22,
(0,1),-0.665994 # DEPENDENCYPART_ARC
(0,2),0.474422 # DEPENDENCYPART_ARC
(0,3),-0.37649 # DEPENDENCYPART_ARC
(0,4),-0.757484 # DEPENDENCYPART_ARC
(0,5),-0.997949 # DEPENDENCYPART_ARC
(0,6),-0.864808 # DEPENDENCYPART_ARC
(0,7),-1.00327 # DEPENDENCYPART_ARC
(0,8),-0.693222 # DEPENDENCYPART_ARC
(0,9),1.10371 # DEPENDENCYPART_ARC
(0,10),-1.55065 # DEPENDENCYPART_ARC
(0,11),-1.39104 # DEPENDENCYPART_ARC
(0,12),-0.998122 # DEPENDENCYPART_ARC
(0,13),-1.81489 # DEPENDENCYPART_ARC
(0,14),-1.68478 # DEPENDENCYPART_ARC
(0,15),-1.338 # DEPENDENCYPART_ARC
(0,16),-2.10557 # DEPENDENCYPART_ARC
(0,17),0.0323995 # DEPENDENCYPART_ARC
(0,18),-1.53282 # DEPENDENCYPART_ARC
(0,19),-1.80415 # DEPENDENCYPART_ARC
(0,20),-2.20996 # DEPENDENCYPART_ARC
(0,21),-2.14344 # DEPENDENCYPART_ARC
(0,22),-0.704503 # DEPENDENCYPART_ARC
(0,23),-2.86444 # DEPENDENCYPART_ARC
(1,2),-0.910171 # DEPENDENCYPART_ARC
(1,3),-1.01849 # DEPENDENCYPART_ARC
(1,4),-1.69435 # DEPENDENCYPART_ARC
(1,5),-2.04836 # DEPENDENCYPART_ARC
(1,6),-2.36178 # DEPENDENCYPART_ARC
(1,7),-2.72983 # DEPENDENCYPART_ARC
(1,8),-2.10639 # DEPENDENCYPART_ARC
