# _root_ garai hartako tituloak horrelakoak ziren , luzeak , liburu hori normalean izen laburragoz ezagutzen da : robinson crusoe .
#goldHeads=3,1,5,5,8,5,4,0,14,9,14,14,12,8,14,15,12,17,18,
#predictedHeads=14,1,5,5,0,5,6,7,14,9,14,14,12,0,14,15,12,17,18,
(0,1),-0.650466 # DEPENDENCYPART_ARC
(0,2),-1.15146 # DEPENDENCYPART_ARC
(0,3),-0.70513 # DEPENDENCYPART_ARC
(0,4),-1.42297 # DEPENDENCYPART_ARC
(0,5),0.0938963 # DEPENDENCYPART_ARC
(0,6),-0.500926 # DEPENDENCYPART_ARC
(0,7),-1.30037 # DEPENDENCYPART_ARC
(0,8),-0.416302 # DEPENDENCYPART_ARC
(0,9),-1.11785 # DEPENDENCYPART_ARC
(0,10),-1.28851 # DEPENDENCYPART_ARC
(0,11),-0.430445 # DEPENDENCYPART_ARC
(0,12),-2.01319 # DEPENDENCYPART_ARC
(0,13),-1.21407 # DEPENDENCYPART_ARC
(0,14),-0.425958 # DEPENDENCYPART_ARC
(0,15),-0.981135 # DEPENDENCYPART_ARC
(0,16),-0.241021 # DEPENDENCYPART_ARC
(0,17),-1.91977 # DEPENDENCYPART_ARC
(0,18),-2.17446 # DEPENDENCYPART_ARC
(0,19),-1.89831 # DEPENDENCYPART_ARC
(1,2),2.51371 # DEPENDENCYPART_ARC
(1,3),-0.335413 # DEPENDENCYPART_ARC
(1,4),-0.341371 # DEPENDENCYPART_ARC
(1,5),-1.5059 # DEPENDENCYPART_ARC
(1,6),-1.52749 # DEPENDENCYPART_ARC
(1,7),-1.15287 # DEPENDENCYPART_ARC
(1,8),-1.92421 # DEPENDENCYPART_ARC
(1,9),-1.0758 # DEPENDENCYPART_ARC
(1,10),-0.128684 # DEPENDENCYPART_ARC
(1,11),-0.938377 # DEPENDENCYPART_ARC
(1,12),-1.47497 # DEPENDENCYPART_ARC
(1,13),-1.63653 # DEPENDENCYPART_ARC
(1,14),-1.68773 # DEPENDENCYPART_ARC
(1,15),-1.5886 # DEPENDENCYPART_ARC
(1,16),-2.16991 # DEPENDENCYPART_ARC
(1,17),-1.49822 # DEPENDENCYPART_ARC
(1,18),-1.02563 # DEPENDENCYPART_ARC
(1,19),-2.02765 # DEPENDENCYPART_ARC
(2,1),-0.744516 # DEPENDENCYPART_ARC
(2,3),-1.23614 # DEPENDENCYPART_ARC
(2,4),-2.0417 # DEPENDENCYPART_ARC
