# _root_ izen horien_artean , ordea , ez da_ageri orain_arte taldeko kide_gisa aipatu duten gorka palacios gaztea .
#goldHeads=7,1,2,0,4,7,0,11,10,11,15,11,15,13,7,15,
#predictedHeads=7,1,2,0,4,7,0,7,10,11,0,11,15,13,11,15,
(0,1),-0.804917 # DEPENDENCYPART_ARC
(0,2),-0.933313 # DEPENDENCYPART_ARC
(0,3),-0.780229 # DEPENDENCYPART_ARC
(0,4),1.67841 # DEPENDENCYPART_ARC
(0,5),-1.08272 # DEPENDENCYPART_ARC
(0,6),-0.793776 # DEPENDENCYPART_ARC
(0,7),0.2589 # DEPENDENCYPART_ARC
(0,8),-0.802 # DEPENDENCYPART_ARC
(0,9),-1.02704 # DEPENDENCYPART_ARC
(0,10),-1.26876 # DEPENDENCYPART_ARC
(0,11),0.832251 # DEPENDENCYPART_ARC
(0,12),-0.80762 # DEPENDENCYPART_ARC
(0,13),-1.86193 # DEPENDENCYPART_ARC
(0,14),-1.47006 # DEPENDENCYPART_ARC
(0,15),-1.65632 # DEPENDENCYPART_ARC
(0,16),-2.43262 # DEPENDENCYPART_ARC
(1,2),2.03726 # DEPENDENCYPART_ARC
(1,3),-0.498668 # DEPENDENCYPART_ARC
(1,4),-0.550407 # DEPENDENCYPART_ARC
(1,5),-1.1173 # DEPENDENCYPART_ARC
(1,6),-0.887107 # DEPENDENCYPART_ARC
(1,7),-0.598759 # DEPENDENCYPART_ARC
(1,8),-0.709459 # DEPENDENCYPART_ARC
(1,9),-0.880999 # DEPENDENCYPART_ARC
(1,10),-0.658225 # DEPENDENCYPART_ARC
(1,11),-0.915559 # DEPENDENCYPART_ARC
(1,12),-1.25856 # DEPENDENCYPART_ARC
(1,13),-1.19699 # DEPENDENCYPART_ARC
(1,14),-1.17466 # DEPENDENCYPART_ARC
(1,15),-0.95459 # DEPENDENCYPART_ARC
(1,16),-1.367 # DEPENDENCYPART_ARC
(2,1),-0.262618 # DEPENDENCYPART_ARC
(2,3),2.18683 # DEPENDENCYPART_ARC
(2,4),0.103098 # DEPENDENCYPART_ARC
(2,5),0.338743 # DEPENDENCYPART_ARC
(2,6),-0.137565 # DEPENDENCYPART_ARC
(2,7),-1.04417 # DEPENDENCYPART_ARC
(2,8),-0.374103 # DEPENDENCYPART_ARC
(2,9),-1.08918 # DEPENDENCYPART_ARC
(2,10),-1.01882 # DEPENDENCYPART_ARC
(2,11),-1.27991 # DEPENDENCYPART_ARC
(2,12),-1.45937 # DEPENDENCYPART_ARC
(2,13),-1.02344 # DEPENDENCYPART_ARC
(2,14),-1.38435 # DEPENDENCYPART_ARC
(2,15),-1.60397 # DEPENDENCYPART_ARC
(2,16),-0.598567 # DEPENDENCYPART_ARC
(3,1),-1.01022 # DEPENDENCYPART_ARC
(3,2),-0.93354 # DEPENDENCYPART_ARC
(3,4),-0.330262 # DEPENDENCYPART_ARC
(3,5),-0.401478 # DEPENDENCYPART_ARC
(3,6),-1.47327 # DEPENDENCYPART_ARC
(3,7),-0.696963 # DEPENDENCYPART_ARC
(3,8),-1.66956 # DEPENDENCYPART_ARC
(3,9),-1.33705 # DEPENDENCYPART_ARC
(3,10),-1.38733 # DEPENDENCYPART_ARC
(3,11),-1.2937 # DEPENDENCYPART_ARC
(3,12),-1.19671 # DEPENDENCYPART_ARC
(3,13),-1.76137 # DEPENDENCYPART_ARC
(3,14),-1.80403 # DEPENDENCYPART_ARC
(3,15),-1.80956 # DEPENDENCYPART_ARC
(3,16),-1.61287 # DEPENDENCYPART_ARC
(4,1),-0.660481 # DEPENDENCYPART_ARC
(4,2),-1.01828 # DEPENDENCYPART_ARC
(4,3),-0.230573 # DEPENDENCYPART_ARC
(4,5),1.67496 # DEPENDENCYPART_ARC
(4,6),-0.157253 # DEPENDENCYPART_ARC
(4,7),-0.275329 # DEPENDENCYPART_ARC
(4,8),-1.21385 # DEPENDENCYPART_ARC
(4,9),-1.65301 # DEPENDENCYPART_ARC
(4,10),-1.30344 # DEPENDENCYPART_ARC
(4,11),-0.637009 # DEPENDENCYPART_ARC
(4,12),-1.06555 # DEPENDENCYPART_ARC
(4,13),-2.23132 # DEPENDENCYPART_ARC
(4,14),-1.98671 # DEPENDENCYPART_ARC
(4,15),-1.50659 # DEPENDENCYPART_ARC
(4,16),-1.1452 # DEPENDENCYPART_ARC
(5,1),-0.925518 # DEPENDENCYPART_ARC
(5,2),-1.21492 # DEPENDENCYPART_ARC
(5,3),-1.08135 # DEPENDENCYPART_ARC
(5,4),0.0581249 # DEPENDENCYPART_ARC
(5,6),-0.749336 # DEPENDENCYPART_ARC
(5,7),-0.697063 # DEPENDENCYPART_ARC
(5,8),-1.42538 # DEPENDENCYPART_ARC
