# _root_ kadira bat zuhirin mortziloekin , ispilu handi bat argazkiz estalia , altzari zurrun batzuk ( )
#goldHeads=5,1,1,3,0,5,6,6,10,6,10,5,12,12,0,0,
#predictedHeads=3,1,9,3,4,9,6,6,10,0,10,10,12,12,0,0,
(0,1),-0.752393 # DEPENDENCYPART_ARC
(0,2),-1.23021 # DEPENDENCYPART_ARC
(0,3),-1.1865 # DEPENDENCYPART_ARC
(0,4),-1.36192 # DEPENDENCYPART_ARC
(0,5),-0.882415 # DEPENDENCYPART_ARC
(0,6),-1.37045 # DEPENDENCYPART_ARC
(0,7),-1.09584 # DEPENDENCYPART_ARC
(0,8),-1.57095 # DEPENDENCYPART_ARC
(0,9),-1.87317 # DEPENDENCYPART_ARC
(0,10),-0.635968 # DEPENDENCYPART_ARC
(0,11),-0.449662 # DEPENDENCYPART_ARC
(0,12),-1.97904 # DEPENDENCYPART_ARC
(0,13),-1.27061 # DEPENDENCYPART_ARC
(0,14),-2.05761 # DEPENDENCYPART_ARC
(0,15),7.17631 # DEPENDENCYPART_ARC
(0,16),5.27703 # DEPENDENCYPART_ARC
(1,2),2.45466 # DEPENDENCYPART_ARC
(1,3),-0.651253 # DEPENDENCYPART_ARC
(1,4),-0.428161 # DEPENDENCYPART_ARC
(1,5),-1.75328 # DEPENDENCYPART_ARC
(1,6),-1.09657 # DEPENDENCYPART_ARC
(1,7),-1.43703 # DEPENDENCYPART_ARC
(1,8),0.44517 # DEPENDENCYPART_ARC
(1,9),-1.10367 # DEPENDENCYPART_ARC
(1,10),-0.397291 # DEPENDENCYPART_ARC
(1,11),-2.25779 # DEPENDENCYPART_ARC
(1,12),-1.56879 # DEPENDENCYPART_ARC
(1,13),-2.38273 # DEPENDENCYPART_ARC
(1,14),-1.23277 # DEPENDENCYPART_ARC
(1,15),-2.29043 # DEPENDENCYPART_ARC
(1,16),-2.03237 # DEPENDENCYPART_ARC
(2,1),-0.288203 # DEPENDENCYPART_ARC
(2,3),-0.659116 # DEPENDENCYPART_ARC
(2,5),-0.737508 # DEPENDENCYPART_ARC
(2,6),-1.73168 # DEPENDENCYPART_ARC
(2,8),-1.8452 # DEPENDENCYPART_ARC
(2,9),-1.41442 # DEPENDENCYPART_ARC
(2,10),-2.57762 # DEPENDENCYPART_ARC
(2,11),-1.37506 # DEPENDENCYPART_ARC
(2,12),-1.88146 # DEPENDENCYPART_ARC
(2,14),-2.3835 # DEPENDENCYPART_ARC
(2,15),-1.38136 # DEPENDENCYPART_ARC
(2,16),-1.55534 # DEPENDENCYPART_ARC
(3,1),0.776091 # DEPENDENCYPART_ARC
(3,2),0.036325 # DEPENDENCYPART_ARC
(3,4),1.84425 # DEPENDENCYPART_ARC
(3,5),-0.00584329 # DEPENDENCYPART_ARC
(3,6),-0.486769 # DEPENDENCYPART_ARC
(3,7),-0.205653 # DEPENDENCYPART_ARC
(3,8),1.08419 # DEPENDENCYPART_ARC
(3,9),-0.630854 # DEPENDENCYPART_ARC
(3,10),0.0416582 # DEPENDENCYPART_ARC
(3,11),-1.20451 # DEPENDENCYPART_ARC
(3,12),-1.02962 # DEPENDENCYPART_ARC
(3,13),-1.28577 # DEPENDENCYPART_ARC
(3,14),-0.376358 # DEPENDENCYPART_ARC
(3,15),-1.42292 # DEPENDENCYPART_ARC
(3,16),-1.39644 # DEPENDENCYPART_ARC
(4,1),-1.15851 # DEPENDENCYPART_ARC
(4,2),-0.123158 # DEPENDENCYPART_ARC
(4,3),-0.0994015 # DEPENDENCYPART_ARC
(4,5),1.43203 # DEPENDENCYPART_ARC
(4,6),-1.26727 # DEPENDENCYPART_ARC
(4,7),-0.878255 # DEPENDENCYPART_ARC
(4,8),-1.36223 # DEPENDENCYPART_ARC
(4,9),-1.21913 # DEPENDENCYPART_ARC
(4,10),-1.60413 # DEPENDENCYPART_ARC
(4,11),-0.663792 # DEPENDENCYPART_ARC
(4,12),-1.65784 # DEPENDENCYPART_ARC
(4,13),-1.40722 # DEPENDENCYPART_ARC
(4,14),-1.49246 # DEPENDENCYPART_ARC
(4,15),-0.845164 # DEPENDENCYPART_ARC
(4,16),-0.937139 # DEPENDENCYPART_ARC
(5,1),-0.802338 # DEPENDENCYPART_ARC
(5,2),-1.1126 # DEPENDENCYPART_ARC
(5,3),-0.470849 # DEPENDENCYPART_ARC
(5,4),0.205768 # DEPENDENCYPART_ARC
(5,6),-0.757157 # DEPENDENCYPART_ARC
(5,7),-0.511299 # DEPENDENCYPART_ARC
(5,8),-1.03912 # DEPENDENCYPART_ARC
(5,9),-0.943377 # DEPENDENCYPART_ARC
(5,10),-0.825252 # DEPENDENCYPART_ARC
(5,12),-1.75163 # DEPENDENCYPART_ARC
(5,13),-1.02929 # DEPENDENCYPART_ARC
(5,14),-1.2942 # DEPENDENCYPART_ARC
(5,15),-0.89124 # DEPENDENCYPART_ARC
(5,16),-0.961601 # DEPENDENCYPART_ARC
(6,1),-1.08529 # DEPENDENCYPART_ARC
(6,2),-2.11759 # DEPENDENCYPART_ARC
(6,3),-0.691782 # DEPENDENCYPART_ARC
(6,4),-0.296092 # DEPENDENCYPART_ARC
(6,5),-0.0375686 # DEPENDENCYPART_ARC
(6,7),2.06537 # DEPENDENCYPART_ARC
(6,8),2.20297 # DEPENDENCYPART_ARC
(6,9),-0.144068 # DEPENDENCYPART_ARC
(6,10),0.488637 # DEPENDENCYPART_ARC
(6,11),-0.613452 # DEPENDENCYPART_ARC
(6,12),-0.867189 # DEPENDENCYPART_ARC
(6,13),-0.651085 # DEPENDENCYPART_ARC
(6,14),0.147242 # DEPENDENCYPART_ARC
(6,15),-0.95101 # DEPENDENCYPART_ARC
(6,16),-0.740056 # DEPENDENCYPART_ARC
(7,1),-1.98669 # DEPENDENCYPART_ARC
(7,2),-1.63405 # DEPENDENCYPART_ARC
(7,3),-1.49464 # DEPENDENCYPART_ARC
(7,4),-1.33771 # DEPENDENCYPART_ARC
(7,5),-1.14797 # DEPENDENCYPART_ARC
(7,6),0.0040616 # DEPENDENCYPART_ARC
(7,8),0.542264 # DEPENDENCYPART_ARC
(7,9),-0.35337 # DEPENDENCYPART_ARC
(7,10),-0.731059 # DEPENDENCYPART_ARC
(7,11),-0.286232 # DEPENDENCYPART_ARC
(7,12),-0.993989 # DEPENDENCYPART_ARC
(7,13),-1.12847 # DEPENDENCYPART_ARC
(7,14),-0.838553 # DEPENDENCYPART_ARC
(7,15),-0.61549 # DEPENDENCYPART_ARC
(7,16),-0.58978 # DEPENDENCYPART_ARC
(8,1),-1.97013 # DEPENDENCYPART_ARC
(8,2),-1.49871 # DEPENDENCYPART_ARC
(8,3),-1.7605 # DEPENDENCYPART_ARC
(8,5),-1.06634 # DEPENDENCYPART_ARC
(8,6),-0.972988 # DEPENDENCYPART_ARC
(8,9),-0.166468 # DEPENDENCYPART_ARC
(8,10),-2.07249 # DEPENDENCYPART_ARC
(8,11),-0.705666 # DEPENDENCYPART_ARC
(8,12),-1.4975 # DEPENDENCYPART_ARC
(8,14),-2.10811 # DEPENDENCYPART_ARC
(8,15),-0.824272 # DEPENDENCYPART_ARC
(8,16),-1.12576 # DEPENDENCYPART_ARC
(9,1),-0.782457 # DEPENDENCYPART_ARC
(9,2),-2.1601 # DEPENDENCYPART_ARC
(9,3),-0.38616 # DEPENDENCYPART_ARC
(9,4),-1.48844 # DEPENDENCYPART_ARC
(9,5),-1.06901 # DEPENDENCYPART_ARC
(9,6),0.165906 # DEPENDENCYPART_ARC
(9,7),0.447927 # DEPENDENCYPART_ARC
(9,8),-0.0145826 # DEPENDENCYPART_ARC
(9,10),0.0505122 # DEPENDENCYPART_ARC
(9,11),-0.334114 # DEPENDENCYPART_ARC
(9,12),-0.783516 # DEPENDENCYPART_ARC
(9,13),-1.43726 # DEPENDENCYPART_ARC
(9,14),-2.17078 # DEPENDENCYPART_ARC
(9,15),-1.26437 # DEPENDENCYPART_ARC
(9,16),-1.15741 # DEPENDENCYPART_ARC
(10,1),-0.840841 # DEPENDENCYPART_ARC
(10,2),-1.21324 # DEPENDENCYPART_ARC
(10,3),-0.963492 # DEPENDENCYPART_ARC
(10,4),-1.55183 # DEPENDENCYPART_ARC
(10,5),-1.26652 # DEPENDENCYPART_ARC
(10,6),-0.467873 # DEPENDENCYPART_ARC
(10,7),-0.130627 # DEPENDENCYPART_ARC
(10,8),-0.460117 # DEPENDENCYPART_ARC
(10,9),0.685619 # DEPENDENCYPART_ARC
(10,11),1.34084 # DEPENDENCYPART_ARC
(10,12),-0.582685 # DEPENDENCYPART_ARC
(10,13),-1.1709 # DEPENDENCYPART_ARC
(10,14),-2.07009 # DEPENDENCYPART_ARC
