# _root_ - bai , grabatu egin dut . baina , nor zara zu ? .
#goldHeads=0,4,2,0,4,4,6,0,8,11,0,11,12,13,
#predictedHeads=0,4,2,0,4,4,6,0,8,11,8,11,12,13,
(0,1),1.58157 # DEPENDENCYPART_ARC
(0,2),-0.396612 # DEPENDENCYPART_ARC
(0,3),-0.250682 # DEPENDENCYPART_ARC
(0,4),0.623706 # DEPENDENCYPART_ARC
(0,5),0.224848 # DEPENDENCYPART_ARC
(0,6),0.0141113 # DEPENDENCYPART_ARC
(0,7),-0.17919 # DEPENDENCYPART_ARC
(0,8),1.20899 # DEPENDENCYPART_ARC
(0,9),-0.374843 # DEPENDENCYPART_ARC
(0,11),0.343668 # DEPENDENCYPART_ARC
(0,12),0.801667 # DEPENDENCYPART_ARC
(0,13),-0.355579 # DEPENDENCYPART_ARC
(0,14),-0.0427941 # DEPENDENCYPART_ARC
(1,2),-1.50507 # DEPENDENCYPART_ARC
(1,3),-0.850352 # DEPENDENCYPART_ARC
(1,4),-1.66702 # DEPENDENCYPART_ARC
(1,5),-1.80553 # DEPENDENCYPART_ARC
(1,6),-1.68701 # DEPENDENCYPART_ARC
(1,7),-1.66078 # DEPENDENCYPART_ARC
(1,9),-1.9724 # DEPENDENCYPART_ARC
(1,11),-1.90351 # DEPENDENCYPART_ARC
(1,14),-2.31283 # DEPENDENCYPART_ARC
(2,1),-0.404062 # DEPENDENCYPART_ARC
(2,3),1.39716 # DEPENDENCYPART_ARC
(2,4),-0.381489 # DEPENDENCYPART_ARC
(2,5),-0.423612 # DEPENDENCYPART_ARC
(2,7),-0.0422051 # DEPENDENCYPART_ARC
(2,8),-0.399103 # DEPENDENCYPART_ARC
(2,9),-0.216151 # DEPENDENCYPART_ARC
(2,11),-1.36023 # DEPENDENCYPART_ARC
(2,13),-0.1607 # DEPENDENCYPART_ARC
(2,14),-0.35472 # DEPENDENCYPART_ARC
(3,1),-0.861747 # DEPENDENCYPART_ARC
(3,4),-0.0723398 # DEPENDENCYPART_ARC
(3,5),-0.94552 # DEPENDENCYPART_ARC
(3,6),-0.569679 # DEPENDENCYPART_ARC
(3,8),-0.403257 # DEPENDENCYPART_ARC
(3,11),-1.13783 # DEPENDENCYPART_ARC
(4,1),-0.512476 # DEPENDENCYPART_ARC
(4,2),0.724829 # DEPENDENCYPART_ARC
(4,3),-0.0119051 # DEPENDENCYPART_ARC
(4,5),2.44503 # DEPENDENCYPART_ARC
(4,6),1.81745 # DEPENDENCYPART_ARC
(4,7),0.163864 # DEPENDENCYPART_ARC
(4,8),0.291137 # DEPENDENCYPART_ARC
(4,9),-0.242653 # DEPENDENCYPART_ARC
(4,10),-0.312863 # DEPENDENCYPART_ARC
(4,11),-0.354663 # DEPENDENCYPART_ARC
(4,12),-0.451236 # DEPENDENCYPART_ARC
(4,13),-0.211692 # DEPENDENCYPART_ARC
(4,14),-0.291079 # DEPENDENCYPART_ARC
(5,1),-0.98295 # DEPENDENCYPART_ARC
(5,2),-0.17254 # DEPENDENCYPART_ARC
(5,3),-0.792236 # DEPENDENCYPART_ARC
(5,4),0.387396 # DEPENDENCYPART_ARC
(5,6),0.819675 # DEPENDENCYPART_ARC
(5,7),-0.420045 # DEPENDENCYPART_ARC
(5,8),-0.434325 # DEPENDENCYPART_ARC
(5,9),-1.23374 # DEPENDENCYPART_ARC
(5,10),-1.15962 # DEPENDENCYPART_ARC
(5,11),-1.25397 # DEPENDENCYPART_ARC
(5,12),-1.21086 # DEPENDENCYPART_ARC
(5,13),-1.21532 # DEPENDENCYPART_ARC
(5,14),-1.3227 # DEPENDENCYPART_ARC
(6,1),-1.4258 # DEPENDENCYPART_ARC
(6,2),-1.02291 # DEPENDENCYPART_ARC
(6,3),-1.07929 # DEPENDENCYPART_ARC
(6,4),-1.19446 # DEPENDENCYPART_ARC
(6,5),-1.11046 # DEPENDENCYPART_ARC
(6,7),2.0117 # DEPENDENCYPART_ARC
(6,8),-0.250628 # DEPENDENCYPART_ARC
(6,9),-0.144232 # DEPENDENCYPART_ARC
(6,11),-0.850562 # DEPENDENCYPART_ARC
(6,12),-1.55956 # DEPENDENCYPART_ARC
(6,13),-0.337437 # DEPENDENCYPART_ARC
(6,14),-0.742995 # DEPENDENCYPART_ARC
(7,1),-1.41069 # DEPENDENCYPART_ARC
(7,3),-1.29259 # DEPENDENCYPART_ARC
(7,4),-1.00264 # DEPENDENCYPART_ARC
(7,5),-0.908319 # DEPENDENCYPART_ARC
(7,8),-0.63994 # DEPENDENCYPART_ARC
(7,9),-0.436516 # DEPENDENCYPART_ARC
(8,1),-0.794118 # DEPENDENCYPART_ARC
(8,2),-0.456705 # DEPENDENCYPART_ARC
(8,3),-0.850726 # DEPENDENCYPART_ARC
(8,4),0.459689 # DEPENDENCYPART_ARC
(8,5),1.08468 # DEPENDENCYPART_ARC
(8,6),-0.637267 # DEPENDENCYPART_ARC
(8,7),0.22241 # DEPENDENCYPART_ARC
(8,9),2.23844 # DEPENDENCYPART_ARC
(8,10),0.111908 # DEPENDENCYPART_ARC
(8,11),1.40724 # DEPENDENCYPART_ARC
(8,12),-0.403113 # DEPENDENCYPART_ARC
(8,13),0.258236 # DEPENDENCYPART_ARC
(8,14),-0.118947 # DEPENDENCYPART_ARC
(9,1),-1.72709 # DEPENDENCYPART_ARC
(9,4),-1.48799 # DEPENDENCYPART_ARC
(9,5),-1.40985 # DEPENDENCYPART_ARC
(9,6),-1.16926 # DEPENDENCYPART_ARC
(9,8),-0.339575 # DEPENDENCYPART_ARC
(9,11),-0.576803 # DEPENDENCYPART_ARC
(11,1),-1.1337 # DEPENDENCYPART_ARC
(11,2),-0.209974 # DEPENDENCYPART_ARC
(11,3),-1.03866 # DEPENDENCYPART_ARC
(11,4),-0.226892 # DEPENDENCYPART_ARC
(11,5),-0.104384 # DEPENDENCYPART_ARC
(11,6),-0.376098 # DEPENDENCYPART_ARC
(11,7),-0.677017 # DEPENDENCYPART_ARC
(11,8),-0.0896851 # DEPENDENCYPART_ARC
(11,9),-0.203725 # DEPENDENCYPART_ARC
(11,10),2.01943 # DEPENDENCYPART_ARC
(11,12),1.51477 # DEPENDENCYPART_ARC
(11,13),0.0780981 # DEPENDENCYPART_ARC
(11,14),-0.0764911 # DEPENDENCYPART_ARC
(12,1),-1.41445 # DEPENDENCYPART_ARC
(12,3),-1.30546 # DEPENDENCYPART_ARC
(12,4),-1.25408 # DEPENDENCYPART_ARC
(12,5),-1.43315 # DEPENDENCYPART_ARC
(12,7),-1.15281 # DEPENDENCYPART_ARC
(12,9),-0.793608 # DEPENDENCYPART_ARC
(12,13),1.45746 # DEPENDENCYPART_ARC
(12,14),0.494005 # DEPENDENCYPART_ARC
(13,1),-1.4866 # DEPENDENCYPART_ARC
(13,3),-1.24037 # DEPENDENCYPART_ARC
(13,7),-1.27383 # DEPENDENCYPART_ARC
(13,9),-1.04902 # DEPENDENCYPART_ARC
(13,11),-0.46716 # DEPENDENCYPART_ARC
(13,14),2.04836 # DEPENDENCYPART_ARC
(14,1),-1.94353 # DEPENDENCYPART_ARC
(14,3),-2.04751 # DEPENDENCYPART_ARC
(14,4),-2.27182 # DEPENDENCYPART_ARC
(14,5),-2.40394 # DEPENDENCYPART_ARC
(14,8),-1.4409 # DEPENDENCYPART_ARC
(14,9),-1.76186 # DEPENDENCYPART_ARC
