# _root_ dena_den , dei_egin nionan timori , berarekin jolas_egin nahi_ninan .
#goldHeads=0,1,0,3,3,5,8,9,3,9,
#predictedHeads=0,1,0,3,3,5,8,9,3,9,
(0,1),1.66298 # DEPENDENCYPART_ARC
(0,2),-1.00063 # DEPENDENCYPART_ARC
(0,3),1.11792 # DEPENDENCYPART_ARC
(0,4),-0.3387 # DEPENDENCYPART_ARC
(0,5),-1.19525 # DEPENDENCYPART_ARC
(0,6),-0.507318 # DEPENDENCYPART_ARC
(0,7),-1.29418 # DEPENDENCYPART_ARC
(0,8),-0.726104 # DEPENDENCYPART_ARC
(0,9),-0.23333 # DEPENDENCYPART_ARC
(0,10),-1.087 # DEPENDENCYPART_ARC
(1,2),0.678327 # DEPENDENCYPART_ARC
(1,3),-1.47562 # DEPENDENCYPART_ARC
(1,4),-1.82853 # DEPENDENCYPART_ARC
(1,5),-2.25565 # DEPENDENCYPART_ARC
(1,6),-1.07344 # DEPENDENCYPART_ARC
(1,7),-2.68455 # DEPENDENCYPART_ARC
(1,8),-2.23326 # DEPENDENCYPART_ARC
(1,9),-2.87854 # DEPENDENCYPART_ARC
(1,10),-1.44373 # DEPENDENCYPART_ARC
(2,1),-0.0559409 # DEPENDENCYPART_ARC
(2,3),-0.781179 # DEPENDENCYPART_ARC
(2,4),-0.765593 # DEPENDENCYPART_ARC
(2,5),-1.4355 # DEPENDENCYPART_ARC
(2,6),-0.965411 # DEPENDENCYPART_ARC
(2,7),-1.99026 # DEPENDENCYPART_ARC
(2,8),-1.43273 # DEPENDENCYPART_ARC
(2,9),-1.46179 # DEPENDENCYPART_ARC
(2,10),-1.30392 # DEPENDENCYPART_ARC
(3,1),0.345633 # DEPENDENCYPART_ARC
(3,2),0.177057 # DEPENDENCYPART_ARC
(3,4),3.48441 # DEPENDENCYPART_ARC
(3,5),2.26601 # DEPENDENCYPART_ARC
(3,6),-0.0888166 # DEPENDENCYPART_ARC
(3,7),-0.0776182 # DEPENDENCYPART_ARC
(3,8),0.55379 # DEPENDENCYPART_ARC
(3,9),0.194806 # DEPENDENCYPART_ARC
(3,10),-0.117812 # DEPENDENCYPART_ARC
(4,1),-1.15371 # DEPENDENCYPART_ARC
(4,2),-1.2155 # DEPENDENCYPART_ARC
(4,3),-2.00591 # DEPENDENCYPART_ARC
(4,5),-0.639474 # DEPENDENCYPART_ARC
(4,6),-0.325543 # DEPENDENCYPART_ARC
(4,7),-1.96802 # DEPENDENCYPART_ARC
(4,8),-1.79561 # DEPENDENCYPART_ARC
(4,9),-1.50183 # DEPENDENCYPART_ARC
(4,10),-0.815485 # DEPENDENCYPART_ARC
(5,1),-1.44335 # DEPENDENCYPART_ARC
(5,2),-1.31106 # DEPENDENCYPART_ARC
(5,3),-1.17962 # DEPENDENCYPART_ARC
(5,4),-0.301582 # DEPENDENCYPART_ARC
(5,6),1.29053 # DEPENDENCYPART_ARC
(5,7),-0.323271 # DEPENDENCYPART_ARC
(5,8),-1.22948 # DEPENDENCYPART_ARC
(5,9),-1.10238 # DEPENDENCYPART_ARC
(5,10),-0.806442 # DEPENDENCYPART_ARC
(6,1),-0.783975 # DEPENDENCYPART_ARC
(6,2),-0.952334 # DEPENDENCYPART_ARC
(6,3),0.0282338 # DEPENDENCYPART_ARC
(6,4),-0.5771 # DEPENDENCYPART_ARC
(6,5),0.163895 # DEPENDENCYPART_ARC
(6,7),-0.44991 # DEPENDENCYPART_ARC
(6,8),-0.381474 # DEPENDENCYPART_ARC
(6,9),-0.283544 # DEPENDENCYPART_ARC
(6,10),-0.385355 # DEPENDENCYPART_ARC
(7,1),-0.884129 # DEPENDENCYPART_ARC
(7,2),-1.17504 # DEPENDENCYPART_ARC
(7,3),-1.10346 # DEPENDENCYPART_ARC
(7,4),-1.47417 # DEPENDENCYPART_ARC
(7,5),-0.729147 # DEPENDENCYPART_ARC
(7,6),-0.108325 # DEPENDENCYPART_ARC
(7,8),-1.25257 # DEPENDENCYPART_ARC
(7,9),-2.79817 # DEPENDENCYPART_ARC
(7,10),-0.893119 # DEPENDENCYPART_ARC
(8,1),-0.686238 # DEPENDENCYPART_ARC
(8,2),-1.25077 # DEPENDENCYPART_ARC
(8,3),-0.271667 # DEPENDENCYPART_ARC
(8,4),-0.546895 # DEPENDENCYPART_ARC
(8,5),0.0620485 # DEPENDENCYPART_ARC
(8,6),-0.668952 # DEPENDENCYPART_ARC
(8,7),1.21363 # DEPENDENCYPART_ARC
(8,9),0.0813832 # DEPENDENCYPART_ARC
(8,10),0.523455 # DEPENDENCYPART_ARC
(9,1),-0.276788 # DEPENDENCYPART_ARC
(9,2),-0.955416 # DEPENDENCYPART_ARC
(9,3),-0.342888 # DEPENDENCYPART_ARC
(9,4),-1.16522 # DEPENDENCYPART_ARC
(9,5),0.387998 # DEPENDENCYPART_ARC
(9,6),-0.363942 # DEPENDENCYPART_ARC
(9,7),-0.0729728 # DEPENDENCYPART_ARC
(9,8),2.3366 # DEPENDENCYPART_ARC
(9,10),2.17768 # DEPENDENCYPART_ARC
(10,1),-1.19244 # DEPENDENCYPART_ARC
(10,2),-1.57871 # DEPENDENCYPART_ARC
(10,3),-1.59177 # DEPENDENCYPART_ARC
(10,4),-1.21786 # DEPENDENCYPART_ARC
(10,5),-1.40051 # DEPENDENCYPART_ARC
(10,6),-1.45841 # DEPENDENCYPART_ARC
(10,7),-1.43444 # DEPENDENCYPART_ARC
(10,8),-0.938829 # DEPENDENCYPART_ARC
(10,9),-0.50399 # DEPENDENCYPART_ARC
