# _root_ era_berean , astrologiak egokitzat adierazitako egunetan pertsona ugarik betetzen ditu bere egin beharrak , zientzia horren ezagutza izpirik eduki gabe .
#goldHeads=0,1,5,5,6,9,9,7,0,9,12,9,12,13,17,15,19,17,9,19,20,
#predictedHeads=9,1,5,5,6,9,9,7,0,9,12,13,9,13,19,15,18,19,9,19,20,
(0,1),0.461877 # DEPENDENCYPART_ARC
(0,2),-1.07968 # DEPENDENCYPART_ARC
(0,3),-0.322025 # DEPENDENCYPART_ARC
(0,4),-0.722206 # DEPENDENCYPART_ARC
(0,5),-0.738921 # DEPENDENCYPART_ARC
(0,6),-1.02182 # DEPENDENCYPART_ARC
(0,7),-1.09076 # DEPENDENCYPART_ARC
(0,8),-0.849667 # DEPENDENCYPART_ARC
(0,9),0.203072 # DEPENDENCYPART_ARC
(0,10),-0.0466764 # DEPENDENCYPART_ARC
(0,11),-1.36855 # DEPENDENCYPART_ARC
(0,12),-1.34352 # DEPENDENCYPART_ARC
(0,13),-1.84643 # DEPENDENCYPART_ARC
(0,14),-0.656269 # DEPENDENCYPART_ARC
(0,15),-1.58852 # DEPENDENCYPART_ARC
(0,16),-1.36567 # DEPENDENCYPART_ARC
(0,17),-1.90077 # DEPENDENCYPART_ARC
(0,18),-2.11161 # DEPENDENCYPART_ARC
(0,19),-0.544421 # DEPENDENCYPART_ARC
(0,20),-1.07826 # DEPENDENCYPART_ARC
(0,21),-3.08005 # DEPENDENCYPART_ARC
(1,2),0.7049 # DEPENDENCYPART_ARC
(1,3),-0.91948 # DEPENDENCYPART_ARC
(1,4),-1.14153 # DEPENDENCYPART_ARC
(1,5),-1.04564 # DEPENDENCYPART_ARC
(1,6),-1.03904 # DEPENDENCYPART_ARC
(1,7),-1.04848 # DEPENDENCYPART_ARC
(1,8),-1.54568 # DEPENDENCYPART_ARC
(1,9),-1.51979 # DEPENDENCYPART_ARC
(1,10),-1.15991 # DEPENDENCYPART_ARC
(1,11),-1.24374 # DEPENDENCYPART_ARC
(1,12),-1.35383 # DEPENDENCYPART_ARC
(1,13),-1.45424 # DEPENDENCYPART_ARC
(1,14),-1.01798 # DEPENDENCYPART_ARC
(1,15),-1.34018 # DEPENDENCYPART_ARC
(1,16),-1.18001 # DEPENDENCYPART_ARC
(1,17),-1.26937 # DEPENDENCYPART_ARC
(1,18),-1.2646 # DEPENDENCYPART_ARC
(1,19),-1.69911 # DEPENDENCYPART_ARC
(1,20),-0.763618 # DEPENDENCYPART_ARC
(1,21),-1.30239 # DEPENDENCYPART_ARC
(2,1),-0.769452 # DEPENDENCYPART_ARC
(2,3),-1.096 # DEPENDENCYPART_ARC
(2,4),-0.889168 # DEPENDENCYPART_ARC
(2,5),-0.903577 # DEPENDENCYPART_ARC
(2,6),-1.56133 # DEPENDENCYPART_ARC
(2,7),-1.78891 # DEPENDENCYPART_ARC
(2,8),-1.23579 # DEPENDENCYPART_ARC
(2,9),-1.44777 # DEPENDENCYPART_ARC
(2,10),-1.36547 # DEPENDENCYPART_ARC
(2,11),-2.16361 # DEPENDENCYPART_ARC
(2,12),-2.02944 # DEPENDENCYPART_ARC
(2,13),-2.32466 # DEPENDENCYPART_ARC
(2,14),-1.57266 # DEPENDENCYPART_ARC
(2,15),-2.86445 # DEPENDENCYPART_ARC
(2,16),-1.82218 # DEPENDENCYPART_ARC
(2,17),-2.27036 # DEPENDENCYPART_ARC
(2,18),-2.44493 # DEPENDENCYPART_ARC
(2,19),-2.03635 # DEPENDENCYPART_ARC
(2,20),-2.05815 # DEPENDENCYPART_ARC
(2,21),-1.99392 # DEPENDENCYPART_ARC
(3,1),-0.362219 # DEPENDENCYPART_ARC
(3,2),0.655107 # DEPENDENCYPART_ARC
(3,4),0.629104 # DEPENDENCYPART_ARC
(3,5),-1.38867 # DEPENDENCYPART_ARC
(3,6),-2.02741 # DEPENDENCYPART_ARC
(3,7),-1.24949 # DEPENDENCYPART_ARC
(3,8),-1.32888 # DEPENDENCYPART_ARC
(3,9),-2.0557 # DEPENDENCYPART_ARC
(3,10),-2.94026 # DEPENDENCYPART_ARC
(3,11),-2.53378 # DEPENDENCYPART_ARC
(3,12),-2.23941 # DEPENDENCYPART_ARC
(3,13),-2.15365 # DEPENDENCYPART_ARC
(3,14),-1.30572 # DEPENDENCYPART_ARC
(3,15),-2.25081 # DEPENDENCYPART_ARC
(3,16),-2.86377 # DEPENDENCYPART_ARC
(3,17),-1.94922 # DEPENDENCYPART_ARC
(3,18),-2.16168 # DEPENDENCYPART_ARC
(3,19),-2.48727 # DEPENDENCYPART_ARC
(3,20),-0.920989 # DEPENDENCYPART_ARC
(3,21),-1.47652 # DEPENDENCYPART_ARC
(4,1),-0.928132 # DEPENDENCYPART_ARC
