# _root_ halaber , batzarkide eta parlamentario ugari ere agertu ziren hitzordura , eta hainbat euskal_erakunde nazionaletako ordezkariek ongi etorria eman zioten ekimenari .
#goldHeads=0,3,4,8,4,4,0,12,8,8,10,0,16,16,16,19,19,17,12,19,19,21,
#predictedHeads=0,3,4,8,4,5,0,12,8,8,10,0,14,16,14,19,19,19,12,19,19,21,
(0,1),1.54022 # DEPENDENCYPART_ARC
(0,2),-1.19001 # DEPENDENCYPART_ARC
(0,3),-0.686969 # DEPENDENCYPART_ARC
(0,4),-0.765906 # DEPENDENCYPART_ARC
(0,5),-0.722945 # DEPENDENCYPART_ARC
(0,6),-1.6726 # DEPENDENCYPART_ARC
(0,7),1.7218 # DEPENDENCYPART_ARC
(0,8),0.5418 # DEPENDENCYPART_ARC
(0,9),-1.27005 # DEPENDENCYPART_ARC
(0,10),-1.27873 # DEPENDENCYPART_ARC
(0,11),-0.888955 # DEPENDENCYPART_ARC
(0,12),0.947678 # DEPENDENCYPART_ARC
(0,13),-1.86243 # DEPENDENCYPART_ARC
(0,14),-1.73336 # DEPENDENCYPART_ARC
(0,15),-2.15756 # DEPENDENCYPART_ARC
(0,16),-2.24666 # DEPENDENCYPART_ARC
(0,17),-0.670514 # DEPENDENCYPART_ARC
(0,18),-1.82612 # DEPENDENCYPART_ARC
(0,19),-0.432115 # DEPENDENCYPART_ARC
(0,20),-1.67831 # DEPENDENCYPART_ARC
(0,21),-2.68488 # DEPENDENCYPART_ARC
(0,22),-2.7637 # DEPENDENCYPART_ARC
(1,2),-0.736904 # DEPENDENCYPART_ARC
(1,3),-2.8621 # DEPENDENCYPART_ARC
(1,4),-2.41252 # DEPENDENCYPART_ARC
(1,5),-3.03532 # DEPENDENCYPART_ARC
(1,7),-2.42765 # DEPENDENCYPART_ARC
(1,8),-2.86139 # DEPENDENCYPART_ARC
(1,10),-2.9939 # DEPENDENCYPART_ARC
(1,11),-3.29034 # DEPENDENCYPART_ARC
(1,12),-2.9653 # DEPENDENCYPART_ARC
