# _root_ agian , ileordedunak biak garbituko zituen , gerard eta kurt ! .
#goldHeads=5,3,5,5,0,5,6,9,4,9,10,11,
#predictedHeads=5,3,5,5,0,5,6,9,5,9,10,11,
(0,1),0.421666 # DEPENDENCYPART_ARC
(0,2),-0.933163 # DEPENDENCYPART_ARC
(0,3),-0.912051 # DEPENDENCYPART_ARC
(0,4),-1.09668 # DEPENDENCYPART_ARC
(0,5),0.421339 # DEPENDENCYPART_ARC
(0,6),-0.271584 # DEPENDENCYPART_ARC
(0,7),-0.297617 # DEPENDENCYPART_ARC
(0,8),-1.04967 # DEPENDENCYPART_ARC
(0,9),-0.487259 # DEPENDENCYPART_ARC
(0,10),-0.927563 # DEPENDENCYPART_ARC
(0,11),-0.274195 # DEPENDENCYPART_ARC
(0,12),-0.855333 # DEPENDENCYPART_ARC
(1,2),-0.229667 # DEPENDENCYPART_ARC
(1,3),-1.35249 # DEPENDENCYPART_ARC
(1,4),-1.46873 # DEPENDENCYPART_ARC
(1,5),-1.78844 # DEPENDENCYPART_ARC
(1,6),-1.5048 # DEPENDENCYPART_ARC
(1,7),-1.31715 # DEPENDENCYPART_ARC
(1,8),-1.72049 # DEPENDENCYPART_ARC
(1,9),-1.44447 # DEPENDENCYPART_ARC
(1,10),-1.78149 # DEPENDENCYPART_ARC
(1,11),-1.23577 # DEPENDENCYPART_ARC
(1,12),-1.46066 # DEPENDENCYPART_ARC
(2,1),-0.55107 # DEPENDENCYPART_ARC
(2,3),-0.143637 # DEPENDENCYPART_ARC
(2,4),-1.2512 # DEPENDENCYPART_ARC
(2,5),-0.605107 # DEPENDENCYPART_ARC
(2,6),-0.70275 # DEPENDENCYPART_ARC
(2,7),-0.636711 # DEPENDENCYPART_ARC
(2,8),-1.39309 # DEPENDENCYPART_ARC
(2,9),-0.866475 # DEPENDENCYPART_ARC
(2,10),-1.45203 # DEPENDENCYPART_ARC
(2,11),-0.820469 # DEPENDENCYPART_ARC
(2,12),-0.832289 # DEPENDENCYPART_ARC
(3,1),-0.103574 # DEPENDENCYPART_ARC
(3,2),0.173925 # DEPENDENCYPART_ARC
(3,4),-0.557096 # DEPENDENCYPART_ARC
(3,5),-1.578 # DEPENDENCYPART_ARC
(3,6),-1.62015 # DEPENDENCYPART_ARC
(3,7),-0.936297 # DEPENDENCYPART_ARC
(3,8),-2.03358 # DEPENDENCYPART_ARC
(3,9),-1.27331 # DEPENDENCYPART_ARC
(3,10),-2.6094 # DEPENDENCYPART_ARC
(3,11),-1.00141 # DEPENDENCYPART_ARC
(3,12),-1.09865 # DEPENDENCYPART_ARC
(4,1),-0.522476 # DEPENDENCYPART_ARC
(4,2),-0.64665 # DEPENDENCYPART_ARC
(4,3),-0.571515 # DEPENDENCYPART_ARC
(4,5),-1.2176 # DEPENDENCYPART_ARC
(4,6),-1.78854 # DEPENDENCYPART_ARC
(4,7),-0.655636 # DEPENDENCYPART_ARC
(4,8),-1.2152 # DEPENDENCYPART_ARC
(4,9),-0.876878 # DEPENDENCYPART_ARC
(4,10),-0.815138 # DEPENDENCYPART_ARC
(4,11),-0.95627 # DEPENDENCYPART_ARC
(4,12),-1.20008 # DEPENDENCYPART_ARC
(5,1),0.965425 # DEPENDENCYPART_ARC
(5,2),-0.162341 # DEPENDENCYPART_ARC
(5,3),1.19537 # DEPENDENCYPART_ARC
(5,4),1.03589 # DEPENDENCYPART_ARC
(5,6),1.97292 # DEPENDENCYPART_ARC
(5,7),-0.0841635 # DEPENDENCYPART_ARC
(5,8),-0.626448 # DEPENDENCYPART_ARC
(5,9),0.0865584 # DEPENDENCYPART_ARC
(5,10),0.340484 # DEPENDENCYPART_ARC
(5,11),-0.347106 # DEPENDENCYPART_ARC
(5,12),-0.670969 # DEPENDENCYPART_ARC
(6,1),-0.909797 # DEPENDENCYPART_ARC
(6,2),-1.23559 # DEPENDENCYPART_ARC
(6,3),-1.03339 # DEPENDENCYPART_ARC
(6,4),-0.925029 # DEPENDENCYPART_ARC
(6,5),-1.0941 # DEPENDENCYPART_ARC
(6,7),1.44588 # DEPENDENCYPART_ARC
(6,8),-1.35783 # DEPENDENCYPART_ARC
(6,9),-1.0702 # DEPENDENCYPART_ARC
(6,10),-1.01587 # DEPENDENCYPART_ARC
(6,11),-0.728008 # DEPENDENCYPART_ARC
(6,12),-0.862698 # DEPENDENCYPART_ARC
(7,1),-1.10979 # DEPENDENCYPART_ARC
(7,2),-1.20155 # DEPENDENCYPART_ARC
(7,3),-0.823128 # DEPENDENCYPART_ARC
(7,4),-0.993359 # DEPENDENCYPART_ARC
(7,5),0.0282576 # DEPENDENCYPART_ARC
(7,6),0.355893 # DEPENDENCYPART_ARC
(7,8),-0.57602 # DEPENDENCYPART_ARC
(7,9),-1.03098 # DEPENDENCYPART_ARC
(7,10),-0.887748 # DEPENDENCYPART_ARC
(7,11),-0.357855 # DEPENDENCYPART_ARC
(7,12),-0.376331 # DEPENDENCYPART_ARC
(8,1),-1.90917 # DEPENDENCYPART_ARC
(8,2),-1.90867 # DEPENDENCYPART_ARC
(8,3),-1.6984 # DEPENDENCYPART_ARC
(8,4),-2.9475 # DEPENDENCYPART_ARC
(8,5),-2.07567 # DEPENDENCYPART_ARC
(8,6),-1.17738 # DEPENDENCYPART_ARC
(8,7),-0.354128 # DEPENDENCYPART_ARC
(8,9),0.171276 # DEPENDENCYPART_ARC
(8,10),0.165803 # DEPENDENCYPART_ARC
(8,11),-0.344146 # DEPENDENCYPART_ARC
(8,12),-0.750577 # DEPENDENCYPART_ARC
(9,1),-0.82612 # DEPENDENCYPART_ARC
(9,2),-1.62637 # DEPENDENCYPART_ARC
(9,3),-0.906256 # DEPENDENCYPART_ARC
(9,4),-1.00523 # DEPENDENCYPART_ARC
(9,5),0.288221 # DEPENDENCYPART_ARC
(9,6),-0.816667 # DEPENDENCYPART_ARC
(9,7),-1.12083 # DEPENDENCYPART_ARC
(9,8),3.10589 # DEPENDENCYPART_ARC
(9,10),2.06992 # DEPENDENCYPART_ARC
(9,11),0.196235 # DEPENDENCYPART_ARC
(9,12),-0.411069 # DEPENDENCYPART_ARC
(10,1),-2.81744 # DEPENDENCYPART_ARC
(10,2),-3.17029 # DEPENDENCYPART_ARC
(10,3),-3.81244 # DEPENDENCYPART_ARC
(10,4),-4.5714 # DEPENDENCYPART_ARC
(10,5),-3.39297 # DEPENDENCYPART_ARC
(10,6),-3.4373 # DEPENDENCYPART_ARC
(10,7),-2.64988 # DEPENDENCYPART_ARC
(10,8),-2.05549 # DEPENDENCYPART_ARC
(10,9),-1.40861 # DEPENDENCYPART_ARC
(10,11),1.71145 # DEPENDENCYPART_ARC
(10,12),0.129765 # DEPENDENCYPART_ARC
(11,1),-1.55771 # DEPENDENCYPART_ARC
(11,2),-1.53321 # DEPENDENCYPART_ARC
(11,3),-1.62514 # DEPENDENCYPART_ARC
(11,4),-1.72154 # DEPENDENCYPART_ARC
(11,5),-1.04848 # DEPENDENCYPART_ARC
(11,6),-1.14724 # DEPENDENCYPART_ARC
(11,7),-1.25936 # DEPENDENCYPART_ARC
(11,8),-0.985165 # DEPENDENCYPART_ARC
(11,9),-0.949752 # DEPENDENCYPART_ARC
(11,10),-0.588923 # DEPENDENCYPART_ARC
(11,12),1.99884 # DEPENDENCYPART_ARC
(12,1),-1.88491 # DEPENDENCYPART_ARC
(12,2),-1.78727 # DEPENDENCYPART_ARC
(12,3),-1.91082 # DEPENDENCYPART_ARC
(12,4),-1.95266 # DEPENDENCYPART_ARC
(12,5),-1.81858 # DEPENDENCYPART_ARC
(12,6),-1.29149 # DEPENDENCYPART_ARC
(12,7),-1.64557 # DEPENDENCYPART_ARC
(12,8),-1.32677 # DEPENDENCYPART_ARC
(12,9),-0.94066 # DEPENDENCYPART_ARC
(12,10),-1.24185 # DEPENDENCYPART_ARC
(12,11),-0.747871 # DEPENDENCYPART_ARC
