# _root_ esteban olaizola , gipuzkoako_arrantzaleen_kofradietako presidenteak adierazi zuenez , egoera " jasanezina da eta enpresa asko desagertzea ekarriko du " .
#goldHeads=5,1,2,5,6,13,6,7,12,9,12,13,0,16,14,17,13,17,18,19,
#predictedHeads=6,1,2,5,6,0,6,7,12,9,12,13,0,16,14,17,13,17,18,19,
(0,1),-0.378335 # DEPENDENCYPART_ARC
(0,2),-0.628327 # DEPENDENCYPART_ARC
(0,3),-0.733054 # DEPENDENCYPART_ARC
(0,4),-0.775511 # DEPENDENCYPART_ARC
(0,5),-1.2337 # DEPENDENCYPART_ARC
(0,6),0.321969 # DEPENDENCYPART_ARC
(0,7),-0.660422 # DEPENDENCYPART_ARC
(0,8),-0.843165 # DEPENDENCYPART_ARC
(0,9),-1.49857 # DEPENDENCYPART_ARC
(0,10),-1.65336 # DEPENDENCYPART_ARC
(0,11),-1.26122 # DEPENDENCYPART_ARC
(0,12),-0.039488 # DEPENDENCYPART_ARC
(0,13),-0.789326 # DEPENDENCYPART_ARC
(0,14),-0.580575 # DEPENDENCYPART_ARC
(0,15),-1.48893 # DEPENDENCYPART_ARC
(0,16),-1.35244 # DEPENDENCYPART_ARC
(0,17),-0.259022 # DEPENDENCYPART_ARC
(0,18),-0.926374 # DEPENDENCYPART_ARC
(0,19),-2.37527 # DEPENDENCYPART_ARC
(0,20),-1.71291 # DEPENDENCYPART_ARC
(1,2),2.1939 # DEPENDENCYPART_ARC
(1,3),-0.823276 # DEPENDENCYPART_ARC
(1,4),0.0586639 # DEPENDENCYPART_ARC
(1,5),0.648959 # DEPENDENCYPART_ARC
(1,6),-1.2074 # DEPENDENCYPART_ARC
(1,8),-1.76936 # DEPENDENCYPART_ARC
(1,9),-1.30754 # DEPENDENCYPART_ARC
(1,10),-1.70894 # DEPENDENCYPART_ARC
(1,11),-2.77017 # DEPENDENCYPART_ARC
(1,12),-0.834037 # DEPENDENCYPART_ARC
(1,14),-1.63876 # DEPENDENCYPART_ARC
(1,16),-1.16709 # DEPENDENCYPART_ARC
(1,17),-1.68776 # DEPENDENCYPART_ARC
(1,19),-2.13545 # DEPENDENCYPART_ARC
(1,20),-1.80052 # DEPENDENCYPART_ARC
(2,1),0.637846 # DEPENDENCYPART_ARC
(2,3),1.67621 # DEPENDENCYPART_ARC
(2,4),-0.331215 # DEPENDENCYPART_ARC
(2,5),-0.800615 # DEPENDENCYPART_ARC
(2,6),-2.38973 # DEPENDENCYPART_ARC
(2,8),-0.867496 # DEPENDENCYPART_ARC
(2,9),-2.06154 # DEPENDENCYPART_ARC
(2,10),-0.468314 # DEPENDENCYPART_ARC
(2,11),-3.98774 # DEPENDENCYPART_ARC
(2,12),-0.246954 # DEPENDENCYPART_ARC
(2,14),-2.29421 # DEPENDENCYPART_ARC
(2,16),-1.38404 # DEPENDENCYPART_ARC
(2,17),-1.77517 # DEPENDENCYPART_ARC
(2,19),-1.51189 # DEPENDENCYPART_ARC
(2,20),-1.39573 # DEPENDENCYPART_ARC
(3,1),-0.756211 # DEPENDENCYPART_ARC
(3,2),-0.515056 # DEPENDENCYPART_ARC
(3,5),-0.954431 # DEPENDENCYPART_ARC
(3,7),-0.863415 # DEPENDENCYPART_ARC
(3,9),-1.35824 # DEPENDENCYPART_ARC
(3,10),-0.71526 # DEPENDENCYPART_ARC
(3,11),-1.55861 # DEPENDENCYPART_ARC
(3,12),-1.23309 # DEPENDENCYPART_ARC
(3,13),-1.70457 # DEPENDENCYPART_ARC
(3,14),-1.69347 # DEPENDENCYPART_ARC
(3,15),-1.30745 # DEPENDENCYPART_ARC
(3,16),-1.50943 # DEPENDENCYPART_ARC
(3,17),-1.57932 # DEPENDENCYPART_ARC
(3,18),-1.3009 # DEPENDENCYPART_ARC
(3,19),-1.61893 # DEPENDENCYPART_ARC
(4,1),-1.50807 # DEPENDENCYPART_ARC
(4,2),-2.06239 # DEPENDENCYPART_ARC
(4,3),-0.270761 # DEPENDENCYPART_ARC
(4,5),0.777435 # DEPENDENCYPART_ARC
(4,8),-0.934552 # DEPENDENCYPART_ARC
(4,9),-1.53053 # DEPENDENCYPART_ARC
(4,10),-0.62269 # DEPENDENCYPART_ARC
(4,11),-2.23539 # DEPENDENCYPART_ARC
(4,12),-0.82654 # DEPENDENCYPART_ARC
(4,13),-1.18651 # DEPENDENCYPART_ARC
(4,14),-1.88815 # DEPENDENCYPART_ARC
(4,16),-1.51307 # DEPENDENCYPART_ARC
(4,17),-2.00473 # DEPENDENCYPART_ARC
(4,19),-1.51898 # DEPENDENCYPART_ARC
(4,20),-1.44542 # DEPENDENCYPART_ARC
(5,1),-0.5547 # DEPENDENCYPART_ARC
(5,2),-1.38164 # DEPENDENCYPART_ARC
(5,3),-0.967904 # DEPENDENCYPART_ARC
(5,4),2.6194 # DEPENDENCYPART_ARC
(5,6),-1.53937 # DEPENDENCYPART_ARC
