# _root_ orain , sasoi hura udazkenean enarak_bezala ostendu eta urrundu denean , etxetxoak egiteari ekin diot berriro .
#goldHeads=14,3,7,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
#predictedHeads=14,3,5,3,7,7,8,14,8,9,10,13,14,0,14,14,16,
(0,1),0.0457163 # DEPENDENCYPART_ARC
(0,2),-1.20135 # DEPENDENCYPART_ARC
(0,3),-0.290353 # DEPENDENCYPART_ARC
(0,4),-1.11298 # DEPENDENCYPART_ARC
(0,5),-0.861402 # DEPENDENCYPART_ARC
(0,6),-1.11922 # DEPENDENCYPART_ARC
(0,7),-0.605535 # DEPENDENCYPART_ARC
(0,8),-0.214114 # DEPENDENCYPART_ARC
(0,9),0.181683 # DEPENDENCYPART_ARC
(0,10),-0.674861 # DEPENDENCYPART_ARC
(0,11),-0.784166 # DEPENDENCYPART_ARC
(0,12),-0.905792 # DEPENDENCYPART_ARC
(0,13),-1.3648 # DEPENDENCYPART_ARC
(0,14),0.313443 # DEPENDENCYPART_ARC
(0,15),-0.162709 # DEPENDENCYPART_ARC
(0,16),-0.707478 # DEPENDENCYPART_ARC
(0,17),-2.48364 # DEPENDENCYPART_ARC
(1,2),-0.357952 # DEPENDENCYPART_ARC
(1,3),-1.00295 # DEPENDENCYPART_ARC
(1,4),-1.31165 # DEPENDENCYPART_ARC
(1,5),-1.23957 # DEPENDENCYPART_ARC
(1,6),-1.27126 # DEPENDENCYPART_ARC
(1,7),-1.74952 # DEPENDENCYPART_ARC
(1,8),-1.26388 # DEPENDENCYPART_ARC
(1,9),-1.94823 # DEPENDENCYPART_ARC
(1,10),-1.60924 # DEPENDENCYPART_ARC
(1,11),-1.64114 # DEPENDENCYPART_ARC
(1,12),-1.65003 # DEPENDENCYPART_ARC
(1,13),-2.04898 # DEPENDENCYPART_ARC
(1,14),-2.28858 # DEPENDENCYPART_ARC
(1,15),-1.72042 # DEPENDENCYPART_ARC
(1,16),-1.24731 # DEPENDENCYPART_ARC
(1,17),-1.84417 # DEPENDENCYPART_ARC
(2,1),-0.728568 # DEPENDENCYPART_ARC
(2,3),-1.10599 # DEPENDENCYPART_ARC
(2,4),-1.55923 # DEPENDENCYPART_ARC
(2,5),-1.30907 # DEPENDENCYPART_ARC
(2,6),-1.45562 # DEPENDENCYPART_ARC
(2,7),-1.54319 # DEPENDENCYPART_ARC
(2,8),-1.60672 # DEPENDENCYPART_ARC
(2,9),-1.61869 # DEPENDENCYPART_ARC
(2,10),-1.37945 # DEPENDENCYPART_ARC
(2,11),-1.4745 # DEPENDENCYPART_ARC
(2,12),-2.45873 # DEPENDENCYPART_ARC
(2,13),-1.66618 # DEPENDENCYPART_ARC
(2,14),-1.86996 # DEPENDENCYPART_ARC
(2,15),-1.51698 # DEPENDENCYPART_ARC
(2,16),-2.17481 # DEPENDENCYPART_ARC
(2,17),-1.74031 # DEPENDENCYPART_ARC
(3,1),-0.592754 # DEPENDENCYPART_ARC
(3,2),0.136084 # DEPENDENCYPART_ARC
(3,4),2.48275 # DEPENDENCYPART_ARC
(3,5),-0.184875 # DEPENDENCYPART_ARC
(3,6),-0.554154 # DEPENDENCYPART_ARC
(3,7),-0.635055 # DEPENDENCYPART_ARC
(3,8),-0.599115 # DEPENDENCYPART_ARC
(3,9),-1.33601 # DEPENDENCYPART_ARC
(3,10),-1.20445 # DEPENDENCYPART_ARC
(3,11),-1.11619 # DEPENDENCYPART_ARC
(3,12),-0.909028 # DEPENDENCYPART_ARC
(3,13),-0.544394 # DEPENDENCYPART_ARC
(3,14),-1.70606 # DEPENDENCYPART_ARC
(3,15),-1.44437 # DEPENDENCYPART_ARC
(3,16),-1.27427 # DEPENDENCYPART_ARC
(3,17),-1.1284 # DEPENDENCYPART_ARC
(4,1),-0.752855 # DEPENDENCYPART_ARC
(4,2),-0.984127 # DEPENDENCYPART_ARC
(4,3),-0.543517 # DEPENDENCYPART_ARC
(4,5),-0.298913 # DEPENDENCYPART_ARC
(4,6),-1.67651 # DEPENDENCYPART_ARC
(4,7),-1.52788 # DEPENDENCYPART_ARC
(4,8),-1.6688 # DEPENDENCYPART_ARC
(4,9),-2.03671 # DEPENDENCYPART_ARC
(4,10),-2.49757 # DEPENDENCYPART_ARC
(4,11),-1.3735 # DEPENDENCYPART_ARC
(4,12),-2.21461 # DEPENDENCYPART_ARC
(4,13),-1.72106 # DEPENDENCYPART_ARC
(4,14),-2.16038 # DEPENDENCYPART_ARC
(4,15),-2.23135 # DEPENDENCYPART_ARC
(4,16),-1.85052 # DEPENDENCYPART_ARC
(4,17),-1.98804 # DEPENDENCYPART_ARC
(5,1),-1.00907 # DEPENDENCYPART_ARC
(5,2),-1.02985 # DEPENDENCYPART_ARC
(5,3),0.726429 # DEPENDENCYPART_ARC
(5,4),-0.905675 # DEPENDENCYPART_ARC
(5,6),-1.21203 # DEPENDENCYPART_ARC
(5,7),-1.08941 # DEPENDENCYPART_ARC
(5,8),-0.868661 # DEPENDENCYPART_ARC
(5,9),-2.35836 # DEPENDENCYPART_ARC
(5,10),-2.01468 # DEPENDENCYPART_ARC
(5,11),-1.09129 # DEPENDENCYPART_ARC
(5,12),-2.32352 # DEPENDENCYPART_ARC
(5,13),-2.26568 # DEPENDENCYPART_ARC
(5,14),-2.76261 # DEPENDENCYPART_ARC
(5,15),-2.4461 # DEPENDENCYPART_ARC
(5,16),-1.38077 # DEPENDENCYPART_ARC
(5,17),-1.19416 # DEPENDENCYPART_ARC
(6,1),-0.928559 # DEPENDENCYPART_ARC
(6,2),-1.34081 # DEPENDENCYPART_ARC
(6,3),-0.0278076 # DEPENDENCYPART_ARC
(6,4),-1.98627 # DEPENDENCYPART_ARC
(6,5),-0.886006 # DEPENDENCYPART_ARC
(6,7),-0.429192 # DEPENDENCYPART_ARC
(6,8),-0.616417 # DEPENDENCYPART_ARC
(6,9),-2.97706 # DEPENDENCYPART_ARC
(6,10),-2.2238 # DEPENDENCYPART_ARC
(6,11),-0.803803 # DEPENDENCYPART_ARC
(6,12),-1.51748 # DEPENDENCYPART_ARC
(6,13),-2.66478 # DEPENDENCYPART_ARC
(6,14),-3.52854 # DEPENDENCYPART_ARC
(6,15),-2.55796 # DEPENDENCYPART_ARC
(6,16),-1.05301 # DEPENDENCYPART_ARC
(6,17),-0.988159 # DEPENDENCYPART_ARC
(7,1),-0.0943946 # DEPENDENCYPART_ARC
(7,2),-1.83034 # DEPENDENCYPART_ARC
(7,3),0.394006 # DEPENDENCYPART_ARC
(7,4),0.120988 # DEPENDENCYPART_ARC
(7,5),1.61385 # DEPENDENCYPART_ARC
(7,6),1.79998 # DEPENDENCYPART_ARC
(7,8),0.384931 # DEPENDENCYPART_ARC
(7,9),-0.0873226 # DEPENDENCYPART_ARC
(7,10),0.543612 # DEPENDENCYPART_ARC
(7,11),-1.12723 # DEPENDENCYPART_ARC
(7,12),-1.11661 # DEPENDENCYPART_ARC
(7,13),-0.716615 # DEPENDENCYPART_ARC
(7,14),-0.716744 # DEPENDENCYPART_ARC
(7,15),-0.0761042 # DEPENDENCYPART_ARC
(7,16),-0.965242 # DEPENDENCYPART_ARC
(7,17),-1.29203 # DEPENDENCYPART_ARC
(8,1),-0.601521 # DEPENDENCYPART_ARC
(8,2),-1.51262 # DEPENDENCYPART_ARC
(8,3),-0.460108 # DEPENDENCYPART_ARC
(8,4),-0.868529 # DEPENDENCYPART_ARC
(8,5),-0.6644 # DEPENDENCYPART_ARC
(8,6),-0.381956 # DEPENDENCYPART_ARC
(8,7),2.29079 # DEPENDENCYPART_ARC
(8,9),2.02133 # DEPENDENCYPART_ARC
(8,10),0.262955 # DEPENDENCYPART_ARC
(8,11),-0.0937248 # DEPENDENCYPART_ARC
(8,12),0.0481077 # DEPENDENCYPART_ARC
(8,13),0.453063 # DEPENDENCYPART_ARC
(8,14),-0.166128 # DEPENDENCYPART_ARC
(8,15),-0.596609 # DEPENDENCYPART_ARC
(8,16),-0.788643 # DEPENDENCYPART_ARC
(8,17),-0.744967 # DEPENDENCYPART_ARC
(9,1),-0.349103 # DEPENDENCYPART_ARC
(9,2),-2.21775 # DEPENDENCYPART_ARC
(9,3),-0.526862 # DEPENDENCYPART_ARC
(9,4),-0.552827 # DEPENDENCYPART_ARC
(9,5),0.584614 # DEPENDENCYPART_ARC
(9,6),-0.167906 # DEPENDENCYPART_ARC
(9,7),0.406312 # DEPENDENCYPART_ARC
(9,8),-0.0869002 # DEPENDENCYPART_ARC
(9,10),2.33494 # DEPENDENCYPART_ARC
(9,11),-0.433937 # DEPENDENCYPART_ARC
(9,12),-0.862916 # DEPENDENCYPART_ARC
(9,13),0.162893 # DEPENDENCYPART_ARC
(9,14),-0.439515 # DEPENDENCYPART_ARC
