# _root_ " garai benetan korapilatsu eta zailak bizitzen ari_gara , eta ezin_dugu horrela bizitzen jarraitu , elkarrekin bizitzen ikasi behar_dugu .
#goldHeads=0,7,4,5,2,5,8,10,8,0,10,13,14,11,14,17,18,19,10,19,
#predictedHeads=0,7,4,5,14,5,8,10,8,0,10,13,14,11,14,17,18,19,0,19,
(0,1),1.38705 # DEPENDENCYPART_ARC
(0,2),-0.777938 # DEPENDENCYPART_ARC
(0,3),-0.632463 # DEPENDENCYPART_ARC
(0,4),-0.884755 # DEPENDENCYPART_ARC
(0,5),-1.02481 # DEPENDENCYPART_ARC
(0,6),-1.39469 # DEPENDENCYPART_ARC
(0,7),-0.710771 # DEPENDENCYPART_ARC
(0,8),-0.287435 # DEPENDENCYPART_ARC
(0,9),-0.548671 # DEPENDENCYPART_ARC
(0,10),0.708499 # DEPENDENCYPART_ARC
(0,11),0.499425 # DEPENDENCYPART_ARC
(0,12),-0.22313 # DEPENDENCYPART_ARC
(0,13),-1.07219 # DEPENDENCYPART_ARC
(0,14),-0.795628 # DEPENDENCYPART_ARC
(0,15),-0.384974 # DEPENDENCYPART_ARC
(0,16),-0.483382 # DEPENDENCYPART_ARC
(0,17),-1.29663 # DEPENDENCYPART_ARC
(0,18),0.0993715 # DEPENDENCYPART_ARC
(0,19),0.180788 # DEPENDENCYPART_ARC
(0,20),-1.4776 # DEPENDENCYPART_ARC
(1,2),-1.89504 # DEPENDENCYPART_ARC
(1,3),-2.30509 # DEPENDENCYPART_ARC
(1,4),-1.98024 # DEPENDENCYPART_ARC
(1,5),-2.01538 # DEPENDENCYPART_ARC
(1,6),-2.03577 # DEPENDENCYPART_ARC
(1,7),-2.04667 # DEPENDENCYPART_ARC
(1,8),-2.12719 # DEPENDENCYPART_ARC
(1,9),-1.6498 # DEPENDENCYPART_ARC
(1,10),-2.15484 # DEPENDENCYPART_ARC
(1,11),-2.29442 # DEPENDENCYPART_ARC
(1,12),-2.58621 # DEPENDENCYPART_ARC
(1,13),-2.33775 # DEPENDENCYPART_ARC
(1,14),-2.48192 # DEPENDENCYPART_ARC
(1,15),-2.29936 # DEPENDENCYPART_ARC
(1,16),-2.5938 # DEPENDENCYPART_ARC
(1,17),-2.56893 # DEPENDENCYPART_ARC
(1,18),-2.43431 # DEPENDENCYPART_ARC
(1,19),-2.55623 # DEPENDENCYPART_ARC
(1,20),-2.69831 # DEPENDENCYPART_ARC
(2,1),-0.276429 # DEPENDENCYPART_ARC
(2,3),0.644167 # DEPENDENCYPART_ARC
(2,4),0.562324 # DEPENDENCYPART_ARC
(2,5),0.517732 # DEPENDENCYPART_ARC
(2,6),0.230055 # DEPENDENCYPART_ARC
(2,7),-0.551279 # DEPENDENCYPART_ARC
(2,8),-0.667465 # DEPENDENCYPART_ARC
(2,9),-0.756002 # DEPENDENCYPART_ARC
(2,10),-0.27169 # DEPENDENCYPART_ARC
(2,11),-0.972928 # DEPENDENCYPART_ARC
(2,12),-0.786564 # DEPENDENCYPART_ARC
(2,13),-0.759689 # DEPENDENCYPART_ARC
(2,14),-0.799541 # DEPENDENCYPART_ARC
(2,15),-1.38566 # DEPENDENCYPART_ARC
(2,16),-1.11128 # DEPENDENCYPART_ARC
(2,17),-1.05453 # DEPENDENCYPART_ARC
(2,18),-1.30305 # DEPENDENCYPART_ARC
(2,19),-1.48327 # DEPENDENCYPART_ARC
(2,20),-1.36811 # DEPENDENCYPART_ARC
(3,1),-1.1055 # DEPENDENCYPART_ARC
(3,2),-0.164579 # DEPENDENCYPART_ARC
(3,4),-0.105519 # DEPENDENCYPART_ARC
(3,5),-0.301806 # DEPENDENCYPART_ARC
(3,6),-1.17677 # DEPENDENCYPART_ARC
(3,7),-1.16432 # DEPENDENCYPART_ARC
