# _root_ agentzien_arabera , bi alderdi abertzaleek lan horretan dihardute egun hauetan , eta oraindik ez dute erabaki osoko zuzenketa aurkeztuko duten .
#goldHeads=12,1,4,8,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
#predictedHeads=8,1,4,6,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
(0,1),-0.835129 # DEPENDENCYPART_ARC
(0,2),-0.816962 # DEPENDENCYPART_ARC
(0,3),-1.07195 # DEPENDENCYPART_ARC
(0,4),-1.25485 # DEPENDENCYPART_ARC
(0,5),-1.64043 # DEPENDENCYPART_ARC
(0,6),-1.69926 # DEPENDENCYPART_ARC
(0,7),-1.36005 # DEPENDENCYPART_ARC
(0,8),0.288604 # DEPENDENCYPART_ARC
(0,9),-1.93813 # DEPENDENCYPART_ARC
(0,10),-1.57365 # DEPENDENCYPART_ARC
(0,11),-0.553823 # DEPENDENCYPART_ARC
(0,12),0.91384 # DEPENDENCYPART_ARC
(0,13),-0.731479 # DEPENDENCYPART_ARC
(0,14),-0.784147 # DEPENDENCYPART_ARC
(0,15),-1.00597 # DEPENDENCYPART_ARC
(0,16),-0.486481 # DEPENDENCYPART_ARC
(0,17),-1.22036 # DEPENDENCYPART_ARC
(0,18),-2.66001 # DEPENDENCYPART_ARC
(0,19),-0.645154 # DEPENDENCYPART_ARC
(0,20),-1.35042 # DEPENDENCYPART_ARC
(0,21),-2.37544 # DEPENDENCYPART_ARC
(1,2),0.164303 # DEPENDENCYPART_ARC
(1,3),-1.57578 # DEPENDENCYPART_ARC
(1,4),-0.819681 # DEPENDENCYPART_ARC
(1,5),-1.85916 # DEPENDENCYPART_ARC
(1,6),-1.45458 # DEPENDENCYPART_ARC
(1,7),-1.43952 # DEPENDENCYPART_ARC
(1,8),-1.72833 # DEPENDENCYPART_ARC
(1,9),-1.92226 # DEPENDENCYPART_ARC
(1,10),-1.45334 # DEPENDENCYPART_ARC
(1,11),-1.67059 # DEPENDENCYPART_ARC
(1,12),-1.96431 # DEPENDENCYPART_ARC
(1,13),-1.07688 # DEPENDENCYPART_ARC
(1,14),-2.45677 # DEPENDENCYPART_ARC
(1,15),-3.04099 # DEPENDENCYPART_ARC
(1,16),-3.03123 # DEPENDENCYPART_ARC
(1,17),-3.95119 # DEPENDENCYPART_ARC
(1,18),-2.42981 # DEPENDENCYPART_ARC
(1,19),-2.71307 # DEPENDENCYPART_ARC
(1,20),-2.95522 # DEPENDENCYPART_ARC
(1,21),-1.554 # DEPENDENCYPART_ARC
(2,1),-0.315197 # DEPENDENCYPART_ARC
(2,3),-0.500737 # DEPENDENCYPART_ARC
(2,4),-0.796477 # DEPENDENCYPART_ARC
(2,5),-0.88425 # DEPENDENCYPART_ARC
(2,6),-0.796443 # DEPENDENCYPART_ARC
(2,7),-1.28694 # DEPENDENCYPART_ARC
(2,8),-0.284128 # DEPENDENCYPART_ARC
(2,9),-0.920047 # DEPENDENCYPART_ARC
(2,10),-1.36313 # DEPENDENCYPART_ARC
(2,11),-1.00269 # DEPENDENCYPART_ARC
(2,12),-1.1069 # DEPENDENCYPART_ARC
(2,13),-1.51174 # DEPENDENCYPART_ARC
(2,14),-1.52589 # DEPENDENCYPART_ARC
(2,15),-1.21741 # DEPENDENCYPART_ARC
(2,16),-1.37643 # DEPENDENCYPART_ARC
(2,17),-1.30495 # DEPENDENCYPART_ARC
(2,18),-1.43315 # DEPENDENCYPART_ARC
(2,19),-1.24618 # DEPENDENCYPART_ARC
(2,20),-1.04478 # DEPENDENCYPART_ARC
(2,21),-1.5094 # DEPENDENCYPART_ARC
(3,1),-0.795966 # DEPENDENCYPART_ARC
(3,2),-0.327161 # DEPENDENCYPART_ARC
(3,4),-0.208908 # DEPENDENCYPART_ARC
(3,5),-0.792512 # DEPENDENCYPART_ARC
(3,6),-1.19715 # DEPENDENCYPART_ARC
(3,7),-0.727793 # DEPENDENCYPART_ARC
(3,8),-0.703176 # DEPENDENCYPART_ARC
(3,9),-1.50652 # DEPENDENCYPART_ARC
(3,10),-0.889054 # DEPENDENCYPART_ARC
(3,11),-0.500996 # DEPENDENCYPART_ARC
(3,12),-0.917426 # DEPENDENCYPART_ARC
(3,13),-0.921573 # DEPENDENCYPART_ARC
(3,14),-0.868162 # DEPENDENCYPART_ARC
(3,15),-1.38039 # DEPENDENCYPART_ARC
(3,16),-1.4877 # DEPENDENCYPART_ARC
(3,17),-1.57312 # DEPENDENCYPART_ARC
(3,18),-1.37285 # DEPENDENCYPART_ARC
(3,19),-1.34823 # DEPENDENCYPART_ARC
(3,20),-1.50741 # DEPENDENCYPART_ARC
(3,21),-1.21996 # DEPENDENCYPART_ARC
(4,1),-0.212942 # DEPENDENCYPART_ARC
(4,2),-0.768767 # DEPENDENCYPART_ARC
(4,3),1.56367 # DEPENDENCYPART_ARC
(4,5),2.76153 # DEPENDENCYPART_ARC
(4,6),0.00369767 # DEPENDENCYPART_ARC
(4,7),0.539746 # DEPENDENCYPART_ARC
(4,8),-0.496314 # DEPENDENCYPART_ARC
(4,9),-0.650197 # DEPENDENCYPART_ARC
(4,10),-0.184003 # DEPENDENCYPART_ARC
(4,11),-0.712313 # DEPENDENCYPART_ARC
(4,12),-0.635842 # DEPENDENCYPART_ARC
(4,13),-0.549694 # DEPENDENCYPART_ARC
(4,14),-0.796149 # DEPENDENCYPART_ARC
(4,15),-1.07771 # DEPENDENCYPART_ARC
(4,16),-0.883767 # DEPENDENCYPART_ARC
(4,17),-0.989809 # DEPENDENCYPART_ARC
(4,18),-1.20602 # DEPENDENCYPART_ARC
(4,19),-1.21729 # DEPENDENCYPART_ARC
(4,20),-1.36845 # DEPENDENCYPART_ARC
(4,21),-0.808092 # DEPENDENCYPART_ARC
(5,1),-1.10165 # DEPENDENCYPART_ARC
(5,2),-1.01126 # DEPENDENCYPART_ARC
