# _root_ auto karabanak unanu , lizarraga-ergoiena eta dorrao igaro zituen , arbizura sartu aurretik .
#goldHeads=2,8,6,3,6,8,6,0,8,9,12,8,12,13,
#predictedHeads=2,8,6,3,6,8,6,0,8,9,12,8,12,13,
(0,1),-0.213768 # DEPENDENCYPART_ARC
(0,2),-0.839684 # DEPENDENCYPART_ARC
(0,3),-0.969048 # DEPENDENCYPART_ARC
(0,4),-0.976114 # DEPENDENCYPART_ARC
(0,5),-0.784313 # DEPENDENCYPART_ARC
(0,6),-0.959673 # DEPENDENCYPART_ARC
(0,7),-0.760264 # DEPENDENCYPART_ARC
(0,8),-0.0416027 # DEPENDENCYPART_ARC
(0,9),-1.50649 # DEPENDENCYPART_ARC
(0,10),-1.03047 # DEPENDENCYPART_ARC
(0,11),-1.0973 # DEPENDENCYPART_ARC
(0,12),-1.27317 # DEPENDENCYPART_ARC
(0,13),-1.80636 # DEPENDENCYPART_ARC
(0,14),-2.26643 # DEPENDENCYPART_ARC
(1,2),1.18853 # DEPENDENCYPART_ARC
(1,3),-0.218917 # DEPENDENCYPART_ARC
(1,4),-1.63822 # DEPENDENCYPART_ARC
(1,5),-0.994103 # DEPENDENCYPART_ARC
(1,6),-0.744468 # DEPENDENCYPART_ARC
(1,7),-0.945553 # DEPENDENCYPART_ARC
(1,8),-1.23092 # DEPENDENCYPART_ARC
(1,9),-1.79762 # DEPENDENCYPART_ARC
(1,10),-2.04038 # DEPENDENCYPART_ARC
(1,11),-0.977446 # DEPENDENCYPART_ARC
(1,12),-1.00026 # DEPENDENCYPART_ARC
(1,13),-1.31034 # DEPENDENCYPART_ARC
(1,14),-1.7561 # DEPENDENCYPART_ARC
(2,1),2.09088 # DEPENDENCYPART_ARC
(2,3),-0.369316 # DEPENDENCYPART_ARC
(2,4),-0.253071 # DEPENDENCYPART_ARC
(2,5),-1.62781 # DEPENDENCYPART_ARC
(2,6),-1.44557 # DEPENDENCYPART_ARC
(2,7),-2.46973 # DEPENDENCYPART_ARC
(2,8),-2.67273 # DEPENDENCYPART_ARC
(2,9),-2.47122 # DEPENDENCYPART_ARC
(2,10),-1.59939 # DEPENDENCYPART_ARC
(2,11),-2.47141 # DEPENDENCYPART_ARC
(2,12),-1.99708 # DEPENDENCYPART_ARC
(2,13),-3.01104 # DEPENDENCYPART_ARC
(2,14),-1.14383 # DEPENDENCYPART_ARC
(3,1),0.100801 # DEPENDENCYPART_ARC
(3,2),-0.370085 # DEPENDENCYPART_ARC
(3,4),1.94647 # DEPENDENCYPART_ARC
(3,5),0.634473 # DEPENDENCYPART_ARC
(3,6),-0.459538 # DEPENDENCYPART_ARC
(3,7),-0.180827 # DEPENDENCYPART_ARC
(3,8),-0.994469 # DEPENDENCYPART_ARC
(3,9),-1.32754 # DEPENDENCYPART_ARC
(3,10),-0.622873 # DEPENDENCYPART_ARC
(3,11),-0.427511 # DEPENDENCYPART_ARC
(3,12),-0.766745 # DEPENDENCYPART_ARC
(3,13),-1.53776 # DEPENDENCYPART_ARC
(3,14),-0.062589 # DEPENDENCYPART_ARC
(4,1),-0.544045 # DEPENDENCYPART_ARC
(4,2),-0.453515 # DEPENDENCYPART_ARC
(4,3),-0.278133 # DEPENDENCYPART_ARC
(4,5),-0.37379 # DEPENDENCYPART_ARC
(4,6),-1.13382 # DEPENDENCYPART_ARC
(4,7),-0.804206 # DEPENDENCYPART_ARC
(4,8),-0.693762 # DEPENDENCYPART_ARC
(4,9),-0.732156 # DEPENDENCYPART_ARC
(4,10),-0.711945 # DEPENDENCYPART_ARC
(4,11),-1.57371 # DEPENDENCYPART_ARC
(4,12),-1.09078 # DEPENDENCYPART_ARC
(4,13),-1.36475 # DEPENDENCYPART_ARC
(4,14),-1.03029 # DEPENDENCYPART_ARC
(5,1),-1.9235 # DEPENDENCYPART_ARC
(5,2),-2.9908 # DEPENDENCYPART_ARC
(5,3),-1.88978 # DEPENDENCYPART_ARC
(5,4),-0.000576111 # DEPENDENCYPART_ARC
(5,6),0.00389915 # DEPENDENCYPART_ARC
(5,7),0.166103 # DEPENDENCYPART_ARC
(5,8),-1.35207 # DEPENDENCYPART_ARC
(5,9),-1.49685 # DEPENDENCYPART_ARC
(5,10),-1.15228 # DEPENDENCYPART_ARC
(5,11),-0.473723 # DEPENDENCYPART_ARC
(5,12),-1.20564 # DEPENDENCYPART_ARC
(5,13),-1.3796 # DEPENDENCYPART_ARC
(5,14),-0.809753 # DEPENDENCYPART_ARC
(6,1),0.156113 # DEPENDENCYPART_ARC
(6,2),0.0692794 # DEPENDENCYPART_ARC
(6,3),1.34279 # DEPENDENCYPART_ARC
(6,4),-1.01459 # DEPENDENCYPART_ARC
(6,5),2.91161 # DEPENDENCYPART_ARC
(6,7),3.13363 # DEPENDENCYPART_ARC
