# _root_ bestalde , urretxun ehrekiko ituna hautsi bazuen , zergatik udalbiltzan ez duen gauza bera proposatu galdetu zion .
#goldHeads=0,3,6,5,6,15,6,7,15,15,15,15,15,13,16,0,16,17,
#predictedHeads=0,3,6,5,6,16,6,7,16,15,15,15,15,13,16,0,16,17,
(0,1),1.56601 # DEPENDENCYPART_ARC
(0,2),-1.15927 # DEPENDENCYPART_ARC
(0,3),-0.792005 # DEPENDENCYPART_ARC
(0,4),-0.401508 # DEPENDENCYPART_ARC
(0,5),-0.529507 # DEPENDENCYPART_ARC
(0,6),-0.264948 # DEPENDENCYPART_ARC
(0,7),-0.99627 # DEPENDENCYPART_ARC
(0,8),-1.05453 # DEPENDENCYPART_ARC
(0,9),-1.15963 # DEPENDENCYPART_ARC
(0,10),-1.33421 # DEPENDENCYPART_ARC
(0,11),-1.47956 # DEPENDENCYPART_ARC
(0,12),-0.545894 # DEPENDENCYPART_ARC
(0,13),-1.8379 # DEPENDENCYPART_ARC
(0,15),-1.83148 # DEPENDENCYPART_ARC
(0,16),0.173706 # DEPENDENCYPART_ARC
(0,17),-1.06245 # DEPENDENCYPART_ARC
(0,18),-2.34248 # DEPENDENCYPART_ARC
(1,2),-0.922794 # DEPENDENCYPART_ARC
(1,5),-2.43945 # DEPENDENCYPART_ARC
(1,6),-2.9918 # DEPENDENCYPART_ARC
(1,8),-3.20098 # DEPENDENCYPART_ARC
(1,11),-3.13973 # DEPENDENCYPART_ARC
(1,13),-4.27087 # DEPENDENCYPART_ARC
(1,15),-3.84832 # DEPENDENCYPART_ARC
(1,16),-4.0812 # DEPENDENCYPART_ARC
(1,18),-3.42841 # DEPENDENCYPART_ARC
(2,5),-1.44376 # DEPENDENCYPART_ARC
(2,6),-1.68389 # DEPENDENCYPART_ARC
(2,7),-1.34093 # DEPENDENCYPART_ARC
(2,12),-1.717 # DEPENDENCYPART_ARC
(2,13),-2.2834 # DEPENDENCYPART_ARC
(2,15),-2.45615 # DEPENDENCYPART_ARC
(2,16),-2.37931 # DEPENDENCYPART_ARC
(2,17),-1.58288 # DEPENDENCYPART_ARC
(3,2),-0.278441 # DEPENDENCYPART_ARC
(3,4),0.327129 # DEPENDENCYPART_ARC
(3,5),-1.1454 # DEPENDENCYPART_ARC
(3,6),-3.12784 # DEPENDENCYPART_ARC
