# _root_ esteban olaizola_gipuzkoako_kofradien_federazioko lehendakariaren ustez , " itsasontzi zaharrak dira , baina teknologia puntakoa dute " , esan du .
#goldHeads=9,1,1,3,4,5,9,7,11,9,17,14,12,11,14,15,0,17,18,
#predictedHeads=2,3,4,9,4,5,9,7,11,9,0,14,14,11,14,15,0,17,18,
(0,1),-0.378335 # DEPENDENCYPART_ARC
(0,2),-0.770426 # DEPENDENCYPART_ARC
(0,3),-0.836964 # DEPENDENCYPART_ARC
(0,4),-0.920978 # DEPENDENCYPART_ARC
(0,5),-1.07529 # DEPENDENCYPART_ARC
(0,6),-0.707716 # DEPENDENCYPART_ARC
(0,7),-0.900803 # DEPENDENCYPART_ARC
(0,8),-1.2664 # DEPENDENCYPART_ARC
(0,9),0.647266 # DEPENDENCYPART_ARC
(0,10),-0.983525 # DEPENDENCYPART_ARC
(0,11),1.459 # DEPENDENCYPART_ARC
(0,12),-0.834572 # DEPENDENCYPART_ARC
(0,13),-1.77715 # DEPENDENCYPART_ARC
(0,14),0.597841 # DEPENDENCYPART_ARC
(0,15),-1.71485 # DEPENDENCYPART_ARC
(0,16),-0.422815 # DEPENDENCYPART_ARC
(0,17),1.56368 # DEPENDENCYPART_ARC
(0,18),-0.804897 # DEPENDENCYPART_ARC
(0,19),-1.31764 # DEPENDENCYPART_ARC
(1,2),2.29642 # DEPENDENCYPART_ARC
(1,3),0.56684 # DEPENDENCYPART_ARC
(1,4),-0.405282 # DEPENDENCYPART_ARC
(1,5),-1.54566 # DEPENDENCYPART_ARC
(1,6),-1.66758 # DEPENDENCYPART_ARC
(1,7),-1.3723 # DEPENDENCYPART_ARC
(1,8),-2.55274 # DEPENDENCYPART_ARC
(1,9),-1.40589 # DEPENDENCYPART_ARC
(1,10),-2.00321 # DEPENDENCYPART_ARC
(1,12),-1.18564 # DEPENDENCYPART_ARC
(1,13),-2.97217 # DEPENDENCYPART_ARC
(1,14),-1.60083 # DEPENDENCYPART_ARC
(1,15),-2.11428 # DEPENDENCYPART_ARC
(1,16),-2.18234 # DEPENDENCYPART_ARC
(1,17),-1.6629 # DEPENDENCYPART_ARC
(1,19),-1.86467 # DEPENDENCYPART_ARC
(2,1),0.653672 # DEPENDENCYPART_ARC
