# _root_ horren berri zuzena eta zehatza izateko asmoak bultzatuta , karrantzako_udaleko ordezkaritza bat langraizko kartzelan fernando_diezekin biltzen ahaleginduko da , eta horretarako egin dute eskaera .
#goldHeads=2,6,4,2,4,7,8,20,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
#predictedHeads=2,6,4,2,4,7,8,17,8,11,17,11,14,16,16,17,20,17,18,0,22,20,22,22,24,
(0,1),-0.507875 # DEPENDENCYPART_ARC
(0,2),-0.96039 # DEPENDENCYPART_ARC
(0,3),-1.13311 # DEPENDENCYPART_ARC
(0,4),-1.06622 # DEPENDENCYPART_ARC
(0,5),-1.3359 # DEPENDENCYPART_ARC
(0,6),-0.753002 # DEPENDENCYPART_ARC
(0,7),-1.57106 # DEPENDENCYPART_ARC
(0,8),-0.644418 # DEPENDENCYPART_ARC
(0,9),-0.319382 # DEPENDENCYPART_ARC
(0,10),-1.45522 # DEPENDENCYPART_ARC
(0,11),-1.40044 # DEPENDENCYPART_ARC
(0,12),-1.54678 # DEPENDENCYPART_ARC
(0,13),-2.11612 # DEPENDENCYPART_ARC
(0,14),-1.51836 # DEPENDENCYPART_ARC
(0,15),-1.91132 # DEPENDENCYPART_ARC
(0,16),-0.821884 # DEPENDENCYPART_ARC
(0,17),-0.196137 # DEPENDENCYPART_ARC
(0,18),-1.70443 # DEPENDENCYPART_ARC
(0,19),-0.843111 # DEPENDENCYPART_ARC
(0,20),0.686452 # DEPENDENCYPART_ARC
(0,21),-2.22508 # DEPENDENCYPART_ARC
(0,22),-1.69612 # DEPENDENCYPART_ARC
(0,23),-1.07725 # DEPENDENCYPART_ARC
(0,24),-2.51915 # DEPENDENCYPART_ARC
(0,25),-3.16387 # DEPENDENCYPART_ARC
(1,2),-1.28408 # DEPENDENCYPART_ARC
(1,4),-1.80935 # DEPENDENCYPART_ARC
(1,6),-1.99427 # DEPENDENCYPART_ARC
(1,7),-1.95814 # DEPENDENCYPART_ARC
