# _root_ cgtko jean_marc_philipo idazkariak , aldiz , begi_onez hartu zituen zerga murrizkeak .
#goldHeads=3,3,8,3,0,5,8,0,8,11,0,11,
#predictedHeads=3,3,8,3,0,5,8,0,8,11,8,11,
(0,1),-0.434487 # DEPENDENCYPART_ARC
(0,2),-0.699311 # DEPENDENCYPART_ARC
(0,3),-1.23838 # DEPENDENCYPART_ARC
(0,4),-1.07253 # DEPENDENCYPART_ARC
(0,5),2.01805 # DEPENDENCYPART_ARC
(0,6),-1.02835 # DEPENDENCYPART_ARC
(0,7),-0.730809 # DEPENDENCYPART_ARC
(0,8),0.0976292 # DEPENDENCYPART_ARC
(0,9),-1.34425 # DEPENDENCYPART_ARC
(0,10),-1.62373 # DEPENDENCYPART_ARC
(0,11),-1.32645 # DEPENDENCYPART_ARC
(0,12),-1.41157 # DEPENDENCYPART_ARC
(1,2),-1.97474 # DEPENDENCYPART_ARC
(1,3),-1.5338 # DEPENDENCYPART_ARC
(1,4),-2.34948 # DEPENDENCYPART_ARC
(1,6),-2.3976 # DEPENDENCYPART_ARC
(1,7),-2.6835 # DEPENDENCYPART_ARC
(1,8),-3.84799 # DEPENDENCYPART_ARC
(1,10),-1.64955 # DEPENDENCYPART_ARC
(1,11),-3.43427 # DEPENDENCYPART_ARC
(1,12),-2.3268 # DEPENDENCYPART_ARC
(2,1),1.24496 # DEPENDENCYPART_ARC
(2,3),0.274605 # DEPENDENCYPART_ARC
(2,4),-0.00490319 # DEPENDENCYPART_ARC
(2,6),-0.988199 # DEPENDENCYPART_ARC
(2,7),-1.75427 # DEPENDENCYPART_ARC
(2,8),-2.72776 # DEPENDENCYPART_ARC
(2,10),-0.840463 # DEPENDENCYPART_ARC
(2,11),-1.98821 # DEPENDENCYPART_ARC
(2,12),-1.16964 # DEPENDENCYPART_ARC
(3,1),1.82295 # DEPENDENCYPART_ARC
(3,2),2.73576 # DEPENDENCYPART_ARC
(3,4),1.62884 # DEPENDENCYPART_ARC
(3,5),-0.157535 # DEPENDENCYPART_ARC
(3,6),-0.564397 # DEPENDENCYPART_ARC
(3,7),-1.63351 # DEPENDENCYPART_ARC
(3,8),-1.82295 # DEPENDENCYPART_ARC
(3,9),-2.13436 # DEPENDENCYPART_ARC
(3,10),-0.721266 # DEPENDENCYPART_ARC
(3,11),-1.98407 # DEPENDENCYPART_ARC
(3,12),-1.02275 # DEPENDENCYPART_ARC
(4,3),-0.685223 # DEPENDENCYPART_ARC
(4,8),-0.922744 # DEPENDENCYPART_ARC
(4,9),-1.06793 # DEPENDENCYPART_ARC
(4,10),-1.30112 # DEPENDENCYPART_ARC
(4,11),-1.25604 # DEPENDENCYPART_ARC
