# _root_ jarritako helburuetan lan_egiteko , hamabost kidek osatutako batzorde iraunkorra izendatu zen , eta horiek bost lan batzordetan lan_egin dute ordutik_hona .
#goldHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,16,17,18,16,13,18,18,20,
#predictedHeads=2,3,10,3,6,7,8,10,8,13,10,11,0,18,17,17,18,13,18,18,20,
(0,1),-0.357822 # DEPENDENCYPART_ARC
(0,2),-1.09019 # DEPENDENCYPART_ARC
(0,3),-0.437167 # DEPENDENCYPART_ARC
(0,4),-0.342004 # DEPENDENCYPART_ARC
(0,5),-1.21646 # DEPENDENCYPART_ARC
(0,6),-1.01464 # DEPENDENCYPART_ARC
(0,7),-0.789072 # DEPENDENCYPART_ARC
(0,8),-1.31597 # DEPENDENCYPART_ARC
(0,9),-1.38485 # DEPENDENCYPART_ARC
(0,10),0.0733062 # DEPENDENCYPART_ARC
(0,11),-0.343621 # DEPENDENCYPART_ARC
(0,12),-0.312894 # DEPENDENCYPART_ARC
(0,13),0.963746 # DEPENDENCYPART_ARC
(0,14),-1.77604 # DEPENDENCYPART_ARC
(0,15),-1.31672 # DEPENDENCYPART_ARC
(0,16),-1.64643 # DEPENDENCYPART_ARC
(0,17),-1.71558 # DEPENDENCYPART_ARC
(0,18),0.961057 # DEPENDENCYPART_ARC
(0,19),-0.521065 # DEPENDENCYPART_ARC
(0,20),-0.824624 # DEPENDENCYPART_ARC
(0,21),-2.69088 # DEPENDENCYPART_ARC
(1,2),-0.695204 # DEPENDENCYPART_ARC
(1,3),-0.721018 # DEPENDENCYPART_ARC
(1,4),-0.682382 # DEPENDENCYPART_ARC
(1,5),-1.71637 # DEPENDENCYPART_ARC
(1,6),-1.22453 # DEPENDENCYPART_ARC
(1,7),-1.59747 # DEPENDENCYPART_ARC
(1,8),-1.78556 # DEPENDENCYPART_ARC
(1,9),-2.43319 # DEPENDENCYPART_ARC
(1,10),-1.42628 # DEPENDENCYPART_ARC
(1,11),-1.24643 # DEPENDENCYPART_ARC
(1,12),-1.25209 # DEPENDENCYPART_ARC
(1,13),-0.905545 # DEPENDENCYPART_ARC
(1,14),-2.79134 # DEPENDENCYPART_ARC
(1,15),-2.5718 # DEPENDENCYPART_ARC
(1,16),-2.09822 # DEPENDENCYPART_ARC
(1,17),-2.21803 # DEPENDENCYPART_ARC
(1,18),-2.83566 # DEPENDENCYPART_ARC
(1,19),-1.7245 # DEPENDENCYPART_ARC
(1,20),-1.88324 # DEPENDENCYPART_ARC
(1,21),-1.84819 # DEPENDENCYPART_ARC
(2,1),2.63343 # DEPENDENCYPART_ARC
(2,3),-1.98588 # DEPENDENCYPART_ARC
(2,4),-0.775085 # DEPENDENCYPART_ARC
(2,5),-2.59977 # DEPENDENCYPART_ARC
(2,6),-1.58437 # DEPENDENCYPART_ARC
(2,7),-1.87385 # DEPENDENCYPART_ARC
(2,8),-2.16615 # DEPENDENCYPART_ARC
(2,9),-2.99707 # DEPENDENCYPART_ARC
(2,10),-3.49455 # DEPENDENCYPART_ARC
(2,11),-2.2666 # DEPENDENCYPART_ARC
(2,12),-1.83676 # DEPENDENCYPART_ARC
(2,13),-1.72795 # DEPENDENCYPART_ARC
(2,14),-2.6181 # DEPENDENCYPART_ARC
(2,15),-3.86475 # DEPENDENCYPART_ARC
(2,16),-2.56928 # DEPENDENCYPART_ARC
(2,17),-1.73466 # DEPENDENCYPART_ARC
(2,18),-3.48019 # DEPENDENCYPART_ARC
(2,19),-3.09582 # DEPENDENCYPART_ARC
(2,20),-1.98567 # DEPENDENCYPART_ARC
(2,21),-1.87643 # DEPENDENCYPART_ARC
(3,1),0.462232 # DEPENDENCYPART_ARC
(3,2),2.80718 # DEPENDENCYPART_ARC
(3,4),1.41903 # DEPENDENCYPART_ARC
(3,5),-1.11226 # DEPENDENCYPART_ARC
(3,6),0.855209 # DEPENDENCYPART_ARC
(3,7),-1.79315 # DEPENDENCYPART_ARC
(3,8),-1.04115 # DEPENDENCYPART_ARC
(3,9),-3.77915 # DEPENDENCYPART_ARC
(3,10),-2.38405 # DEPENDENCYPART_ARC
(3,11),-2.0286 # DEPENDENCYPART_ARC
(3,12),-0.833862 # DEPENDENCYPART_ARC
(3,13),-0.892246 # DEPENDENCYPART_ARC
(3,14),-2.5283 # DEPENDENCYPART_ARC
(3,15),-2.52534 # DEPENDENCYPART_ARC
(3,16),-2.45003 # DEPENDENCYPART_ARC
(3,17),-0.733647 # DEPENDENCYPART_ARC
(3,18),-3.03074 # DEPENDENCYPART_ARC
(3,19),-2.73292 # DEPENDENCYPART_ARC
(3,20),-1.52044 # DEPENDENCYPART_ARC
(3,21),-1.38125 # DEPENDENCYPART_ARC
(4,1),-0.1934 # DEPENDENCYPART_ARC
(4,2),-0.279605 # DEPENDENCYPART_ARC
(4,3),0.217045 # DEPENDENCYPART_ARC
(4,5),-0.173362 # DEPENDENCYPART_ARC
(4,6),-0.73944 # DEPENDENCYPART_ARC
(4,7),-0.389908 # DEPENDENCYPART_ARC
(4,8),-1.07727 # DEPENDENCYPART_ARC
(4,9),-0.902123 # DEPENDENCYPART_ARC
(4,10),-0.823054 # DEPENDENCYPART_ARC
(4,11),-0.879057 # DEPENDENCYPART_ARC
(4,13),-1.09129 # DEPENDENCYPART_ARC
(4,15),-1.41119 # DEPENDENCYPART_ARC
(4,16),-1.56113 # DEPENDENCYPART_ARC
(4,17),-1.73838 # DEPENDENCYPART_ARC
(4,18),-1.22322 # DEPENDENCYPART_ARC
(4,19),-1.1351 # DEPENDENCYPART_ARC
(5,1),-1.39415 # DEPENDENCYPART_ARC
(5,2),-1.29449 # DEPENDENCYPART_ARC
(5,4),-0.0288686 # DEPENDENCYPART_ARC
(5,6),0.287025 # DEPENDENCYPART_ARC
(5,7),-0.779049 # DEPENDENCYPART_ARC
(5,8),-1.20196 # DEPENDENCYPART_ARC
(5,10),-1.08757 # DEPENDENCYPART_ARC
(5,12),-0.681345 # DEPENDENCYPART_ARC
(5,13),-0.814535 # DEPENDENCYPART_ARC
(5,14),-1.22327 # DEPENDENCYPART_ARC
(5,15),-0.886173 # DEPENDENCYPART_ARC
(5,16),-1.57372 # DEPENDENCYPART_ARC
(5,17),-1.51276 # DEPENDENCYPART_ARC
(5,20),-0.992854 # DEPENDENCYPART_ARC
(5,21),-1.27558 # DEPENDENCYPART_ARC
(6,1),-0.896848 # DEPENDENCYPART_ARC
(6,2),-0.455579 # DEPENDENCYPART_ARC
(6,3),-2.51474 # DEPENDENCYPART_ARC
(6,4),-0.536901 # DEPENDENCYPART_ARC
(6,5),1.9191 # DEPENDENCYPART_ARC
(6,7),0.259523 # DEPENDENCYPART_ARC
(6,8),-0.78898 # DEPENDENCYPART_ARC
(6,9),-1.2208 # DEPENDENCYPART_ARC
(6,10),-1.89973 # DEPENDENCYPART_ARC
(6,11),-1.04987 # DEPENDENCYPART_ARC
(6,12),-1.12041 # DEPENDENCYPART_ARC
(6,13),-0.990671 # DEPENDENCYPART_ARC
(6,14),-1.94553 # DEPENDENCYPART_ARC
(6,15),-2.33714 # DEPENDENCYPART_ARC
(6,16),-1.70843 # DEPENDENCYPART_ARC
(6,17),-1.73841 # DEPENDENCYPART_ARC
(6,18),-1.88682 # DEPENDENCYPART_ARC
(6,19),-1.94326 # DEPENDENCYPART_ARC
(6,20),-1.57587 # DEPENDENCYPART_ARC
(6,21),-1.20826 # DEPENDENCYPART_ARC
(7,1),-1.34638 # DEPENDENCYPART_ARC
(7,2),0.0644958 # DEPENDENCYPART_ARC
(7,3),-0.276022 # DEPENDENCYPART_ARC
(7,4),-1.27966 # DEPENDENCYPART_ARC
(7,5),0.0854088 # DEPENDENCYPART_ARC
(7,6),1.82311 # DEPENDENCYPART_ARC
(7,8),-0.226905 # DEPENDENCYPART_ARC
(7,9),-1.35084 # DEPENDENCYPART_ARC
(7,10),-1.03448 # DEPENDENCYPART_ARC
(7,11),-0.739419 # DEPENDENCYPART_ARC
(7,12),-1.29819 # DEPENDENCYPART_ARC
(7,13),-0.856726 # DEPENDENCYPART_ARC
(7,14),-2.3316 # DEPENDENCYPART_ARC
(7,15),-2.3061 # DEPENDENCYPART_ARC
(7,16),-2.30678 # DEPENDENCYPART_ARC
(7,17),-2.11191 # DEPENDENCYPART_ARC
(7,18),-2.63006 # DEPENDENCYPART_ARC
(7,19),-1.39372 # DEPENDENCYPART_ARC
(7,20),-1.61874 # DEPENDENCYPART_ARC
(7,21),-1.69234 # DEPENDENCYPART_ARC
(8,1),-0.930162 # DEPENDENCYPART_ARC
(8,2),-1.91409 # DEPENDENCYPART_ARC
(8,3),-2.14387 # DEPENDENCYPART_ARC
(8,4),-1.32254 # DEPENDENCYPART_ARC
(8,5),-0.335924 # DEPENDENCYPART_ARC
(8,6),-0.225553 # DEPENDENCYPART_ARC
(8,7),1.58737 # DEPENDENCYPART_ARC
(8,9),2.84924 # DEPENDENCYPART_ARC
(8,10),-0.658915 # DEPENDENCYPART_ARC
(8,11),-0.819488 # DEPENDENCYPART_ARC
(8,12),-0.64691 # DEPENDENCYPART_ARC
(8,13),-0.418577 # DEPENDENCYPART_ARC
(8,14),-0.317047 # DEPENDENCYPART_ARC
(8,15),-1.15468 # DEPENDENCYPART_ARC
(8,16),-1.14303 # DEPENDENCYPART_ARC
(8,17),-0.476835 # DEPENDENCYPART_ARC
(8,18),-1.07661 # DEPENDENCYPART_ARC
(8,19),-1.45881 # DEPENDENCYPART_ARC
(8,20),-0.774648 # DEPENDENCYPART_ARC
(8,21),-1.01522 # DEPENDENCYPART_ARC
(9,1),-1.28259 # DEPENDENCYPART_ARC
(9,2),-1.64366 # DEPENDENCYPART_ARC
(9,3),-2.92458 # DEPENDENCYPART_ARC
(9,4),-1.44385 # DEPENDENCYPART_ARC
(9,5),-0.772591 # DEPENDENCYPART_ARC
(9,6),-1.35195 # DEPENDENCYPART_ARC
(9,7),-0.0908895 # DEPENDENCYPART_ARC
(9,8),0.075802 # DEPENDENCYPART_ARC
(9,10),-1.26467 # DEPENDENCYPART_ARC
(9,11),-1.01188 # DEPENDENCYPART_ARC
(9,12),-0.526563 # DEPENDENCYPART_ARC
(9,13),-1.13969 # DEPENDENCYPART_ARC
(9,14),-2.20267 # DEPENDENCYPART_ARC
(9,15),-1.55945 # DEPENDENCYPART_ARC
(9,16),-1.72392 # DEPENDENCYPART_ARC
(9,17),-2.22838 # DEPENDENCYPART_ARC
(9,18),-2.06287 # DEPENDENCYPART_ARC
(9,19),-1.69691 # DEPENDENCYPART_ARC
(9,20),-1.47329 # DEPENDENCYPART_ARC
(9,21),-1.04234 # DEPENDENCYPART_ARC
(10,1),-0.608323 # DEPENDENCYPART_ARC
(10,2),0.712041 # DEPENDENCYPART_ARC
(10,3),-0.0901556 # DEPENDENCYPART_ARC
(10,4),-0.891517 # DEPENDENCYPART_ARC
(10,5),0.135092 # DEPENDENCYPART_ARC
(10,6),0.974536 # DEPENDENCYPART_ARC
(10,7),0.144075 # DEPENDENCYPART_ARC
(10,8),1.63902 # DEPENDENCYPART_ARC
(10,9),0.510094 # DEPENDENCYPART_ARC
(10,11),1.52336 # DEPENDENCYPART_ARC
(10,12),-0.214592 # DEPENDENCYPART_ARC
(10,13),-0.154166 # DEPENDENCYPART_ARC
(10,14),-0.773523 # DEPENDENCYPART_ARC
(10,15),-0.930003 # DEPENDENCYPART_ARC
(10,16),-1.10857 # DEPENDENCYPART_ARC
(10,17),-0.854994 # DEPENDENCYPART_ARC
(10,18),-0.924984 # DEPENDENCYPART_ARC
(10,19),-0.94316 # DEPENDENCYPART_ARC
(10,20),-0.175466 # DEPENDENCYPART_ARC
(10,21),-0.887685 # DEPENDENCYPART_ARC
(11,1),-1.4566 # DEPENDENCYPART_ARC
(11,2),-1.27569 # DEPENDENCYPART_ARC
(11,3),-2.0182 # DEPENDENCYPART_ARC
(11,4),-1.40819 # DEPENDENCYPART_ARC
(11,5),-1.17678 # DEPENDENCYPART_ARC
(11,6),-0.987174 # DEPENDENCYPART_ARC
(11,7),-1.5036 # DEPENDENCYPART_ARC
(11,8),-0.277813 # DEPENDENCYPART_ARC
(11,9),-0.859854 # DEPENDENCYPART_ARC
(11,10),-0.699629 # DEPENDENCYPART_ARC
(11,12),1.84991 # DEPENDENCYPART_ARC
(11,13),-1.29149 # DEPENDENCYPART_ARC
(11,14),-1.43709 # DEPENDENCYPART_ARC
(11,15),-1.3654 # DEPENDENCYPART_ARC
(11,16),-1.30332 # DEPENDENCYPART_ARC
(11,17),-0.74533 # DEPENDENCYPART_ARC
(11,18),-1.39998 # DEPENDENCYPART_ARC
(11,19),-1.17636 # DEPENDENCYPART_ARC
(11,20),-1.14023 # DEPENDENCYPART_ARC
(11,21),-1.1053 # DEPENDENCYPART_ARC
(12,1),-1.09744 # DEPENDENCYPART_ARC
(12,2),-1.10663 # DEPENDENCYPART_ARC
(12,3),-1.26198 # DEPENDENCYPART_ARC
(12,5),-1.644 # DEPENDENCYPART_ARC
(12,6),-0.965889 # DEPENDENCYPART_ARC
(12,7),-0.870611 # DEPENDENCYPART_ARC
(12,8),-0.897882 # DEPENDENCYPART_ARC
(12,9),-0.831074 # DEPENDENCYPART_ARC
(12,10),-0.423076 # DEPENDENCYPART_ARC
(12,11),-0.240065 # DEPENDENCYPART_ARC
(12,13),-0.390483 # DEPENDENCYPART_ARC
(12,15),-1.42705 # DEPENDENCYPART_ARC
(12,16),-1.23046 # DEPENDENCYPART_ARC
(12,17),-1.28668 # DEPENDENCYPART_ARC
(12,18),-1.07445 # DEPENDENCYPART_ARC
(12,19),-1.36032 # DEPENDENCYPART_ARC
(13,1),-0.806613 # DEPENDENCYPART_ARC
(13,2),-1.93427 # DEPENDENCYPART_ARC
(13,3),-0.211984 # DEPENDENCYPART_ARC
(13,4),-1.57948 # DEPENDENCYPART_ARC
(13,5),-0.717054 # DEPENDENCYPART_ARC
(13,6),-0.970452 # DEPENDENCYPART_ARC
(13,7),0.0346367 # DEPENDENCYPART_ARC
(13,8),-0.736814 # DEPENDENCYPART_ARC
(13,9),-0.454879 # DEPENDENCYPART_ARC
(13,10),1.71909 # DEPENDENCYPART_ARC
(13,11),-0.68561 # DEPENDENCYPART_ARC
(13,12),-0.240546 # DEPENDENCYPART_ARC
(13,14),-0.12291 # DEPENDENCYPART_ARC
(13,15),-0.69352 # DEPENDENCYPART_ARC
(13,16),-0.471322 # DEPENDENCYPART_ARC
(13,17),0.233076 # DEPENDENCYPART_ARC
(13,18),1.51431 # DEPENDENCYPART_ARC
(13,19),-0.422423 # DEPENDENCYPART_ARC
(13,20),-0.888313 # DEPENDENCYPART_ARC
(13,21),-0.738091 # DEPENDENCYPART_ARC
(14,1),-1.70196 # DEPENDENCYPART_ARC
(14,2),-3.36659 # DEPENDENCYPART_ARC
(14,4),-2.14622 # DEPENDENCYPART_ARC
(14,5),-1.92313 # DEPENDENCYPART_ARC
(14,6),-2.2221 # DEPENDENCYPART_ARC
(14,7),-1.44649 # DEPENDENCYPART_ARC
(14,8),-2.57468 # DEPENDENCYPART_ARC
(14,10),-1.26727 # DEPENDENCYPART_ARC
(14,12),-1.49558 # DEPENDENCYPART_ARC
(14,13),-0.306728 # DEPENDENCYPART_ARC
(14,15),-0.246425 # DEPENDENCYPART_ARC
(14,16),-1.26188 # DEPENDENCYPART_ARC
(14,17),-1.23337 # DEPENDENCYPART_ARC
(14,21),-1.37202 # DEPENDENCYPART_ARC
(15,1),-2.14786 # DEPENDENCYPART_ARC
(15,2),-2.25328 # DEPENDENCYPART_ARC
(15,4),-1.76125 # DEPENDENCYPART_ARC
(15,5),-1.60613 # DEPENDENCYPART_ARC
