# _root_ guztira , 214 pertsona izanen dira , 14 lanpostutarako .
#goldHeads=5,3,4,5,0,5,6,9,5,9,
#predictedHeads=5,3,4,5,0,5,6,9,5,9,
(0,1),-0.119457 # DEPENDENCYPART_ARC
(0,2),-1.18444 # DEPENDENCYPART_ARC
(0,3),-1.14078 # DEPENDENCYPART_ARC
(0,4),-0.180657 # DEPENDENCYPART_ARC
(0,5),0.190632 # DEPENDENCYPART_ARC
(0,6),-0.638377 # DEPENDENCYPART_ARC
(0,7),-0.727565 # DEPENDENCYPART_ARC
(0,8),-1.37732 # DEPENDENCYPART_ARC
(0,9),-0.814362 # DEPENDENCYPART_ARC
(0,10),-1.29596 # DEPENDENCYPART_ARC
(1,2),-0.381705 # DEPENDENCYPART_ARC
(1,3),-1.37881 # DEPENDENCYPART_ARC
(1,4),-1.47522 # DEPENDENCYPART_ARC
(1,5),-1.92187 # DEPENDENCYPART_ARC
(1,6),-1.67653 # DEPENDENCYPART_ARC
(1,7),-1.52365 # DEPENDENCYPART_ARC
(1,8),-2.06211 # DEPENDENCYPART_ARC
(1,9),-1.84431 # DEPENDENCYPART_ARC
(1,10),-1.58329 # DEPENDENCYPART_ARC
(2,3),-0.419761 # DEPENDENCYPART_ARC
(2,4),-0.978316 # DEPENDENCYPART_ARC
(2,5),-0.761055 # DEPENDENCYPART_ARC
(2,6),-0.936603 # DEPENDENCYPART_ARC
(2,8),-1.65687 # DEPENDENCYPART_ARC
(2,9),-1.19895 # DEPENDENCYPART_ARC
(3,1),-0.592149 # DEPENDENCYPART_ARC
(3,2),0.0853668 # DEPENDENCYPART_ARC
(3,4),0.372279 # DEPENDENCYPART_ARC
(3,5),-0.862689 # DEPENDENCYPART_ARC
(3,7),-0.543739 # DEPENDENCYPART_ARC
(3,8),-0.758759 # DEPENDENCYPART_ARC
(3,9),-1.30739 # DEPENDENCYPART_ARC
(3,10),-0.750914 # DEPENDENCYPART_ARC
(4,1),-0.552202 # DEPENDENCYPART_ARC
(4,2),-0.581861 # DEPENDENCYPART_ARC
(4,3),2.3763 # DEPENDENCYPART_ARC
(4,5),0.0406114 # DEPENDENCYPART_ARC
(4,6),-0.327657 # DEPENDENCYPART_ARC
(4,7),-0.534904 # DEPENDENCYPART_ARC
(4,8),-1.92643 # DEPENDENCYPART_ARC
(4,9),-0.471963 # DEPENDENCYPART_ARC
(4,10),-0.155403 # DEPENDENCYPART_ARC
(5,1),0.33435 # DEPENDENCYPART_ARC
(5,2),-0.866362 # DEPENDENCYPART_ARC
(5,3),0.332689 # DEPENDENCYPART_ARC
(5,4),1.93924 # DEPENDENCYPART_ARC
(5,6),1.81179 # DEPENDENCYPART_ARC
(5,7),0.0196339 # DEPENDENCYPART_ARC
(5,8),-0.574724 # DEPENDENCYPART_ARC
(5,9),0.951979 # DEPENDENCYPART_ARC
(5,10),-0.299634 # DEPENDENCYPART_ARC
(6,1),-0.916032 # DEPENDENCYPART_ARC
(6,2),-0.983026 # DEPENDENCYPART_ARC
(6,3),-0.517837 # DEPENDENCYPART_ARC
(6,4),0.147516 # DEPENDENCYPART_ARC
(6,5),-0.352958 # DEPENDENCYPART_ARC
(6,7),1.37342 # DEPENDENCYPART_ARC
(6,8),-0.999853 # DEPENDENCYPART_ARC
(6,9),-0.982354 # DEPENDENCYPART_ARC
(6,10),-0.76526 # DEPENDENCYPART_ARC
(7,3),-1.22 # DEPENDENCYPART_ARC
(7,4),-0.280857 # DEPENDENCYPART_ARC
(7,5),-0.148987 # DEPENDENCYPART_ARC
(7,6),0.0757551 # DEPENDENCYPART_ARC
(7,8),-0.210915 # DEPENDENCYPART_ARC
(7,9),-0.661927 # DEPENDENCYPART_ARC
(8,1),-1.38369 # DEPENDENCYPART_ARC
(8,2),-1.41112 # DEPENDENCYPART_ARC
(8,3),-1.53584 # DEPENDENCYPART_ARC
(8,4),-1.85943 # DEPENDENCYPART_ARC
(8,5),-1.50756 # DEPENDENCYPART_ARC
(8,7),-0.239177 # DEPENDENCYPART_ARC
(8,9),-0.0856953 # DEPENDENCYPART_ARC
(8,10),-0.128379 # DEPENDENCYPART_ARC
(9,1),-1.31501 # DEPENDENCYPART_ARC
(9,2),-1.70185 # DEPENDENCYPART_ARC
(9,3),-0.131962 # DEPENDENCYPART_ARC
(9,4),-2.48486 # DEPENDENCYPART_ARC
(9,5),-0.742417 # DEPENDENCYPART_ARC
(9,6),-1.80997 # DEPENDENCYPART_ARC
(9,7),-0.899643 # DEPENDENCYPART_ARC
(9,8),2.0146 # DEPENDENCYPART_ARC
(9,10),1.90252 # DEPENDENCYPART_ARC
(10,2),-1.41696 # DEPENDENCYPART_ARC
(10,4),-1.27791 # DEPENDENCYPART_ARC
(10,5),-1.45869 # DEPENDENCYPART_ARC
(10,7),-1.04254 # DEPENDENCYPART_ARC
(10,9),-0.517729 # DEPENDENCYPART_ARC
