# _root_ plangintzak lan arloan dauden arazoei ez die aurre_egiten , ugtko kidearen ustez , eta ppk estatu mailan duen plangintza jarraitzen duela gehitu zuen .
#goldHeads=8,3,4,5,8,8,8,14,8,11,12,8,12,0,20,17,18,19,20,22,20,14,22,23,
#predictedHeads=8,3,4,5,8,8,8,14,8,11,12,14,12,0,18,17,18,19,20,22,20,14,22,23,
(0,1),-0.200809 # DEPENDENCYPART_ARC
(0,2),-0.593359 # DEPENDENCYPART_ARC
(0,3),-0.715631 # DEPENDENCYPART_ARC
(0,4),-1.04869 # DEPENDENCYPART_ARC
(0,5),-1.35496 # DEPENDENCYPART_ARC
(0,6),-1.51296 # DEPENDENCYPART_ARC
(0,7),-0.952817 # DEPENDENCYPART_ARC
(0,8),-0.650041 # DEPENDENCYPART_ARC
(0,9),-0.683919 # DEPENDENCYPART_ARC
(0,10),-1.21453 # DEPENDENCYPART_ARC
(0,11),-1.48506 # DEPENDENCYPART_ARC
(0,12),-1.72654 # DEPENDENCYPART_ARC
(0,13),-1.23882 # DEPENDENCYPART_ARC
(0,14),0.382084 # DEPENDENCYPART_ARC
(0,15),-1.30705 # DEPENDENCYPART_ARC
(0,16),-1.55853 # DEPENDENCYPART_ARC
(0,17),-1.57351 # DEPENDENCYPART_ARC
(0,18),-2.423 # DEPENDENCYPART_ARC
(0,19),-1.55565 # DEPENDENCYPART_ARC
(0,20),-0.89203 # DEPENDENCYPART_ARC
(0,21),-2.57019 # DEPENDENCYPART_ARC
(0,22),0.033841 # DEPENDENCYPART_ARC
(0,23),-1.48932 # DEPENDENCYPART_ARC
(0,24),-3.85518 # DEPENDENCYPART_ARC
(1,2),-0.204232 # DEPENDENCYPART_ARC
(1,3),-1.76041 # DEPENDENCYPART_ARC
(1,4),-3.62764 # DEPENDENCYPART_ARC
(1,5),-2.30871 # DEPENDENCYPART_ARC
(1,6),-2.52989 # DEPENDENCYPART_ARC
(1,7),-2.94441 # DEPENDENCYPART_ARC
(1,8),-1.25852 # DEPENDENCYPART_ARC
(1,9),-2.56949 # DEPENDENCYPART_ARC
(1,10),-2.88401 # DEPENDENCYPART_ARC
(1,11),-2.18622 # DEPENDENCYPART_ARC
(1,12),-2.89986 # DEPENDENCYPART_ARC
(1,13),-2.909 # DEPENDENCYPART_ARC
(1,14),-2.49988 # DEPENDENCYPART_ARC
(1,15),-3.53894 # DEPENDENCYPART_ARC
(1,16),-1.52286 # DEPENDENCYPART_ARC
(1,17),-3.32594 # DEPENDENCYPART_ARC
(1,18),-4.60235 # DEPENDENCYPART_ARC
(1,19),-3.26392 # DEPENDENCYPART_ARC
(1,20),-2.63506 # DEPENDENCYPART_ARC
(1,21),-4.21879 # DEPENDENCYPART_ARC
(1,22),-3.87837 # DEPENDENCYPART_ARC
(1,23),-3.55458 # DEPENDENCYPART_ARC
(1,24),-2.44957 # DEPENDENCYPART_ARC
(2,1),0.398585 # DEPENDENCYPART_ARC
(2,3),0.802633 # DEPENDENCYPART_ARC
(2,4),-1.35235 # DEPENDENCYPART_ARC
(2,5),-0.578366 # DEPENDENCYPART_ARC
(2,6),-1.16238 # DEPENDENCYPART_ARC
(2,7),-1.13843 # DEPENDENCYPART_ARC
(2,8),-0.94947 # DEPENDENCYPART_ARC
(2,9),-1.18558 # DEPENDENCYPART_ARC
(2,10),-1.2728 # DEPENDENCYPART_ARC
(2,11),-0.914679 # DEPENDENCYPART_ARC
(2,12),-1.52519 # DEPENDENCYPART_ARC
(2,13),-1.20376 # DEPENDENCYPART_ARC
(2,14),-1.11272 # DEPENDENCYPART_ARC
(2,15),-1.94738 # DEPENDENCYPART_ARC
(2,16),-1.20484 # DEPENDENCYPART_ARC
(2,17),-1.48443 # DEPENDENCYPART_ARC
(2,18),-2.46124 # DEPENDENCYPART_ARC
(2,19),-1.60471 # DEPENDENCYPART_ARC
(2,20),-1.78886 # DEPENDENCYPART_ARC
(2,21),-1.72436 # DEPENDENCYPART_ARC
(2,22),-2.03491 # DEPENDENCYPART_ARC
(2,23),-2.06309 # DEPENDENCYPART_ARC
(2,24),-1.51434 # DEPENDENCYPART_ARC
(3,1),-1.62168 # DEPENDENCYPART_ARC
(3,2),2.42371 # DEPENDENCYPART_ARC
(3,4),-1.53095 # DEPENDENCYPART_ARC
(3,5),-1.29504 # DEPENDENCYPART_ARC
(3,6),-2.07031 # DEPENDENCYPART_ARC
(3,7),-2.40255 # DEPENDENCYPART_ARC
(3,8),-0.954443 # DEPENDENCYPART_ARC
(3,9),-1.33838 # DEPENDENCYPART_ARC
(3,10),-2.36047 # DEPENDENCYPART_ARC
(3,11),-2.09576 # DEPENDENCYPART_ARC
(3,12),-2.50633 # DEPENDENCYPART_ARC
(3,13),-1.37616 # DEPENDENCYPART_ARC
(3,14),-1.74362 # DEPENDENCYPART_ARC
(3,15),-3.18522 # DEPENDENCYPART_ARC
(3,16),-1.57159 # DEPENDENCYPART_ARC
(3,17),-3.11741 # DEPENDENCYPART_ARC
(3,18),-3.31702 # DEPENDENCYPART_ARC
(3,19),-2.96899 # DEPENDENCYPART_ARC
(3,20),-2.29713 # DEPENDENCYPART_ARC
(3,21),-3.89397 # DEPENDENCYPART_ARC
(3,22),-3.60153 # DEPENDENCYPART_ARC
(3,23),-3.04977 # DEPENDENCYPART_ARC
(3,24),-1.82885 # DEPENDENCYPART_ARC
(4,1),0.422572 # DEPENDENCYPART_ARC
(4,2),1.28589 # DEPENDENCYPART_ARC
(4,3),2.03522 # DEPENDENCYPART_ARC
(4,5),-1.32026 # DEPENDENCYPART_ARC
(4,6),-0.190908 # DEPENDENCYPART_ARC
(4,7),-0.629099 # DEPENDENCYPART_ARC
(4,8),-0.366676 # DEPENDENCYPART_ARC
(4,9),-0.762013 # DEPENDENCYPART_ARC
(4,10),-3.98678 # DEPENDENCYPART_ARC
(4,11),-2.62511 # DEPENDENCYPART_ARC
(4,12),-1.06215 # DEPENDENCYPART_ARC
(4,13),-1.21743 # DEPENDENCYPART_ARC
(4,14),-0.148279 # DEPENDENCYPART_ARC
(4,15),-3.86034 # DEPENDENCYPART_ARC
(4,16),-2.22802 # DEPENDENCYPART_ARC
(4,17),-2.90246 # DEPENDENCYPART_ARC
(4,18),-3.02529 # DEPENDENCYPART_ARC
(4,19),-3.16341 # DEPENDENCYPART_ARC
(4,20),-1.67895 # DEPENDENCYPART_ARC
(4,21),-0.832981 # DEPENDENCYPART_ARC
(4,22),-2.73749 # DEPENDENCYPART_ARC
(4,23),-0.881241 # DEPENDENCYPART_ARC
(4,24),-1.71616 # DEPENDENCYPART_ARC
(5,1),-2.17994 # DEPENDENCYPART_ARC
(5,2),0.449398 # DEPENDENCYPART_ARC
(5,3),-1.2154 # DEPENDENCYPART_ARC
(5,4),3.18777 # DEPENDENCYPART_ARC
(5,6),-0.637174 # DEPENDENCYPART_ARC
(5,7),-0.772183 # DEPENDENCYPART_ARC
