# _root_ 25 urtetik beherako gazteen langabezi tasa ebn %%16,2koa zen ekainean eta euro eremukoa %%17,2koa .
#goldHeads=2,4,2,6,6,9,9,9,11,9,0,13,11,11,14,
#predictedHeads=2,9,4,5,6,9,9,9,0,9,9,11,11,12,14,
(0,1),-0.433906 # DEPENDENCYPART_ARC
(0,2),-0.392299 # DEPENDENCYPART_ARC
(0,3),-0.228718 # DEPENDENCYPART_ARC
(0,4),-0.53422 # DEPENDENCYPART_ARC
(0,5),-0.6023 # DEPENDENCYPART_ARC
(0,6),-0.563717 # DEPENDENCYPART_ARC
(0,7),-0.688091 # DEPENDENCYPART_ARC
(0,8),-1.0157 # DEPENDENCYPART_ARC
(0,9),-0.196778 # DEPENDENCYPART_ARC
(0,10),-1.76092 # DEPENDENCYPART_ARC
(0,11),-1.27502 # DEPENDENCYPART_ARC
(0,12),-1.34624 # DEPENDENCYPART_ARC
(0,13),-1.6717 # DEPENDENCYPART_ARC
(0,14),-1.64783 # DEPENDENCYPART_ARC
(0,15),-2.50405 # DEPENDENCYPART_ARC
(1,2),-0.112031 # DEPENDENCYPART_ARC
(1,3),-1.09421 # DEPENDENCYPART_ARC
(1,4),-1.39046 # DEPENDENCYPART_ARC
(1,5),-1.6022 # DEPENDENCYPART_ARC
(1,6),-1.59401 # DEPENDENCYPART_ARC
(1,7),-1.48552 # DEPENDENCYPART_ARC
(1,8),-1.23024 # DEPENDENCYPART_ARC
(1,9),-1.61568 # DEPENDENCYPART_ARC
(1,10),-1.77343 # DEPENDENCYPART_ARC
(1,11),-1.85978 # DEPENDENCYPART_ARC
(1,12),-2.04078 # DEPENDENCYPART_ARC
(1,13),-1.82337 # DEPENDENCYPART_ARC
(1,14),-1.48484 # DEPENDENCYPART_ARC
(1,15),-1.95198 # DEPENDENCYPART_ARC
(2,1),1.25169 # DEPENDENCYPART_ARC
(2,3),-0.518114 # DEPENDENCYPART_ARC
(2,4),-1.33588 # DEPENDENCYPART_ARC
(2,5),-1.21422 # DEPENDENCYPART_ARC
(2,6),-2.45846 # DEPENDENCYPART_ARC
(2,7),-3.02942 # DEPENDENCYPART_ARC
(2,8),-2.16405 # DEPENDENCYPART_ARC
(2,9),-2.61995 # DEPENDENCYPART_ARC
(2,10),-2.89674 # DEPENDENCYPART_ARC
(2,11),-1.5819 # DEPENDENCYPART_ARC
(2,12),-2.10514 # DEPENDENCYPART_ARC
(2,13),-3.66007 # DEPENDENCYPART_ARC
(2,14),-5.06921 # DEPENDENCYPART_ARC
(2,15),-1.4579 # DEPENDENCYPART_ARC
(3,1),0.52425 # DEPENDENCYPART_ARC
