# _root_ Their debt will be well under the $ 1 million limit -- on borrowing to acquire , build , or improve a home -- that qualifies for mortgage-interest deductions .
#goldHeads=2,3,0,3,6,4,11,11,8,8,6,13,11,13,20,20,20,20,20,14,20,23,20,13,26,11,26,29,27,3,
#predictedHeads=2,3,0,3,4,4,11,11,8,8,6,4,4,13,16,14,20,20,20,4,20,23,21,23,26,23,26,29,27,3,
(0,2),-2.31115 # DEPENDENCYPART_ARC
(0,3),-2.03267 # DEPENDENCYPART_ARC
(0,4),-2.36974 # DEPENDENCYPART_ARC
(0,8),-2.59372 # DEPENDENCYPART_ARC
(0,14),-3.1522 # DEPENDENCYPART_ARC
(0,18),-3.80883 # DEPENDENCYPART_ARC
(0,20),-1.93086 # DEPENDENCYPART_ARC
(0,21),-3.04102 # DEPENDENCYPART_ARC
(0,26),-3.336 # DEPENDENCYPART_ARC
(2,1),0.685681 # DEPENDENCYPART_ARC
(2,3),-0.528707 # DEPENDENCYPART_ARC
(2,4),-1.01372 # DEPENDENCYPART_ARC
(2,5),-1.44989 # DEPENDENCYPART_ARC
(2,8),-1.71251 # DEPENDENCYPART_ARC
(2,12),-1.30404 # DEPENDENCYPART_ARC
(3,2),1.10216 # DEPENDENCYPART_ARC
(3,4),1.59457 # DEPENDENCYPART_ARC
(3,5),-0.648379 # DEPENDENCYPART_ARC
(3,6),-1.01544 # DEPENDENCYPART_ARC
(3,12),-0.9015 # DEPENDENCYPART_ARC
(3,16),-1.27848 # DEPENDENCYPART_ARC
(3,17),-0.867372 # DEPENDENCYPART_ARC
(3,19),-1.37538 # DEPENDENCYPART_ARC
(3,20),-1.10781 # DEPENDENCYPART_ARC
(3,24),-1.32256 # DEPENDENCYPART_ARC
(3,30),-1.14968 # DEPENDENCYPART_ARC
(4,2),-1.15812 # DEPENDENCYPART_ARC
(4,3),-0.580549 # DEPENDENCYPART_ARC
(4,5),0.645762 # DEPENDENCYPART_ARC
(4,6),-0.0186222 # DEPENDENCYPART_ARC
(4,7),-0.813289 # DEPENDENCYPART_ARC
(4,8),-0.788495 # DEPENDENCYPART_ARC
(4,11),-0.928997 # DEPENDENCYPART_ARC
(4,12),-0.426276 # DEPENDENCYPART_ARC
(4,13),-0.548351 # DEPENDENCYPART_ARC
(4,14),-0.799313 # DEPENDENCYPART_ARC
(4,15),-1.25742 # DEPENDENCYPART_ARC
(4,16),-0.894132 # DEPENDENCYPART_ARC
(4,17),-1.04878 # DEPENDENCYPART_ARC
(4,18),-1.54521 # DEPENDENCYPART_ARC
(4,19),-1.5089 # DEPENDENCYPART_ARC
(4,20),-1.21076 # DEPENDENCYPART_ARC
(4,21),-1.58411 # DEPENDENCYPART_ARC
(4,24),-0.704135 # DEPENDENCYPART_ARC
(4,26),-1.73671 # DEPENDENCYPART_ARC
(4,30),-1.49098 # DEPENDENCYPART_ARC
(5,2),-1.42982 # DEPENDENCYPART_ARC
(5,4),-0.254091 # DEPENDENCYPART_ARC
(5,6),-0.00532157 # DEPENDENCYPART_ARC
(5,7),-0.808159 # DEPENDENCYPART_ARC
(5,8),-0.96448 # DEPENDENCYPART_ARC
(5,9),-1.08663 # DEPENDENCYPART_ARC
(5,10),-1.1039 # DEPENDENCYPART_ARC
(5,11),-1.24189 # DEPENDENCYPART_ARC
(5,12),-0.814225 # DEPENDENCYPART_ARC
(5,13),-1.28763 # DEPENDENCYPART_ARC
(6,2),-1.43206 # DEPENDENCYPART_ARC
(6,5),0.133369 # DEPENDENCYPART_ARC
(6,7),0.031558 # DEPENDENCYPART_ARC
(6,8),-0.830856 # DEPENDENCYPART_ARC
(6,9),-1.18619 # DEPENDENCYPART_ARC
(6,10),-1.22971 # DEPENDENCYPART_ARC
(6,11),-0.795918 # DEPENDENCYPART_ARC
(6,12),-1.02208 # DEPENDENCYPART_ARC
(6,13),-1.16259 # DEPENDENCYPART_ARC
(6,14),-1.3897 # DEPENDENCYPART_ARC
(6,15),-1.43941 # DEPENDENCYPART_ARC
(7,14),-1.38245 # DEPENDENCYPART_ARC
(8,5),-0.930761 # DEPENDENCYPART_ARC
(8,6),-0.660467 # DEPENDENCYPART_ARC
(8,7),0.182528 # DEPENDENCYPART_ARC
(8,9),0.934284 # DEPENDENCYPART_ARC
(8,10),0.507092 # DEPENDENCYPART_ARC
(8,11),-0.880182 # DEPENDENCYPART_ARC
(8,12),-0.635728 # DEPENDENCYPART_ARC
(8,13),-1.08551 # DEPENDENCYPART_ARC
(8,14),-0.911777 # DEPENDENCYPART_ARC
(8,16),-1.14317 # DEPENDENCYPART_ARC
(8,17),-1.10781 # DEPENDENCYPART_ARC
(8,18),-1.68686 # DEPENDENCYPART_ARC
(8,19),-1.49945 # DEPENDENCYPART_ARC
(8,20),-0.898051 # DEPENDENCYPART_ARC
(8,23),-1.65569 # DEPENDENCYPART_ARC
(8,27),-1.59871 # DEPENDENCYPART_ARC
(8,30),-1.23361 # DEPENDENCYPART_ARC
(9,7),-1.15055 # DEPENDENCYPART_ARC
(9,8),-0.270572 # DEPENDENCYPART_ARC
(9,10),-0.546294 # DEPENDENCYPART_ARC
(9,11),-0.770066 # DEPENDENCYPART_ARC
(9,12),-0.761294 # DEPENDENCYPART_ARC
(9,13),-1.17377 # DEPENDENCYPART_ARC
(9,14),-1.09545 # DEPENDENCYPART_ARC
(9,17),-1.2789 # DEPENDENCYPART_ARC
(10,7),-1.23303 # DEPENDENCYPART_ARC
(10,8),-1.06465 # DEPENDENCYPART_ARC
(10,9),0.0476569 # DEPENDENCYPART_ARC
(10,11),0.0300133 # DEPENDENCYPART_ARC
(10,14),-1.23789 # DEPENDENCYPART_ARC
(11,1),-1.35468 # DEPENDENCYPART_ARC
(11,2),-2.07008 # DEPENDENCYPART_ARC
(11,5),-1.11891 # DEPENDENCYPART_ARC
(11,6),-0.735829 # DEPENDENCYPART_ARC
(11,7),-0.205542 # DEPENDENCYPART_ARC
(11,8),-0.676854 # DEPENDENCYPART_ARC
(11,9),-0.451974 # DEPENDENCYPART_ARC
(11,10),0.84453 # DEPENDENCYPART_ARC
(11,12),-0.0442934 # DEPENDENCYPART_ARC
(11,13),-1.17839 # DEPENDENCYPART_ARC
(11,14),-1.25536 # DEPENDENCYPART_ARC
(11,15),-1.59422 # DEPENDENCYPART_ARC
(11,16),-1.59001 # DEPENDENCYPART_ARC
(11,17),-1.8702 # DEPENDENCYPART_ARC
(11,19),-1.99549 # DEPENDENCYPART_ARC
(11,20),-1.38983 # DEPENDENCYPART_ARC
(11,23),-1.60857 # DEPENDENCYPART_ARC
(12,6),-1.25358 # DEPENDENCYPART_ARC
(12,16),-1.32369 # DEPENDENCYPART_ARC
(12,21),-1.49579 # DEPENDENCYPART_ARC
(13,11),-1.3386 # DEPENDENCYPART_ARC
(13,12),-0.139229 # DEPENDENCYPART_ARC
(13,14),0.903783 # DEPENDENCYPART_ARC
(13,15),-0.459512 # DEPENDENCYPART_ARC
(13,16),-0.694238 # DEPENDENCYPART_ARC
(13,17),-0.850442 # DEPENDENCYPART_ARC
(13,18),-1.4212 # DEPENDENCYPART_ARC
(13,20),-0.854541 # DEPENDENCYPART_ARC
(13,21),-1.20016 # DEPENDENCYPART_ARC
(13,23),-1.97065 # DEPENDENCYPART_ARC
(13,24),-0.804035 # DEPENDENCYPART_ARC
(13,26),-1.22419 # DEPENDENCYPART_ARC
(13,27),-0.918821 # DEPENDENCYPART_ARC
(13,30),-0.341106 # DEPENDENCYPART_ARC
(14,6),-1.90442 # DEPENDENCYPART_ARC
(14,11),-1.74491 # DEPENDENCYPART_ARC
(14,13),-0.362284 # DEPENDENCYPART_ARC
(14,15),0.133605 # DEPENDENCYPART_ARC
(14,16),-0.138114 # DEPENDENCYPART_ARC
(14,17),-1.17372 # DEPENDENCYPART_ARC
(14,18),-1.81467 # DEPENDENCYPART_ARC
(14,19),-1.84702 # DEPENDENCYPART_ARC
(14,20),-1.27158 # DEPENDENCYPART_ARC
(14,21),-1.9449 # DEPENDENCYPART_ARC
(14,23),-1.90661 # DEPENDENCYPART_ARC
(14,24),-1.23376 # DEPENDENCYPART_ARC
(14,26),-1.92027 # DEPENDENCYPART_ARC
(14,30),-1.5365 # DEPENDENCYPART_ARC
(15,16),-0.409348 # DEPENDENCYPART_ARC
(15,18),-2.12075 # DEPENDENCYPART_ARC
(15,20),-1.8001 # DEPENDENCYPART_ARC
(16,2),-1.51761 # DEPENDENCYPART_ARC
(16,6),-0.999749 # DEPENDENCYPART_ARC
(16,9),-1.51621 # DEPENDENCYPART_ARC
(16,10),-1.49618 # DEPENDENCYPART_ARC
(16,11),-1.05573 # DEPENDENCYPART_ARC
(16,13),-0.681024 # DEPENDENCYPART_ARC
(16,15),1.29042 # DEPENDENCYPART_ARC
(16,17),0.19321 # DEPENDENCYPART_ARC
(16,18),-1.12786 # DEPENDENCYPART_ARC
(16,19),-1.59317 # DEPENDENCYPART_ARC
(16,20),-1.41318 # DEPENDENCYPART_ARC
(16,21),-2.08326 # DEPENDENCYPART_ARC
(16,23),-1.91924 # DEPENDENCYPART_ARC
(16,24),-1.35291 # DEPENDENCYPART_ARC
(16,26),-2.15966 # DEPENDENCYPART_ARC
(16,27),-1.76633 # DEPENDENCYPART_ARC
(16,29),-2.13752 # DEPENDENCYPART_ARC
(16,30),-2.1455 # DEPENDENCYPART_ARC
(18,2),-2.53767 # DEPENDENCYPART_ARC
(18,6),-1.69171 # DEPENDENCYPART_ARC
(18,13),-1.35601 # DEPENDENCYPART_ARC
(18,15),-1.1227 # DEPENDENCYPART_ARC
(18,16),-0.892446 # DEPENDENCYPART_ARC
(18,17),0.661579 # DEPENDENCYPART_ARC
(18,19),0.235336 # DEPENDENCYPART_ARC
(18,20),-1.46045 # DEPENDENCYPART_ARC
(18,21),-1.85547 # DEPENDENCYPART_ARC
(18,23),-2.14201 # DEPENDENCYPART_ARC
(18,24),-1.4171 # DEPENDENCYPART_ARC
(18,26),-2.35622 # DEPENDENCYPART_ARC
(18,27),-2.24015 # DEPENDENCYPART_ARC
(18,30),-1.65064 # DEPENDENCYPART_ARC
(20,2),-1.38526 # DEPENDENCYPART_ARC
(20,3),-0.928723 # DEPENDENCYPART_ARC
(20,4),-1.0276 # DEPENDENCYPART_ARC
(20,5),-1.08042 # DEPENDENCYPART_ARC
(20,6),-0.441886 # DEPENDENCYPART_ARC
(20,7),-1.69375 # DEPENDENCYPART_ARC
(20,8),-0.763399 # DEPENDENCYPART_ARC
(20,9),-0.748709 # DEPENDENCYPART_ARC
(20,10),-0.654787 # DEPENDENCYPART_ARC
(20,11),-0.927569 # DEPENDENCYPART_ARC
(20,12),-0.73947 # DEPENDENCYPART_ARC
(20,13),-0.552654 # DEPENDENCYPART_ARC
(20,14),-0.429265 # DEPENDENCYPART_ARC
(20,15),-0.176448 # DEPENDENCYPART_ARC
(20,16),0.0272479 # DEPENDENCYPART_ARC
(20,17),-0.890914 # DEPENDENCYPART_ARC
(20,18),0.257137 # DEPENDENCYPART_ARC
(20,19),1.6829 # DEPENDENCYPART_ARC
(20,21),1.27324 # DEPENDENCYPART_ARC
(20,22),-0.861052 # DEPENDENCYPART_ARC
(20,23),-1.24819 # DEPENDENCYPART_ARC
(20,24),-1.13794 # DEPENDENCYPART_ARC
(20,26),-1.50756 # DEPENDENCYPART_ARC
(20,27),-1.37615 # DEPENDENCYPART_ARC
(20,28),-1.61018 # DEPENDENCYPART_ARC
(20,29),-1.90718 # DEPENDENCYPART_ARC
(20,30),-1.10314 # DEPENDENCYPART_ARC
(21,18),-1.85571 # DEPENDENCYPART_ARC
(21,19),-1.34789 # DEPENDENCYPART_ARC
(21,22),-0.0276116 # DEPENDENCYPART_ARC
(21,23),-0.102938 # DEPENDENCYPART_ARC
(21,24),-0.788794 # DEPENDENCYPART_ARC
(21,26),-0.985147 # DEPENDENCYPART_ARC
(21,27),-1.36832 # DEPENDENCYPART_ARC
(21,29),-1.54716 # DEPENDENCYPART_ARC
(21,30),-0.312168 # DEPENDENCYPART_ARC
(23,21),-0.613923 # DEPENDENCYPART_ARC
(23,22),1.36548 # DEPENDENCYPART_ARC
(23,24),-0.136092 # DEPENDENCYPART_ARC
(23,26),-0.876925 # DEPENDENCYPART_ARC
(23,27),-1.54238 # DEPENDENCYPART_ARC
(23,28),-1.80636 # DEPENDENCYPART_ARC
(23,29),-1.88424 # DEPENDENCYPART_ARC
(26,2),-2.13767 # DEPENDENCYPART_ARC
(26,3),-1.21319 # DEPENDENCYPART_ARC
(26,5),-1.8924 # DEPENDENCYPART_ARC
