# _root_ Mr. Fromstein disclosed the planned steps , expected within a few months , as Blue Arrow posted a 2.5 % drop in its third-quarter pretax earnings .
#goldHeads=2,3,0,6,6,3,6,6,8,12,12,9,6,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
#predictedHeads=2,3,0,6,6,3,3,6,8,12,12,9,3,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
(0,2),-3.15334 # DEPENDENCYPART_ARC
(0,3),-0.199454 # DEPENDENCYPART_ARC
(0,8),-3.10008 # DEPENDENCYPART_ARC
(0,17),-0.696703 # DEPENDENCYPART_ARC
(1,2),-0.832038 # DEPENDENCYPART_ARC
(1,3),-1.9904 # DEPENDENCYPART_ARC
(1,5),-2.74042 # DEPENDENCYPART_ARC
(1,6),-2.69031 # DEPENDENCYPART_ARC
(1,7),-1.72708 # DEPENDENCYPART_ARC
(2,1),1.58496 # DEPENDENCYPART_ARC
(2,3),-1.31034 # DEPENDENCYPART_ARC
(2,4),-2.25846 # DEPENDENCYPART_ARC
(2,5),-2.24028 # DEPENDENCYPART_ARC
(2,6),-2.38599 # DEPENDENCYPART_ARC
(2,7),-1.51929 # DEPENDENCYPART_ARC
(2,8),-2.68453 # DEPENDENCYPART_ARC
(2,13),-1.91054 # DEPENDENCYPART_ARC
(3,1),-0.753826 # DEPENDENCYPART_ARC
(3,2),0.431069 # DEPENDENCYPART_ARC
(3,4),-0.507905 # DEPENDENCYPART_ARC
(3,5),0.453874 # DEPENDENCYPART_ARC
(3,6),-0.259502 # DEPENDENCYPART_ARC
(3,7),-0.734193 # DEPENDENCYPART_ARC
(3,8),-0.944685 # DEPENDENCYPART_ARC
(3,9),-0.841542 # DEPENDENCYPART_ARC
(3,12),-1.65512 # DEPENDENCYPART_ARC
(3,13),-1.03798 # DEPENDENCYPART_ARC
(3,14),-1.17172 # DEPENDENCYPART_ARC
(3,16),-2.43346 # DEPENDENCYPART_ARC
(3,17),-1.03982 # DEPENDENCYPART_ARC
(3,21),-1.81176 # DEPENDENCYPART_ARC
(3,22),-2.15533 # DEPENDENCYPART_ARC
(3,27),0.418207 # DEPENDENCYPART_ARC
(4,2),-2.3924 # DEPENDENCYPART_ARC
(4,3),-1.75259 # DEPENDENCYPART_ARC
(4,5),-1.25449 # DEPENDENCYPART_ARC
(4,7),-1.97413 # DEPENDENCYPART_ARC
(4,8),-2.35103 # DEPENDENCYPART_ARC
(5,2),-1.75998 # DEPENDENCYPART_ARC
(5,3),-1.96416 # DEPENDENCYPART_ARC
(5,4),-1.36969 # DEPENDENCYPART_ARC
(5,6),-0.558202 # DEPENDENCYPART_ARC
(5,7),-1.72379 # DEPENDENCYPART_ARC
(5,8),-1.28363 # DEPENDENCYPART_ARC
(5,9),-1.3389 # DEPENDENCYPART_ARC
(5,12),-2.4955 # DEPENDENCYPART_ARC
(5,13),-1.68902 # DEPENDENCYPART_ARC
(5,14),-1.93839 # DEPENDENCYPART_ARC
(5,17),-2.53041 # DEPENDENCYPART_ARC
(5,27),-2.19561 # DEPENDENCYPART_ARC
(6,1),-1.25939 # DEPENDENCYPART_ARC
(6,2),-1.18877 # DEPENDENCYPART_ARC
(6,3),-1.44813 # DEPENDENCYPART_ARC
(6,4),0.687671 # DEPENDENCYPART_ARC
(6,5),0.978798 # DEPENDENCYPART_ARC
(6,7),-0.354328 # DEPENDENCYPART_ARC
(6,8),-0.719975 # DEPENDENCYPART_ARC
(6,9),-0.956569 # DEPENDENCYPART_ARC
(6,10),-2.18385 # DEPENDENCYPART_ARC
(6,11),-1.73893 # DEPENDENCYPART_ARC
(6,12),-1.29476 # DEPENDENCYPART_ARC
(6,13),-1.06161 # DEPENDENCYPART_ARC
(6,14),-1.84504 # DEPENDENCYPART_ARC
(6,16),-2.57488 # DEPENDENCYPART_ARC
(6,17),-1.71633 # DEPENDENCYPART_ARC
(6,21),-2.98553 # DEPENDENCYPART_ARC
(6,22),-2.71188 # DEPENDENCYPART_ARC
(6,26),-3.04877 # DEPENDENCYPART_ARC
(6,27),-3.45649 # DEPENDENCYPART_ARC
(7,6),-2.18598 # DEPENDENCYPART_ARC
(7,8),-1.74759 # DEPENDENCYPART_ARC
(8,2),-2.42498 # DEPENDENCYPART_ARC
(8,3),-2.3253 # DEPENDENCYPART_ARC
(8,4),-2.45105 # DEPENDENCYPART_ARC
(8,5),-2.07106 # DEPENDENCYPART_ARC
(8,6),-2.02234 # DEPENDENCYPART_ARC
(8,7),-1.62306 # DEPENDENCYPART_ARC
(8,9),1.18479 # DEPENDENCYPART_ARC
(8,10),-1.70019 # DEPENDENCYPART_ARC
(8,11),-1.35991 # DEPENDENCYPART_ARC
(8,12),-1.13194 # DEPENDENCYPART_ARC
(8,13),-1.07899 # DEPENDENCYPART_ARC
(8,14),-0.663354 # DEPENDENCYPART_ARC
(8,16),-1.79506 # DEPENDENCYPART_ARC
(8,17),-1.6007 # DEPENDENCYPART_ARC
(8,21),-1.97799 # DEPENDENCYPART_ARC
(8,22),-1.87192 # DEPENDENCYPART_ARC
(8,27),-2.15151 # DEPENDENCYPART_ARC
(9,6),-1.72292 # DEPENDENCYPART_ARC
(9,7),-1.94858 # DEPENDENCYPART_ARC
(9,8),-1.45533 # DEPENDENCYPART_ARC
(9,10),-1.1297 # DEPENDENCYPART_ARC
(9,11),-0.966884 # DEPENDENCYPART_ARC
(9,12),0.575746 # DEPENDENCYPART_ARC
(9,13),-1.30011 # DEPENDENCYPART_ARC
(9,14),-1.71646 # DEPENDENCYPART_ARC
(9,16),-2.35988 # DEPENDENCYPART_ARC
(9,17),-0.522835 # DEPENDENCYPART_ARC
(9,27),-2.84687 # DEPENDENCYPART_ARC
(10,11),-1.60732 # DEPENDENCYPART_ARC
(10,14),-1.82445 # DEPENDENCYPART_ARC
(11,10),-0.165689 # DEPENDENCYPART_ARC
(11,14),-1.64592 # DEPENDENCYPART_ARC
(12,2),-2.66434 # DEPENDENCYPART_ARC
(12,3),-2.27791 # DEPENDENCYPART_ARC
(12,4),-2.38938 # DEPENDENCYPART_ARC
(12,5),-1.57122 # DEPENDENCYPART_ARC
(12,6),-2.25674 # DEPENDENCYPART_ARC
(12,7),-2.08254 # DEPENDENCYPART_ARC
(12,8),-1.2574 # DEPENDENCYPART_ARC
(12,10),0.891268 # DEPENDENCYPART_ARC
(12,11),1.72171 # DEPENDENCYPART_ARC
(12,13),-1.27248 # DEPENDENCYPART_ARC
(12,14),-1.5219 # DEPENDENCYPART_ARC
(12,15),-2.25456 # DEPENDENCYPART_ARC
(12,16),-2.356 # DEPENDENCYPART_ARC
(12,17),-1.58078 # DEPENDENCYPART_ARC
(12,21),-2.87208 # DEPENDENCYPART_ARC
(12,22),-2.6019 # DEPENDENCYPART_ARC
(12,26),-3.25243 # DEPENDENCYPART_ARC
(12,27),-3.23383 # DEPENDENCYPART_ARC
(13,12),-2.07594 # DEPENDENCYPART_ARC
(14,12),-2.08539 # DEPENDENCYPART_ARC
(14,13),-1.34104 # DEPENDENCYPART_ARC
(14,15),-1.04036 # DEPENDENCYPART_ARC
(14,16),-0.853232 # DEPENDENCYPART_ARC
(14,17),1.74318 # DEPENDENCYPART_ARC
(14,19),-2.74141 # DEPENDENCYPART_ARC
(14,21),-2.59336 # DEPENDENCYPART_ARC
(14,22),-1.8512 # DEPENDENCYPART_ARC
(14,27),-2.91668 # DEPENDENCYPART_ARC
(15,16),-0.755778 # DEPENDENCYPART_ARC
(15,17),-2.00159 # DEPENDENCYPART_ARC
(15,19),-2.57521 # DEPENDENCYPART_ARC
(16,6),-2.95206 # DEPENDENCYPART_ARC
(16,10),-2.61316 # DEPENDENCYPART_ARC
(16,11),-1.85034 # DEPENDENCYPART_ARC
(16,12),-1.79699 # DEPENDENCYPART_ARC
(16,13),-1.72327 # DEPENDENCYPART_ARC
(16,14),-1.59604 # DEPENDENCYPART_ARC
(16,15),1.34237 # DEPENDENCYPART_ARC
(16,17),-1.33454 # DEPENDENCYPART_ARC
(16,19),-2.19321 # DEPENDENCYPART_ARC
(16,21),-2.56258 # DEPENDENCYPART_ARC
(17,1),-1.96938 # DEPENDENCYPART_ARC
(17,2),-1.40494 # DEPENDENCYPART_ARC
(17,3),-1.76819 # DEPENDENCYPART_ARC
(17,4),-2.74067 # DEPENDENCYPART_ARC
(17,5),-1.87251 # DEPENDENCYPART_ARC
(17,6),-1.40903 # DEPENDENCYPART_ARC
(17,7),-1.11932 # DEPENDENCYPART_ARC
(17,8),-1.81762 # DEPENDENCYPART_ARC
(17,9),-1.46182 # DEPENDENCYPART_ARC
(17,10),-2.15965 # DEPENDENCYPART_ARC
(17,11),-1.54092 # DEPENDENCYPART_ARC
(17,12),-1.24693 # DEPENDENCYPART_ARC
(17,13),-0.565989 # DEPENDENCYPART_ARC
(17,14),-0.937551 # DEPENDENCYPART_ARC
(17,15),-1.00504 # DEPENDENCYPART_ARC
(17,16),0.364816 # DEPENDENCYPART_ARC
(17,18),-0.572723 # DEPENDENCYPART_ARC
(17,19),-0.992855 # DEPENDENCYPART_ARC
(17,20),-0.283554 # DEPENDENCYPART_ARC
(17,21),0.1928 # DEPENDENCYPART_ARC
(17,22),-0.0930789 # DEPENDENCYPART_ARC
(17,23),-2.08307 # DEPENDENCYPART_ARC
(17,24),-1.97326 # DEPENDENCYPART_ARC
(17,26),-1.55369 # DEPENDENCYPART_ARC
(17,27),-0.0415218 # DEPENDENCYPART_ARC
(18,19),-0.529705 # DEPENDENCYPART_ARC
(18,20),-1.39286 # DEPENDENCYPART_ARC
(18,22),-1.5195 # DEPENDENCYPART_ARC
(19,18),-0.789848 # DEPENDENCYPART_ARC
(19,20),-0.861904 # DEPENDENCYPART_ARC
(19,22),-1.36705 # DEPENDENCYPART_ARC
(20,18),-0.827273 # DEPENDENCYPART_ARC
(20,19),0.758107 # DEPENDENCYPART_ARC
(20,21),-1.18719 # DEPENDENCYPART_ARC
(20,22),-1.82642 # DEPENDENCYPART_ARC
(20,26),-2.48652 # DEPENDENCYPART_ARC
(21,10),-2.07915 # DEPENDENCYPART_ARC
(21,11),-1.87717 # DEPENDENCYPART_ARC
(21,12),-1.91138 # DEPENDENCYPART_ARC
(21,15),-1.86279 # DEPENDENCYPART_ARC
(21,16),-1.48087 # DEPENDENCYPART_ARC
(21,18),1.27215 # DEPENDENCYPART_ARC
(21,19),0.0164796 # DEPENDENCYPART_ARC
(21,20),1.2565 # DEPENDENCYPART_ARC
(21,22),0.359888 # DEPENDENCYPART_ARC
(21,23),-1.52373 # DEPENDENCYPART_ARC
(21,24),-1.33619 # DEPENDENCYPART_ARC
(21,25),-1.59724 # DEPENDENCYPART_ARC
(21,26),-1.3087 # DEPENDENCYPART_ARC
(21,27),-1.66784 # DEPENDENCYPART_ARC
(22,21),-1.66727 # DEPENDENCYPART_ARC
(22,23),-1.17595 # DEPENDENCYPART_ARC
(22,24),-1.08165 # DEPENDENCYPART_ARC
(22,25),-1.41196 # DEPENDENCYPART_ARC
(22,26),0.597766 # DEPENDENCYPART_ARC
(23,24),-1.71943 # DEPENDENCYPART_ARC
(24,23),-1.27914 # DEPENDENCYPART_ARC
(24,25),-1.14335 # DEPENDENCYPART_ARC
(25,23),-0.837698 # DEPENDENCYPART_ARC
(25,24),0.168219 # DEPENDENCYPART_ARC
(26,15),-2.28471 # DEPENDENCYPART_ARC
(26,16),-2.45336 # DEPENDENCYPART_ARC
(26,18),-2.28502 # DEPENDENCYPART_ARC
(26,19),-2.19895 # DEPENDENCYPART_ARC
(26,20),-1.54333 # DEPENDENCYPART_ARC
(26,21),-1.80725 # DEPENDENCYPART_ARC
(26,23),0.524774 # DEPENDENCYPART_ARC
(26,24),0.942721 # DEPENDENCYPART_ARC
(26,25),1.1922 # DEPENDENCYPART_ARC
(26,27),-1.64955 # DEPENDENCYPART_ARC
(27,26),-2.51771 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.770828 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.137966 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.812448 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.609749 # DEPENDENCYPART_SIBL
(0,3),(0,17),-1.66591 # DEPENDENCYPART_SIBL
(0,8),(0,17),-0.728235 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0523202 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.101551 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0445718 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0122182 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0860834 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.0202463 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.455897 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.050362 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.20307 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0967704 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0282918 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0780718 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.000812595 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0149911 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0593893 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0227695 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0593893 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0648142 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0860002 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0201171 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.443097 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0837105 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.443097 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0267892 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.0684392 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.0104937 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.0308426 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0104937 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0503113 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.190084 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.303387 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.190084 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0837989 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0640891 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.0837989 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.439892 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0761993 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.172265 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.59412 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.139407 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.10807 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.089034 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0619981 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.168441 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.144158 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.124573 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0619981 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.175206 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.125551 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.0650655 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.140126 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.206124 # DEPENDENCYPART_SIBL
(3,1),(3,27),-0.181393 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0762469 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.044688 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0151383 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0143844 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.105058 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.0490184 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0506776 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.0143844 # DEPENDENCYPART_SIBL
(3,2),(3,14),-0.0675436 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.0531229 # DEPENDENCYPART_SIBL
(3,2),(3,17),-0.025655 # DEPENDENCYPART_SIBL
(3,2),(3,21),-0.0481668 # DEPENDENCYPART_SIBL
(3,2),(3,22),-0.0815158 # DEPENDENCYPART_SIBL
(3,2),(3,27),-0.0120299 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0696878 # DEPENDENCYPART_SIBL
