# _root_ The builders like the subsidies , but at the same time they tend to be fiscal conservatives in terms of major issues , such as the balanced-budget amendment . ''
#goldHeads=2,3,0,5,3,3,3,13,11,11,8,13,7,13,14,17,15,15,18,19,22,20,22,25,22,28,28,25,3,3,
#predictedHeads=2,3,0,5,3,3,3,13,11,11,8,13,7,13,14,17,15,17,18,19,22,20,22,25,22,28,28,25,3,3,
(0,2),-2.96544 # DEPENDENCYPART_ARC
(0,3),-1.06224 # DEPENDENCYPART_ARC
(0,13),-2.09527 # DEPENDENCYPART_ARC
(1,7),-2.09814 # DEPENDENCYPART_ARC
(2,1),1.31791 # DEPENDENCYPART_ARC
(2,3),-0.94258 # DEPENDENCYPART_ARC
(2,5),-1.27416 # DEPENDENCYPART_ARC
(2,6),-1.77423 # DEPENDENCYPART_ARC
(2,7),-2.03038 # DEPENDENCYPART_ARC
(2,8),-1.73483 # DEPENDENCYPART_ARC
(2,13),-2.59045 # DEPENDENCYPART_ARC
(3,1),-0.93392 # DEPENDENCYPART_ARC
(3,2),1.48032 # DEPENDENCYPART_ARC
(3,4),-0.26147 # DEPENDENCYPART_ARC
(3,5),0.689099 # DEPENDENCYPART_ARC
(3,6),0.167806 # DEPENDENCYPART_ARC
(3,7),-0.466754 # DEPENDENCYPART_ARC
(3,8),-0.542856 # DEPENDENCYPART_ARC
(3,10),-1.66257 # DEPENDENCYPART_ARC
(3,11),-1.12678 # DEPENDENCYPART_ARC
(3,12),-1.92845 # DEPENDENCYPART_ARC
(3,13),-1.02209 # DEPENDENCYPART_ARC
(3,14),-1.05944 # DEPENDENCYPART_ARC
(3,15),-1.86716 # DEPENDENCYPART_ARC
(3,17),-1.61934 # DEPENDENCYPART_ARC
(3,18),-1.12773 # DEPENDENCYPART_ARC
(3,19),-2.06179 # DEPENDENCYPART_ARC
(3,20),-1.6726 # DEPENDENCYPART_ARC
(3,23),-1.22224 # DEPENDENCYPART_ARC
(3,25),-1.29332 # DEPENDENCYPART_ARC
(3,29),1.00335 # DEPENDENCYPART_ARC
(3,30),-0.6728 # DEPENDENCYPART_ARC
(4,6),-2.38809 # DEPENDENCYPART_ARC
(4,7),-1.60269 # DEPENDENCYPART_ARC
(4,8),-2.24534 # DEPENDENCYPART_ARC
(5,1),-1.25561 # DEPENDENCYPART_ARC
(5,2),-1.57772 # DEPENDENCYPART_ARC
(5,3),-1.55911 # DEPENDENCYPART_ARC
(5,4),1.40445 # DEPENDENCYPART_ARC
(5,6),-0.59983 # DEPENDENCYPART_ARC
(5,7),-1.07153 # DEPENDENCYPART_ARC
(5,8),-1.33093 # DEPENDENCYPART_ARC
(5,10),-1.83945 # DEPENDENCYPART_ARC
(5,11),-2.16256 # DEPENDENCYPART_ARC
(5,13),-1.58825 # DEPENDENCYPART_ARC
(5,14),-1.47726 # DEPENDENCYPART_ARC
(5,17),-2.62545 # DEPENDENCYPART_ARC
(5,18),-2.08499 # DEPENDENCYPART_ARC
(5,20),-2.79487 # DEPENDENCYPART_ARC
(5,23),-1.23028 # DEPENDENCYPART_ARC
(5,25),-2.77298 # DEPENDENCYPART_ARC
(5,29),-3.58919 # DEPENDENCYPART_ARC
(6,5),-2.19512 # DEPENDENCYPART_ARC
(6,7),-1.59321 # DEPENDENCYPART_ARC
(7,5),-2.18658 # DEPENDENCYPART_ARC
(7,6),-1.74189 # DEPENDENCYPART_ARC
(7,8),-0.210343 # DEPENDENCYPART_ARC
(7,9),-2.09055 # DEPENDENCYPART_ARC
(7,10),-1.82152 # DEPENDENCYPART_ARC
(7,11),-2.0817 # DEPENDENCYPART_ARC
(7,13),-0.383524 # DEPENDENCYPART_ARC
(7,14),-2.18929 # DEPENDENCYPART_ARC
(8,6),-2.36518 # DEPENDENCYPART_ARC
(8,7),-1.20625 # DEPENDENCYPART_ARC
(8,9),-0.990347 # DEPENDENCYPART_ARC
(8,10),-0.575144 # DEPENDENCYPART_ARC
(8,11),0.974121 # DEPENDENCYPART_ARC
(8,12),-1.41239 # DEPENDENCYPART_ARC
(8,13),-0.217526 # DEPENDENCYPART_ARC
(8,14),-1.56982 # DEPENDENCYPART_ARC
(8,15),-1.53583 # DEPENDENCYPART_ARC
(8,17),-0.849647 # DEPENDENCYPART_ARC
(8,18),-1.3845 # DEPENDENCYPART_ARC
(8,29),-2.6027 # DEPENDENCYPART_ARC
(9,13),-1.89455 # DEPENDENCYPART_ARC
(10,6),-2.27168 # DEPENDENCYPART_ARC
(10,7),-2.08101 # DEPENDENCYPART_ARC
(10,9),-0.585707 # DEPENDENCYPART_ARC
(10,12),-1.59399 # DEPENDENCYPART_ARC
(10,13),-1.28097 # DEPENDENCYPART_ARC
(10,14),-1.61811 # DEPENDENCYPART_ARC
(11,5),-2.03637 # DEPENDENCYPART_ARC
(11,6),-1.95733 # DEPENDENCYPART_ARC
(11,7),-1.8825 # DEPENDENCYPART_ARC
(11,8),-1.14298 # DEPENDENCYPART_ARC
(11,9),1.5795 # DEPENDENCYPART_ARC
(11,10),1.62482 # DEPENDENCYPART_ARC
(11,12),-0.635943 # DEPENDENCYPART_ARC
(11,13),-0.300737 # DEPENDENCYPART_ARC
(11,14),-0.574931 # DEPENDENCYPART_ARC
(11,15),-1.54229 # DEPENDENCYPART_ARC
(11,16),-1.56876 # DEPENDENCYPART_ARC
(11,17),-1.63247 # DEPENDENCYPART_ARC
(11,18),-0.966839 # DEPENDENCYPART_ARC
(11,19),-1.71364 # DEPENDENCYPART_ARC
(11,20),-1.80586 # DEPENDENCYPART_ARC
(11,24),-2.25615 # DEPENDENCYPART_ARC
(11,25),-1.69126 # DEPENDENCYPART_ARC
(11,28),-2.72877 # DEPENDENCYPART_ARC
(11,29),-1.24092 # DEPENDENCYPART_ARC
(11,30),-1.92757 # DEPENDENCYPART_ARC
(12,11),-1.93263 # DEPENDENCYPART_ARC
(12,14),-1.71513 # DEPENDENCYPART_ARC
(13,2),-1.60079 # DEPENDENCYPART_ARC
(13,3),-1.64349 # DEPENDENCYPART_ARC
(13,4),-2.29919 # DEPENDENCYPART_ARC
(13,5),-1.26133 # DEPENDENCYPART_ARC
(13,6),-2.0655 # DEPENDENCYPART_ARC
(13,7),-1.66227 # DEPENDENCYPART_ARC
(13,8),-1.11359 # DEPENDENCYPART_ARC
(13,9),-1.76679 # DEPENDENCYPART_ARC
(13,10),-1.36726 # DEPENDENCYPART_ARC
(13,11),-1.20481 # DEPENDENCYPART_ARC
(13,12),1.67954 # DEPENDENCYPART_ARC
(13,14),1.01282 # DEPENDENCYPART_ARC
(13,15),-0.450934 # DEPENDENCYPART_ARC
(13,16),-1.46781 # DEPENDENCYPART_ARC
(13,17),-0.781414 # DEPENDENCYPART_ARC
(13,18),-0.852466 # DEPENDENCYPART_ARC
(13,19),-1.7152 # DEPENDENCYPART_ARC
(13,20),-1.44449 # DEPENDENCYPART_ARC
(13,22),-1.88377 # DEPENDENCYPART_ARC
(13,23),-1.61283 # DEPENDENCYPART_ARC
(13,25),-1.7049 # DEPENDENCYPART_ARC
(13,28),-2.69244 # DEPENDENCYPART_ARC
(13,29),-0.391613 # DEPENDENCYPART_ARC
(13,30),-1.41755 # DEPENDENCYPART_ARC
(14,5),-2.35752 # DEPENDENCYPART_ARC
(14,8),-1.84307 # DEPENDENCYPART_ARC
(14,11),-2.06798 # DEPENDENCYPART_ARC
(14,12),-1.7325 # DEPENDENCYPART_ARC
(14,13),-1.17915 # DEPENDENCYPART_ARC
(14,15),1.75175 # DEPENDENCYPART_ARC
(14,16),-1.06113 # DEPENDENCYPART_ARC
(14,17),-0.459309 # DEPENDENCYPART_ARC
(14,18),-1.16752 # DEPENDENCYPART_ARC
(14,19),-1.05521 # DEPENDENCYPART_ARC
(15,3),-2.3256 # DEPENDENCYPART_ARC
(15,5),-1.86691 # DEPENDENCYPART_ARC
(15,6),-2.72691 # DEPENDENCYPART_ARC
(15,8),-1.48561 # DEPENDENCYPART_ARC
(15,11),-1.53309 # DEPENDENCYPART_ARC
(15,12),-1.74475 # DEPENDENCYPART_ARC
(15,16),-0.128635 # DEPENDENCYPART_ARC
(15,17),0.347086 # DEPENDENCYPART_ARC
(15,18),-0.336813 # DEPENDENCYPART_ARC
(15,19),-0.836188 # DEPENDENCYPART_ARC
(15,20),-1.01471 # DEPENDENCYPART_ARC
(15,22),-1.48135 # DEPENDENCYPART_ARC
(15,23),-1.24022 # DEPENDENCYPART_ARC
(15,24),-2.14347 # DEPENDENCYPART_ARC
(15,25),-1.7874 # DEPENDENCYPART_ARC
(15,29),-1.58754 # DEPENDENCYPART_ARC
(15,30),-1.82476 # DEPENDENCYPART_ARC
(16,18),-1.55395 # DEPENDENCYPART_ARC
(16,19),-1.97627 # DEPENDENCYPART_ARC
(16,20),-1.87944 # DEPENDENCYPART_ARC
(17,8),-2.13649 # DEPENDENCYPART_ARC
(17,9),-1.11535 # DEPENDENCYPART_ARC
(17,10),-1.13754 # DEPENDENCYPART_ARC
(17,11),-1.55128 # DEPENDENCYPART_ARC
(17,12),-2.27764 # DEPENDENCYPART_ARC
(17,14),-1.62703 # DEPENDENCYPART_ARC
(17,15),-0.712524 # DEPENDENCYPART_ARC
(17,16),1.75376 # DEPENDENCYPART_ARC
(17,18),0.0398241 # DEPENDENCYPART_ARC
(17,19),-1.06804 # DEPENDENCYPART_ARC
(17,20),-0.671225 # DEPENDENCYPART_ARC
(17,21),-1.38789 # DEPENDENCYPART_ARC
(17,22),-1.65018 # DEPENDENCYPART_ARC
(17,23),-0.763298 # DEPENDENCYPART_ARC
(17,24),-1.78055 # DEPENDENCYPART_ARC
(17,25),-1.53102 # DEPENDENCYPART_ARC
(17,28),-2.67319 # DEPENDENCYPART_ARC
(17,29),-2.62548 # DEPENDENCYPART_ARC
(17,30),-1.6945 # DEPENDENCYPART_ARC
(18,17),-1.55681 # DEPENDENCYPART_ARC
(18,19),1.76789 # DEPENDENCYPART_ARC
(18,20),-1.15929 # DEPENDENCYPART_ARC
(18,22),-0.201227 # DEPENDENCYPART_ARC
(19,16),-2.06976 # DEPENDENCYPART_ARC
(19,17),-1.38289 # DEPENDENCYPART_ARC
(19,20),1.04115 # DEPENDENCYPART_ARC
(19,21),-0.786551 # DEPENDENCYPART_ARC
(19,22),-0.762941 # DEPENDENCYPART_ARC
(19,23),-0.912806 # DEPENDENCYPART_ARC
(19,24),-1.32795 # DEPENDENCYPART_ARC
(19,25),-0.725946 # DEPENDENCYPART_ARC
(19,28),-2.09401 # DEPENDENCYPART_ARC
(19,29),-2.1951 # DEPENDENCYPART_ARC
(19,30),-1.23039 # DEPENDENCYPART_ARC
(20,18),-1.79193 # DEPENDENCYPART_ARC
(20,21),-0.309961 # DEPENDENCYPART_ARC
(20,22),1.97405 # DEPENDENCYPART_ARC
(20,24),-1.81265 # DEPENDENCYPART_ARC
(20,25),-2.04046 # DEPENDENCYPART_ARC
(20,28),-1.46029 # DEPENDENCYPART_ARC
(21,24),-2.12073 # DEPENDENCYPART_ARC
(22,16),-2.08538 # DEPENDENCYPART_ARC
(22,17),-1.92288 # DEPENDENCYPART_ARC
(22,19),-1.26018 # DEPENDENCYPART_ARC
(22,21),1.49243 # DEPENDENCYPART_ARC
(22,23),-0.00489872 # DEPENDENCYPART_ARC
(22,24),-1.35881 # DEPENDENCYPART_ARC
(22,25),-0.875911 # DEPENDENCYPART_ARC
(22,27),-1.81965 # DEPENDENCYPART_ARC
(22,28),-2.10298 # DEPENDENCYPART_ARC
(22,29),-2.06377 # DEPENDENCYPART_ARC
(22,30),-1.43485 # DEPENDENCYPART_ARC
(24,20),-2.06826 # DEPENDENCYPART_ARC
(24,21),-1.49592 # DEPENDENCYPART_ARC
(24,22),-1.88202 # DEPENDENCYPART_ARC
(24,23),-1.4272 # DEPENDENCYPART_ARC
(24,25),-0.129824 # DEPENDENCYPART_ARC
(24,26),-1.85495 # DEPENDENCYPART_ARC
(24,27),-1.71924 # DEPENDENCYPART_ARC
(24,28),-1.85005 # DEPENDENCYPART_ARC
(25,23),-1.6817 # DEPENDENCYPART_ARC
(25,24),0.355147 # DEPENDENCYPART_ARC
(25,26),-1.44247 # DEPENDENCYPART_ARC
(25,27),-1.16324 # DEPENDENCYPART_ARC
(25,28),0.0482756 # DEPENDENCYPART_ARC
(25,30),-1.33098 # DEPENDENCYPART_ARC
(27,24),-1.62598 # DEPENDENCYPART_ARC
(27,26),-0.749198 # DEPENDENCYPART_ARC
(28,21),-1.97286 # DEPENDENCYPART_ARC
(28,23),-1.5904 # DEPENDENCYPART_ARC
(28,24),-1.28727 # DEPENDENCYPART_ARC
(28,26),1.18815 # DEPENDENCYPART_ARC
(28,27),1.56712 # DEPENDENCYPART_ARC
(28,29),-1.4936 # DEPENDENCYPART_ARC
(28,30),-1.58061 # DEPENDENCYPART_ARC
(29,28),-2.50752 # DEPENDENCYPART_ARC
(29,30),-2.13791 # DEPENDENCYPART_ARC
(30,28),-2.59983 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.416386 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.364354 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.82031 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.331243 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0572348 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0469576 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0865212 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0599661 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.293169 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.091623 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.316038 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00999367 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.00505355 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.146712 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0459589 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0603677 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0444157 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0522152 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.639811 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.1475 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.550238 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.135629 # DEPENDENCYPART_SIBL
(2,7),(2,13),-0.0883861 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0531195 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.358983 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.242124 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.101256 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.11696 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.202266 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0936824 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.165211 # DEPENDENCYPART_SIBL
(3,1),(3,11),-0.0190056 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.154704 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.0560398 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.247723 # DEPENDENCYPART_SIBL
(3,1),(3,15),-0.239838 # DEPENDENCYPART_SIBL
(3,1),(3,17),-0.109363 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0410023 # DEPENDENCYPART_SIBL
(3,1),(3,19),-0.109074 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.146513 # DEPENDENCYPART_SIBL
