# _root_ As a U.S.-based company , Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .
#goldHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,9,9,25,25,22,25,28,26,8,
#predictedHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,11,11,25,25,22,25,28,26,8,
(0,1),-3.86837 # DEPENDENCYPART_ARC
(0,4),-4.15679 # DEPENDENCYPART_ARC
(0,8),-2.72998 # DEPENDENCYPART_ARC
(0,9),-4.23609 # DEPENDENCYPART_ARC
(1,2),-0.989358 # DEPENDENCYPART_ARC
(1,3),-0.900184 # DEPENDENCYPART_ARC
(1,4),0.210349 # DEPENDENCYPART_ARC
(1,5),-1.36051 # DEPENDENCYPART_ARC
(1,6),-2.93707 # DEPENDENCYPART_ARC
(1,7),-2.60244 # DEPENDENCYPART_ARC
(1,8),-0.325854 # DEPENDENCYPART_ARC
(1,9),-1.70938 # DEPENDENCYPART_ARC
(1,10),-2.41281 # DEPENDENCYPART_ARC
(1,29),-2.56971 # DEPENDENCYPART_ARC
(2,1),-1.44725 # DEPENDENCYPART_ARC
(2,5),-1.76201 # DEPENDENCYPART_ARC
(3,1),-1.56187 # DEPENDENCYPART_ARC
(3,2),-0.731759 # DEPENDENCYPART_ARC
(3,5),-1.78277 # DEPENDENCYPART_ARC
(3,7),-2.35507 # DEPENDENCYPART_ARC
(4,1),-1.30332 # DEPENDENCYPART_ARC
(4,2),1.85866 # DEPENDENCYPART_ARC
(4,3),2.14789 # DEPENDENCYPART_ARC
(4,5),-0.0649666 # DEPENDENCYPART_ARC
(4,6),-1.47141 # DEPENDENCYPART_ARC
(4,7),-1.59041 # DEPENDENCYPART_ARC
(4,8),-1.28201 # DEPENDENCYPART_ARC
(4,9),-1.94877 # DEPENDENCYPART_ARC
(4,10),-1.47403 # DEPENDENCYPART_ARC
(4,14),-2.11206 # DEPENDENCYPART_ARC
(4,15),-2.30702 # DEPENDENCYPART_ARC
(4,16),-2.30497 # DEPENDENCYPART_ARC
(4,17),-2.66952 # DEPENDENCYPART_ARC
(4,21),-1.34489 # DEPENDENCYPART_ARC
(4,29),-3.14843 # DEPENDENCYPART_ARC
(6,4),-2.62274 # DEPENDENCYPART_ARC
(6,5),-2.03741 # DEPENDENCYPART_ARC
(6,7),-0.663091 # DEPENDENCYPART_ARC
(6,14),-2.9056 # DEPENDENCYPART_ARC
(7,1),-2.79524 # DEPENDENCYPART_ARC
(7,2),-1.82621 # DEPENDENCYPART_ARC
(7,3),-1.64594 # DEPENDENCYPART_ARC
(7,4),-1.87336 # DEPENDENCYPART_ARC
(7,5),-1.49963 # DEPENDENCYPART_ARC
(7,6),1.34832 # DEPENDENCYPART_ARC
(7,8),-1.00148 # DEPENDENCYPART_ARC
(7,9),-1.86503 # DEPENDENCYPART_ARC
(7,14),-2.28126 # DEPENDENCYPART_ARC
(8,1),-0.565335 # DEPENDENCYPART_ARC
(8,2),-1.7796 # DEPENDENCYPART_ARC
(8,3),-1.72368 # DEPENDENCYPART_ARC
(8,4),-0.906406 # DEPENDENCYPART_ARC
(8,5),0.144102 # DEPENDENCYPART_ARC
(8,6),-0.528975 # DEPENDENCYPART_ARC
(8,7),0.411838 # DEPENDENCYPART_ARC
(8,9),2.49818 # DEPENDENCYPART_ARC
(8,10),-0.515229 # DEPENDENCYPART_ARC
(8,11),-0.48988 # DEPENDENCYPART_ARC
(8,14),-1.8515 # DEPENDENCYPART_ARC
(8,15),-1.22494 # DEPENDENCYPART_ARC
(8,16),-1.79761 # DEPENDENCYPART_ARC
(8,18),-1.4878 # DEPENDENCYPART_ARC
(8,21),-1.20525 # DEPENDENCYPART_ARC
(8,22),-1.87361 # DEPENDENCYPART_ARC
(8,29),0.966066 # DEPENDENCYPART_ARC
(9,1),-1.62776 # DEPENDENCYPART_ARC
(9,4),-1.59988 # DEPENDENCYPART_ARC
(9,5),-1.79466 # DEPENDENCYPART_ARC
(9,6),-1.59282 # DEPENDENCYPART_ARC
(9,7),-1.74776 # DEPENDENCYPART_ARC
(9,8),-1.04781 # DEPENDENCYPART_ARC
(9,10),1.05702 # DEPENDENCYPART_ARC
(9,11),-0.189492 # DEPENDENCYPART_ARC
(9,13),-1.67477 # DEPENDENCYPART_ARC
(9,14),-0.620736 # DEPENDENCYPART_ARC
(9,15),-0.518169 # DEPENDENCYPART_ARC
(9,16),-1.58245 # DEPENDENCYPART_ARC
(9,17),-2.15643 # DEPENDENCYPART_ARC
(9,18),-1.17246 # DEPENDENCYPART_ARC
(9,21),-0.87187 # DEPENDENCYPART_ARC
(9,22),-1.32294 # DEPENDENCYPART_ARC
(9,24),-1.74848 # DEPENDENCYPART_ARC
(9,26),-1.90463 # DEPENDENCYPART_ARC
(9,29),-1.41038 # DEPENDENCYPART_ARC
(10,1),-1.99764 # DEPENDENCYPART_ARC
(10,4),-2.44249 # DEPENDENCYPART_ARC
(10,5),-2.30857 # DEPENDENCYPART_ARC
(10,7),-2.10084 # DEPENDENCYPART_ARC
(10,11),2.33336 # DEPENDENCYPART_ARC
(10,12),-1.42657 # DEPENDENCYPART_ARC
(10,14),-0.722191 # DEPENDENCYPART_ARC
(10,15),-0.985885 # DEPENDENCYPART_ARC
(10,16),-1.39695 # DEPENDENCYPART_ARC
(10,21),-0.895438 # DEPENDENCYPART_ARC
(11,1),-1.77816 # DEPENDENCYPART_ARC
(11,4),-1.98592 # DEPENDENCYPART_ARC
(11,5),-2.41965 # DEPENDENCYPART_ARC
(11,7),-2.00431 # DEPENDENCYPART_ARC
(11,12),-0.80377 # DEPENDENCYPART_ARC
(11,13),-0.682916 # DEPENDENCYPART_ARC
(11,14),0.183538 # DEPENDENCYPART_ARC
(11,15),-0.171135 # DEPENDENCYPART_ARC
(11,16),-0.942751 # DEPENDENCYPART_ARC
(11,17),-1.48823 # DEPENDENCYPART_ARC
(11,18),-0.668927 # DEPENDENCYPART_ARC
(11,20),-1.05025 # DEPENDENCYPART_ARC
(11,21),-0.896226 # DEPENDENCYPART_ARC
(11,22),-1.28888 # DEPENDENCYPART_ARC
(11,24),-1.70263 # DEPENDENCYPART_ARC
(11,25),-1.858 # DEPENDENCYPART_ARC
(11,26),-1.42492 # DEPENDENCYPART_ARC
(11,27),-2.0509 # DEPENDENCYPART_ARC
(11,28),-2.17955 # DEPENDENCYPART_ARC
(11,29),-1.56094 # DEPENDENCYPART_ARC
(13,12),-0.446107 # DEPENDENCYPART_ARC
(13,15),-1.25075 # DEPENDENCYPART_ARC
(14,6),-2.28273 # DEPENDENCYPART_ARC
(14,7),-2.69922 # DEPENDENCYPART_ARC
(14,12),0.983076 # DEPENDENCYPART_ARC
(14,13),1.74102 # DEPENDENCYPART_ARC
(14,15),-0.398244 # DEPENDENCYPART_ARC
(14,16),-1.47348 # DEPENDENCYPART_ARC
(14,17),-1.58977 # DEPENDENCYPART_ARC
(14,18),-1.37979 # DEPENDENCYPART_ARC
(14,20),-1.75758 # DEPENDENCYPART_ARC
(14,21),-1.63788 # DEPENDENCYPART_ARC
(14,22),-1.99322 # DEPENDENCYPART_ARC
(14,24),-2.15137 # DEPENDENCYPART_ARC
(14,26),-2.17907 # DEPENDENCYPART_ARC
(14,27),-2.88736 # DEPENDENCYPART_ARC
(14,29),-2.40607 # DEPENDENCYPART_ARC
(15,14),-1.25706 # DEPENDENCYPART_ARC
(15,16),-0.624972 # DEPENDENCYPART_ARC
(15,17),-1.07749 # DEPENDENCYPART_ARC
(15,18),-1.73759 # DEPENDENCYPART_ARC
(15,19),-2.15822 # DEPENDENCYPART_ARC
(15,20),0.41147 # DEPENDENCYPART_ARC
(15,21),-1.66014 # DEPENDENCYPART_ARC
(15,22),-1.95699 # DEPENDENCYPART_ARC
(15,25),-2.56749 # DEPENDENCYPART_ARC
(15,29),-2.90018 # DEPENDENCYPART_ARC
(16,14),-1.99799 # DEPENDENCYPART_ARC
(16,15),-0.501849 # DEPENDENCYPART_ARC
(16,17),-0.995998 # DEPENDENCYPART_ARC
(16,18),-0.296507 # DEPENDENCYPART_ARC
(16,19),-1.29841 # DEPENDENCYPART_ARC
(16,20),-1.88559 # DEPENDENCYPART_ARC
(16,22),-2.18931 # DEPENDENCYPART_ARC
(16,25),-2.76931 # DEPENDENCYPART_ARC
(17,1),-2.04614 # DEPENDENCYPART_ARC
(17,7),-2.62575 # DEPENDENCYPART_ARC
(17,12),-1.51565 # DEPENDENCYPART_ARC
(17,13),-1.38118 # DEPENDENCYPART_ARC
(17,14),-1.5445 # DEPENDENCYPART_ARC
(17,15),-1.0216 # DEPENDENCYPART_ARC
(17,16),0.968147 # DEPENDENCYPART_ARC
(17,18),0.810388 # DEPENDENCYPART_ARC
(17,19),-0.0713047 # DEPENDENCYPART_ARC
(17,20),-1.31954 # DEPENDENCYPART_ARC
(17,21),-0.973654 # DEPENDENCYPART_ARC
(17,22),-1.42304 # DEPENDENCYPART_ARC
(17,24),-1.60746 # DEPENDENCYPART_ARC
(17,25),-2.15006 # DEPENDENCYPART_ARC
(17,26),-1.63243 # DEPENDENCYPART_ARC
(17,27),-1.92011 # DEPENDENCYPART_ARC
(17,28),-2.26312 # DEPENDENCYPART_ARC
(17,29),-2.11443 # DEPENDENCYPART_ARC
(18,16),-1.63039 # DEPENDENCYPART_ARC
(18,17),-1.28283 # DEPENDENCYPART_ARC
(18,19),-0.603077 # DEPENDENCYPART_ARC
(18,20),0.429762 # DEPENDENCYPART_ARC
(18,21),-1.54922 # DEPENDENCYPART_ARC
(18,22),-1.82976 # DEPENDENCYPART_ARC
(18,27),-1.67478 # DEPENDENCYPART_ARC
(19,15),-2.29456 # DEPENDENCYPART_ARC
(19,17),-1.75703 # DEPENDENCYPART_ARC
(19,18),-0.784377 # DEPENDENCYPART_ARC
(19,20),-1.49243 # DEPENDENCYPART_ARC
(19,22),-1.98163 # DEPENDENCYPART_ARC
(20,12),-2.02377 # DEPENDENCYPART_ARC
(20,16),-1.01908 # DEPENDENCYPART_ARC
(20,17),-0.706482 # DEPENDENCYPART_ARC
(20,18),-1.04105 # DEPENDENCYPART_ARC
(20,19),1.45778 # DEPENDENCYPART_ARC
(20,21),-0.944108 # DEPENDENCYPART_ARC
(20,22),-1.27455 # DEPENDENCYPART_ARC
(20,24),-1.59801 # DEPENDENCYPART_ARC
(20,25),-2.05915 # DEPENDENCYPART_ARC
(20,26),-1.62337 # DEPENDENCYPART_ARC
(20,27),-1.99308 # DEPENDENCYPART_ARC
(20,28),-2.22107 # DEPENDENCYPART_ARC
(22,18),-1.84666 # DEPENDENCYPART_ARC
(22,19),-2.13987 # DEPENDENCYPART_ARC
(22,20),-2.03167 # DEPENDENCYPART_ARC
(22,23),-0.446169 # DEPENDENCYPART_ARC
(22,24),-0.1098 # DEPENDENCYPART_ARC
(22,25),0.383705 # DEPENDENCYPART_ARC
(22,26),-0.277486 # DEPENDENCYPART_ARC
(22,27),-0.948464 # DEPENDENCYPART_ARC
(22,28),-0.754742 # DEPENDENCYPART_ARC
(22,29),-1.96349 # DEPENDENCYPART_ARC
(23,24),-1.03302 # DEPENDENCYPART_ARC
(23,28),-2.40117 # DEPENDENCYPART_ARC
(24,20),-1.99096 # DEPENDENCYPART_ARC
(24,23),-1.17041 # DEPENDENCYPART_ARC
(24,25),-0.604415 # DEPENDENCYPART_ARC
(24,26),-0.661199 # DEPENDENCYPART_ARC
(24,27),-1.67939 # DEPENDENCYPART_ARC
(24,28),-1.6811 # DEPENDENCYPART_ARC
(25,17),-2.27077 # DEPENDENCYPART_ARC
(25,19),-2.66471 # DEPENDENCYPART_ARC
(25,20),-1.51265 # DEPENDENCYPART_ARC
(25,23),1.39027 # DEPENDENCYPART_ARC
(25,24),1.12407 # DEPENDENCYPART_ARC
(25,26),0.275461 # DEPENDENCYPART_ARC
(25,27),-0.938633 # DEPENDENCYPART_ARC
(25,28),-1.28629 # DEPENDENCYPART_ARC
(26,24),-2.18236 # DEPENDENCYPART_ARC
(26,25),-1.2062 # DEPENDENCYPART_ARC
(26,27),-0.243423 # DEPENDENCYPART_ARC
(26,28),0.951612 # DEPENDENCYPART_ARC
(27,25),-1.83259 # DEPENDENCYPART_ARC
(27,26),-0.844749 # DEPENDENCYPART_ARC
(27,28),-0.490796 # DEPENDENCYPART_ARC
(28,19),-2.34899 # DEPENDENCYPART_ARC
(28,23),-1.78187 # DEPENDENCYPART_ARC
(28,24),-1.27199 # DEPENDENCYPART_ARC
(28,25),-1.26855 # DEPENDENCYPART_ARC
(28,26),-1.13874 # DEPENDENCYPART_ARC
(28,27),1.04281 # DEPENDENCYPART_ARC
(28,29),-1.44897 # DEPENDENCYPART_ARC
(29,28),-2.46222 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.142541 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.271577 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.164051 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.349612 # DEPENDENCYPART_SIBL
(0,4),(0,9),-0.163271 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.384404 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.256612 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.45742 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.069161 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.333 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.332996 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.489808 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.303072 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.35145 # DEPENDENCYPART_SIBL
(1,2),(1,29),-0.226998 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.478078 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0115576 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.300598 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.299639 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.461918 # DEPENDENCYPART_SIBL
(1,3),(1,9),-0.283656 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.367167 # DEPENDENCYPART_SIBL
(1,3),(1,29),-0.169607 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.067594 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.564338 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.564339 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.744371 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.507878 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.477269 # DEPENDENCYPART_SIBL
(1,4),(1,29),-0.20968 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0236738 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0350248 # DEPENDENCYPART_SIBL
(1,5),(1,8),0.0382802 # DEPENDENCYPART_SIBL
