# _root_ `` We 've started trying just about anything to keep sales moving in the stores , '' says Kim Renk , a Swank vice president .
#goldHeads=18,3,18,3,4,8,8,5,10,5,12,10,12,15,13,18,18,0,20,18,20,25,25,25,20,18,
#predictedHeads=18,3,18,3,4,7,5,7,10,8,12,10,12,15,13,18,18,0,20,18,20,25,25,25,20,18,
(0,3),-1.97756 # DEPENDENCYPART_ARC
(0,4),-2.66041 # DEPENDENCYPART_ARC
(0,5),-2.87425 # DEPENDENCYPART_ARC
(0,18),-1.09283 # DEPENDENCYPART_ARC
(2,3),-0.185825 # DEPENDENCYPART_ARC
(2,10),-1.36609 # DEPENDENCYPART_ARC
(3,1),-0.474376 # DEPENDENCYPART_ARC
(3,2),0.976846 # DEPENDENCYPART_ARC
(3,4),1.14035 # DEPENDENCYPART_ARC
(3,5),-0.0249715 # DEPENDENCYPART_ARC
(3,6),-1.19903 # DEPENDENCYPART_ARC
(3,7),-1.20925 # DEPENDENCYPART_ARC
(3,8),-1.41598 # DEPENDENCYPART_ARC
(3,9),-1.35781 # DEPENDENCYPART_ARC
(3,10),-0.996107 # DEPENDENCYPART_ARC
(3,12),-0.88659 # DEPENDENCYPART_ARC
(3,13),-1.55567 # DEPENDENCYPART_ARC
(3,16),-1.82644 # DEPENDENCYPART_ARC
(3,17),-0.627026 # DEPENDENCYPART_ARC
(3,18),-2.04599 # DEPENDENCYPART_ARC
(3,21),-2.52447 # DEPENDENCYPART_ARC
(3,26),-1.23483 # DEPENDENCYPART_ARC
(4,3),-0.863191 # DEPENDENCYPART_ARC
(4,5),0.784988 # DEPENDENCYPART_ARC
(4,6),-1.1688 # DEPENDENCYPART_ARC
(4,7),-1.30032 # DEPENDENCYPART_ARC
(4,8),-1.45865 # DEPENDENCYPART_ARC
(4,9),-1.53121 # DEPENDENCYPART_ARC
(4,10),-1.28668 # DEPENDENCYPART_ARC
(4,11),-1.91971 # DEPENDENCYPART_ARC
(4,12),-1.19139 # DEPENDENCYPART_ARC
(4,13),-1.43048 # DEPENDENCYPART_ARC
(4,16),-1.69804 # DEPENDENCYPART_ARC
(4,17),-0.880404 # DEPENDENCYPART_ARC
(4,18),-2.15855 # DEPENDENCYPART_ARC
(4,21),-2.36339 # DEPENDENCYPART_ARC
(4,26),-1.93666 # DEPENDENCYPART_ARC
(5,2),-1.68347 # DEPENDENCYPART_ARC
(5,3),-1.80361 # DEPENDENCYPART_ARC
(5,4),-0.767554 # DEPENDENCYPART_ARC
(5,6),0.508766 # DEPENDENCYPART_ARC
(5,7),-0.160528 # DEPENDENCYPART_ARC
(5,8),-0.583363 # DEPENDENCYPART_ARC
(5,9),-0.854447 # DEPENDENCYPART_ARC
(5,10),-0.578909 # DEPENDENCYPART_ARC
(5,11),-1.52511 # DEPENDENCYPART_ARC
(5,12),-0.6999 # DEPENDENCYPART_ARC
(5,13),-1.01631 # DEPENDENCYPART_ARC
(5,15),-1.59769 # DEPENDENCYPART_ARC
(5,16),-1.32678 # DEPENDENCYPART_ARC
(5,17),-0.73507 # DEPENDENCYPART_ARC
(5,18),-1.72887 # DEPENDENCYPART_ARC
(5,21),-1.87312 # DEPENDENCYPART_ARC
(5,26),-1.52343 # DEPENDENCYPART_ARC
(6,5),-0.162147 # DEPENDENCYPART_ARC
(6,7),-0.0208764 # DEPENDENCYPART_ARC
(6,8),-0.774021 # DEPENDENCYPART_ARC
(6,9),-0.787361 # DEPENDENCYPART_ARC
(6,10),-0.935676 # DEPENDENCYPART_ARC
(6,11),-1.33636 # DEPENDENCYPART_ARC
(6,13),-1.4035 # DEPENDENCYPART_ARC
(6,15),-1.53918 # DEPENDENCYPART_ARC
(6,18),-1.69249 # DEPENDENCYPART_ARC
(7,5),-1.15138 # DEPENDENCYPART_ARC
(7,6),0.235933 # DEPENDENCYPART_ARC
(7,8),0.543529 # DEPENDENCYPART_ARC
(7,9),-0.709036 # DEPENDENCYPART_ARC
(7,10),-0.987428 # DEPENDENCYPART_ARC
(7,11),-1.49461 # DEPENDENCYPART_ARC
(7,12),-1.37361 # DEPENDENCYPART_ARC
(8,1),-2.08276 # DEPENDENCYPART_ARC
(8,3),-1.78418 # DEPENDENCYPART_ARC
(8,4),-1.75704 # DEPENDENCYPART_ARC
(8,5),-1.50348 # DEPENDENCYPART_ARC
(8,6),-0.850887 # DEPENDENCYPART_ARC
(8,7),-0.111145 # DEPENDENCYPART_ARC
(8,9),0.0933887 # DEPENDENCYPART_ARC
(8,10),-0.590084 # DEPENDENCYPART_ARC
(8,11),-1.20119 # DEPENDENCYPART_ARC
(8,12),-1.16685 # DEPENDENCYPART_ARC
(8,13),-1.13538 # DEPENDENCYPART_ARC
(8,15),-1.28665 # DEPENDENCYPART_ARC
(8,16),-1.6569 # DEPENDENCYPART_ARC
(8,17),-1.54677 # DEPENDENCYPART_ARC
(8,18),-2.06885 # DEPENDENCYPART_ARC
(8,20),-1.76128 # DEPENDENCYPART_ARC
(8,21),-1.63766 # DEPENDENCYPART_ARC
(8,25),-2.00662 # DEPENDENCYPART_ARC
(8,26),-1.98138 # DEPENDENCYPART_ARC
(9,7),-0.99505 # DEPENDENCYPART_ARC
(9,8),-0.26781 # DEPENDENCYPART_ARC
(9,10),-0.37342 # DEPENDENCYPART_ARC
(9,11),-1.39076 # DEPENDENCYPART_ARC
(9,12),-1.68868 # DEPENDENCYPART_ARC
(9,13),-1.7009 # DEPENDENCYPART_ARC
(9,15),-2.45044 # DEPENDENCYPART_ARC
(10,3),-1.54845 # DEPENDENCYPART_ARC
(10,6),-1.17195 # DEPENDENCYPART_ARC
(10,7),-0.767963 # DEPENDENCYPART_ARC
(10,8),-0.718453 # DEPENDENCYPART_ARC
(10,9),1.20826 # DEPENDENCYPART_ARC
(10,11),0.64718 # DEPENDENCYPART_ARC
(10,12),-0.153355 # DEPENDENCYPART_ARC
(10,13),-1.00431 # DEPENDENCYPART_ARC
(10,15),-1.20688 # DEPENDENCYPART_ARC
(10,16),-1.49855 # DEPENDENCYPART_ARC
(10,17),-1.10212 # DEPENDENCYPART_ARC
(10,18),-2.11928 # DEPENDENCYPART_ARC
(10,20),-2.3813 # DEPENDENCYPART_ARC
(10,25),-2.27568 # DEPENDENCYPART_ARC
(10,26),-1.7048 # DEPENDENCYPART_ARC
(11,5),-1.63921 # DEPENDENCYPART_ARC
(11,6),-1.59498 # DEPENDENCYPART_ARC
(11,7),-1.45757 # DEPENDENCYPART_ARC
(11,8),-1.39693 # DEPENDENCYPART_ARC
(11,9),-1.18814 # DEPENDENCYPART_ARC
(11,10),0.341712 # DEPENDENCYPART_ARC
(11,12),0.315323 # DEPENDENCYPART_ARC
(11,13),-0.666489 # DEPENDENCYPART_ARC
(11,15),-1.30642 # DEPENDENCYPART_ARC
(11,16),-1.59405 # DEPENDENCYPART_ARC
(11,20),-1.72086 # DEPENDENCYPART_ARC
(11,21),-1.85119 # DEPENDENCYPART_ARC
(11,25),-1.97797 # DEPENDENCYPART_ARC
(12,3),-2.26544 # DEPENDENCYPART_ARC
