# _root_ From 1974 to 1984 , prices for the best yearlings at the summer sales rose 918 % to an average of $ 544,681 .
#goldHeads=15,1,1,3,15,15,6,10,10,7,15,14,14,11,0,17,15,15,20,18,20,23,21,15,
#predictedHeads=15,1,1,3,15,15,6,10,10,7,10,14,14,11,0,17,15,15,20,18,20,23,21,15,
(0,1),-1.64353 # DEPENDENCYPART_ARC
(0,2),-2.24875 # DEPENDENCYPART_ARC
(0,3),-2.2292 # DEPENDENCYPART_ARC
(0,4),-2.63379 # DEPENDENCYPART_ARC
(0,6),-3.45887 # DEPENDENCYPART_ARC
(0,10),-3.55897 # DEPENDENCYPART_ARC
(0,15),-2.93378 # DEPENDENCYPART_ARC
(1,2),0.483381 # DEPENDENCYPART_ARC
(1,3),-0.078231 # DEPENDENCYPART_ARC
(1,4),-0.863983 # DEPENDENCYPART_ARC
(1,5),-0.967024 # DEPENDENCYPART_ARC
(1,6),-1.57863 # DEPENDENCYPART_ARC
(1,7),-1.38929 # DEPENDENCYPART_ARC
(1,10),-2.32796 # DEPENDENCYPART_ARC
(1,11),-1.54914 # DEPENDENCYPART_ARC
(1,15),-1.72162 # DEPENDENCYPART_ARC
(1,21),-1.7887 # DEPENDENCYPART_ARC
(2,1),-0.337428 # DEPENDENCYPART_ARC
(2,3),-0.198037 # DEPENDENCYPART_ARC
(2,4),-1.27894 # DEPENDENCYPART_ARC
(2,5),-1.07785 # DEPENDENCYPART_ARC
(2,7),-1.82016 # DEPENDENCYPART_ARC
(3,1),-1.07073 # DEPENDENCYPART_ARC
(3,2),-0.200854 # DEPENDENCYPART_ARC
(3,4),0.223098 # DEPENDENCYPART_ARC
(3,5),-0.799621 # DEPENDENCYPART_ARC
(3,6),-1.58754 # DEPENDENCYPART_ARC
(3,7),-1.55969 # DEPENDENCYPART_ARC
(3,10),-2.24195 # DEPENDENCYPART_ARC
(3,11),-1.63707 # DEPENDENCYPART_ARC
(3,18),-1.64895 # DEPENDENCYPART_ARC
(4,2),-0.752807 # DEPENDENCYPART_ARC
(4,3),0.114061 # DEPENDENCYPART_ARC
(4,5),-0.0610338 # DEPENDENCYPART_ARC
(4,7),-1.60583 # DEPENDENCYPART_ARC
(6,1),-1.51783 # DEPENDENCYPART_ARC
(6,2),-1.72363 # DEPENDENCYPART_ARC
(6,3),-1.73733 # DEPENDENCYPART_ARC
(6,4),-1.02066 # DEPENDENCYPART_ARC
(6,5),0.0573087 # DEPENDENCYPART_ARC
(6,7),0.521039 # DEPENDENCYPART_ARC
(6,8),-1.27506 # DEPENDENCYPART_ARC
(6,9),-1.19212 # DEPENDENCYPART_ARC
(6,10),-1.34777 # DEPENDENCYPART_ARC
(6,11),-0.989461 # DEPENDENCYPART_ARC
(6,13),-1.56046 # DEPENDENCYPART_ARC
(6,14),-1.74551 # DEPENDENCYPART_ARC
(6,15),-1.3082 # DEPENDENCYPART_ARC
(6,17),-1.55314 # DEPENDENCYPART_ARC
(6,24),-1.71586 # DEPENDENCYPART_ARC
(7,3),-2.12133 # DEPENDENCYPART_ARC
(7,5),-1.3142 # DEPENDENCYPART_ARC
(7,6),-0.582085 # DEPENDENCYPART_ARC
(7,8),-0.265371 # DEPENDENCYPART_ARC
(7,9),-0.761725 # DEPENDENCYPART_ARC
(7,10),-0.654019 # DEPENDENCYPART_ARC
(7,11),-1.31358 # DEPENDENCYPART_ARC
(7,13),-1.82193 # DEPENDENCYPART_ARC
(7,14),-1.54398 # DEPENDENCYPART_ARC
(7,15),-1.71738 # DEPENDENCYPART_ARC
(7,17),-2.46692 # DEPENDENCYPART_ARC
(7,18),-2.07963 # DEPENDENCYPART_ARC
(8,11),-1.06531 # DEPENDENCYPART_ARC
(9,8),0.203239 # DEPENDENCYPART_ARC
(9,11),-0.849675 # DEPENDENCYPART_ARC
(9,15),-1.09612 # DEPENDENCYPART_ARC
(10,1),-1.88015 # DEPENDENCYPART_ARC
(10,2),-2.24247 # DEPENDENCYPART_ARC
(10,4),-2.18155 # DEPENDENCYPART_ARC
(10,5),-1.67965 # DEPENDENCYPART_ARC
(10,6),-1.33839 # DEPENDENCYPART_ARC
(10,7),-1.04754 # DEPENDENCYPART_ARC
(10,8),0.254646 # DEPENDENCYPART_ARC
(10,9),1.46236 # DEPENDENCYPART_ARC
(10,11),0.472836 # DEPENDENCYPART_ARC
(10,12),-1.28135 # DEPENDENCYPART_ARC
(10,13),-1.15723 # DEPENDENCYPART_ARC
(10,14),-1.35364 # DEPENDENCYPART_ARC
(10,15),-1.11126 # DEPENDENCYPART_ARC
(10,16),-1.74702 # DEPENDENCYPART_ARC
(10,17),-1.36994 # DEPENDENCYPART_ARC
(10,18),-1.17186 # DEPENDENCYPART_ARC
