# _root_ That puts the real strategic decisions in the hands of others : bean counters , budgeteers , and pork-barrelers .
#goldHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
#predictedHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
(0,1),-1.43332 # DEPENDENCYPART_ARC
(0,2),-1.37977 # DEPENDENCYPART_ARC
(0,6),-2.63979 # DEPENDENCYPART_ARC
(0,18),-2.0761 # DEPENDENCYPART_ARC
(1,2),-0.487781 # DEPENDENCYPART_ARC
(2,1),0.796251 # DEPENDENCYPART_ARC
(2,3),0.0663886 # DEPENDENCYPART_ARC
(2,4),-0.534478 # DEPENDENCYPART_ARC
(2,5),-0.856392 # DEPENDENCYPART_ARC
(2,6),0.0205897 # DEPENDENCYPART_ARC
(2,7),-0.586751 # DEPENDENCYPART_ARC
(2,9),-0.620238 # DEPENDENCYPART_ARC
(2,10),-1.45429 # DEPENDENCYPART_ARC
(2,11),-1.15422 # DEPENDENCYPART_ARC
(2,12),-0.923875 # DEPENDENCYPART_ARC
(2,13),-1.59871 # DEPENDENCYPART_ARC
(2,15),-1.62922 # DEPENDENCYPART_ARC
(2,17),-2.01223 # DEPENDENCYPART_ARC
(2,18),-0.439167 # DEPENDENCYPART_ARC
(2,20),-0.192303 # DEPENDENCYPART_ARC
(3,4),-0.565852 # DEPENDENCYPART_ARC
(3,5),-1.4097 # DEPENDENCYPART_ARC
(3,7),-1.50192 # DEPENDENCYPART_ARC
(4,1),-1.63734 # DEPENDENCYPART_ARC
(4,3),-0.147571 # DEPENDENCYPART_ARC
(4,5),-0.390346 # DEPENDENCYPART_ARC
(4,6),-1.3163 # DEPENDENCYPART_ARC
(4,7),-1.25261 # DEPENDENCYPART_ARC
(4,9),-1.71979 # DEPENDENCYPART_ARC
(4,10),-1.65034 # DEPENDENCYPART_ARC
(4,15),-1.43089 # DEPENDENCYPART_ARC
(4,18),-1.10638 # DEPENDENCYPART_ARC
(4,20),-1.96006 # DEPENDENCYPART_ARC
(5,1),-1.43436 # DEPENDENCYPART_ARC
(5,3),-0.852091 # DEPENDENCYPART_ARC
(5,4),0.260289 # DEPENDENCYPART_ARC
(5,7),-1.33786 # DEPENDENCYPART_ARC
(5,9),-1.7397 # DEPENDENCYPART_ARC
(6,1),-1.58519 # DEPENDENCYPART_ARC
(6,3),-0.36971 # DEPENDENCYPART_ARC
(6,4),0.414791 # DEPENDENCYPART_ARC
(6,5),1.60981 # DEPENDENCYPART_ARC
(6,7),0.375613 # DEPENDENCYPART_ARC
(6,9),-1.32898 # DEPENDENCYPART_ARC
(6,10),-1.24402 # DEPENDENCYPART_ARC
(6,11),-1.58381 # DEPENDENCYPART_ARC
(6,12),-0.915039 # DEPENDENCYPART_ARC
(6,13),-1.55946 # DEPENDENCYPART_ARC
(6,14),-1.67432 # DEPENDENCYPART_ARC
(6,15),-1.91841 # DEPENDENCYPART_ARC
(6,16),-2.10109 # DEPENDENCYPART_ARC
(6,17),-2.06724 # DEPENDENCYPART_ARC
(6,18),-1.15082 # DEPENDENCYPART_ARC
(6,19),-2.09003 # DEPENDENCYPART_ARC
(6,20),-1.73655 # DEPENDENCYPART_ARC
(7,5),-1.69023 # DEPENDENCYPART_ARC
(7,6),-0.71413 # DEPENDENCYPART_ARC
(7,8),-0.0209342 # DEPENDENCYPART_ARC
(7,9),-0.035992 # DEPENDENCYPART_ARC
(7,10),-1.2645 # DEPENDENCYPART_ARC
(7,11),-0.950481 # DEPENDENCYPART_ARC
(7,12),-1.17442 # DEPENDENCYPART_ARC
(7,13),-2.21059 # DEPENDENCYPART_ARC
(7,14),-2.02701 # DEPENDENCYPART_ARC
(7,15),-1.28838 # DEPENDENCYPART_ARC
(7,16),-3.1586 # DEPENDENCYPART_ARC
(7,17),-1.66667 # DEPENDENCYPART_ARC
(7,18),-1.69493 # DEPENDENCYPART_ARC
(7,19),-3.113 # DEPENDENCYPART_ARC
(8,10),-1.29514 # DEPENDENCYPART_ARC
(9,3),-2.50427 # DEPENDENCYPART_ARC
(9,4),-1.80398 # DEPENDENCYPART_ARC
(9,5),-1.72529 # DEPENDENCYPART_ARC
(9,6),-1.70944 # DEPENDENCYPART_ARC
(9,7),-1.24634 # DEPENDENCYPART_ARC
(9,8),1.07108 # DEPENDENCYPART_ARC
