# _root_ By the market 's close , volume on the New York exchange totaled more than 416 million , the fourth highest on record .
#goldHeads=13,3,5,3,1,13,13,7,12,12,12,8,0,17,17,17,13,17,20,17,20,20,22,13,
#predictedHeads=13,3,5,3,1,13,13,7,12,12,12,8,0,17,17,17,13,17,20,17,20,21,22,13,
(0,1),-3.88858 # DEPENDENCYPART_ARC
(0,5),-4.04103 # DEPENDENCYPART_ARC
(0,7),-4.11745 # DEPENDENCYPART_ARC
(0,13),-1.6934 # DEPENDENCYPART_ARC
(1,2),-1.14575 # DEPENDENCYPART_ARC
(1,3),0.23892 # DEPENDENCYPART_ARC
(1,4),-1.84864 # DEPENDENCYPART_ARC
(1,5),0.515853 # DEPENDENCYPART_ARC
(1,6),-1.3662 # DEPENDENCYPART_ARC
(1,7),-1.39605 # DEPENDENCYPART_ARC
(1,8),-1.57592 # DEPENDENCYPART_ARC
(1,13),-1.35443 # DEPENDENCYPART_ARC
(1,15),-1.37394 # DEPENDENCYPART_ARC
(1,24),-3.9217 # DEPENDENCYPART_ARC
(2,1),-2.18328 # DEPENDENCYPART_ARC
(3,1),-1.09851 # DEPENDENCYPART_ARC
(3,2),2.65893 # DEPENDENCYPART_ARC
(3,4),1.66626 # DEPENDENCYPART_ARC
(3,5),-1.40567 # DEPENDENCYPART_ARC
(3,6),-1.27858 # DEPENDENCYPART_ARC
(3,7),-1.85994 # DEPENDENCYPART_ARC
(3,8),-1.16881 # DEPENDENCYPART_ARC
(3,13),-1.86544 # DEPENDENCYPART_ARC
(3,24),-2.72786 # DEPENDENCYPART_ARC
(4,1),-1.52174 # DEPENDENCYPART_ARC
(4,6),-2.58823 # DEPENDENCYPART_ARC
(4,7),-2.96017 # DEPENDENCYPART_ARC
(5,1),-1.84397 # DEPENDENCYPART_ARC
(5,2),-1.33917 # DEPENDENCYPART_ARC
(5,3),0.75371 # DEPENDENCYPART_ARC
(5,4),-0.681429 # DEPENDENCYPART_ARC
(5,6),0.0425679 # DEPENDENCYPART_ARC
(5,7),-0.923071 # DEPENDENCYPART_ARC
(5,8),-0.67551 # DEPENDENCYPART_ARC
(5,10),-1.82057 # DEPENDENCYPART_ARC
(5,11),-2.02967 # DEPENDENCYPART_ARC
(5,12),-2.14581 # DEPENDENCYPART_ARC
(5,13),-1.96778 # DEPENDENCYPART_ARC
(5,14),-1.73557 # DEPENDENCYPART_ARC
(5,15),-1.83013 # DEPENDENCYPART_ARC
(5,16),-2.83421 # DEPENDENCYPART_ARC
(5,18),-1.203 # DEPENDENCYPART_ARC
(5,20),-2.67061 # DEPENDENCYPART_ARC
(5,21),-2.53392 # DEPENDENCYPART_ARC
(5,22),-2.61038 # DEPENDENCYPART_ARC
(5,23),-3.41545 # DEPENDENCYPART_ARC
(5,24),-2.91549 # DEPENDENCYPART_ARC
(6,7),-2.03469 # DEPENDENCYPART_ARC
(7,1),-2.17501 # DEPENDENCYPART_ARC
(7,2),-1.55776 # DEPENDENCYPART_ARC
(7,3),-0.621552 # DEPENDENCYPART_ARC
(7,4),-1.82108 # DEPENDENCYPART_ARC
(7,5),-0.706301 # DEPENDENCYPART_ARC
(7,6),-1.06638 # DEPENDENCYPART_ARC
(7,8),0.703247 # DEPENDENCYPART_ARC
(7,9),-1.83417 # DEPENDENCYPART_ARC
(7,10),-1.45741 # DEPENDENCYPART_ARC
(7,11),-1.4861 # DEPENDENCYPART_ARC
(7,12),-1.21746 # DEPENDENCYPART_ARC
(7,13),-1.35233 # DEPENDENCYPART_ARC
(7,14),-1.43889 # DEPENDENCYPART_ARC
(7,15),-1.32796 # DEPENDENCYPART_ARC
(7,16),-2.45504 # DEPENDENCYPART_ARC
(7,17),-2.5157 # DEPENDENCYPART_ARC
(7,18),-1.55748 # DEPENDENCYPART_ARC
