# _root_ Kellogg is based in Battle Creek , Mich. , a city that calls itself the breakfast capital of the world .
#goldHeads=2,0,2,3,6,4,6,6,6,11,6,13,11,17,17,17,13,17,20,18,2,
#predictedHeads=2,0,2,3,6,4,6,6,8,11,8,13,11,17,17,17,13,17,20,18,2,
(0,1),-1.77808 # DEPENDENCYPART_ARC
(0,2),-1.65322 # DEPENDENCYPART_ARC
(0,3),-2.66271 # DEPENDENCYPART_ARC
(0,13),-2.76445 # DEPENDENCYPART_ARC
(1,2),-0.402259 # DEPENDENCYPART_ARC
(1,3),-1.2056 # DEPENDENCYPART_ARC
(1,4),-1.14459 # DEPENDENCYPART_ARC
(1,6),-1.80907 # DEPENDENCYPART_ARC
(1,7),-1.70242 # DEPENDENCYPART_ARC
(1,8),-2.15452 # DEPENDENCYPART_ARC
(1,9),-1.8893 # DEPENDENCYPART_ARC
(1,11),-2.14409 # DEPENDENCYPART_ARC
(1,13),-2.09425 # DEPENDENCYPART_ARC
(1,17),-2.25852 # DEPENDENCYPART_ARC
(2,1),1.02799 # DEPENDENCYPART_ARC
(2,3),1.39161 # DEPENDENCYPART_ARC
(2,4),-0.573609 # DEPENDENCYPART_ARC
(2,5),-1.37502 # DEPENDENCYPART_ARC
(2,6),-1.33163 # DEPENDENCYPART_ARC
(2,7),-1.52555 # DEPENDENCYPART_ARC
(2,8),-2.64823 # DEPENDENCYPART_ARC
(2,9),-1.87419 # DEPENDENCYPART_ARC
(2,11),-2.25053 # DEPENDENCYPART_ARC
(2,13),-1.7384 # DEPENDENCYPART_ARC
(2,21),-0.251437 # DEPENDENCYPART_ARC
(3,1),-1.21403 # DEPENDENCYPART_ARC
(3,2),-0.912543 # DEPENDENCYPART_ARC
(3,4),0.777355 # DEPENDENCYPART_ARC
(3,5),-0.764289 # DEPENDENCYPART_ARC
(3,6),-0.877456 # DEPENDENCYPART_ARC
(3,7),-1.31077 # DEPENDENCYPART_ARC
(3,8),-2.06496 # DEPENDENCYPART_ARC
(3,9),-1.71722 # DEPENDENCYPART_ARC
(3,11),-1.92976 # DEPENDENCYPART_ARC
(3,13),-1.4888 # DEPENDENCYPART_ARC
(3,17),-2.36638 # DEPENDENCYPART_ARC
(3,21),-1.76534 # DEPENDENCYPART_ARC
