# _root_ Still , for those with a long-term eye on the vast U.S. retail market , this is a tempting time to look for bargains .
#goldHeads=17,17,17,3,4,8,8,5,8,14,14,14,14,9,17,17,0,20,20,17,22,20,22,23,17,
#predictedHeads=17,17,17,3,4,8,8,5,8,14,14,14,14,9,17,17,0,20,20,17,22,20,22,23,17,
(0,1),-1.36479 # DEPENDENCYPART_ARC
(0,3),-3.07554 # DEPENDENCYPART_ARC
(0,17),-2.35951 # DEPENDENCYPART_ARC
(0,22),-3.25944 # DEPENDENCYPART_ARC
(1,2),-0.169138 # DEPENDENCYPART_ARC
(1,3),-1.50746 # DEPENDENCYPART_ARC
(1,5),-1.72572 # DEPENDENCYPART_ARC
(1,8),-2.07526 # DEPENDENCYPART_ARC
(1,9),-2.02822 # DEPENDENCYPART_ARC
(2,1),-0.216844 # DEPENDENCYPART_ARC
(2,3),-0.410059 # DEPENDENCYPART_ARC
(3,1),-1.51685 # DEPENDENCYPART_ARC
(3,2),-0.0976869 # DEPENDENCYPART_ARC
(3,4),0.00584605 # DEPENDENCYPART_ARC
(3,5),-1.06891 # DEPENDENCYPART_ARC
(3,7),-1.26278 # DEPENDENCYPART_ARC
(3,8),-1.25313 # DEPENDENCYPART_ARC
(3,9),-1.38163 # DEPENDENCYPART_ARC
(3,12),-2.03872 # DEPENDENCYPART_ARC
(3,14),-2.07106 # DEPENDENCYPART_ARC
(3,15),-1.31751 # DEPENDENCYPART_ARC
(4,2),-1.32324 # DEPENDENCYPART_ARC
(4,3),-0.287491 # DEPENDENCYPART_ARC
(4,5),0.406974 # DEPENDENCYPART_ARC
(4,9),-0.95359 # DEPENDENCYPART_ARC
(4,15),-0.740817 # DEPENDENCYPART_ARC
(5,3),-1.48449 # DEPENDENCYPART_ARC
(5,4),-0.685963 # DEPENDENCYPART_ARC
(5,6),0.00707817 # DEPENDENCYPART_ARC
(5,7),-0.689297 # DEPENDENCYPART_ARC
(5,8),-0.720166 # DEPENDENCYPART_ARC
(5,9),-1.27942 # DEPENDENCYPART_ARC
(5,11),-1.19978 # DEPENDENCYPART_ARC
(5,12),-1.72527 # DEPENDENCYPART_ARC
(5,14),-1.74822 # DEPENDENCYPART_ARC
(5,15),-1.46677 # DEPENDENCYPART_ARC
(5,17),-1.47384 # DEPENDENCYPART_ARC
(6,5),-0.207568 # DEPENDENCYPART_ARC
(6,7),-0.401786 # DEPENDENCYPART_ARC
(6,9),-1.13234 # DEPENDENCYPART_ARC
(7,1),-2.02619 # DEPENDENCYPART_ARC
(7,3),-1.40594 # DEPENDENCYPART_ARC
(7,4),-1.34627 # DEPENDENCYPART_ARC
(7,5),-1.2235 # DEPENDENCYPART_ARC
(7,6),-0.0661917 # DEPENDENCYPART_ARC
(7,9),-0.900256 # DEPENDENCYPART_ARC
(7,11),-1.16478 # DEPENDENCYPART_ARC
(7,12),-1.5474 # DEPENDENCYPART_ARC
(7,14),-1.64048 # DEPENDENCYPART_ARC
(8,2),-1.87811 # DEPENDENCYPART_ARC
(8,3),-1.14438 # DEPENDENCYPART_ARC
(8,4),-1.17089 # DEPENDENCYPART_ARC
(8,5),-0.970737 # DEPENDENCYPART_ARC
(8,6),0.354665 # DEPENDENCYPART_ARC
(8,7),1.59455 # DEPENDENCYPART_ARC
(8,9),0.417298 # DEPENDENCYPART_ARC
(8,10),-1.33144 # DEPENDENCYPART_ARC
(8,11),-1.28013 # DEPENDENCYPART_ARC
(8,12),-1.42279 # DEPENDENCYPART_ARC
(8,13),-1.42748 # DEPENDENCYPART_ARC
(8,14),-1.62609 # DEPENDENCYPART_ARC
(8,15),-1.52381 # DEPENDENCYPART_ARC
(8,16),-2.01164 # DEPENDENCYPART_ARC
(8,17),-1.98681 # DEPENDENCYPART_ARC
(8,20),-1.90433 # DEPENDENCYPART_ARC
(8,21),-1.59239 # DEPENDENCYPART_ARC
(8,22),-2.32606 # DEPENDENCYPART_ARC
(8,23),-2.01754 # DEPENDENCYPART_ARC
(8,25),-2.30522 # DEPENDENCYPART_ARC
(9,5),-1.47543 # DEPENDENCYPART_ARC
(9,7),-1.51376 # DEPENDENCYPART_ARC
(9,8),-0.612511 # DEPENDENCYPART_ARC
(9,10),-0.0776709 # DEPENDENCYPART_ARC
(9,11),-0.566346 # DEPENDENCYPART_ARC
(9,12),-0.473083 # DEPENDENCYPART_ARC
(9,13),-1.03726 # DEPENDENCYPART_ARC
(9,14),-0.67123 # DEPENDENCYPART_ARC
(9,15),-1.35411 # DEPENDENCYPART_ARC
(9,17),-1.88394 # DEPENDENCYPART_ARC
(9,20),-2.72858 # DEPENDENCYPART_ARC
(9,25),-0.964578 # DEPENDENCYPART_ARC
(10,11),-0.340934 # DEPENDENCYPART_ARC
(11,8),-1.28996 # DEPENDENCYPART_ARC
(11,10),-0.11985 # DEPENDENCYPART_ARC
(11,12),-0.351069 # DEPENDENCYPART_ARC
(11,13),-1.03543 # DEPENDENCYPART_ARC
(11,14),-1.43109 # DEPENDENCYPART_ARC
(12,4),-3.11738 # DEPENDENCYPART_ARC
(12,6),-2.4556 # DEPENDENCYPART_ARC
(12,7),-1.63369 # DEPENDENCYPART_ARC
(12,10),-0.459751 # DEPENDENCYPART_ARC
(12,11),0.593174 # DEPENDENCYPART_ARC
(12,13),-0.305902 # DEPENDENCYPART_ARC
(12,14),-1.29377 # DEPENDENCYPART_ARC
(12,15),-1.35111 # DEPENDENCYPART_ARC
(12,17),-1.95926 # DEPENDENCYPART_ARC
(12,20),-2.02007 # DEPENDENCYPART_ARC
(12,25),-2.70268 # DEPENDENCYPART_ARC
(13,8),-1.43253 # DEPENDENCYPART_ARC
(13,10),-1.40184 # DEPENDENCYPART_ARC
(13,11),-1.25011 # DEPENDENCYPART_ARC
(13,12),-0.219809 # DEPENDENCYPART_ARC
(13,17),-1.82508 # DEPENDENCYPART_ARC
(13,20),-2.31277 # DEPENDENCYPART_ARC
(13,22),-2.02668 # DEPENDENCYPART_ARC
(14,4),-2.03863 # DEPENDENCYPART_ARC
