# _root_ The notes , which are noncallable , were priced at a spread of 45 basis points above the Treasury 's 10-year note .
#goldHeads=2,8,2,5,2,5,2,0,8,9,12,17,12,16,16,13,10,19,22,19,22,17,8,
#predictedHeads=2,8,2,5,2,5,2,0,8,9,12,17,12,16,16,13,10,19,22,19,22,17,8,
(0,2),-2.10338 # DEPENDENCYPART_ARC
(0,5),-2.38518 # DEPENDENCYPART_ARC
(0,6),-2.99681 # DEPENDENCYPART_ARC
(0,8),-2.0961 # DEPENDENCYPART_ARC
(0,9),-2.44464 # DEPENDENCYPART_ARC
(1,3),-1.26829 # DEPENDENCYPART_ARC
(1,5),-2.07032 # DEPENDENCYPART_ARC
(1,7),-2.01937 # DEPENDENCYPART_ARC
(2,1),1.10218 # DEPENDENCYPART_ARC
(2,3),0.398178 # DEPENDENCYPART_ARC
(2,5),-1.17714 # DEPENDENCYPART_ARC
(2,6),-1.68679 # DEPENDENCYPART_ARC
(2,7),-1.05356 # DEPENDENCYPART_ARC
(2,8),-1.58777 # DEPENDENCYPART_ARC
(2,9),-1.5362 # DEPENDENCYPART_ARC
(2,10),-1.25307 # DEPENDENCYPART_ARC
(2,12),-1.5169 # DEPENDENCYPART_ARC
(2,13),-1.6587 # DEPENDENCYPART_ARC
(2,16),-1.72433 # DEPENDENCYPART_ARC
(2,17),-1.49399 # DEPENDENCYPART_ARC
(2,22),-1.93601 # DEPENDENCYPART_ARC
(2,23),-1.52869 # DEPENDENCYPART_ARC
(5,2),-2.08073 # DEPENDENCYPART_ARC
(5,3),-0.913951 # DEPENDENCYPART_ARC
(5,4),0.349497 # DEPENDENCYPART_ARC
(5,6),0.611585 # DEPENDENCYPART_ARC
(5,7),-0.541798 # DEPENDENCYPART_ARC
(5,8),-1.47664 # DEPENDENCYPART_ARC
(5,9),-1.73815 # DEPENDENCYPART_ARC
(5,10),-1.81379 # DEPENDENCYPART_ARC
(5,23),-0.866373 # DEPENDENCYPART_ARC
(6,2),-1.53325 # DEPENDENCYPART_ARC
(6,3),-1.20628 # DEPENDENCYPART_ARC
(6,7),-0.113085 # DEPENDENCYPART_ARC
(6,8),-1.23207 # DEPENDENCYPART_ARC
(6,9),-1.53342 # DEPENDENCYPART_ARC
(6,10),-1.602 # DEPENDENCYPART_ARC
(6,12),-1.91136 # DEPENDENCYPART_ARC
(8,1),-1.37861 # DEPENDENCYPART_ARC
(8,2),-0.547722 # DEPENDENCYPART_ARC
(8,3),-1.81687 # DEPENDENCYPART_ARC
(8,4),-1.37992 # DEPENDENCYPART_ARC
(8,5),-0.936547 # DEPENDENCYPART_ARC
(8,6),-0.997328 # DEPENDENCYPART_ARC
(8,7),0.899166 # DEPENDENCYPART_ARC
(8,9),1.32778 # DEPENDENCYPART_ARC
(8,10),-0.578882 # DEPENDENCYPART_ARC
(8,12),-1.02534 # DEPENDENCYPART_ARC
(8,13),-1.54668 # DEPENDENCYPART_ARC
(8,16),-1.65148 # DEPENDENCYPART_ARC
(8,17),-1.52197 # DEPENDENCYPART_ARC
(8,23),0.721079 # DEPENDENCYPART_ARC
(9,2),-1.82628 # DEPENDENCYPART_ARC
(9,3),-2.88427 # DEPENDENCYPART_ARC
(9,4),-2.31435 # DEPENDENCYPART_ARC
(9,6),-2.15669 # DEPENDENCYPART_ARC
(9,7),-1.43226 # DEPENDENCYPART_ARC
(9,8),-0.832938 # DEPENDENCYPART_ARC
(9,10),0.887851 # DEPENDENCYPART_ARC
(9,11),-0.887022 # DEPENDENCYPART_ARC
(9,12),-0.857439 # DEPENDENCYPART_ARC
(9,13),-0.994259 # DEPENDENCYPART_ARC
(9,14),-1.46358 # DEPENDENCYPART_ARC
(9,15),-1.65081 # DEPENDENCYPART_ARC
(9,16),-1.53897 # DEPENDENCYPART_ARC
(9,17),-1.00094 # DEPENDENCYPART_ARC
(9,22),-1.73838 # DEPENDENCYPART_ARC
(9,23),-0.260868 # DEPENDENCYPART_ARC
(10,9),-0.224123 # DEPENDENCYPART_ARC
(10,11),0.0603266 # DEPENDENCYPART_ARC
(10,12),-0.198319 # DEPENDENCYPART_ARC
(10,13),-1.28871 # DEPENDENCYPART_ARC
(10,14),-1.47699 # DEPENDENCYPART_ARC
(10,15),-1.39093 # DEPENDENCYPART_ARC
(10,16),-1.74445 # DEPENDENCYPART_ARC
(10,17),-1.13649 # DEPENDENCYPART_ARC
(10,22),-2.37635 # DEPENDENCYPART_ARC
(11,13),-1.29965 # DEPENDENCYPART_ARC
(12,5),-2.23746 # DEPENDENCYPART_ARC
(12,6),-2.65115 # DEPENDENCYPART_ARC
(12,7),-1.92165 # DEPENDENCYPART_ARC
(12,8),-1.49361 # DEPENDENCYPART_ARC
(12,10),-0.883657 # DEPENDENCYPART_ARC
(12,11),1.1403 # DEPENDENCYPART_ARC
(12,13),0.53735 # DEPENDENCYPART_ARC
(12,14),-0.869586 # DEPENDENCYPART_ARC
(12,15),-1.07355 # DEPENDENCYPART_ARC
(12,16),-1.28794 # DEPENDENCYPART_ARC
(12,17),-0.78158 # DEPENDENCYPART_ARC
(12,18),-1.26017 # DEPENDENCYPART_ARC
(12,19),-1.49623 # DEPENDENCYPART_ARC
(12,21),-1.13111 # DEPENDENCYPART_ARC
(12,22),-1.6994 # DEPENDENCYPART_ARC
(12,23),-0.984598 # DEPENDENCYPART_ARC
(13,10),-0.95526 # DEPENDENCYPART_ARC
(13,11),-1.06738 # DEPENDENCYPART_ARC
(13,12),-0.265768 # DEPENDENCYPART_ARC
(13,14),-0.267201 # DEPENDENCYPART_ARC
(13,15),-0.278551 # DEPENDENCYPART_ARC
(13,16),-0.965839 # DEPENDENCYPART_ARC
(13,17),-1.13624 # DEPENDENCYPART_ARC
(13,19),-2.13323 # DEPENDENCYPART_ARC
(13,22),-1.86894 # DEPENDENCYPART_ARC
(14,15),-0.109805 # DEPENDENCYPART_ARC
(14,17),-1.29657 # DEPENDENCYPART_ARC
(14,19),-1.48332 # DEPENDENCYPART_ARC
(14,22),-1.66204 # DEPENDENCYPART_ARC
(15,10),-1.65154 # DEPENDENCYPART_ARC
(15,11),-1.68782 # DEPENDENCYPART_ARC
(15,13),-1.0464 # DEPENDENCYPART_ARC
(15,14),0.0753644 # DEPENDENCYPART_ARC
(15,16),-0.434113 # DEPENDENCYPART_ARC
(15,17),-1.01944 # DEPENDENCYPART_ARC
(15,19),-1.68133 # DEPENDENCYPART_ARC
(15,22),-1.96206 # DEPENDENCYPART_ARC
(16,7),-1.67644 # DEPENDENCYPART_ARC
(16,10),-1.15126 # DEPENDENCYPART_ARC
(16,11),-0.696561 # DEPENDENCYPART_ARC
(16,12),-0.941902 # DEPENDENCYPART_ARC
(16,13),-0.662755 # DEPENDENCYPART_ARC
(16,14),0.0313332 # DEPENDENCYPART_ARC
(16,15),1.69701 # DEPENDENCYPART_ARC
(16,17),0.080673 # DEPENDENCYPART_ARC
(16,18),-1.43011 # DEPENDENCYPART_ARC
(16,19),-1.39647 # DEPENDENCYPART_ARC
(16,21),-1.49071 # DEPENDENCYPART_ARC
(16,22),-1.69456 # DEPENDENCYPART_ARC
(16,23),-1.08867 # DEPENDENCYPART_ARC
(17,12),-1.24034 # DEPENDENCYPART_ARC
(17,13),-1.23781 # DEPENDENCYPART_ARC
(17,15),-1.15894 # DEPENDENCYPART_ARC
(17,16),-0.229038 # DEPENDENCYPART_ARC
(17,18),-0.110416 # DEPENDENCYPART_ARC
(17,19),-0.331123 # DEPENDENCYPART_ARC
(17,21),-1.18242 # DEPENDENCYPART_ARC
(17,22),-0.769861 # DEPENDENCYPART_ARC
(17,23),-1.25965 # DEPENDENCYPART_ARC
(19,15),-1.52982 # DEPENDENCYPART_ARC
(19,16),-1.89272 # DEPENDENCYPART_ARC
(19,18),0.948298 # DEPENDENCYPART_ARC
(19,20),0.869881 # DEPENDENCYPART_ARC
(19,21),-0.957475 # DEPENDENCYPART_ARC
(19,23),-0.982005 # DEPENDENCYPART_ARC
(20,23),-0.812989 # DEPENDENCYPART_ARC
(21,12),-1.22724 # DEPENDENCYPART_ARC
(21,15),-1.20399 # DEPENDENCYPART_ARC
(21,16),-1.22573 # DEPENDENCYPART_ARC
(21,18),-1.2691 # DEPENDENCYPART_ARC
(21,19),-0.934255 # DEPENDENCYPART_ARC
(22,11),-2.32163 # DEPENDENCYPART_ARC
(22,12),-1.98468 # DEPENDENCYPART_ARC
(22,13),-1.05281 # DEPENDENCYPART_ARC
(22,14),-1.24566 # DEPENDENCYPART_ARC
(22,15),-1.31912 # DEPENDENCYPART_ARC
(22,17),-1.06668 # DEPENDENCYPART_ARC
(22,18),-0.857179 # DEPENDENCYPART_ARC
(22,19),-0.297827 # DEPENDENCYPART_ARC
(22,20),-0.778905 # DEPENDENCYPART_ARC
(22,21),1.42033 # DEPENDENCYPART_ARC
(22,23),-0.369627 # DEPENDENCYPART_ARC
(23,22),-0.271036 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.105972 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0250551 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.105517 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.107798 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0618817 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.176483 # DEPENDENCYPART_SIBL
(0,5),(0,9),-0.175036 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.0673445 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.0562263 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.166737 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.01709 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0546621 # DEPENDENCYPART_SIBL
(1,5),(1,7),0.0690401 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0461604 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.112911 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.0536323 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0461604 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0536007 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.141691 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0270964 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0015471 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.26863 # DEPENDENCYPART_SIBL
(2,1),(2,16),-0.0116021 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0628805 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.0142579 # DEPENDENCYPART_SIBL
(2,1),(2,23),-0.0843298 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00941642 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0412809 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0498743 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.00588748 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0056742 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.00687585 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0125701 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0320376 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0110429 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.0462897 # DEPENDENCYPART_SIBL
(2,3),(2,22),0.0114178 # DEPENDENCYPART_SIBL
(2,3),(2,23),-0.0182407 # DEPENDENCYPART_SIBL
(2,5),(2,6),0.0187971 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.068509 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00440149 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.000824492 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.00873879 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.00181637 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.038222 # DEPENDENCYPART_SIBL
(2,5),(2,16),0.000728343 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.0207863 # DEPENDENCYPART_SIBL
(2,5),(2,22),0.000705771 # DEPENDENCYPART_SIBL
(2,5),(2,23),0.0545269 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.0120802 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0162541 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.00748045 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.0105719 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0270259 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.00406331 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0267964 # DEPENDENCYPART_SIBL
(2,6),(2,17),-0.0113783 # DEPENDENCYPART_SIBL
(2,6),(2,22),-0.0268132 # DEPENDENCYPART_SIBL
(2,6),(2,23),-0.0107984 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00588748 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.0056742 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00687585 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.0125701 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0320376 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.0110429 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0462897 # DEPENDENCYPART_SIBL
(2,7),(2,22),0.0114178 # DEPENDENCYPART_SIBL
(2,7),(2,23),-0.0182407 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0117641 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.00258327 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.0240493 # DEPENDENCYPART_SIBL
(2,8),(2,13),0.0208629 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0251373 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.00949012 # DEPENDENCYPART_SIBL
(2,8),(2,22),-0.0251599 # DEPENDENCYPART_SIBL
(2,8),(2,23),-0.00261443 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.00521025 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0154181 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0230919 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.0165061 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.0114557 # DEPENDENCYPART_SIBL
(2,9),(2,22),-0.0165287 # DEPENDENCYPART_SIBL
(2,9),(2,23),0.0120298 # DEPENDENCYPART_SIBL
(2,10),(2,12),-0.00829771 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0284862 # DEPENDENCYPART_SIBL
(2,10),(2,16),-0.0126554 # DEPENDENCYPART_SIBL
(2,10),(2,17),-0.00814444 # DEPENDENCYPART_SIBL
(2,10),(2,22),-0.0111688 # DEPENDENCYPART_SIBL
(2,10),(2,23),0.0488559 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0160931 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0318524 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0233905 # DEPENDENCYPART_SIBL
